# My Header 
#  has 3 lines 
#  Wavelenth (micron)  Kappa (m^2/kg)
1.000000000000000000e+03 5.152951134796525390e-02
9.886000000000000227e+02 5.266292596116346064e-02
9.772000000000000455e+02 5.379693441776266932e-02
9.661000000000000227e+02 5.490320595689118094e-02
9.550000000000000000e+02 5.601039795793912729e-02
9.441000000000000227e+02 5.709926879407542510e-02
9.332999999999999545e+02 5.836222831104815462e-02
9.226000000000000227e+02 5.961492600354113131e-02
9.120000000000000000e+02 6.085674136258459321e-02
9.016000000000000227e+02 6.207753529644970819e-02
8.912999999999999545e+02 6.328784729407004039e-02
8.810000000000000000e+02 6.470944709923916183e-02
8.710000000000000000e+02 6.609194704592645520e-02
8.610000000000000000e+02 6.747567154980221860e-02
8.511000000000000227e+02 6.884698774565491119e-02
8.413999999999999773e+02 7.019292369171396817e-02
8.317999999999999545e+02 7.175385080343009425e-02
8.222000000000000455e+02 7.331554604591342117e-02
8.127999999999999545e+02 7.484716534971157242e-02
8.035000000000000000e+02 7.636446234140266409e-02
7.942999999999999545e+02 7.786713977927557651e-02
7.852000000000000455e+02 7.961565450413353451e-02
7.762000000000000455e+02 8.134686754620958082e-02
7.673999999999999773e+02 8.304209960676224578e-02
7.586000000000000227e+02 8.473883808325285982e-02
7.498999999999999773e+02 8.641878806237460187e-02
7.412999999999999545e+02 8.836981626419244951e-02
7.327999999999999545e+02 9.030024633531809342e-02
7.243999999999999773e+02 9.221051816791041300e-02
7.161000000000000227e+02 9.410046036843229544e-02
7.078999999999999773e+02 9.596972626702429676e-02
6.997999999999999545e+02 9.814649206951439608e-02
6.917999999999999545e+02 1.002991772151141242e-01
6.838999999999999773e+02 1.024275551395763678e-01
6.761000000000000227e+02 1.045311783537921646e-01
6.682999999999999545e+02 1.066376008691875960e-01
6.607000000000000455e+02 1.090553593422160239e-01
6.531000000000000227e+02 1.114757458709232235e-01
6.457000000000000455e+02 1.138361669304975288e-01
6.382999999999999545e+02 1.161992700586095550e-01
6.310000000000000000e+02 1.185331556038411449e-01
6.237000000000000455e+02 1.212794781422850965e-01
6.166000000000000227e+02 1.239549386404951714e-01
6.095000000000000000e+02 1.266325742878655902e-01
6.026000000000000227e+02 1.292394881674214790e-01
5.957000000000000455e+02 1.318488152825421644e-01
5.887999999999999545e+02 1.349213620670459690e-01
5.821000000000000227e+02 1.379105386661658161e-01
5.753999999999999773e+02 1.409015955808280984e-01
5.688999999999999773e+02 1.438088849958460702e-01
5.622999999999999545e+02 1.467622694519249149e-01
5.558999999999999773e+02 1.501465150357123857e-01
5.495000000000000000e+02 1.535335685920341808e-01
5.432999999999999545e+02 1.568202593603272021e-01
5.370000000000000000e+02 1.601621577473013314e-01
5.308999999999999773e+02 1.634037284007541502e-01
5.247999999999999545e+02 1.672276093136456920e-01
5.187999999999999545e+02 1.709937515969674471e-01
5.128999999999999773e+02 1.747019653771477998e-01
5.070000000000000000e+02 1.784140869239910776e-01
5.011999999999999886e+02 1.820683376537488574e-01
4.955000000000000000e+02 1.863104421164090974e-01
4.898000000000000114e+02 1.905564464512105038e-01
4.841999999999999886e+02 1.947339904895340479e-01
4.786000000000000227e+02 1.989145184246702003e-01
4.731999999999999886e+02 2.029549149472508196e-01
4.676999999999999886e+02 2.078112937516174430e-01
4.623999999999999773e+02 2.125006690773383611e-01
4.571000000000000227e+02 2.171942497246933390e-01
4.518999999999999773e+02 2.218057115566217652e-01
4.466999999999999886e+02 2.264211916882166997e-01
4.416000000000000227e+02 2.317626404766912618e-01
4.365000000000000000e+02 2.371083996338087807e-01
4.315000000000000000e+02 2.423577384696965764e-01
4.266000000000000227e+02 2.475092707482240140e-01
4.216999999999999886e+02 2.526654087527956949e-01
4.168999999999999773e+02 2.586376718862709034e-01
4.121000000000000227e+02 2.646132680791075109e-01
4.073999999999999773e+02 2.704743445128820478e-01
4.026999999999999886e+02 2.763392664030151491e-01
3.981000000000000227e+02 2.820899051952101555e-01
3.936000000000000227e+02 2.887507571195319644e-01
3.890000000000000000e+02 2.955603398671834414e-01
3.846000000000000227e+02 3.020886488261012026e-01
3.801999999999999886e+02 3.086216174950903168e-01
3.758000000000000114e+02 3.151613040620831474e-01
3.715000000000000000e+02 3.227344792790832195e-01
3.673000000000000114e+02 3.301442590981182867e-01
3.631000000000000227e+02 3.375586510653992844e-01
3.588999999999999773e+02 3.449805762243414176e-01
3.548000000000000114e+02 3.522360482536310289e-01
3.508000000000000114e+02 3.606334680640866375e-01
3.466999999999999886e+02 3.692413661023533078e-01
3.428000000000000114e+02 3.774493790202842480e-01
3.388000000000000114e+02 3.858642279116238361e-01
3.350000000000000000e+02 3.938822521382732145e-01
3.311000000000000227e+02 4.035702718268796008e-01
3.273000000000000114e+02 4.130270219288041389e-01
3.236000000000000227e+02 4.222480811664741651e-01
3.198999999999999773e+02 4.314784303598098725e-01
3.161999999999999886e+02 4.407134069670016197e-01
3.126000000000000227e+02 4.513907247191853989e-01
3.090000000000000000e+02 4.620762782395982371e-01
3.055000000000000000e+02 4.724800403403542903e-01
3.020000000000000000e+02 4.828957194460046787e-01
2.985000000000000000e+02 4.933182492138792896e-01
2.951000000000000227e+02 5.053408145550658537e-01
2.916999999999999886e+02 5.173765785942380235e-01
2.883999999999999773e+02 5.290744946819068151e-01
2.851000000000000227e+02 5.407854915775975879e-01
2.818000000000000114e+02 5.525040352128040011e-01
2.786000000000000227e+02 5.660630323729791691e-01
2.753999999999999773e+02 5.796301599631586976e-01
2.723000000000000114e+02 5.927950701245122689e-01
2.691999999999999886e+02 6.059711378044984054e-01
2.661000000000000227e+02 6.191602354349905468e-01
2.630000000000000000e+02 6.347367957693859086e-01
2.600000000000000000e+02 6.498377284042687885e-01
2.570000000000000000e+02 6.649482588241607539e-01
2.540999999999999943e+02 6.795889205573597547e-01
2.511999999999999886e+02 6.942347434919922122e-01
2.483000000000000114e+02 7.116277856390548218e-01
2.455000000000000000e+02 7.284507185316791977e-01
2.426999999999999886e+02 7.452841530048744945e-01
2.399000000000000057e+02 7.621338884341855024e-01
2.370999999999999943e+02 7.789930663137691891e-01
2.344000000000000057e+02 7.985417014040607775e-01
2.316999999999999886e+02 8.181008053822397263e-01
2.290999999999999943e+02 8.369732495531785332e-01
2.265000000000000000e+02 8.558622695003718084e-01
2.239000000000000057e+02 8.747664354471851311e-01
2.213000000000000114e+02 8.970920823772335906e-01
2.188000000000000114e+02 9.186031983971718606e-01
2.163000000000000114e+02 9.401312038419907813e-01
2.138000000000000114e+02 9.616754737980746093e-01
2.113000000000000114e+02 9.832367564968766960e-01
2.089000000000000057e+02 1.008285756859940152e+00
2.065000000000000000e+02 1.033354369262529548e+00
2.041999999999999886e+02 1.057430642283103683e+00
2.018000000000000114e+02 1.082536904814404011e+00
1.995000000000000000e+02 1.106646682310330698e+00
1.971999999999999886e+02 1.135808640124507551e+00
1.950000000000000000e+02 1.163756932428895441e+00
