# My Header 
#  has 3 lines 
#  Wavelenth (micron)  Kappa (m^2/kg)
1.000000000000000000e+03 3.454156088642401645e-02
9.886000000000000227e+02 3.540087544433783567e-02
9.772000000000000455e+02 3.626019000225166877e-02
9.661000000000000227e+02 3.709689101916775061e-02
9.550000000000000000e+02 3.793359203608384633e-02
9.441000000000000227e+02 3.875521735900143427e-02
9.332999999999999545e+02 3.972421405557156199e-02
9.226000000000000227e+02 4.068423856050674969e-02
9.120000000000000000e+02 4.163529087380705984e-02
9.016000000000000227e+02 4.256839880383753855e-02
8.912999999999999545e+02 4.349253454223312582e-02
8.810000000000000000e+02 4.458787647604262744e-02
8.710000000000000000e+02 4.565131524673145258e-02
8.610000000000000000e+02 4.671475401742028466e-02
8.511000000000000227e+02 4.776755840040224771e-02
8.413999999999999773e+02 4.879909400797042413e-02
8.317999999999999545e+02 5.001434120460690469e-02
8.222000000000000455e+02 5.122958840124335056e-02
8.127999999999999545e+02 5.241951794794994651e-02
8.035000000000000000e+02 5.359678866969154465e-02
7.942999999999999545e+02 5.476140056646816578e-02
7.852000000000000455e+02 5.613289950320276417e-02
7.762000000000000455e+02 5.748932702305020737e-02
7.673999999999999773e+02 5.881561170912323611e-02
7.586000000000000227e+02 6.014189639519625097e-02
7.498999999999999773e+02 6.145310966438214534e-02
7.412999999999999545e+02 6.298876123094816759e-02
7.327999999999999545e+02 6.450655638394950375e-02
7.243999999999999773e+02 6.600649512338611913e-02
7.161000000000000227e+02 6.748857744925795821e-02
7.078999999999999773e+02 6.895280336156511813e-02
6.997999999999999545e+02 7.067500082907546277e-02
6.917999999999999545e+02 7.237593659945605606e-02
6.838999999999999773e+02 7.405561067270685638e-02
6.761000000000000227e+02 7.571402304882791923e-02
6.682999999999999545e+02 7.737243542494894044e-02
6.607000000000000455e+02 7.929998074938569841e-02
6.531000000000000227e+02 8.122752607382248413e-02
6.457000000000000455e+02 8.310434652130038735e-02
6.382999999999999545e+02 8.498116696877829057e-02
6.310000000000000000e+02 8.683262497777677336e-02
