My Header
 has 3 lines r
Wavelenth (micron)  Kappa (m^2/kg)
1.000000000000000056e-01 1.078000000000000000e+04
9.907952953719419142e-02 1.105497250569254902e+04
9.816753173311736080e-02 1.132741397068936203e+04
9.726392859944853198e-02 1.162122176426458464e+04
9.636864286572607852e-02 1.193515939792018253e+04
9.548159797274025085e-02 1.224382720125676497e+04
9.460271806598619104e-02 1.243384217718684886e+04
9.373192798917737156e-02 1.262210812138858091e+04
9.286915327781858354e-02 1.279376228482358965e+04
9.201432015283840526e-02 1.295070100286824891e+04
9.116735551427995743e-02 1.310283194728883791e+04
9.032818693504984786e-02 1.317563080229940169e+04
8.949674265472473689e-02 1.324775956535232945e+04
8.867295157341466283e-02 1.328668627830510195e+04
8.785674324568328031e-02 1.329875619984694640e+04
8.704804787452362358e-02 1.331268270644729273e+04
8.624679630538961694e-02 1.335713830646985843e+04
8.545292002028220812e-02 1.340118470582515693e+04
8.466635113189044382e-02 1.348004785057731169e+04
8.388702237778593307e-02 1.358463413945269895e+04
8.311486711467111488e-02 1.369494936476776456e+04
8.234981931268030297e-02 1.388081711004914905e+04
8.159181354973313316e-02 1.406497399763534122e+04
8.084078500594024663e-02 1.429181245643247166e+04
8.009666945806022398e-02 1.454726740642450932e+04
7.935940327400761718e-02 1.481019787340526636e+04
7.862892340741142738e-02 1.513007446581802105e+04
7.790516739222400067e-02 1.546875550984095753e+04
7.718807333737914833e-02 1.583475880326550032e+04
7.647757992149972761e-02 1.621676612970471615e+04
7.577362638765361424e-02 1.659240852602580344e+04
7.507615253815842771e-02 1.694381126465263515e+04
7.438509872943364909e-02 1.729197944486491178e+04
7.370040586690031204e-02 1.755014282794882092e+04
7.302201539992748958e-02 1.775517965274207745e+04
7.234986931682564626e-02 1.791749499678692882e+04
7.168391013988566207e-02 1.782864659234374994e+04
7.102408092046375021e-02 1.774061601122015054e+04
7.037032523411161644e-02 1.748621250325465371e+04
6.972258717575123554e-02 1.714455730647753808e+04
6.908081135489441138e-02 1.678660263590975956e+04
6.844494289090601036e-02 1.633033430703822341e+04
6.781492740831095156e-02 1.587826579336511350e+04
6.719071103214424578e-02 1.544236317764175874e+04
6.657224038334415284e-02 1.501635831200520079e+04
6.595946257418738856e-02 1.459763427423239045e+04
6.535232520376653420e-02 1.419798932960696220e+04
6.475077635350910688e-02 1.380202299865293935e+04
6.415476458273759730e-02 1.343690472712419250e+04
6.356423892427089106e-02 1.308731482315982612e+04
6.297914888006567180e-02 1.274665120549413768e+04
6.239944441689820182e-02 1.243183572037916929e+04
6.182507596208572376e-02 1.211991801881700667e+04
6.125599439924746259e-02 1.183737530993644577e+04
6.069215106410440902e-02 1.156820891553256479e+04
6.013349774031784278e-02 1.130641195989407061e+04
5.957998665536624883e-02 1.106428112658191094e+04
5.903157047645996025e-02 1.082437903607172302e+04
5.848820230649375007e-02 1.056787190332806313e+04
5.794983568003636565e-02 1.030680184424323852e+04
5.741642455935715844e-02 1.009431968398847494e+04
5.688792333048909439e-02 1.002936152088613198e+04
5.636428679932832531e-02 9.965001278488327443e+03
5.584547018776935684e-02 9.874917442043533811e+03
5.533142912987591006e-02 9.776928365382595075e+03
5.482211966808710202e-02 9.676301742521138294e+03
