# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.856279999999999841e-12
3.520000000000000018e+00 1.803270000000000050e-12
3.540000000000000036e+00 1.751510000000000077e-12
3.560000000000000053e+00 1.700969999999999971e-12
3.580000000000000071e+00 1.651619999999999984e-12
3.600000000000000089e+00 1.603429999999999964e-12
3.620000000000000107e+00 1.556369999999999961e-12
3.640000000000000124e+00 1.510430000000000058e-12
3.660000000000000142e+00 1.465569999999999984e-12
3.680000000000000160e+00 1.421759999999999992e-12
3.700000000000000178e+00 1.378989999999999963e-12
3.720000000000000195e+00 1.337240000000000066e-12
3.740000000000000213e+00 1.296470000000000028e-12
3.759999999999999787e+00 1.256669999999999935e-12
3.779999999999999805e+00 1.217819999999999954e-12
3.799999999999999822e+00 1.179900000000000051e-12
3.819999999999999840e+00 1.142889999999999990e-12
3.839999999999999858e+00 1.106780000000000056e-12
3.859999999999999876e+00 1.071529999999999979e-12
3.879999999999999893e+00 1.037150000000000079e-12
3.899999999999999911e+00 1.003630000000000036e-12
3.919999999999999929e+00 9.708780000000000561e-13
3.939999999999999947e+00 9.389670000000000722e-13
3.959999999999999964e+00 9.078449999999999550e-13
3.979999999999999982e+00 8.775479999999999883e-13
4.000000000000000000e+00 8.480420000000000331e-13
4.019999999999999574e+00 8.192120000000000438e-13
4.040000000000000036e+00 7.911070000000000338e-13
4.059999999999999609e+00 7.637459999999999649e-13
4.080000000000000071e+00 7.371349999999999685e-13
4.099999999999999645e+00 7.112740000000000447e-13
4.120000000000000107e+00 6.861669999999999781e-13
4.139999999999999680e+00 6.618319999999999611e-13
4.160000000000000142e+00 6.383100000000000337e-13
4.179999999999999716e+00 6.156749999999999994e-13
4.200000000000000178e+00 5.940520000000000218e-13
4.219999999999999751e+00 5.736329999999999651e-13
4.240000000000000213e+00 5.547019999999999925e-13
4.259999999999999787e+00 5.376570000000000384e-13
4.280000000000000249e+00 5.230440000000000481e-13
4.299999999999999822e+00 5.115550000000000351e-13
4.320000000000000284e+00 5.041600000000000449e-13
4.339999999999999858e+00 5.019770000000000329e-13
4.360000000000000320e+00 5.063970000000000282e-13
4.379999999999999893e+00 5.190590000000000403e-13
4.400000000000000355e+00 5.418370000000000266e-13
4.419999999999999929e+00 5.768199999999999595e-13
4.440000000000000391e+00 6.262749999999999744e-13
4.459999999999999964e+00 6.925810000000000354e-13
4.480000000000000426e+00 7.781650000000000472e-13
4.500000000000000000e+00 8.854029999999999584e-13
4.519999999999999574e+00 1.016540000000000029e-12
4.540000000000000036e+00 1.173570000000000017e-12
4.559999999999999609e+00 1.358170000000000058e-12
4.580000000000000071e+00 1.571539999999999986e-12
4.599999999999999645e+00 1.814409999999999940e-12
4.620000000000000107e+00 2.086889999999999805e-12
4.639999999999999680e+00 2.388490000000000054e-12
4.660000000000000142e+00 2.718069999999999948e-12
4.679999999999999716e+00 3.073809999999999804e-12
4.700000000000000178e+00 3.453290000000000122e-12
4.719999999999999751e+00 3.853500000000000089e-12
4.740000000000000213e+00 4.270929999999999857e-12
4.769999999999999574e+00 4.701629999999999627e-12
4.790000000000000036e+00 5.141290000000000199e-12
4.809999999999999609e+00 5.585420000000000246e-12
4.830000000000000071e+00 6.029369999999999783e-12
4.849999999999999645e+00 6.468480000000000323e-12
4.870000000000000107e+00 6.898170000000000282e-12
4.889999999999999680e+00 7.314030000000000087e-12
4.910000000000000142e+00 7.711909999999999196e-12
4.929999999999999716e+00 8.088090000000000527e-12
4.950000000000000178e+00 8.439130000000000614e-12
4.969999999999999751e+00 8.762180000000000535e-12
4.990000000000000213e+00 9.054559999999999336e-12
5.009999999999999787e+00 9.314409999999999284e-12
5.030000000000000249e+00 9.540210000000000200e-12
5.049999999999999822e+00 9.730959999999999968e-12
5.070000000000000284e+00 9.886129999999999598e-12
5.089999999999999858e+00 1.000559999999999929e-11
5.110000000000000320e+00 1.008980000000000008e-11
5.129999999999999893e+00 1.013929999999999982e-11
5.150000000000000355e+00 1.015520000000000019e-11
5.169999999999999929e+00 1.013880000000000038e-11
5.190000000000000391e+00 1.009169999999999990e-11
5.209999999999999964e+00 1.001570000000000063e-11
5.230000000000000426e+00 9.912739999999999623e-12
5.250000000000000000e+00 9.784839999999999734e-12
5.269999999999999574e+00 9.634149999999999697e-12
5.290000000000000036e+00 9.462830000000000786e-12
5.309999999999999609e+00 9.273100000000000140e-12
5.330000000000000071e+00 9.067129999999999958e-12
5.349999999999999645e+00 8.847039999999999429e-12
5.370000000000000107e+00 8.614910000000000498e-12
5.389999999999999680e+00 8.372730000000000009e-12
5.410000000000000142e+00 8.122430000000000560e-12
5.429999999999999716e+00 7.865790000000000555e-12
5.450000000000000178e+00 7.604479999999999521e-12
5.469999999999999751e+00 7.340089999999999271e-12
5.490000000000000213e+00 7.074069999999999967e-12
5.509999999999999787e+00 6.807750000000000350e-12
5.530000000000000249e+00 6.542309999999999817e-12
5.549999999999999822e+00 6.278850000000000049e-12
5.570000000000000284e+00 6.018349999999999695e-12
5.589999999999999858e+00 5.761649999999999789e-12
5.610000000000000320e+00 5.509500000000000303e-12
5.629999999999999893e+00 5.262550000000000028e-12
5.650000000000000355e+00 5.021359999999999922e-12
5.669999999999999929e+00 4.786389999999999763e-12
5.690000000000000391e+00 4.558009999999999881e-12
5.709999999999999964e+00 4.336529999999999900e-12
5.730000000000000426e+00 4.122180000000000112e-12
5.750000000000000000e+00 3.915150000000000337e-12
5.769999999999999574e+00 3.715519999999999904e-12
5.790000000000000036e+00 3.523379999999999876e-12
5.809999999999999609e+00 3.338739999999999968e-12
5.830000000000000071e+00 3.161549999999999993e-12
5.849999999999999645e+00 2.991769999999999883e-12
5.870000000000000107e+00 2.829310000000000189e-12
5.889999999999999680e+00 2.674049999999999900e-12
5.910000000000000142e+00 2.525840000000000070e-12
5.929999999999999716e+00 2.384520000000000022e-12
5.950000000000000178e+00 2.249910000000000053e-12
5.969999999999999751e+00 2.121830000000000058e-12
5.990000000000000213e+00 2.000069999999999979e-12
6.009999999999999787e+00 1.884429999999999878e-12
6.030000000000000249e+00 1.774699999999999900e-12
6.049999999999999822e+00 1.670660000000000073e-12
6.070000000000000284e+00 1.572079999999999901e-12
6.089999999999999858e+00 1.478749999999999934e-12
6.110000000000000320e+00 1.390459999999999914e-12
6.129999999999999893e+00 1.306979999999999950e-12
6.150000000000000355e+00 1.228099999999999987e-12
6.169999999999999929e+00 1.153609999999999969e-12
6.190000000000000391e+00 1.083309999999999955e-12
6.209999999999999964e+00 1.017009999999999925e-12
6.230000000000000426e+00 9.544939999999999918e-13
6.250000000000000000e+00 8.955860000000000373e-13
6.269999999999999574e+00 8.401040000000000117e-13
6.290000000000000036e+00 7.878710000000000262e-13
6.309999999999999609e+00 7.387150000000000487e-13
6.330000000000000071e+00 6.924750000000000357e-13
6.349999999999999645e+00 6.489970000000000466e-13
6.370000000000000107e+00 6.081289999999999829e-13
6.389999999999999680e+00 5.697259999999999495e-13
6.410000000000000142e+00 5.336550000000000116e-13
6.429999999999999716e+00 4.997830000000000324e-13
6.450000000000000178e+00 4.679850000000000501e-13
6.469999999999999751e+00 4.381439999999999756e-13
6.490000000000000213e+00 4.101470000000000092e-13
6.509999999999999787e+00 3.838879999999999996e-13
6.530000000000000249e+00 3.592629999999999910e-13
6.549999999999999822e+00 3.361770000000000225e-13
6.570000000000000284e+00 3.145399999999999906e-13
6.589999999999999858e+00 2.942650000000000088e-13
6.610000000000000320e+00 2.752699999999999974e-13
6.629999999999999893e+00 2.574770000000000145e-13
6.650000000000000355e+00 2.408150000000000195e-13
6.669999999999999929e+00 2.252139999999999934e-13
6.690000000000000391e+00 2.106090000000000016e-13
6.709999999999999964e+00 1.969389999999999952e-13
6.730000000000000426e+00 1.841459999999999910e-13
6.750000000000000000e+00 1.721769999999999892e-13
6.769999999999999574e+00 1.609779999999999932e-13
6.790000000000000036e+00 1.505040000000000017e-13
6.809999999999999609e+00 1.407079999999999948e-13
6.830000000000000071e+00 1.315469999999999897e-13
6.849999999999999645e+00 1.229819999999999903e-13
6.870000000000000107e+00 1.149749999999999973e-13
6.889999999999999680e+00 1.074900000000000044e-13
6.910000000000000142e+00 1.004939999999999957e-13
6.929999999999999716e+00 9.395680000000000613e-14
6.950000000000000178e+00 8.784819999999999518e-14
6.969999999999999751e+00 8.214160000000000615e-14
6.990000000000000213e+00 7.681000000000000290e-14
7.009999999999999787e+00 7.182980000000000610e-14
7.030000000000000249e+00 6.717839999999999525e-14
7.049999999999999822e+00 6.283460000000000067e-14
7.070000000000000284e+00 5.877830000000000613e-14
7.089999999999999858e+00 5.499099999999999762e-14
7.110000000000000320e+00 5.145530000000000290e-14
7.129999999999999893e+00 4.815470000000000129e-14
7.150000000000000355e+00 4.507400000000000312e-14
7.169999999999999929e+00 4.219869999999999996e-14
7.190000000000000391e+00 3.951560000000000178e-14
7.209999999999999964e+00 3.701199999999999794e-14
7.230000000000000426e+00 3.467599999999999785e-14
7.259999999999999787e+00 3.249680000000000220e-14
7.280000000000000249e+00 3.046409999999999739e-14
7.299999999999999822e+00 2.856820000000000064e-14
7.320000000000000284e+00 2.680000000000000003e-14
7.339999999999999858e+00 2.515120000000000053e-14
7.360000000000000320e+00 2.361399999999999914e-14
7.379999999999999893e+00 2.218080000000000102e-14
7.400000000000000355e+00 2.084490000000000075e-14
7.419999999999999929e+00 1.959970000000000016e-14
7.440000000000000391e+00 1.843930000000000126e-14
7.459999999999999964e+00 1.735809999999999939e-14
7.480000000000000426e+00 1.635070000000000120e-14
7.500000000000000000e+00 1.541219999999999907e-14
7.519999999999999574e+00 1.453809999999999853e-14
7.540000000000000036e+00 1.372410000000000069e-14
7.559999999999999609e+00 1.296619999999999995e-14
7.580000000000000071e+00 1.226049999999999954e-14
7.599999999999999645e+00 1.160370000000000039e-14
7.620000000000000107e+00 1.099239999999999931e-14
7.639999999999999680e+00 1.042350000000000066e-14
7.660000000000000142e+00 9.894280000000000313e-15
7.679999999999999716e+00 9.401999999999999343e-15
7.700000000000000178e+00 8.944200000000000463e-15
7.719999999999999751e+00 8.518530000000000786e-15
7.740000000000000213e+00 8.122819999999999726e-15
7.759999999999999787e+00 7.755049999999999669e-15
7.780000000000000249e+00 7.413330000000000103e-15
7.799999999999999822e+00 7.095869999999999871e-15
7.820000000000000284e+00 6.801039999999999772e-15
7.839999999999999858e+00 6.527289999999999613e-15
7.860000000000000320e+00 6.273179999999999908e-15
7.879999999999999893e+00 6.037359999999999953e-15
7.900000000000000355e+00 5.818579999999999976e-15
7.919999999999999929e+00 5.615679999999999775e-15
7.940000000000000391e+00 5.427549999999999615e-15
7.959999999999999964e+00 5.253170000000000122e-15
7.980000000000000426e+00 5.091600000000000141e-15
8.000000000000000000e+00 4.941939999999999993e-15
8.019999999999999574e+00 4.803339999999999674e-15
8.039999999999999147e+00 4.675040000000000330e-15
8.060000000000000497e+00 4.556329999999999630e-15
8.080000000000000071e+00 4.446549999999999649e-15
