# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.842559999999999956e-12
3.520000000000000018e+00 2.747010000000000025e-12
3.540000000000000036e+00 2.654410000000000198e-12
3.560000000000000053e+00 2.564660000000000100e-12
3.580000000000000071e+00 2.477680000000000000e-12
3.600000000000000089e+00 2.393420000000000115e-12
3.620000000000000107e+00 2.309889999999999965e-12
3.640000000000000124e+00 2.230870000000000167e-12
3.660000000000000142e+00 2.154299999999999817e-12
3.680000000000000160e+00 2.080110000000000110e-12
3.700000000000000178e+00 2.008239999999999933e-12
3.720000000000000195e+00 1.938609999999999956e-12
3.740000000000000213e+00 1.871150000000000160e-12
3.759999999999999787e+00 1.805859999999999941e-12
3.779999999999999805e+00 1.742589999999999949e-12
3.799999999999999822e+00 1.681319999999999948e-12
3.819999999999999840e+00 1.621979999999999921e-12
3.839999999999999858e+00 1.564529999999999999e-12
3.859999999999999876e+00 1.508910000000000080e-12
3.879999999999999893e+00 1.455069999999999979e-12
3.899999999999999911e+00 1.402979999999999945e-12
3.919999999999999929e+00 1.352479999999999908e-12
3.939999999999999947e+00 1.303640000000000088e-12
3.959999999999999964e+00 1.256390000000000062e-12
3.979999999999999982e+00 1.210680000000000047e-12
4.000000000000000000e+00 1.166440000000000026e-12
4.019999999999999574e+00 1.123640000000000047e-12
4.040000000000000036e+00 1.082249999999999958e-12
4.059999999999999609e+00 1.042230000000000094e-12
4.080000000000000071e+00 1.003560000000000017e-12
4.099999999999999645e+00 9.662319999999999566e-13
4.120000000000000107e+00 9.302509999999999708e-13
4.139999999999999680e+00 8.956350000000000505e-13
4.160000000000000142e+00 8.624299999999999915e-13
4.179999999999999716e+00 8.307149999999999596e-13
4.200000000000000178e+00 8.006099999999999581e-13
4.219999999999999751e+00 7.722999999999999505e-13
4.240000000000000213e+00 7.460519999999999799e-13
4.259999999999999787e+00 7.222389999999999884e-13
4.280000000000000249e+00 7.013900000000000032e-13
4.299999999999999822e+00 6.842290000000000322e-13
4.320000000000000284e+00 6.717449999999999816e-13
4.339999999999999858e+00 6.652600000000000350e-13
4.360000000000000320e+00 6.665220000000000149e-13
4.379999999999999893e+00 6.777960000000000131e-13
4.400000000000000355e+00 7.019620000000000133e-13
4.419999999999999929e+00 7.426050000000000452e-13
4.440000000000000391e+00 8.041020000000000204e-13
4.459999999999999964e+00 8.916580000000000160e-13
4.480000000000000426e+00 1.011340000000000010e-12
4.500000000000000000e+00 1.170079999999999998e-12
4.519999999999999574e+00 1.375329999999999957e-12
4.540000000000000036e+00 1.635470000000000098e-12
4.559999999999999609e+00 1.959040000000000102e-12
4.580000000000000071e+00 2.354759999999999955e-12
4.599999999999999645e+00 2.831129999999999873e-12
4.620000000000000107e+00 3.396110000000000157e-12
4.639999999999999680e+00 4.056769999999999889e-12
4.660000000000000142e+00 4.818970000000000013e-12
4.679999999999999716e+00 5.686889999999999813e-12
4.700000000000000178e+00 6.662839999999999910e-12
4.719999999999999751e+00 7.747019999999999437e-12
4.740000000000000213e+00 8.937380000000000031e-12
4.769999999999999574e+00 1.022929999999999964e-11
