# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.446919999999999938e-12
3.520000000000000018e+00 7.205929999999999770e-12
3.540000000000000036e+00 6.972160000000000051e-12
3.560000000000000053e+00 6.745410000000000032e-12
3.580000000000000071e+00 6.525460000000000348e-12
3.600000000000000089e+00 6.312129999999999681e-12
3.620000000000000107e+00 6.105239999999999944e-12
3.640000000000000124e+00 5.904599999999999700e-12
3.660000000000000142e+00 5.710030000000000056e-12
3.680000000000000160e+00 5.521369999999999929e-12
3.700000000000000178e+00 5.338439999999999617e-12
3.720000000000000195e+00 5.161079999999999653e-12
3.740000000000000213e+00 4.989139999999999883e-12
3.759999999999999787e+00 4.822449999999999914e-12
3.779999999999999805e+00 4.660869999999999708e-12
3.799999999999999822e+00 4.504249999999999917e-12
3.819999999999999840e+00 4.352449999999999695e-12
3.839999999999999858e+00 4.205339999999999931e-12
3.859999999999999876e+00 4.062779999999999779e-12
3.879999999999999893e+00 3.924630000000000009e-12
3.899999999999999911e+00 3.790819999999999795e-12
3.919999999999999929e+00 3.661069999999999868e-12
3.939999999999999947e+00 3.535419999999999894e-12
3.959999999999999964e+00 3.411500000000000155e-12
3.979999999999999982e+00 3.293719999999999823e-12
4.000000000000000000e+00 3.179659999999999802e-12
4.019999999999999574e+00 3.069220000000000123e-12
4.040000000000000036e+00 2.962350000000000196e-12
4.059999999999999609e+00 2.858960000000000169e-12
4.080000000000000071e+00 2.759069999999999875e-12
4.099999999999999645e+00 2.662729999999999904e-12
4.120000000000000107e+00 2.570039999999999821e-12
4.139999999999999680e+00 2.481210000000000087e-12
4.160000000000000142e+00 2.396539999999999803e-12
4.179999999999999716e+00 2.316489999999999957e-12
4.200000000000000178e+00 2.241689999999999912e-12
4.219999999999999751e+00 2.172939999999999827e-12
4.240000000000000213e+00 2.111330000000000052e-12
4.259999999999999787e+00 2.058160000000000189e-12
4.280000000000000249e+00 2.015009999999999913e-12
4.299999999999999822e+00 1.983879999999999822e-12
4.320000000000000284e+00 1.967040000000000068e-12
4.339999999999999858e+00 1.967150000000000155e-12
4.360000000000000320e+00 1.987330000000000176e-12
4.379999999999999893e+00 2.031210000000000187e-12
4.400000000000000355e+00 2.103060000000000128e-12
4.419999999999999929e+00 2.207890000000000198e-12
4.440000000000000391e+00 2.351560000000000130e-12
4.459999999999999964e+00 2.540979999999999943e-12
4.480000000000000426e+00 2.784230000000000143e-12
4.500000000000000000e+00 3.090730000000000099e-12
4.519999999999999574e+00 3.471340000000000030e-12
4.540000000000000036e+00 3.938340000000000362e-12
4.559999999999999609e+00 4.505520000000000375e-12
