# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.491699999999999874e-11
3.520000000000000018e+00 1.444860000000000045e-11
3.540000000000000036e+00 1.399390000000000078e-11
3.560000000000000053e+00 1.355249999999999986e-11
3.580000000000000071e+00 1.312410000000000059e-11
3.600000000000000089e+00 1.270829999999999988e-11
3.620000000000000107e+00 1.230480000000000064e-11
3.640000000000000124e+00 1.191319999999999976e-11
3.660000000000000142e+00 1.153320000000000017e-11
3.680000000000000160e+00 1.116449999999999994e-11
3.700000000000000178e+00 1.080670000000000079e-11
3.720000000000000195e+00 1.045949999999999920e-11
3.740000000000000213e+00 1.012269999999999927e-11
3.759999999999999787e+00 9.795919999999999723e-12
3.779999999999999805e+00 9.478910000000000047e-12
3.799999999999999822e+00 9.171410000000000398e-12
3.819999999999999840e+00 8.873120000000000465e-12
3.839999999999999858e+00 8.583800000000000643e-12
3.859999999999999876e+00 8.303189999999999479e-12
3.879999999999999893e+00 8.031050000000000600e-12
3.899999999999999911e+00 7.767130000000000247e-12
3.919999999999999929e+00 7.511210000000000667e-12
3.939999999999999947e+00 7.263070000000000070e-12
3.959999999999999964e+00 7.022500000000000016e-12
3.979999999999999982e+00 6.789330000000000112e-12
4.000000000000000000e+00 6.563389999999999966e-12
4.019999999999999574e+00 6.344569999999999894e-12
4.040000000000000036e+00 6.132849999999999662e-12
4.059999999999999609e+00 5.928289999999999976e-12
4.080000000000000071e+00 5.731110000000000204e-12
4.099999999999999645e+00 5.541760000000000006e-12
4.120000000000000107e+00 5.360990000000000162e-12
4.139999999999999680e+00 5.189940000000000401e-12
4.160000000000000142e+00 5.030260000000000015e-12
4.179999999999999716e+00 4.884240000000000199e-12
4.200000000000000178e+00 4.755020000000000069e-12
4.219999999999999751e+00 4.643439999999999852e-12
4.240000000000000213e+00 4.560679999999999909e-12
4.259999999999999787e+00 4.509579999999999855e-12
4.280000000000000249e+00 4.497249999999999644e-12
4.299999999999999822e+00 4.531990000000000362e-12
4.320000000000000284e+00 4.623020000000000227e-12
4.339999999999999858e+00 4.780589999999999929e-12
4.360000000000000320e+00 5.015729999999999672e-12
4.379999999999999893e+00 5.340050000000000051e-12
4.400000000000000355e+00 5.765570000000000039e-12
4.419999999999999929e+00 6.304409999999999791e-12
4.440000000000000391e+00 6.968690000000000268e-12
4.459999999999999964e+00 7.770189999999999226e-12
4.480000000000000426e+00 8.720320000000000550e-12
4.500000000000000000e+00 9.829870000000000806e-12
4.519999999999999574e+00 1.110870000000000011e-11
4.540000000000000036e+00 1.256620000000000031e-11
4.559999999999999609e+00 1.421049999999999968e-11
4.580000000000000071e+00 1.604849999999999892e-11
4.599999999999999645e+00 1.808629999999999898e-11
4.620000000000000107e+00 2.032789999999999863e-11
4.639999999999999680e+00 2.277609999999999864e-11
4.660000000000000142e+00 2.543149999999999963e-11
4.679999999999999716e+00 2.829249999999999885e-11
4.700000000000000178e+00 3.135489999999999840e-11
4.719999999999999751e+00 3.461180000000000242e-11
4.740000000000000213e+00 3.805300000000000032e-11
4.769999999999999574e+00 4.166539999999999733e-11
4.790000000000000036e+00 4.543190000000000314e-11
4.809999999999999609e+00 4.933270000000000041e-11
4.830000000000000071e+00 5.334430000000000081e-11
4.849999999999999645e+00 5.744009999999999715e-11
4.870000000000000107e+00 6.159099999999999959e-11
4.889999999999999680e+00 6.576540000000000329e-11
4.910000000000000142e+00 6.992999999999999788e-11
4.929999999999999716e+00 7.405040000000000363e-11
4.950000000000000178e+00 7.809129999999999947e-11
4.969999999999999751e+00 8.201809999999999360e-11
4.990000000000000213e+00 8.579660000000000542e-11
5.009999999999999787e+00 8.939430000000000169e-11
5.030000000000000249e+00 9.278070000000000511e-11
5.049999999999999822e+00 9.592770000000000210e-11
5.070000000000000284e+00 9.881049999999999705e-11
5.089999999999999858e+00 1.014079999999999976e-10
5.110000000000000320e+00 1.037020000000000054e-10
5.129999999999999893e+00 1.056779999999999994e-10
5.150000000000000355e+00 1.073270000000000058e-10
5.169999999999999929e+00 1.086420000000000034e-10
5.190000000000000391e+00 1.096219999999999964e-10
5.209999999999999964e+00 1.102680000000000063e-10
5.230000000000000426e+00 1.105829999999999944e-10
5.250000000000000000e+00 1.105769999999999946e-10
5.269999999999999574e+00 1.102600000000000023e-10
5.290000000000000036e+00 1.096449999999999998e-10
5.309999999999999609e+00 1.087479999999999950e-10
5.330000000000000071e+00 1.075849999999999961e-10
5.349999999999999645e+00 1.061749999999999978e-10
5.370000000000000107e+00 1.045369999999999953e-10
5.389999999999999680e+00 1.026920000000000007e-10
5.410000000000000142e+00 1.006600000000000045e-10
5.429999999999999716e+00 9.846209999999999906e-11
5.450000000000000178e+00 9.611810000000000178e-11
5.469999999999999751e+00 9.364869999999999374e-11
5.490000000000000213e+00 9.107350000000000609e-11
5.509999999999999787e+00 8.841120000000000278e-11
5.530000000000000249e+00 8.567990000000000209e-11
5.549999999999999822e+00 8.289679999999999388e-11
5.570000000000000284e+00 8.007800000000000513e-11
5.589999999999999858e+00 7.723829999999999734e-11
5.610000000000000320e+00 7.439150000000000103e-11
5.629999999999999893e+00 7.155030000000000623e-11
5.650000000000000355e+00 6.872630000000000130e-11
5.669999999999999929e+00 6.592969999999999361e-11
5.690000000000000391e+00 6.316980000000000090e-11
5.709999999999999964e+00 6.045480000000000045e-11
5.730000000000000426e+00 5.779189999999999975e-11
5.750000000000000000e+00 5.518719999999999814e-11
5.769999999999999574e+00 5.264589999999999886e-11
5.790000000000000036e+00 5.017250000000000174e-11
5.809999999999999609e+00 4.777039999999999848e-11
5.830000000000000071e+00 4.544250000000000231e-11
5.849999999999999645e+00 4.319089999999999765e-11
5.870000000000000107e+00 4.101730000000000295e-11
5.889999999999999680e+00 3.892250000000000182e-11
5.910000000000000142e+00 3.690679999999999941e-11
5.929999999999999716e+00 3.497050000000000089e-11
5.950000000000000178e+00 3.311300000000000239e-11
5.969999999999999751e+00 3.133370000000000006e-11
5.990000000000000213e+00 2.963129999999999956e-11
6.009999999999999787e+00 2.800450000000000007e-11
6.030000000000000249e+00 2.645200000000000078e-11
6.049999999999999822e+00 2.497190000000000025e-11
6.070000000000000284e+00 2.356220000000000072e-11
6.089999999999999858e+00 2.222090000000000117e-11
6.110000000000000320e+00 2.094590000000000105e-11
6.129999999999999893e+00 1.973509999999999979e-11
6.150000000000000355e+00 1.858620000000000092e-11
6.169999999999999929e+00 1.749679999999999871e-11
6.190000000000000391e+00 1.646469999999999951e-11
6.209999999999999964e+00 1.548760000000000037e-11
6.230000000000000426e+00 1.456320000000000160e-11
6.250000000000000000e+00 1.368920000000000028e-11
6.269999999999999574e+00 1.286339999999999949e-11
6.290000000000000036e+00 1.208360000000000074e-11
6.309999999999999609e+00 1.134760000000000064e-11
6.330000000000000071e+00 1.065339999999999982e-11
6.349999999999999645e+00 9.998880000000000708e-12
6.370000000000000107e+00 9.382099999999999776e-12
6.389999999999999680e+00 8.801140000000000200e-12
6.410000000000000142e+00 8.254170000000000562e-12
6.429999999999999716e+00 7.739420000000000156e-12
6.450000000000000178e+00 7.255160000000000359e-12
6.469999999999999751e+00 6.799779999999999931e-12
6.490000000000000213e+00 6.371709999999999716e-12
6.509999999999999787e+00 5.969470000000000008e-12
6.530000000000000249e+00 5.591570000000000175e-12
6.549999999999999822e+00 5.236689999999999974e-12
6.570000000000000284e+00 4.903520000000000092e-12
6.589999999999999858e+00 4.590819999999999617e-12
6.610000000000000320e+00 4.297399999999999844e-12
6.629999999999999893e+00 4.022159999999999898e-12
6.650000000000000355e+00 3.764030000000000068e-12
6.669999999999999929e+00 3.522000000000000139e-12
6.690000000000000391e+00 3.295110000000000083e-12
6.709999999999999964e+00 3.082469999999999890e-12
6.730000000000000426e+00 2.883230000000000024e-12
6.750000000000000000e+00 2.696570000000000091e-12
6.769999999999999574e+00 2.521719999999999881e-12
6.790000000000000036e+00 2.357980000000000016e-12
6.809999999999999609e+00 2.204660000000000019e-12
6.830000000000000071e+00 2.061120000000000006e-12
6.849999999999999645e+00 1.926750000000000045e-12
6.870000000000000107e+00 1.801000000000000101e-12
6.889999999999999680e+00 1.683319999999999940e-12
6.910000000000000142e+00 1.573209999999999917e-12
6.929999999999999716e+00 1.470199999999999935e-12
6.950000000000000178e+00 1.373830000000000014e-12
6.969999999999999751e+00 1.283700000000000074e-12
6.990000000000000213e+00 1.199399999999999918e-12
7.009999999999999787e+00 1.120569999999999940e-12
7.030000000000000249e+00 1.046860000000000045e-12
7.049999999999999822e+00 9.779440000000000585e-13
7.070000000000000284e+00 9.135170000000000141e-13
7.089999999999999858e+00 8.532899999999999921e-13
7.110000000000000320e+00 7.970180000000000275e-13
7.129999999999999893e+00 7.444059999999999686e-13
7.150000000000000355e+00 6.952369999999999587e-13
7.169999999999999929e+00 6.492929999999999678e-13
7.190000000000000391e+00 6.063640000000000404e-13
7.209999999999999964e+00 5.662559999999999653e-13
7.230000000000000426e+00 5.287849999999999526e-13
7.259999999999999787e+00 4.937810000000000141e-13
7.280000000000000249e+00 4.610839999999999768e-13
7.299999999999999822e+00 4.305430000000000164e-13
7.320000000000000284e+00 4.020170000000000226e-13
7.339999999999999858e+00 3.753759999999999749e-13
7.360000000000000320e+00 3.504970000000000059e-13
7.379999999999999893e+00 3.272650000000000197e-13
7.400000000000000355e+00 3.055720000000000231e-13
7.419999999999999929e+00 2.853170000000000251e-13
7.440000000000000391e+00 2.664070000000000078e-13
7.459999999999999964e+00 2.487529999999999903e-13
7.480000000000000426e+00 2.322729999999999939e-13
7.500000000000000000e+00 2.168909999999999944e-13
7.519999999999999574e+00 2.025340000000000082e-13
7.540000000000000036e+00 1.891360000000000031e-13
7.559999999999999609e+00 1.766319999999999940e-13
7.580000000000000071e+00 1.649649999999999943e-13
7.599999999999999645e+00 1.540789999999999890e-13
7.620000000000000107e+00 1.439239999999999934e-13
7.639999999999999680e+00 1.344499999999999976e-13
7.660000000000000142e+00 1.256139999999999937e-13
7.679999999999999716e+00 1.173729999999999988e-13
7.700000000000000178e+00 1.096880000000000043e-13
7.719999999999999751e+00 1.025230000000000040e-13
7.740000000000000213e+00 9.584250000000000283e-14
7.759999999999999787e+00 8.961519999999999411e-14
7.780000000000000249e+00 8.381139999999999869e-14
7.799999999999999822e+00 7.840279999999999991e-14
7.820000000000000284e+00 7.336350000000000339e-14
7.839999999999999858e+00 6.866900000000000255e-14
7.860000000000000320e+00 6.429670000000000208e-14
7.879999999999999893e+00 6.022500000000000339e-14
7.900000000000000355e+00 5.643430000000000117e-14
7.919999999999999929e+00 5.290589999999999851e-14
7.940000000000000391e+00 4.962239999999999791e-14
7.959999999999999964e+00 4.656760000000000041e-14
7.980000000000000426e+00 4.372639999999999834e-14
8.000000000000000000e+00 4.108459999999999868e-14
8.019999999999999574e+00 3.862899999999999878e-14
8.039999999999999147e+00 3.634710000000000246e-14
8.060000000000000497e+00 3.422759999999999948e-14
8.080000000000000071e+00 3.225970000000000314e-14
8.099999999999999645e+00 3.043299999999999891e-14
8.119999999999999218e+00 2.873620000000000179e-14
8.140000000000000568e+00 2.716449999999999876e-14
8.160000000000000142e+00 2.570780000000000015e-14
8.179999999999999716e+00 2.435849999999999852e-14
8.199999999999999289e+00 2.310929999999999865e-14
8.220000000000000639e+00 2.195370000000000015e-14
8.240000000000000213e+00 2.088519999999999945e-14
8.259999999999999787e+00 1.989810000000000043e-14
8.279999999999999361e+00 1.898689999999999935e-14
8.300000000000000711e+00 1.814649999999999934e-14
8.320000000000000284e+00 1.737199999999999908e-14
8.339999999999999858e+00 1.665899999999999874e-14
8.359999999999999432e+00 1.600340000000000126e-14
8.380000000000000782e+00 1.540129999999999883e-14
8.400000000000000355e+00 1.484900000000000128e-14
8.419999999999999929e+00 1.434309999999999911e-14
8.439999999999999503e+00 1.388040000000000049e-14
8.460000000000000853e+00 1.345800000000000056e-14
8.480000000000000426e+00 1.307299999999999924e-14
8.500000000000000000e+00 1.272290000000000012e-14
