# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.512880000000000012e-11
3.520000000000000018e+00 2.435369999999999871e-11
3.540000000000000036e+00 2.360109999999999967e-11
3.560000000000000053e+00 2.287020000000000003e-11
3.580000000000000071e+00 2.216060000000000152e-11
3.600000000000000089e+00 2.147160000000000072e-11
3.620000000000000107e+00 2.080269999999999980e-11
3.640000000000000124e+00 2.015330000000000138e-11
3.660000000000000142e+00 1.952280000000000159e-11
3.680000000000000160e+00 1.891079999999999895e-11
3.700000000000000178e+00 1.831669999999999929e-11
3.720000000000000195e+00 1.774000000000000155e-11
3.740000000000000213e+00 1.718020000000000145e-11
3.759999999999999787e+00 1.663690000000000073e-11
3.779999999999999805e+00 1.610960000000000155e-11
3.799999999999999822e+00 1.559789999999999920e-11
3.819999999999999840e+00 1.510119999999999951e-11
3.839999999999999858e+00 1.461930000000000012e-11
3.859999999999999876e+00 1.415169999999999997e-11
3.879999999999999893e+00 1.369789999999999962e-11
3.899999999999999911e+00 1.325760000000000038e-11
3.919999999999999929e+00 1.283050000000000031e-11
3.939999999999999947e+00 1.241609999999999997e-11
3.959999999999999964e+00 1.201410000000000068e-11
3.979999999999999982e+00 1.162420000000000049e-11
4.000000000000000000e+00 1.124610000000000072e-11
4.019999999999999574e+00 1.087939999999999987e-11
4.040000000000000036e+00 1.052399999999999999e-11
4.059999999999999609e+00 1.017979999999999990e-11
4.080000000000000071e+00 9.846729999999999585e-12
4.099999999999999645e+00 9.525030000000000259e-12
4.120000000000000107e+00 9.215179999999999514e-12
4.139999999999999680e+00 8.918039999999999429e-12
4.160000000000000142e+00 8.635019999999999692e-12
4.179999999999999716e+00 8.368230000000000179e-12
4.200000000000000178e+00 8.120610000000000069e-12
4.219999999999999751e+00 7.896229999999999767e-12
4.240000000000000213e+00 7.700399999999999783e-12
4.259999999999999787e+00 7.539869999999999860e-12
4.280000000000000249e+00 7.422970000000000631e-12
4.299999999999999822e+00 7.359739999999999496e-12
4.320000000000000284e+00 7.361910000000000081e-12
4.339999999999999858e+00 7.442910000000000241e-12
4.360000000000000320e+00 7.617330000000000219e-12
4.379999999999999893e+00 7.901540000000000277e-12
4.400000000000000355e+00 8.308850000000000083e-12
4.419999999999999929e+00 8.863999999999999389e-12
4.440000000000000391e+00 9.580620000000000025e-12
4.459999999999999964e+00 1.047569999999999988e-11
4.480000000000000426e+00 1.156480000000000016e-11
4.500000000000000000e+00 1.286200000000000073e-11
4.519999999999999574e+00 1.437929999999999953e-11
4.540000000000000036e+00 1.612579999999999900e-11
4.559999999999999609e+00 1.810760000000000011e-11
4.580000000000000071e+00 2.032730000000000124e-11
4.599999999999999645e+00 2.278399999999999985e-11
4.620000000000000107e+00 2.547249999999999915e-11
4.639999999999999680e+00 2.838410000000000140e-11
4.660000000000000142e+00 3.150600000000000086e-11
4.679999999999999716e+00 3.482150000000000223e-11
4.700000000000000178e+00 3.831020000000000048e-11
4.719999999999999751e+00 4.194870000000000037e-11
4.740000000000000213e+00 4.571069999999999989e-11
4.769999999999999574e+00 4.956689999999999713e-11
4.790000000000000036e+00 5.348619999999999801e-11
4.809999999999999609e+00 5.743610000000000161e-11
4.830000000000000071e+00 6.138310000000000489e-11
4.849999999999999645e+00 6.529320000000000051e-11
4.870000000000000107e+00 6.913259999999999968e-11
4.889999999999999680e+00 7.286830000000000365e-11
4.910000000000000142e+00 7.646880000000000067e-11
4.929999999999999716e+00 7.990399999999999880e-11
4.950000000000000178e+00 8.314630000000000166e-11
4.969999999999999751e+00 8.617059999999999554e-11
4.990000000000000213e+00 8.895489999999999853e-11
5.009999999999999787e+00 9.148000000000000360e-11
5.030000000000000249e+00 9.373050000000000012e-11
5.049999999999999822e+00 9.569400000000000321e-11
5.070000000000000284e+00 9.736180000000000545e-11
5.089999999999999858e+00 9.872839999999999844e-11
5.110000000000000320e+00 9.979169999999999776e-11
5.129999999999999893e+00 1.005530000000000042e-10
5.150000000000000355e+00 1.010149999999999996e-10
5.169999999999999929e+00 1.011860000000000061e-10
5.190000000000000391e+00 1.010730000000000060e-10
5.209999999999999964e+00 1.006889999999999947e-10
5.230000000000000426e+00 1.000459999999999976e-10
5.250000000000000000e+00 9.915880000000000194e-11
5.269999999999999574e+00 9.804230000000000119e-11
5.290000000000000036e+00 9.671360000000000505e-11
5.309999999999999609e+00 9.518979999999999734e-11
5.330000000000000071e+00 9.348859999999999809e-11
5.349999999999999645e+00 9.162799999999999368e-11
5.370000000000000107e+00 8.962570000000000412e-11
5.389999999999999680e+00 8.749939999999999772e-11
5.410000000000000142e+00 8.526630000000000312e-11
5.429999999999999716e+00 8.294310000000000591e-11
5.450000000000000178e+00 8.054589999999999428e-11
5.469999999999999751e+00 7.808990000000000555e-11
5.490000000000000213e+00 7.558970000000000213e-11
5.509999999999999787e+00 7.305899999999999555e-11
5.530000000000000249e+00 7.051039999999999569e-11
