# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.829319999999999682e-11
3.520000000000000018e+00 3.712750000000000310e-11
3.540000000000000036e+00 3.599519999999999994e-11
3.560000000000000053e+00 3.489539999999999770e-11
3.580000000000000071e+00 3.382729999999999986e-11
3.600000000000000089e+00 3.278999999999999740e-11
3.620000000000000107e+00 3.178260000000000071e-11
3.640000000000000124e+00 3.080420000000000076e-11
3.660000000000000142e+00 2.985410000000000059e-11
3.680000000000000160e+00 2.893160000000000003e-11
3.700000000000000178e+00 2.803570000000000018e-11
3.720000000000000195e+00 2.716589999999999999e-11
3.740000000000000213e+00 2.632139999999999970e-11
3.759999999999999787e+00 2.550139999999999956e-11
3.779999999999999805e+00 2.470529999999999895e-11
3.799999999999999822e+00 2.393250000000000046e-11
3.819999999999999840e+00 2.318220000000000112e-11
3.839999999999999858e+00 2.245399999999999944e-11
3.859999999999999876e+00 2.174699999999999932e-11
3.879999999999999893e+00 2.106079999999999928e-11
3.899999999999999911e+00 2.039479999999999868e-11
3.919999999999999929e+00 1.974840000000000014e-11
3.939999999999999947e+00 1.912109999999999937e-11
3.959999999999999964e+00 1.851229999999999898e-11
3.979999999999999982e+00 1.792150000000000113e-11
4.000000000000000000e+00 1.734830000000000111e-11
4.019999999999999574e+00 1.679199999999999873e-11
4.040000000000000036e+00 1.625229999999999851e-11
4.059999999999999609e+00 1.572879999999999898e-11
4.080000000000000071e+00 1.522089999999999949e-11
4.099999999999999645e+00 1.472850000000000050e-11
4.120000000000000107e+00 1.425120000000000051e-11
4.139999999999999680e+00 1.378899999999999951e-11
4.160000000000000142e+00 1.334219999999999943e-11
4.179999999999999716e+00 1.291150000000000047e-11
4.200000000000000178e+00 1.249820000000000020e-11
4.219999999999999751e+00 1.210480000000000069e-11
4.240000000000000213e+00 1.173509999999999995e-11
4.259999999999999787e+00 1.139490000000000025e-11
4.280000000000000249e+00 1.109300000000000049e-11
4.299999999999999822e+00 1.084109999999999992e-11
4.320000000000000284e+00 1.065550000000000039e-11
4.339999999999999858e+00 1.055749999999999980e-11
4.360000000000000320e+00 1.057410000000000035e-11
4.379999999999999893e+00 1.073899999999999938e-11
4.400000000000000355e+00 1.109249999999999944e-11
4.419999999999999929e+00 1.168220000000000045e-11
4.440000000000000391e+00 1.256210000000000036e-11
4.459999999999999964e+00 1.379210000000000057e-11
4.480000000000000426e+00 1.543680000000000143e-11
4.500000000000000000e+00 1.756380000000000156e-11
4.519999999999999574e+00 2.024120000000000063e-11
4.540000000000000036e+00 2.353550000000000044e-11
4.559999999999999609e+00 2.750499999999999963e-11
4.580000000000000071e+00 3.221210000000000165e-11
4.599999999999999645e+00 3.769740000000000131e-11
4.620000000000000107e+00 4.399239999999999741e-11
4.639999999999999680e+00 5.111400000000000051e-11
4.660000000000000142e+00 5.906269999999999551e-11
4.679999999999999716e+00 6.782049999999999601e-11
4.700000000000000178e+00 7.735109999999999824e-11
4.719999999999999751e+00 8.760050000000000422e-11
4.740000000000000213e+00 9.849719999999999514e-11
4.769999999999999574e+00 1.099530000000000054e-10
4.790000000000000036e+00 1.218669999999999887e-10
4.809999999999999609e+00 1.341259999999999978e-10
4.830000000000000071e+00 1.466069999999999984e-10
