# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.922399999999999887e-11
3.520000000000000018e+00 5.747330000000000149e-11
3.540000000000000036e+00 5.577179999999999708e-11
3.560000000000000053e+00 5.411829999999999731e-11
3.580000000000000071e+00 5.251130000000000224e-11
3.600000000000000089e+00 5.094969999999999726e-11
3.620000000000000107e+00 4.943230000000000051e-11
3.640000000000000124e+00 4.795769999999999870e-11
3.660000000000000142e+00 4.652500000000000219e-11
3.680000000000000160e+00 4.513279999999999768e-11
3.700000000000000178e+00 4.378010000000000245e-11
3.720000000000000195e+00 4.246590000000000144e-11
3.740000000000000213e+00 4.118899999999999988e-11
3.759999999999999787e+00 3.994850000000000169e-11
3.779999999999999805e+00 3.874329999999999870e-11
3.799999999999999822e+00 3.757260000000000088e-11
3.819999999999999840e+00 3.643520000000000049e-11
3.839999999999999858e+00 3.533040000000000059e-11
3.859999999999999876e+00 3.425729999999999863e-11
3.879999999999999893e+00 3.321489999999999896e-11
3.899999999999999911e+00 3.220239999999999857e-11
3.919999999999999929e+00 3.121910000000000053e-11
3.939999999999999947e+00 3.026400000000000271e-11
3.959999999999999964e+00 2.933650000000000126e-11
3.979999999999999982e+00 2.843579999999999966e-11
4.000000000000000000e+00 2.756110000000000138e-11
4.019999999999999574e+00 2.671199999999999846e-11
4.040000000000000036e+00 2.588780000000000042e-11
4.059999999999999609e+00 2.508829999999999842e-11
4.080000000000000071e+00 2.431320000000000024e-11
4.099999999999999645e+00 2.356290000000000091e-11
4.120000000000000107e+00 2.283810000000000060e-11
4.139999999999999680e+00 2.214070000000000077e-11
4.160000000000000142e+00 2.147359999999999849e-11
4.179999999999999716e+00 2.084120000000000050e-11
4.200000000000000178e+00 2.025020000000000029e-11
4.219999999999999751e+00 1.971009999999999858e-11
4.240000000000000213e+00 1.923360000000000157e-11
4.259999999999999787e+00 1.883760000000000043e-11
4.280000000000000249e+00 1.854320000000000039e-11
4.299999999999999822e+00 1.837689999999999937e-11
4.320000000000000284e+00 1.837029999999999898e-11
4.339999999999999858e+00 1.856020000000000083e-11
4.360000000000000320e+00 1.898850000000000053e-11
4.379999999999999893e+00 1.970140000000000085e-11
4.400000000000000355e+00 2.074820000000000079e-11
4.419999999999999929e+00 2.218029999999999991e-11
4.440000000000000391e+00 2.404930000000000013e-11
4.459999999999999964e+00 2.640489999999999869e-11
4.480000000000000426e+00 2.929300000000000291e-11
4.500000000000000000e+00 3.275350000000000094e-11
4.519999999999999574e+00 3.681820000000000320e-11
4.540000000000000036e+00 4.150869999999999982e-11
4.559999999999999609e+00 4.683519999999999818e-11
4.580000000000000071e+00 5.279449999999999925e-11
4.599999999999999645e+00 5.937050000000000193e-11
4.620000000000000107e+00 6.653220000000000523e-11
4.639999999999999680e+00 7.423549999999999402e-11
4.660000000000000142e+00 8.242339999999999632e-11
4.679999999999999716e+00 9.102650000000000356e-11
4.700000000000000178e+00 9.996460000000000240e-11
4.719999999999999751e+00 1.091510000000000013e-10
4.740000000000000213e+00 1.184910000000000047e-10
4.769999999999999574e+00 1.278870000000000103e-10
4.790000000000000036e+00 1.372390000000000004e-10
4.809999999999999609e+00 1.464489999999999872e-10
4.830000000000000071e+00 1.554190000000000089e-10
4.849999999999999645e+00 1.640589999999999915e-10
4.870000000000000107e+00 1.722819999999999899e-10
4.889999999999999680e+00 1.800109999999999898e-10
4.910000000000000142e+00 1.871790000000000109e-10
4.929999999999999716e+00 1.937260000000000039e-10
4.950000000000000178e+00 1.996050000000000050e-10
4.969999999999999751e+00 2.047779999999999984e-10
4.990000000000000213e+00 2.092189999999999938e-10
5.009999999999999787e+00 2.129099999999999917e-10
5.030000000000000249e+00 2.158460000000000010e-10
5.049999999999999822e+00 2.180310000000000043e-10
5.070000000000000284e+00 2.194750000000000098e-10
