# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.932829999999999995e-11
3.520000000000000018e+00 7.699529999999999363e-11
3.540000000000000036e+00 7.472759999999999432e-11
3.560000000000000053e+00 7.252359999999999604e-11
3.580000000000000071e+00 7.038149999999999368e-11
3.600000000000000089e+00 6.829969999999999421e-11
3.620000000000000107e+00 6.627640000000000545e-11
3.640000000000000124e+00 6.431019999999999471e-11
3.660000000000000142e+00 6.239940000000000168e-11
3.680000000000000160e+00 6.054250000000000057e-11
3.700000000000000178e+00 5.873820000000000350e-11
3.720000000000000195e+00 5.698479999999999847e-11
3.740000000000000213e+00 5.528120000000000319e-11
3.759999999999999787e+00 5.362579999999999875e-11
3.779999999999999805e+00 5.201739999999999684e-11
3.799999999999999822e+00 5.045480000000000267e-11
3.819999999999999840e+00 4.893660000000000294e-11
3.839999999999999858e+00 4.746160000000000286e-11
3.859999999999999876e+00 4.602870000000000076e-11
3.879999999999999893e+00 4.463670000000000184e-11
3.899999999999999911e+00 4.328439999999999841e-11
3.919999999999999929e+00 4.197090000000000082e-11
3.939999999999999947e+00 4.069490000000000182e-11
3.959999999999999964e+00 3.945559999999999841e-11
3.979999999999999982e+00 3.825190000000000183e-11
4.000000000000000000e+00 3.708269999999999748e-11
4.019999999999999574e+00 3.594730000000000133e-11
4.040000000000000036e+00 3.484449999999999920e-11
4.059999999999999609e+00 3.377360000000000060e-11
4.080000000000000071e+00 3.273359999999999696e-11
4.099999999999999645e+00 3.172369999999999820e-11
4.120000000000000107e+00 3.074310000000000135e-11
4.139999999999999680e+00 2.979089999999999739e-11
4.160000000000000142e+00 2.886629999999999949e-11
4.179999999999999716e+00 2.796870000000000057e-11
4.200000000000000178e+00 2.709720000000000130e-11
4.219999999999999751e+00 2.625120000000000107e-11
4.240000000000000213e+00 2.542980000000000055e-11
4.259999999999999787e+00 2.463249999999999869e-11
4.280000000000000249e+00 2.385859999999999852e-11
4.299999999999999822e+00 2.310730000000000030e-11
4.320000000000000284e+00 2.237809999999999973e-11
4.339999999999999858e+00 2.167039999999999943e-11
4.360000000000000320e+00 2.098349999999999919e-11
4.379999999999999893e+00 2.031700000000000077e-11
4.400000000000000355e+00 1.967010000000000118e-11
