# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.289909999999999943e-10
3.520000000000000018e+00 1.252269999999999906e-10
3.540000000000000036e+00 1.215689999999999914e-10
3.560000000000000053e+00 1.180120000000000057e-10
3.580000000000000071e+00 1.145549999999999989e-10
3.600000000000000089e+00 1.111949999999999970e-10
3.620000000000000107e+00 1.079280000000000046e-10
3.640000000000000124e+00 1.047530000000000001e-10
3.660000000000000142e+00 1.016669999999999964e-10
3.680000000000000160e+00 9.866789999999999642e-11
3.700000000000000178e+00 9.575280000000000615e-11
3.720000000000000195e+00 9.291960000000000243e-11
3.740000000000000213e+00 9.016620000000000085e-11
3.759999999999999787e+00 8.749030000000000496e-11
3.779999999999999805e+00 8.488989999999999758e-11
3.799999999999999822e+00 8.236300000000000034e-11
3.819999999999999840e+00 7.990739999999999695e-11
3.839999999999999858e+00 7.752129999999999523e-11
3.859999999999999876e+00 7.520279999999999698e-11
3.879999999999999893e+00 7.295000000000000400e-11
3.899999999999999911e+00 7.076109999999999825e-11
3.919999999999999929e+00 6.863449999999999961e-11
3.939999999999999947e+00 6.656829999999999697e-11
3.959999999999999964e+00 6.456089999999999726e-11
3.979999999999999982e+00 6.261080000000000055e-11
4.000000000000000000e+00 6.071640000000000087e-11
4.019999999999999574e+00 5.887599999999999914e-11
4.040000000000000036e+00 5.708840000000000058e-11
4.059999999999999609e+00 5.535189999999999965e-11
4.080000000000000071e+00 5.366520000000000200e-11
4.099999999999999645e+00 5.202700000000000035e-11
4.120000000000000107e+00 5.043580000000000124e-11
4.139999999999999680e+00 4.889050000000000296e-11
4.160000000000000142e+00 4.738969999999999870e-11
4.179999999999999716e+00 4.593220000000000011e-11
4.200000000000000178e+00 4.451669999999999993e-11
4.219999999999999751e+00 4.314230000000000207e-11
4.240000000000000213e+00 4.180759999999999969e-11
4.259999999999999787e+00 4.051170000000000316e-11
4.280000000000000249e+00 3.925339999999999832e-11
4.299999999999999822e+00 3.803170000000000242e-11
4.320000000000000284e+00 3.684560000000000044e-11
4.339999999999999858e+00 3.569410000000000317e-11
4.360000000000000320e+00 3.457620000000000205e-11
4.379999999999999893e+00 3.349100000000000098e-11
4.400000000000000355e+00 3.243759999999999741e-11
4.419999999999999929e+00 3.141510000000000172e-11
4.440000000000000391e+00 3.042259999999999842e-11
4.459999999999999964e+00 2.945929999999999747e-11
4.480000000000000426e+00 2.852449999999999867e-11
4.500000000000000000e+00 2.761719999999999990e-11
4.519999999999999574e+00 2.673670000000000097e-11
4.540000000000000036e+00 2.588229999999999847e-11
4.559999999999999609e+00 2.505329999999999867e-11
4.580000000000000071e+00 2.424889999999999859e-11
4.599999999999999645e+00 2.346850000000000082e-11
4.620000000000000107e+00 2.271139999999999873e-11
4.639999999999999680e+00 2.197710000000000094e-11
4.660000000000000142e+00 2.126509999999999993e-11
4.679999999999999716e+00 2.057490000000000112e-11
4.700000000000000178e+00 1.990619999999999933e-11
4.719999999999999751e+00 1.925879999999999868e-11
4.740000000000000213e+00 1.863290000000000152e-11
4.769999999999999574e+00 1.802870000000000052e-11
4.790000000000000036e+00 1.744689999999999910e-11
4.809999999999999609e+00 1.688859999999999894e-11
4.830000000000000071e+00 1.635529999999999999e-11
4.849999999999999645e+00 1.584900000000000002e-11
4.870000000000000107e+00 1.537230000000000065e-11
4.889999999999999680e+00 1.492850000000000046e-11
4.910000000000000142e+00 1.452140000000000071e-11
4.929999999999999716e+00 1.415509999999999973e-11
4.950000000000000178e+00 1.383460000000000004e-11
4.969999999999999751e+00 1.356470000000000015e-11
4.990000000000000213e+00 1.335079999999999921e-11
5.009999999999999787e+00 1.319789999999999973e-11
5.030000000000000249e+00 1.311099999999999937e-11
5.049999999999999822e+00 1.309440000000000043e-11
5.070000000000000284e+00 1.315200000000000050e-11
5.089999999999999858e+00 1.328630000000000004e-11
5.110000000000000320e+00 1.349890000000000017e-11
5.129999999999999893e+00 1.379020000000000075e-11
5.150000000000000355e+00 1.415910000000000012e-11
5.169999999999999929e+00 1.460280000000000074e-11
5.190000000000000391e+00 1.511740000000000019e-11
5.209999999999999964e+00 1.569710000000000104e-11
5.230000000000000426e+00 1.633510000000000054e-11
5.250000000000000000e+00 1.702330000000000159e-11
5.269999999999999574e+00 1.775249999999999893e-11
5.290000000000000036e+00 1.851270000000000047e-11
5.309999999999999609e+00 1.929349999999999973e-11
5.330000000000000071e+00 2.008350000000000101e-11
5.349999999999999645e+00 2.087240000000000061e-11
5.370000000000000107e+00 2.164930000000000066e-11
5.389999999999999680e+00 2.240359999999999877e-11
5.410000000000000142e+00 2.312560000000000155e-11
5.429999999999999716e+00 2.380639999999999921e-11
5.450000000000000178e+00 2.443800000000000068e-11
5.469999999999999751e+00 2.501359999999999996e-11
5.490000000000000213e+00 2.552770000000000158e-11
5.509999999999999787e+00 2.597589999999999880e-11
5.530000000000000249e+00 2.635550000000000013e-11
5.549999999999999822e+00 2.666489999999999960e-11
5.570000000000000284e+00 2.690410000000000044e-11
5.589999999999999858e+00 2.707430000000000067e-11
5.610000000000000320e+00 2.717820000000000146e-11
5.629999999999999893e+00 2.721949999999999968e-11
5.650000000000000355e+00 2.720319999999999944e-11
5.669999999999999929e+00 2.713499999999999858e-11
5.690000000000000391e+00 2.702160000000000029e-11
5.709999999999999964e+00 2.687019999999999914e-11
5.730000000000000426e+00 2.668809999999999894e-11
5.750000000000000000e+00 2.648310000000000133e-11
5.769999999999999574e+00 2.626269999999999956e-11
5.790000000000000036e+00 2.603410000000000112e-11
5.809999999999999609e+00 2.580409999999999907e-11
5.830000000000000071e+00 2.557860000000000008e-11
5.849999999999999645e+00 2.536280000000000094e-11
5.870000000000000107e+00 2.516099999999999911e-11
5.889999999999999680e+00 2.497630000000000052e-11
5.910000000000000142e+00 2.481089999999999882e-11
5.929999999999999716e+00 2.466540000000000110e-11
5.950000000000000178e+00 2.454019999999999917e-11
5.969999999999999751e+00 2.443430000000000061e-11
5.990000000000000213e+00 2.434549999999999880e-11
6.009999999999999787e+00 2.427119999999999860e-11
6.030000000000000249e+00 2.420799999999999863e-11
6.049999999999999822e+00 2.415219999999999881e-11
6.070000000000000284e+00 2.409949999999999844e-11
6.089999999999999858e+00 2.404579999999999918e-11
6.110000000000000320e+00 2.398670000000000078e-11
6.129999999999999893e+00 2.391789999999999929e-11
6.150000000000000355e+00 2.383539999999999919e-11
6.169999999999999929e+00 2.373550000000000039e-11
6.190000000000000391e+00 2.361480000000000152e-11
6.209999999999999964e+00 2.347049999999999859e-11
6.230000000000000426e+00 2.330009999999999924e-11
6.250000000000000000e+00 2.310180000000000159e-11
6.269999999999999574e+00 2.287440000000000116e-11
6.290000000000000036e+00 2.261689999999999908e-11
6.309999999999999609e+00 2.232890000000000031e-11
6.330000000000000071e+00 2.201099999999999901e-11
6.349999999999999645e+00 2.166369999999999947e-11
6.370000000000000107e+00 2.128800000000000057e-11
6.389999999999999680e+00 2.088529999999999947e-11
6.410000000000000142e+00 2.045740000000000126e-11
6.429999999999999716e+00 2.000610000000000136e-11
6.450000000000000178e+00 1.953379999999999902e-11
6.469999999999999751e+00 1.904249999999999848e-11
6.490000000000000213e+00 1.853490000000000092e-11
6.509999999999999787e+00 1.801329999999999959e-11
6.530000000000000249e+00 1.748019999999999977e-11
6.549999999999999822e+00 1.693810000000000030e-11
6.570000000000000284e+00 1.638930000000000086e-11
6.589999999999999858e+00 1.583630000000000028e-11
6.610000000000000320e+00 1.528129999999999871e-11
6.629999999999999893e+00 1.472630000000000037e-11
6.650000000000000355e+00 1.417339999999999936e-11
6.669999999999999929e+00 1.362450000000000036e-11
6.690000000000000391e+00 1.308119999999999963e-11
6.709999999999999964e+00 1.254500000000000036e-11
6.730000000000000426e+00 1.201750000000000044e-11
6.750000000000000000e+00 1.149979999999999993e-11
6.769999999999999574e+00 1.099300000000000052e-11
6.790000000000000036e+00 1.049799999999999990e-11
6.809999999999999609e+00 1.001580000000000020e-11
6.830000000000000071e+00 9.546869999999999689e-12
6.849999999999999645e+00 9.091829999999999237e-12
6.870000000000000107e+00 8.651109999999999879e-12
6.889999999999999680e+00 8.225039999999999858e-12
6.910000000000000142e+00 7.813340000000000713e-12
6.929999999999999716e+00 7.416969999999999243e-12
6.950000000000000178e+00 7.035559999999999962e-12
6.969999999999999751e+00 6.669119999999999759e-12
6.990000000000000213e+00 6.317549999999999874e-12
