# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.602460000000000068e-10
3.520000000000000018e+00 1.555949999999999936e-10
3.540000000000000036e+00 1.510740000000000100e-10
3.560000000000000053e+00 1.466789999999999957e-10
3.580000000000000071e+00 1.424059999999999940e-10
3.600000000000000089e+00 1.382520000000000050e-10
3.620000000000000107e+00 1.342129999999999945e-10
3.640000000000000124e+00 1.302880000000000054e-10
3.660000000000000142e+00 1.264719999999999951e-10
3.680000000000000160e+00 1.227619999999999893e-10
3.700000000000000178e+00 1.191570000000000053e-10
3.720000000000000195e+00 1.156520000000000004e-10
3.740000000000000213e+00 1.122449999999999960e-10
3.759999999999999787e+00 1.089349999999999966e-10
3.779999999999999805e+00 1.057169999999999980e-10
3.799999999999999822e+00 1.025889999999999959e-10
3.819999999999999840e+00 9.954979999999999573e-11
3.839999999999999858e+00 9.659610000000000519e-11
3.859999999999999876e+00 9.372549999999999600e-11
3.879999999999999893e+00 9.093609999999999579e-11
3.899999999999999911e+00 8.822550000000000207e-11
3.919999999999999929e+00 8.559149999999999855e-11
3.939999999999999947e+00 8.303209999999999392e-11
3.959999999999999964e+00 8.054529999999999689e-11
3.979999999999999982e+00 7.812899999999999717e-11
4.000000000000000000e+00 7.578140000000000261e-11
4.019999999999999574e+00 7.350049999999999605e-11
4.040000000000000036e+00 7.128460000000000425e-11
4.059999999999999609e+00 6.913180000000000316e-11
4.080000000000000071e+00 6.704049999999999974e-11
4.099999999999999645e+00 6.500899999999999492e-11
4.120000000000000107e+00 6.303549999999999651e-11
4.139999999999999680e+00 6.111850000000000458e-11
4.160000000000000142e+00 5.925659999999999936e-11
4.179999999999999716e+00 5.744800000000000159e-11
4.200000000000000178e+00 5.569149999999999711e-11
4.219999999999999751e+00 5.398549999999999933e-11
4.240000000000000213e+00 5.232860000000000141e-11
4.259999999999999787e+00 5.071960000000000211e-11
4.280000000000000249e+00 4.915700000000000148e-11
4.299999999999999822e+00 4.763969999999999783e-11
4.320000000000000284e+00 4.616619999999999770e-11
4.339999999999999858e+00 4.473559999999999853e-11
4.360000000000000320e+00 4.334640000000000037e-11
4.379999999999999893e+00 4.199770000000000067e-11
4.400000000000000355e+00 4.068819999999999863e-11
4.419999999999999929e+00 3.941689999999999858e-11
4.440000000000000391e+00 3.818269999999999885e-11
4.459999999999999964e+00 3.698469999999999689e-11
4.480000000000000426e+00 3.582169999999999791e-11
4.500000000000000000e+00 3.469289999999999892e-11
4.519999999999999574e+00 3.359729999999999781e-11
4.540000000000000036e+00 3.253399999999999849e-11
4.559999999999999609e+00 3.150229999999999755e-11
4.580000000000000071e+00 3.050129999999999889e-11
4.599999999999999645e+00 2.953059999999999778e-11
4.620000000000000107e+00 2.858960000000000007e-11
4.639999999999999680e+00 2.767810000000000017e-11
4.660000000000000142e+00 2.679610000000000131e-11
4.679999999999999716e+00 2.594420000000000087e-11
4.700000000000000178e+00 2.512319999999999861e-11
4.719999999999999751e+00 2.433480000000000007e-11
4.740000000000000213e+00 2.358099999999999979e-11
4.769999999999999574e+00 2.286490000000000045e-11
4.790000000000000036e+00 2.219060000000000038e-11
4.809999999999999609e+00 2.156290000000000135e-11
4.830000000000000071e+00 2.098760000000000076e-11
4.849999999999999645e+00 2.047160000000000094e-11
4.870000000000000107e+00 2.002240000000000160e-11
4.889999999999999680e+00 1.964829999999999899e-11
4.910000000000000142e+00 1.935790000000000095e-11
4.929999999999999716e+00 1.916000000000000156e-11
4.950000000000000178e+00 1.906309999999999942e-11
4.969999999999999751e+00 1.907519999999999853e-11
4.990000000000000213e+00 1.920320000000000122e-11
5.009999999999999787e+00 1.945259999999999973e-11
5.030000000000000249e+00 1.982739999999999930e-11
5.049999999999999822e+00 2.032939999999999858e-11
5.070000000000000284e+00 2.095809999999999973e-11
5.089999999999999858e+00 2.171069999999999876e-11
5.110000000000000320e+00 2.258199999999999890e-11
5.129999999999999893e+00 2.356409999999999892e-11
5.150000000000000355e+00 2.464690000000000073e-11
5.169999999999999929e+00 2.581800000000000005e-11
5.190000000000000391e+00 2.706339999999999957e-11
5.209999999999999964e+00 2.836720000000000054e-11
5.230000000000000426e+00 2.971250000000000209e-11
5.250000000000000000e+00 3.108159999999999713e-11
5.269999999999999574e+00 3.245639999999999971e-11
5.290000000000000036e+00 3.381879999999999803e-11
5.309999999999999609e+00 3.515109999999999792e-11
5.330000000000000071e+00 3.643640000000000174e-11
5.349999999999999645e+00 3.765890000000000062e-11
5.370000000000000107e+00 3.880419999999999898e-11
5.389999999999999680e+00 3.985940000000000119e-11
5.410000000000000142e+00 4.081319999999999819e-11
5.429999999999999716e+00 4.165670000000000283e-11
5.450000000000000178e+00 4.238260000000000158e-11
5.469999999999999751e+00 4.298539999999999898e-11
5.490000000000000213e+00 4.346169999999999685e-11
5.509999999999999787e+00 4.381020000000000087e-11
5.530000000000000249e+00 4.403140000000000239e-11
5.549999999999999822e+00 4.412729999999999919e-11
5.570000000000000284e+00 4.410199999999999929e-11
5.589999999999999858e+00 4.396099999999999817e-11
5.610000000000000320e+00 4.371119999999999816e-11
5.629999999999999893e+00 4.336090000000000197e-11
5.650000000000000355e+00 4.291940000000000148e-11
5.669999999999999929e+00 4.239730000000000232e-11
5.690000000000000391e+00 4.180550000000000236e-11
5.709999999999999964e+00 4.115590000000000157e-11
5.730000000000000426e+00 4.046069999999999864e-11
5.750000000000000000e+00 3.973209999999999869e-11
5.769999999999999574e+00 3.898230000000000041e-11
5.790000000000000036e+00 3.822309999999999775e-11
5.809999999999999609e+00 3.746589999999999932e-11
5.830000000000000071e+00 3.672089999999999957e-11
5.849999999999999645e+00 3.599770000000000200e-11
5.870000000000000107e+00 3.530429999999999771e-11
5.889999999999999680e+00 3.464760000000000193e-11
5.910000000000000142e+00 3.403289999999999810e-11
5.929999999999999716e+00 3.346400000000000200e-11
5.950000000000000178e+00 3.294309999999999763e-11
5.969999999999999751e+00 3.247090000000000132e-11
5.990000000000000213e+00 3.204680000000000275e-11
6.009999999999999787e+00 3.166820000000000031e-11
