# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.519130000000000027e-10
3.520000000000000018e+00 3.422960000000000141e-10
3.540000000000000036e+00 3.330460000000000202e-10
3.560000000000000053e+00 3.241839999999999943e-10
3.580000000000000071e+00 3.157360000000000045e-10
3.600000000000000089e+00 3.077299999999999806e-10
3.620000000000000107e+00 3.002010000000000162e-10
3.640000000000000124e+00 2.931839999999999980e-10
3.660000000000000142e+00 2.867159999999999847e-10
3.680000000000000160e+00 2.808349999999999923e-10
3.700000000000000178e+00 2.755750000000000022e-10
3.720000000000000195e+00 2.709710000000000045e-10
3.740000000000000213e+00 2.670469999999999982e-10
3.759999999999999787e+00 2.638229999999999998e-10
3.779999999999999805e+00 2.613110000000000089e-10
3.799999999999999822e+00 2.595119999999999823e-10
3.819999999999999840e+00 2.584159999999999894e-10
3.839999999999999858e+00 2.580030000000000137e-10
3.859999999999999876e+00 2.582390000000000220e-10
3.879999999999999893e+00 2.590820000000000158e-10
3.899999999999999911e+00 2.604769999999999888e-10
3.919999999999999929e+00 2.623629999999999862e-10
3.939999999999999947e+00 2.646670000000000022e-10
3.959999999999999964e+00 2.673150000000000225e-10
3.979999999999999982e+00 2.702240000000000069e-10
4.000000000000000000e+00 2.733129999999999846e-10
4.019999999999999574e+00 2.764970000000000017e-10
4.040000000000000036e+00 2.796959999999999924e-10
4.059999999999999609e+00 2.828320000000000114e-10
4.080000000000000071e+00 2.858309999999999924e-10
4.099999999999999645e+00 2.886259999999999812e-10
4.120000000000000107e+00 2.911579999999999886e-10
4.139999999999999680e+00 2.933740000000000252e-10
4.160000000000000142e+00 2.952300000000000238e-10
4.179999999999999716e+00 2.966930000000000114e-10
4.200000000000000178e+00 2.977339999999999978e-10
4.219999999999999751e+00 2.983359999999999922e-10
4.240000000000000213e+00 2.984880000000000036e-10
4.259999999999999787e+00 2.981870000000000064e-10
4.280000000000000249e+00 2.974350000000000177e-10
4.299999999999999822e+00 2.962420000000000199e-10
4.320000000000000284e+00 2.946219999999999779e-10
4.339999999999999858e+00 2.925929999999999945e-10
4.360000000000000320e+00 2.901770000000000000e-10
4.379999999999999893e+00 2.873990000000000019e-10
4.400000000000000355e+00 2.842850000000000166e-10
4.419999999999999929e+00 2.808639999999999826e-10
4.440000000000000391e+00 2.771629999999999765e-10
4.459999999999999964e+00 2.732140000000000142e-10
4.480000000000000426e+00 2.690450000000000258e-10
4.500000000000000000e+00 2.646860000000000101e-10
4.519999999999999574e+00 2.601639999999999921e-10
4.540000000000000036e+00 2.555080000000000135e-10
4.559999999999999609e+00 2.507449999999999959e-10
4.580000000000000071e+00 2.459010000000000073e-10
4.599999999999999645e+00 2.410010000000000035e-10
4.620000000000000107e+00 2.360710000000000009e-10
4.639999999999999680e+00 2.311330000000000072e-10
4.660000000000000142e+00 2.262109999999999957e-10
4.679999999999999716e+00 2.213269999999999999e-10
4.700000000000000178e+00 2.165000000000000020e-10
4.719999999999999751e+00 2.117510000000000011e-10
4.740000000000000213e+00 2.070969999999999881e-10
4.769999999999999574e+00 2.025539999999999966e-10
4.790000000000000036e+00 1.981380000000000090e-10
4.809999999999999609e+00 1.938590000000000075e-10
4.830000000000000071e+00 1.897270000000000005e-10
4.849999999999999645e+00 1.857500000000000048e-10
4.870000000000000107e+00 1.819309999999999945e-10
4.889999999999999680e+00 1.782720000000000126e-10
4.910000000000000142e+00 1.747709999999999903e-10
4.929999999999999716e+00 1.714239999999999966e-10
4.950000000000000178e+00 1.682239999999999973e-10
4.969999999999999751e+00 1.651610000000000100e-10
4.990000000000000213e+00 1.622239999999999922e-10
5.009999999999999787e+00 1.593999999999999872e-10
5.030000000000000249e+00 1.566739999999999958e-10
5.049999999999999822e+00 1.540300000000000099e-10
5.070000000000000284e+00 1.514530000000000042e-10
5.089999999999999858e+00 1.489250000000000053e-10
5.110000000000000320e+00 1.464319999999999964e-10
5.129999999999999893e+00 1.439579999999999955e-10
5.150000000000000355e+00 1.414899999999999943e-10
5.169999999999999929e+00 1.390129999999999934e-10
5.190000000000000391e+00 1.365170000000000105e-10
5.209999999999999964e+00 1.339920000000000115e-10
5.230000000000000426e+00 1.314300000000000052e-10
5.250000000000000000e+00 1.288260000000000006e-10
5.269999999999999574e+00 1.261739999999999977e-10
5.290000000000000036e+00 1.234729999999999881e-10
5.309999999999999609e+00 1.207219999999999891e-10
5.330000000000000071e+00 1.179210000000000005e-10
5.349999999999999645e+00 1.150740000000000050e-10
5.370000000000000107e+00 1.121829999999999940e-10
5.389999999999999680e+00 1.092529999999999974e-10
5.410000000000000142e+00 1.062920000000000063e-10
5.429999999999999716e+00 1.033049999999999990e-10
5.450000000000000178e+00 1.003010000000000008e-10
5.469999999999999751e+00 9.728579999999999972e-11
5.490000000000000213e+00 9.426859999999999436e-11
5.509999999999999787e+00 9.125709999999999654e-11
5.530000000000000249e+00 8.825909999999999821e-11
5.549999999999999822e+00 8.528249999999999734e-11
5.570000000000000284e+00 8.233470000000000055e-11
5.589999999999999858e+00 7.942270000000000326e-11
5.610000000000000320e+00 7.655299999999999662e-11
5.629999999999999893e+00 7.373180000000000537e-11
5.650000000000000355e+00 7.096510000000000344e-11
5.669999999999999929e+00 6.825639999999999500e-11
5.690000000000000391e+00 6.561219999999999703e-11
5.709999999999999964e+00 6.303560000000000254e-11
5.730000000000000426e+00 6.053010000000000276e-11
5.750000000000000000e+00 5.809900000000000275e-11
5.769999999999999574e+00 5.574489999999999767e-11
5.790000000000000036e+00 5.347020000000000293e-11
5.809999999999999609e+00 5.127689999999999692e-11
5.830000000000000071e+00 4.916659999999999853e-11
5.849999999999999645e+00 4.714070000000000168e-11
5.870000000000000107e+00 4.520020000000000202e-11
5.889999999999999680e+00 4.334569999999999695e-11
5.910000000000000142e+00 4.157749999999999808e-11
5.929999999999999716e+00 3.989539999999999982e-11
5.950000000000000178e+00 3.829909999999999702e-11
5.969999999999999751e+00 3.678750000000000092e-11
5.990000000000000213e+00 3.535929999999999778e-11
6.009999999999999787e+00 3.401270000000000188e-11
6.030000000000000249e+00 3.274539999999999737e-11
6.049999999999999822e+00 3.155460000000000289e-11
6.070000000000000284e+00 3.043729999999999916e-11
6.089999999999999858e+00 2.938990000000000182e-11
6.110000000000000320e+00 2.840849999999999876e-11
6.129999999999999893e+00 2.748900000000000131e-11
6.150000000000000355e+00 2.662689999999999997e-11
6.169999999999999929e+00 2.581770000000000135e-11
6.190000000000000391e+00 2.505679999999999962e-11
6.209999999999999964e+00 2.433949999999999903e-11
6.230000000000000426e+00 2.366110000000000063e-11
6.250000000000000000e+00 2.301769999999999875e-11
6.269999999999999574e+00 2.240310000000000094e-11
6.290000000000000036e+00 2.181500000000000105e-11
6.309999999999999609e+00 2.124920000000000118e-11
6.330000000000000071e+00 2.070200000000000125e-11
6.349999999999999645e+00 2.017009999999999945e-11
6.370000000000000107e+00 1.965070000000000148e-11
6.389999999999999680e+00 1.914119999999999926e-11
6.410000000000000142e+00 1.863949999999999868e-11
6.429999999999999716e+00 1.814390000000000067e-11
6.450000000000000178e+00 1.765289999999999882e-11
6.469999999999999751e+00 1.716540000000000115e-11
6.490000000000000213e+00 1.668080000000000057e-11
6.509999999999999787e+00 1.619830000000000056e-11
6.530000000000000249e+00 1.571780000000000155e-11
6.549999999999999822e+00 1.523910000000000117e-11
6.570000000000000284e+00 1.476239999999999857e-11
6.589999999999999858e+00 1.428800000000000051e-11
6.610000000000000320e+00 1.381619999999999923e-11
6.629999999999999893e+00 1.334760000000000020e-11
6.650000000000000355e+00 1.288239999999999931e-11
6.669999999999999929e+00 1.242209999999999975e-11
6.690000000000000391e+00 1.196660000000000033e-11
6.709999999999999964e+00 1.151680000000000036e-11
6.730000000000000426e+00 1.107349999999999962e-11
6.750000000000000000e+00 1.063739999999999989e-11
6.769999999999999574e+00 1.020889999999999944e-11
6.790000000000000036e+00 9.788790000000000338e-12
6.809999999999999609e+00 9.377590000000000636e-12
