# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.045500000000000144e-10
3.520000000000000018e+00 3.932039999999999793e-10
3.540000000000000036e+00 3.821670000000000101e-10
3.560000000000000053e+00 3.714290000000000209e-10
3.580000000000000071e+00 3.609830000000000034e-10
3.600000000000000089e+00 3.508209999999999924e-10
3.620000000000000107e+00 3.409350000000000226e-10
3.640000000000000124e+00 3.313189999999999909e-10
3.660000000000000142e+00 3.219639999999999751e-10
3.680000000000000160e+00 3.128639999999999755e-10
3.700000000000000178e+00 3.040119999999999837e-10
3.720000000000000195e+00 2.954020000000000000e-10
3.740000000000000213e+00 2.870270000000000160e-10
3.759999999999999787e+00 2.788809999999999803e-10
3.779999999999999805e+00 2.709579999999999963e-10
3.799999999999999822e+00 2.632520000000000128e-10
3.819999999999999840e+00 2.557569999999999782e-10
3.839999999999999858e+00 2.484669999999999962e-10
3.859999999999999876e+00 2.413779999999999806e-10
3.879999999999999893e+00 2.344829999999999750e-10
3.899999999999999911e+00 2.277769999999999880e-10
3.919999999999999929e+00 2.212560000000000112e-10
3.939999999999999947e+00 2.149150000000000018e-10
3.959999999999999964e+00 2.087480000000000116e-10
3.979999999999999982e+00 2.027510000000000064e-10
4.000000000000000000e+00 1.969200000000000034e-10
4.019999999999999574e+00 1.912490000000000031e-10
4.040000000000000036e+00 1.857350000000000054e-10
4.059999999999999609e+00 1.803740000000000019e-10
4.080000000000000071e+00 1.751620000000000099e-10
4.099999999999999645e+00 1.700930000000000040e-10
4.120000000000000107e+00 1.651649999999999926e-10
4.139999999999999680e+00 1.603739999999999934e-10
4.160000000000000142e+00 1.557170000000000062e-10
4.179999999999999716e+00 1.511880000000000057e-10
4.200000000000000178e+00 1.467860000000000089e-10
4.219999999999999751e+00 1.425059999999999988e-10
4.240000000000000213e+00 1.383460000000000101e-10
4.259999999999999787e+00 1.343009999999999998e-10
4.280000000000000249e+00 1.303700000000000110e-10
4.299999999999999822e+00 1.265480000000000008e-10
4.320000000000000284e+00 1.228340000000000124e-10
4.339999999999999858e+00 1.192230000000000028e-10
4.360000000000000320e+00 1.157140000000000023e-10
4.379999999999999893e+00 1.123030000000000024e-10
4.400000000000000355e+00 1.089879999999999989e-10
4.419999999999999929e+00 1.057660000000000047e-10
4.440000000000000391e+00 1.026350000000000028e-10
4.459999999999999964e+00 9.959229999999999842e-11
4.480000000000000426e+00 9.663519999999999682e-11
4.500000000000000000e+00 9.376169999999999376e-11
4.519999999999999574e+00 9.096929999999999367e-11
4.540000000000000036e+00 8.825589999999999919e-11
4.559999999999999609e+00 8.561929999999999405e-11
4.580000000000000071e+00 8.305760000000000588e-11
4.599999999999999645e+00 8.056849999999999945e-11
4.620000000000000107e+00 7.815019999999999551e-11
4.639999999999999680e+00 7.580059999999999672e-11
4.660000000000000142e+00 7.351789999999999797e-11
4.679999999999999716e+00 7.130029999999999417e-11
4.700000000000000178e+00 6.914600000000000607e-11
4.719999999999999751e+00 6.705329999999999581e-11
4.740000000000000213e+00 6.502039999999999707e-11
4.769999999999999574e+00 6.304570000000000388e-11
4.790000000000000036e+00 6.112770000000000337e-11
4.809999999999999609e+00 5.926480000000000249e-11
4.830000000000000071e+00 5.745530000000000217e-11
4.849999999999999645e+00 5.569800000000000117e-11
4.870000000000000107e+00 5.399129999999999997e-11
4.889999999999999680e+00 5.233379999999999820e-11
4.910000000000000142e+00 5.072420000000000150e-11
4.929999999999999716e+00 4.916120000000000261e-11
4.950000000000000178e+00 4.764340000000000114e-11
4.969999999999999751e+00 4.616970000000000188e-11
4.990000000000000213e+00 4.473869999999999798e-11
5.009999999999999787e+00 4.334940000000000025e-11
5.030000000000000249e+00 4.200050000000000143e-11
5.049999999999999822e+00 4.069089999999999982e-11
5.070000000000000284e+00 3.941959999999999977e-11
5.089999999999999858e+00 3.818540000000000004e-11
5.110000000000000320e+00 3.698739999999999808e-11
5.129999999999999893e+00 3.582449999999999866e-11
5.150000000000000355e+00 3.469579999999999924e-11
5.169999999999999929e+00 3.360029999999999770e-11
5.190000000000000391e+00 3.253699999999999838e-11
5.209999999999999964e+00 3.150509999999999830e-11
5.230000000000000426e+00 3.050370000000000138e-11
5.250000000000000000e+00 2.953189999999999859e-11
5.269999999999999574e+00 2.858889999999999989e-11
5.290000000000000036e+00 2.767389999999999904e-11
5.309999999999999609e+00 2.678619999999999910e-11
5.330000000000000071e+00 2.592480000000000117e-11
5.349999999999999645e+00 2.508920000000000098e-11
5.370000000000000107e+00 2.427849999999999919e-11
5.389999999999999680e+00 2.349209999999999842e-11
5.410000000000000142e+00 2.272929999999999848e-11
5.429999999999999716e+00 2.198820000000000116e-11
5.450000000000000178e+00 2.126940000000000063e-11
5.469999999999999751e+00 2.057229999999999949e-11
5.490000000000000213e+00 1.989620000000000079e-11
5.509999999999999787e+00 1.924060000000000023e-11
5.530000000000000249e+00 1.860490000000000042e-11
5.549999999999999822e+00 1.798840000000000118e-11
