# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.745450000000000399e-10
3.520000000000000018e+00 4.613289999999999896e-10
3.540000000000000036e+00 4.484689999999999947e-10
3.560000000000000053e+00 4.359559999999999781e-10
3.580000000000000071e+00 4.237810000000000175e-10
3.600000000000000089e+00 4.119359999999999928e-10
3.620000000000000107e+00 4.004110000000000248e-10
3.640000000000000124e+00 3.891990000000000019e-10
3.660000000000000142e+00 3.782899999999999934e-10
3.680000000000000160e+00 3.676769999999999908e-10
3.700000000000000178e+00 3.573519999999999774e-10
3.720000000000000195e+00 3.473069999999999878e-10
3.740000000000000213e+00 3.375350000000000137e-10
3.759999999999999787e+00 3.280289999999999950e-10
3.779999999999999805e+00 3.187819999999999751e-10
3.799999999999999822e+00 3.097859999999999888e-10
3.819999999999999840e+00 3.010349999999999846e-10
3.839999999999999858e+00 2.925230000000000144e-10
3.859999999999999876e+00 2.842439999999999751e-10
3.879999999999999893e+00 2.761900000000000047e-10
3.899999999999999911e+00 2.683560000000000088e-10
3.919999999999999929e+00 2.607369999999999962e-10
3.939999999999999947e+00 2.533260000000000101e-10
3.959999999999999964e+00 2.461180000000000077e-10
3.979999999999999982e+00 2.391079999999999978e-10
4.000000000000000000e+00 2.322900000000000064e-10
4.019999999999999574e+00 2.256589999999999907e-10
4.040000000000000036e+00 2.192100000000000113e-10
4.059999999999999609e+00 2.129390000000000078e-10
4.080000000000000071e+00 2.068400000000000064e-10
4.099999999999999645e+00 2.009089999999999987e-10
4.120000000000000107e+00 1.951420000000000019e-10
4.139999999999999680e+00 1.895329999999999906e-10
4.160000000000000142e+00 1.840799999999999992e-10
4.179999999999999716e+00 1.787770000000000021e-10
4.200000000000000178e+00 1.736199999999999908e-10
4.219999999999999751e+00 1.686070000000000000e-10
4.240000000000000213e+00 1.637320000000000039e-10
4.259999999999999787e+00 1.589920000000000027e-10
4.280000000000000249e+00 1.543839999999999965e-10
4.299999999999999822e+00 1.499040000000000026e-10
4.320000000000000284e+00 1.455480000000000127e-10
4.339999999999999858e+00 1.413140000000000096e-10
4.360000000000000320e+00 1.371970000000000020e-10
4.379999999999999893e+00 1.331949999999999986e-10
4.400000000000000355e+00 1.293049999999999996e-10
4.419999999999999929e+00 1.255229999999999966e-10
4.440000000000000391e+00 1.218469999999999981e-10
4.459999999999999964e+00 1.182740000000000043e-10
4.480000000000000426e+00 1.148010000000000025e-10
4.500000000000000000e+00 1.114250000000000055e-10
4.519999999999999574e+00 1.081439999999999964e-10
4.540000000000000036e+00 1.049550000000000010e-10
4.559999999999999609e+00 1.018549999999999936e-10
4.580000000000000071e+00 9.884320000000000356e-11
4.599999999999999645e+00 9.591570000000000256e-11
4.620000000000000107e+00 9.307089999999999755e-11
4.639999999999999680e+00 9.030630000000000588e-11
4.660000000000000142e+00 8.761969999999999833e-11
4.679999999999999716e+00 8.500909999999999650e-11
4.700000000000000178e+00 8.247249999999999619e-11
4.719999999999999751e+00 8.000769999999999401e-11
4.740000000000000213e+00 7.761280000000000469e-11
4.769999999999999574e+00 7.528590000000000417e-11
4.790000000000000036e+00 7.302509999999999425e-11
4.809999999999999609e+00 7.082879999999999482e-11
4.830000000000000071e+00 6.869489999999999560e-11
4.849999999999999645e+00 6.662189999999999666e-11
4.870000000000000107e+00 6.460809999999999892e-11
4.889999999999999680e+00 6.265189999999999641e-11
4.910000000000000142e+00 6.075169999999999608e-11
4.929999999999999716e+00 5.890590000000000490e-11
4.950000000000000178e+00 5.711299999999999706e-11
4.969999999999999751e+00 5.537169999999999760e-11
4.990000000000000213e+00 5.368040000000000056e-11
5.009999999999999787e+00 5.203789999999999822e-11
5.030000000000000249e+00 5.044259999999999753e-11
5.049999999999999822e+00 4.889339999999999682e-11
5.070000000000000284e+00 4.738900000000000174e-11
5.089999999999999858e+00 4.592809999999999854e-11
5.110000000000000320e+00 4.450959999999999848e-11
5.129999999999999893e+00 4.313220000000000073e-11
5.150000000000000355e+00 4.179479999999999716e-11
5.169999999999999929e+00 4.049629999999999901e-11
5.190000000000000391e+00 3.923559999999999813e-11
5.209999999999999964e+00 3.801169999999999887e-11
5.230000000000000426e+00 3.682359999999999912e-11
5.250000000000000000e+00 3.567019999999999719e-11
5.269999999999999574e+00 3.455059999999999699e-11
5.290000000000000036e+00 3.346380000000000287e-11
5.309999999999999609e+00 3.240899999999999893e-11
5.330000000000000071e+00 3.138520000000000242e-11
5.349999999999999645e+00 3.039149999999999788e-11
5.370000000000000107e+00 2.942720000000000127e-11
5.389999999999999680e+00 2.849140000000000035e-11
5.410000000000000142e+00 2.758329999999999860e-11
5.429999999999999716e+00 2.670209999999999948e-11
5.450000000000000178e+00 2.584700000000000003e-11
5.469999999999999751e+00 2.501739999999999960e-11
5.490000000000000213e+00 2.421249999999999846e-11
