# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.312149999999999756e-10
3.520000000000000018e+00 6.141290000000000203e-10
3.540000000000000036e+00 5.974950000000000134e-10
3.560000000000000053e+00 5.813009999999999554e-10
3.580000000000000071e+00 5.655359999999999587e-10
3.600000000000000089e+00 5.501880000000000237e-10
3.620000000000000107e+00 5.352459999999999526e-10
3.640000000000000124e+00 5.207009999999999786e-10
3.660000000000000142e+00 5.065420000000000071e-10
3.680000000000000160e+00 4.927580000000000473e-10
3.700000000000000178e+00 4.793400000000000218e-10
3.720000000000000195e+00 4.662779999999999484e-10
3.740000000000000213e+00 4.535640000000000170e-10
3.759999999999999787e+00 4.411879999999999865e-10
3.779999999999999805e+00 4.291409999999999866e-10
3.799999999999999822e+00 4.174150000000000004e-10
3.819999999999999840e+00 4.060010000000000024e-10
3.839999999999999858e+00 3.948909999999999757e-10
3.859999999999999876e+00 3.840770000000000066e-10
3.879999999999999893e+00 3.735519999999999835e-10
3.899999999999999911e+00 3.633069999999999842e-10
3.919999999999999929e+00 3.533370000000000176e-10
3.939999999999999947e+00 3.436319999999999979e-10
3.959999999999999964e+00 3.341879999999999941e-10
3.979999999999999982e+00 3.249950000000000239e-10
4.000000000000000000e+00 3.160490000000000012e-10
4.019999999999999574e+00 3.073430000000000211e-10
4.040000000000000036e+00 2.988690000000000150e-10
4.059999999999999609e+00 2.906230000000000003e-10
4.080000000000000071e+00 2.825980000000000203e-10
4.099999999999999645e+00 2.747889999999999803e-10
4.120000000000000107e+00 2.671889999999999755e-10
4.139999999999999680e+00 2.597940000000000233e-10
4.160000000000000142e+00 2.525970000000000119e-10
4.179999999999999716e+00 2.455940000000000103e-10
4.200000000000000178e+00 2.387799999999999757e-10
4.219999999999999751e+00 2.321490000000000118e-10
4.240000000000000213e+00 2.256970000000000065e-10
4.259999999999999787e+00 2.194189999999999947e-10
4.280000000000000249e+00 2.133100000000000110e-10
4.299999999999999822e+00 2.073670000000000037e-10
4.320000000000000284e+00 2.015839999999999989e-10
4.339999999999999858e+00 1.959569999999999883e-10
4.360000000000000320e+00 1.904829999999999977e-10
4.379999999999999893e+00 1.851570000000000100e-10
4.400000000000000355e+00 1.799749999999999911e-10
4.419999999999999929e+00 1.749339999999999927e-10
4.440000000000000391e+00 1.700300000000000063e-10
4.459999999999999964e+00 1.652579999999999891e-10
4.480000000000000426e+00 1.606170000000000100e-10
4.500000000000000000e+00 1.561009999999999917e-10
4.519999999999999574e+00 1.517090000000000031e-10
4.540000000000000036e+00 1.474360000000000014e-10
4.559999999999999609e+00 1.432790000000000126e-10
4.580000000000000071e+00 1.392359999999999936e-10
4.599999999999999645e+00 1.353029999999999876e-10
4.620000000000000107e+00 1.314769999999999948e-10
4.639999999999999680e+00 1.277559999999999981e-10
4.660000000000000142e+00 1.241369999999999974e-10
4.679999999999999716e+00 1.206160000000000103e-10
4.700000000000000178e+00 1.171920000000000023e-10
4.719999999999999751e+00 1.138619999999999993e-10
4.740000000000000213e+00 1.106239999999999971e-10
4.769999999999999574e+00 1.074740000000000003e-10
4.790000000000000036e+00 1.044100000000000044e-10
4.809999999999999609e+00 1.014310000000000011e-10
4.830000000000000071e+00 9.853400000000000323e-11
4.849999999999999645e+00 9.571650000000000236e-11
4.870000000000000107e+00 9.297670000000000630e-11
4.889999999999999680e+00 9.031239999999999876e-11
4.910000000000000142e+00 8.772160000000000136e-11
4.929999999999999716e+00 8.520229999999999693e-11
4.950000000000000178e+00 8.275279999999999934e-11
4.969999999999999751e+00 8.037090000000000522e-11
