# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.006560000000000005e-13
3.520000000000000018e+00 5.916630000000000407e-13
3.540000000000000036e+00 5.828140000000000044e-13
3.560000000000000053e+00 5.740219999999999546e-13
3.580000000000000071e+00 5.652239999999999754e-13
3.600000000000000089e+00 5.563769999999999829e-13
3.620000000000000107e+00 5.474499999999999544e-13
3.640000000000000124e+00 5.384240000000000290e-13
3.660000000000000142e+00 5.292910000000000314e-13
3.680000000000000160e+00 5.200469999999999751e-13
3.700000000000000178e+00 5.106960000000000486e-13
3.720000000000000195e+00 5.012449999999999508e-13
3.740000000000000213e+00 4.917040000000000019e-13
3.759999999999999787e+00 4.820870000000000036e-13
3.779999999999999805e+00 4.724069999999999883e-13
3.799999999999999822e+00 4.626839999999999902e-13
3.819999999999999840e+00 4.529370000000000218e-13
3.839999999999999858e+00 4.431910000000000247e-13
3.859999999999999876e+00 4.334770000000000219e-13
3.879999999999999893e+00 4.238360000000000027e-13
3.899999999999999911e+00 4.143480000000000031e-13
3.919999999999999929e+00 4.049949999999999823e-13
3.939999999999999947e+00 3.959790000000000235e-13
3.959999999999999964e+00 3.874199999999999789e-13
3.979999999999999982e+00 3.794980000000000052e-13
4.000000000000000000e+00 3.724620000000000037e-13
4.019999999999999574e+00 3.666439999999999774e-13
4.040000000000000036e+00 3.624740000000000062e-13
4.059999999999999609e+00 3.604999999999999785e-13
4.080000000000000071e+00 3.614030000000000202e-13
4.099999999999999645e+00 3.660170000000000246e-13
4.120000000000000107e+00 3.753480000000000178e-13
4.139999999999999680e+00 3.905860000000000181e-13
4.160000000000000142e+00 4.131169999999999955e-13
4.179999999999999716e+00 4.445320000000000187e-13
4.200000000000000178e+00 4.866260000000000310e-13
4.219999999999999751e+00 5.413820000000000049e-13
4.240000000000000213e+00 6.109589999999999819e-13
4.259999999999999787e+00 6.976580000000000349e-13
4.280000000000000249e+00 8.038800000000000037e-13
4.299999999999999822e+00 9.320350000000000771e-13
4.320000000000000284e+00 1.084589999999999925e-12
4.339999999999999858e+00 1.263830000000000078e-12
4.360000000000000320e+00 1.471879999999999985e-12
4.379999999999999893e+00 1.710579999999999967e-12
4.400000000000000355e+00 1.981429999999999969e-12
4.419999999999999929e+00 2.285429999999999886e-12
4.440000000000000391e+00 2.623089999999999883e-12
4.459999999999999964e+00 2.994309999999999991e-12
4.480000000000000426e+00 3.398349999999999954e-12
4.500000000000000000e+00 3.833789999999999964e-12
4.519999999999999574e+00 4.298569999999999929e-12
4.540000000000000036e+00 4.789910000000000135e-12
4.559999999999999609e+00 5.304469999999999914e-12
4.580000000000000071e+00 5.838300000000000276e-12
4.599999999999999645e+00 6.386979999999999913e-12
4.620000000000000107e+00 6.945669999999999827e-12
4.639999999999999680e+00 7.509259999999999448e-12
4.660000000000000142e+00 8.072440000000000690e-12
4.679999999999999716e+00 8.629849999999999220e-12
4.700000000000000178e+00 9.176090000000000738e-12
4.719999999999999751e+00 9.705999999999999234e-12
4.740000000000000213e+00 1.021460000000000052e-11
4.769999999999999574e+00 1.069729999999999967e-11
4.790000000000000036e+00 1.108960000000000073e-11
4.809999999999999609e+00 1.151169999999999991e-11
4.830000000000000071e+00 1.189659999999999921e-11
4.849999999999999645e+00 1.224170000000000023e-11
4.870000000000000107e+00 1.254490000000000080e-11
4.889999999999999680e+00 1.280469999999999935e-11
4.910000000000000142e+00 1.302010000000000023e-11
4.929999999999999716e+00 1.319070000000000033e-11
4.950000000000000178e+00 1.331649999999999965e-11
4.969999999999999751e+00 1.339820000000000000e-11
4.990000000000000213e+00 1.343670000000000069e-11
5.009999999999999787e+00 1.343350000000000006e-11
5.030000000000000249e+00 1.339019999999999923e-11
5.049999999999999822e+00 1.330890000000000037e-11
5.070000000000000284e+00 1.319189999999999996e-11
5.089999999999999858e+00 1.304149999999999931e-11
5.110000000000000320e+00 1.286039999999999961e-11
5.129999999999999893e+00 1.265119999999999925e-11
5.150000000000000355e+00 1.241659999999999942e-11
5.169999999999999929e+00 1.215939999999999926e-11
5.190000000000000391e+00 1.188220000000000040e-11
5.209999999999999964e+00 1.158789999999999993e-11
5.230000000000000426e+00 1.127880000000000077e-11
5.250000000000000000e+00 1.095749999999999971e-11
5.269999999999999574e+00 1.062650000000000041e-11
5.290000000000000036e+00 1.028780000000000065e-11
5.309999999999999609e+00 9.943720000000000366e-12
5.330000000000000071e+00 9.596129999999999824e-12
5.349999999999999645e+00 9.246849999999999519e-12
5.370000000000000107e+00 8.897559999999999904e-12
5.389999999999999680e+00 8.549749999999999996e-12
5.410000000000000142e+00 8.204799999999999936e-12
5.429999999999999716e+00 7.863929999999999592e-12
5.450000000000000178e+00 7.528200000000000173e-12
5.469999999999999751e+00 7.198559999999999974e-12
5.490000000000000213e+00 6.875829999999999794e-12
5.509999999999999787e+00 6.560709999999999820e-12
5.530000000000000249e+00 6.253760000000000204e-12
5.549999999999999822e+00 5.955480000000000388e-12
5.570000000000000284e+00 5.666250000000000014e-12
5.589999999999999858e+00 5.386360000000000083e-12
5.610000000000000320e+00 5.116009999999999725e-12
5.629999999999999893e+00 4.855360000000000023e-12
5.650000000000000355e+00 4.604480000000000187e-12
5.669999999999999929e+00 4.363380000000000336e-12
5.690000000000000391e+00 4.132009999999999879e-12
5.709999999999999964e+00 3.910319999999999841e-12
5.730000000000000426e+00 3.698160000000000067e-12
5.750000000000000000e+00 3.495390000000000114e-12
5.769999999999999574e+00 3.301820000000000162e-12
5.790000000000000036e+00 3.117240000000000155e-12
5.809999999999999609e+00 2.941419999999999800e-12
5.830000000000000071e+00 2.774100000000000064e-12
5.849999999999999645e+00 2.615040000000000134e-12
5.870000000000000107e+00 2.463959999999999934e-12
5.889999999999999680e+00 2.320580000000000195e-12
5.910000000000000142e+00 2.184620000000000035e-12
5.929999999999999716e+00 2.055800000000000186e-12
5.950000000000000178e+00 1.933830000000000051e-12
5.969999999999999751e+00 1.818429999999999957e-12
5.990000000000000213e+00 1.709320000000000031e-12
6.009999999999999787e+00 1.606210000000000080e-12
6.030000000000000249e+00 1.508840000000000061e-12
6.049999999999999822e+00 1.416940000000000019e-12
6.070000000000000284e+00 1.330249999999999911e-12
6.089999999999999858e+00 1.248510000000000099e-12
6.110000000000000320e+00 1.171490000000000090e-12
6.129999999999999893e+00 1.098939999999999960e-12
6.150000000000000355e+00 1.030630000000000022e-12
6.169999999999999929e+00 9.663430000000000154e-13
6.190000000000000391e+00 9.058689999999999845e-13
6.209999999999999964e+00 8.490009999999999889e-13
6.230000000000000426e+00 7.955420000000000043e-13
6.250000000000000000e+00 7.453080000000000388e-13
6.269999999999999574e+00 6.981189999999999862e-13
6.290000000000000036e+00 6.538060000000000315e-13
6.309999999999999609e+00 6.122029999999999714e-13
6.330000000000000071e+00 5.731580000000000100e-13
6.349999999999999645e+00 5.365249999999999782e-13
6.370000000000000107e+00 5.021629999999999677e-13
6.389999999999999680e+00 4.699369999999999998e-13
6.410000000000000142e+00 4.397249999999999767e-13
6.429999999999999716e+00 4.114069999999999958e-13
6.450000000000000178e+00 3.848680000000000116e-13
6.469999999999999751e+00 3.600029999999999959e-13
6.490000000000000213e+00 3.367119999999999793e-13
6.509999999999999787e+00 3.148980000000000078e-13
6.530000000000000249e+00 2.944719999999999997e-13
6.549999999999999822e+00 2.753490000000000115e-13
6.570000000000000284e+00 2.574490000000000070e-13
6.589999999999999858e+00 2.406959999999999874e-13
6.610000000000000320e+00 2.250189999999999876e-13
6.629999999999999893e+00 2.103520000000000007e-13
6.650000000000000355e+00 1.966320000000000097e-13
6.669999999999999929e+00 1.837979999999999909e-13
6.690000000000000391e+00 1.717959999999999982e-13
6.709999999999999964e+00 1.605730000000000066e-13
6.730000000000000426e+00 1.500809999999999994e-13
6.750000000000000000e+00 1.402709999999999887e-13
6.769999999999999574e+00 1.311020000000000103e-13
6.790000000000000036e+00 1.225320000000000023e-13
6.809999999999999609e+00 1.145229999999999907e-13
6.830000000000000071e+00 1.070400000000000038e-13
6.849999999999999645e+00 1.000479999999999944e-13
6.870000000000000107e+00 9.351539999999999702e-14
6.889999999999999680e+00 8.741359999999999873e-14
6.910000000000000142e+00 8.171379999999999711e-14
6.929999999999999716e+00 7.639090000000000522e-14
6.950000000000000178e+00 7.142020000000000197e-14
6.969999999999999751e+00 6.677890000000000286e-14
6.990000000000000213e+00 6.244550000000000387e-14
7.009999999999999787e+00 5.839990000000000140e-14
7.030000000000000249e+00 5.462349999999999944e-14
7.049999999999999822e+00 5.109869999999999864e-14
7.070000000000000284e+00 4.780890000000000266e-14
7.089999999999999858e+00 4.473890000000000286e-14
7.110000000000000320e+00 4.187419999999999716e-14
7.129999999999999893e+00 3.920150000000000088e-14
7.150000000000000355e+00 3.670800000000000247e-14
7.169999999999999929e+00 3.438200000000000057e-14
7.190000000000000391e+00 3.221239999999999939e-14
7.209999999999999964e+00 3.018909999999999982e-14
7.230000000000000426e+00 2.830220000000000145e-14
7.259999999999999787e+00 2.654280000000000051e-14
7.280000000000000249e+00 2.490250000000000105e-14
7.299999999999999822e+00 2.337350000000000007e-14
7.320000000000000284e+00 2.194809999999999864e-14
7.339999999999999858e+00 2.061979999999999952e-14
7.360000000000000320e+00 1.938200000000000137e-14
7.379999999999999893e+00 1.822860000000000121e-14
7.400000000000000355e+00 1.715409999999999844e-14
7.419999999999999929e+00 1.615320000000000066e-14
7.440000000000000391e+00 1.522110000000000115e-14
7.459999999999999964e+00 1.435299999999999953e-14
7.480000000000000426e+00 1.354480000000000032e-14
7.500000000000000000e+00 1.279240000000000016e-14
7.519999999999999574e+00 1.209209999999999941e-14
7.540000000000000036e+00 1.144049999999999963e-14
7.559999999999999609e+00 1.083409999999999987e-14
7.580000000000000071e+00 1.027009999999999939e-14
7.599999999999999645e+00 9.745510000000000067e-15
7.620000000000000107e+00 9.257720000000000083e-15
7.639999999999999680e+00 8.804220000000000109e-15
7.660000000000000142e+00 8.382730000000000433e-15
7.679999999999999716e+00 7.991049999999999559e-15
7.700000000000000178e+00 7.627190000000000782e-15
7.719999999999999751e+00 7.289229999999999526e-15
7.740000000000000213e+00 6.975439999999999608e-15
7.759999999999999787e+00 6.684139999999999786e-15
7.780000000000000249e+00 6.413830000000000330e-15
7.799999999999999822e+00 6.163049999999999832e-15
7.820000000000000284e+00 5.930470000000000301e-15
7.839999999999999858e+00 5.714840000000000384e-15
7.860000000000000320e+00 5.514990000000000105e-15
7.879999999999999893e+00 5.329839999999999848e-15
7.900000000000000355e+00 5.158359999999999672e-15
7.919999999999999929e+00 4.999610000000000002e-15
7.940000000000000391e+00 4.852700000000000145e-15
7.959999999999999964e+00 4.716810000000000218e-15
7.980000000000000426e+00 4.591170000000000015e-15
8.000000000000000000e+00 4.475040000000000236e-15
8.019999999999999574e+00 4.367770000000000368e-15
8.039999999999999147e+00 4.268730000000000242e-15
8.060000000000000497e+00 4.177330000000000374e-15
8.080000000000000071e+00 4.093030000000000168e-15
8.099999999999999645e+00 4.015310000000000159e-15
8.119999999999999218e+00 3.943710000000000337e-15
8.140000000000000568e+00 3.877769999999999900e-15
8.160000000000000142e+00 3.817099999999999646e-15
8.179999999999999716e+00 3.761290000000000027e-15
8.199999999999999289e+00 3.709999999999999937e-15
8.220000000000000639e+00 3.662889999999999848e-15
8.240000000000000213e+00 3.619639999999999786e-15
8.259999999999999787e+00 3.579969999999999676e-15
8.279999999999999361e+00 3.543610000000000008e-15
8.300000000000000711e+00 3.510290000000000090e-15
8.320000000000000284e+00 3.479790000000000088e-15
8.339999999999999858e+00 3.451890000000000167e-15
8.359999999999999432e+00 3.426379999999999876e-15
8.380000000000000782e+00 3.403069999999999898e-15
8.400000000000000355e+00 3.381779999999999901e-15
8.419999999999999929e+00 3.362349999999999899e-15
8.439999999999999503e+00 3.344630000000000076e-15
8.460000000000000853e+00 3.328469999999999830e-15
8.480000000000000426e+00 3.313740000000000081e-15
8.500000000000000000e+00 3.300310000000000177e-15
