# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.851440000000000056e-11
3.520000000000000018e+00 2.852669999999999880e-11
3.540000000000000036e+00 2.845669999999999930e-11
3.560000000000000053e+00 2.830809999999999890e-11
3.580000000000000071e+00 2.808509999999999874e-11
3.600000000000000089e+00 2.779230000000000144e-11
3.620000000000000107e+00 2.743480000000000100e-11
3.640000000000000124e+00 2.701799999999999978e-11
3.660000000000000142e+00 2.654749999999999932e-11
3.680000000000000160e+00 2.602880000000000154e-11
3.700000000000000178e+00 2.546780000000000019e-11
3.720000000000000195e+00 2.486990000000000089e-11
3.740000000000000213e+00 2.424069999999999868e-11
3.759999999999999787e+00 2.358559999999999918e-11
3.779999999999999805e+00 2.290960000000000004e-11
3.799999999999999822e+00 2.221759999999999936e-11
3.819999999999999840e+00 2.151410000000000018e-11
3.839999999999999858e+00 2.080349999999999956e-11
3.859999999999999876e+00 2.008969999999999991e-11
3.879999999999999893e+00 1.937640000000000133e-11
3.899999999999999911e+00 1.866689999999999915e-11
3.919999999999999929e+00 1.796400000000000060e-11
3.939999999999999947e+00 1.727059999999999953e-11
3.959999999999999964e+00 1.658909999999999845e-11
3.979999999999999982e+00 1.592180000000000027e-11
4.000000000000000000e+00 1.527059999999999998e-11
4.019999999999999574e+00 1.463749999999999857e-11
4.040000000000000036e+00 1.402440000000000070e-11
4.059999999999999609e+00 1.343350000000000006e-11
4.080000000000000071e+00 1.286690000000000044e-11
4.099999999999999645e+00 1.232729999999999979e-11
4.120000000000000107e+00 1.181799999999999993e-11
4.139999999999999680e+00 1.134280000000000050e-11
4.160000000000000142e+00 1.090650000000000003e-11
4.179999999999999716e+00 1.051479999999999958e-11
4.200000000000000178e+00 1.017469999999999945e-11
4.219999999999999751e+00 9.894060000000000353e-12
4.240000000000000213e+00 9.681970000000000598e-12
4.259999999999999787e+00 9.548489999999999434e-12
4.280000000000000249e+00 9.504490000000000025e-12
4.299999999999999822e+00 9.561340000000000131e-12
4.320000000000000284e+00 9.730560000000000091e-12
4.339999999999999858e+00 1.002339999999999948e-11
4.360000000000000320e+00 1.045039999999999998e-11
4.379999999999999893e+00 1.102079999999999925e-11
4.400000000000000355e+00 1.174229999999999935e-11
4.419999999999999929e+00 1.262000000000000075e-11
4.440000000000000391e+00 1.365690000000000010e-11
4.459999999999999964e+00 1.485270000000000032e-11
4.480000000000000426e+00 1.620420000000000077e-11
4.500000000000000000e+00 1.770489999999999901e-11
4.519999999999999574e+00 1.934489999999999929e-11
4.540000000000000036e+00 2.111139999999999908e-11
4.559999999999999609e+00 2.298880000000000156e-11
4.580000000000000071e+00 2.495850000000000033e-11
4.599999999999999645e+00 2.700039999999999873e-11
4.620000000000000107e+00 2.909219999999999997e-11
4.639999999999999680e+00 3.121089999999999740e-11
4.660000000000000142e+00 3.333269999999999750e-11
4.679999999999999716e+00 3.543379999999999710e-11
4.700000000000000178e+00 3.749090000000000053e-11
4.719999999999999751e+00 3.948160000000000173e-11
4.740000000000000213e+00 4.138480000000000194e-11
4.769999999999999574e+00 4.318149999999999972e-11
4.790000000000000036e+00 4.485410000000000049e-11
4.809999999999999609e+00 4.638779999999999748e-11
4.830000000000000071e+00 4.777009999999999978e-11
4.849999999999999645e+00 4.899080000000000002e-11
4.870000000000000107e+00 5.004229999999999893e-11
4.889999999999999680e+00 5.091949999999999927e-11
4.910000000000000142e+00 5.161969999999999986e-11
4.929999999999999716e+00 5.214260000000000200e-11
4.950000000000000178e+00 5.248959999999999961e-11
4.969999999999999751e+00 5.266440000000000246e-11
4.990000000000000213e+00 5.267210000000000131e-11
5.009999999999999787e+00 5.251949999999999891e-11
5.030000000000000249e+00 5.221449999999999971e-11
5.049999999999999822e+00 5.176609999999999689e-11
5.070000000000000284e+00 5.118390000000000044e-11
5.089999999999999858e+00 5.047829999999999747e-11
5.110000000000000320e+00 4.966009999999999920e-11
5.129999999999999893e+00 4.874030000000000306e-11
5.150000000000000355e+00 4.772970000000000088e-11
5.169999999999999929e+00 4.663940000000000259e-11
5.190000000000000391e+00 4.548010000000000045e-11
5.209999999999999964e+00 4.426230000000000053e-11
5.230000000000000426e+00 4.299589999999999858e-11
5.250000000000000000e+00 4.169049999999999810e-11
5.269999999999999574e+00 4.035509999999999876e-11
5.290000000000000036e+00 3.899810000000000283e-11
5.309999999999999609e+00 3.762750000000000138e-11
5.330000000000000071e+00 3.625040000000000233e-11
5.349999999999999645e+00 3.487360000000000198e-11
5.370000000000000107e+00 3.350300000000000053e-11
5.389999999999999680e+00 3.214400000000000036e-11
5.410000000000000142e+00 3.080140000000000000e-11
5.429999999999999716e+00 2.947959999999999972e-11
5.450000000000000178e+00 2.818220000000000001e-11
5.469999999999999751e+00 2.691249999999999948e-11
5.490000000000000213e+00 2.567309999999999973e-11
5.509999999999999787e+00 2.446630000000000047e-11
5.530000000000000249e+00 2.329399999999999990e-11
5.549999999999999822e+00 2.215770000000000120e-11
5.570000000000000284e+00 2.105859999999999915e-11
5.589999999999999858e+00 1.999730000000000083e-11
5.610000000000000320e+00 1.897440000000000041e-11
5.629999999999999893e+00 1.799019999999999982e-11
5.650000000000000355e+00 1.704479999999999862e-11
5.669999999999999929e+00 1.613790000000000134e-11
5.690000000000000391e+00 1.526910000000000004e-11
5.709999999999999964e+00 1.443799999999999967e-11
5.730000000000000426e+00 1.364390000000000005e-11
5.750000000000000000e+00 1.288609999999999939e-11
5.769999999999999574e+00 1.216369999999999996e-11
5.790000000000000036e+00 1.147569999999999966e-11
5.809999999999999609e+00 1.082130000000000035e-11
5.830000000000000071e+00 1.019930000000000078e-11
5.849999999999999645e+00 9.608659999999999974e-12
5.870000000000000107e+00 9.048279999999999488e-12
5.889999999999999680e+00 8.517040000000000633e-12
5.910000000000000142e+00 8.013799999999999639e-12
5.929999999999999716e+00 7.537419999999999199e-12
5.950000000000000178e+00 7.086800000000000055e-12
5.969999999999999751e+00 6.660820000000000289e-12
5.990000000000000213e+00 6.258359999999999598e-12
6.009999999999999787e+00 5.878370000000000124e-12
6.030000000000000249e+00 5.519789999999999848e-12
6.049999999999999822e+00 5.181590000000000340e-12
6.070000000000000284e+00 4.862779999999999602e-12
6.089999999999999858e+00 4.562379999999999791e-12
6.110000000000000320e+00 4.279469999999999737e-12
6.129999999999999893e+00 4.013150000000000121e-12
6.150000000000000355e+00 3.762530000000000125e-12
6.169999999999999929e+00 3.526799999999999876e-12
6.190000000000000391e+00 3.305149999999999907e-12
6.209999999999999964e+00 3.096820000000000127e-12
6.230000000000000426e+00 2.901060000000000161e-12
6.250000000000000000e+00 2.717190000000000057e-12
6.269999999999999574e+00 2.544529999999999862e-12
6.290000000000000036e+00 2.382449999999999809e-12
6.309999999999999609e+00 2.230339999999999966e-12
6.330000000000000071e+00 2.087619999999999944e-12
6.349999999999999645e+00 1.953759999999999947e-12
6.370000000000000107e+00 1.828230000000000178e-12
6.389999999999999680e+00 1.710540000000000101e-12
6.410000000000000142e+00 1.600229999999999938e-12
6.429999999999999716e+00 1.496850000000000029e-12
6.450000000000000178e+00 1.399989999999999975e-12
6.469999999999999751e+00 1.309249999999999899e-12
6.490000000000000213e+00 1.224269999999999993e-12
6.509999999999999787e+00 1.144699999999999959e-12
6.530000000000000249e+00 1.070189999999999906e-12
6.549999999999999822e+00 1.000439999999999926e-12
6.570000000000000284e+00 9.351600000000000260e-13
6.589999999999999858e+00 8.740679999999999870e-13
6.610000000000000320e+00 8.169029999999999978e-13
6.629999999999999893e+00 7.634220000000000362e-13
6.650000000000000355e+00 7.133940000000000397e-13
6.669999999999999929e+00 6.666000000000000071e-13
6.690000000000000391e+00 6.228369999999999844e-13
6.709999999999999964e+00 5.819130000000000065e-13
6.730000000000000426e+00 5.436479999999999671e-13
6.750000000000000000e+00 5.078740000000000228e-13
6.769999999999999574e+00 4.744310000000000006e-13
6.790000000000000036e+00 4.431700000000000190e-13
6.809999999999999609e+00 4.139529999999999831e-13
6.830000000000000071e+00 3.866479999999999798e-13
6.849999999999999645e+00 3.611310000000000189e-13
6.870000000000000107e+00 3.372889999999999979e-13
6.889999999999999680e+00 3.150119999999999809e-13
6.910000000000000142e+00 2.942010000000000204e-13
6.929999999999999716e+00 2.747590000000000109e-13
6.950000000000000178e+00 2.565990000000000156e-13
6.969999999999999751e+00 2.396379999999999832e-13
6.990000000000000213e+00 2.237970000000000005e-13
7.009999999999999787e+00 2.090040000000000049e-13
7.030000000000000249e+00 1.951899999999999993e-13
7.049999999999999822e+00 1.822909999999999954e-13
7.070000000000000284e+00 1.702479999999999881e-13
7.089999999999999858e+00 1.590049999999999874e-13
7.110000000000000320e+00 1.485099999999999902e-13
7.129999999999999893e+00 1.387130000000000119e-13
7.150000000000000355e+00 1.295690000000000005e-13
7.169999999999999929e+00 1.210349999999999987e-13
7.190000000000000391e+00 1.130710000000000011e-13
7.209999999999999964e+00 1.056400000000000048e-13
7.230000000000000426e+00 9.870569999999999461e-14
7.259999999999999787e+00 9.223630000000000351e-14
7.280000000000000249e+00 8.620119999999999978e-14
7.299999999999999822e+00 8.057170000000000089e-14
7.320000000000000284e+00 7.532079999999999597e-14
7.339999999999999858e+00 7.042380000000000179e-14
7.360000000000000320e+00 6.585719999999999579e-14
7.379999999999999893e+00 6.159929999999999734e-14
7.400000000000000355e+00 5.762939999999999726e-14
7.419999999999999929e+00 5.392860000000000308e-14
7.440000000000000391e+00 5.047930000000000282e-14
7.459999999999999964e+00 4.726459999999999734e-14
7.480000000000000426e+00 4.426889999999999956e-14
7.500000000000000000e+00 4.147780000000000200e-14
7.519999999999999574e+00 3.887660000000000067e-14
7.540000000000000036e+00 3.645469999999999814e-14
7.559999999999999609e+00 3.419920000000000083e-14
7.580000000000000071e+00 3.209920000000000221e-14
7.599999999999999645e+00 3.014419999999999943e-14
7.620000000000000107e+00 2.832469999999999895e-14
7.639999999999999680e+00 2.663150000000000055e-14
7.660000000000000142e+00 2.505629999999999972e-14
7.679999999999999716e+00 2.359110000000000108e-14
7.700000000000000178e+00 2.222870000000000087e-14
7.719999999999999751e+00 2.096210000000000037e-14
7.740000000000000213e+00 1.978500000000000102e-14
7.759999999999999787e+00 1.869140000000000076e-14
7.780000000000000249e+00 1.767560000000000031e-14
7.799999999999999822e+00 1.673239999999999871e-14
7.820000000000000284e+00 1.585690000000000095e-14
7.839999999999999858e+00 1.504470000000000089e-14
7.860000000000000320e+00 1.429139999999999868e-14
7.879999999999999893e+00 1.359299999999999980e-14
7.900000000000000355e+00 1.294579999999999985e-14
7.919999999999999929e+00 1.234649999999999976e-14
7.940000000000000391e+00 1.179160000000000015e-14
7.959999999999999964e+00 1.127830000000000027e-14
7.980000000000000426e+00 1.080360000000000066e-14
8.000000000000000000e+00 1.036489999999999927e-14
8.019999999999999574e+00 9.959870000000000655e-15
8.039999999999999147e+00 9.586049999999999642e-15
8.060000000000000497e+00 9.241359999999999951e-15
8.080000000000000071e+00 8.923790000000000591e-15
8.099999999999999645e+00 8.631429999999999919e-15
8.119999999999999218e+00 8.362579999999999504e-15
8.140000000000000568e+00 8.115570000000000249e-15
8.160000000000000142e+00 7.888879999999999715e-15
8.179999999999999716e+00 7.681089999999999548e-15
8.199999999999999289e+00 7.490859999999999610e-15
8.220000000000000639e+00 7.316960000000000472e-15
8.240000000000000213e+00 7.158229999999999567e-15
8.259999999999999787e+00 7.013570000000000092e-15
8.279999999999999361e+00 6.881989999999999638e-15
8.300000000000000711e+00 6.762529999999999862e-15
8.320000000000000284e+00 6.654309999999999851e-15
8.339999999999999858e+00 6.556499999999999944e-15
8.359999999999999432e+00 6.468350000000000277e-15
8.380000000000000782e+00 6.389129999999999751e-15
8.400000000000000355e+00 6.318179999999999653e-15
8.419999999999999929e+00 6.254860000000000036e-15
8.439999999999999503e+00 6.198600000000000183e-15
