# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.872430000000000575e-11
3.520000000000000018e+00 5.794209999999999966e-11
3.540000000000000036e+00 5.704330000000000272e-11
3.560000000000000053e+00 5.603879999999999988e-11
3.580000000000000071e+00 5.493919999999999677e-11
3.600000000000000089e+00 5.375549999999999728e-11
3.620000000000000107e+00 5.249859999999999927e-11
3.640000000000000124e+00 5.117920000000000148e-11
3.660000000000000142e+00 4.980779999999999705e-11
3.680000000000000160e+00 4.839450000000000023e-11
3.700000000000000178e+00 4.694880000000000206e-11
3.720000000000000195e+00 4.548010000000000045e-11
3.740000000000000213e+00 4.399689999999999724e-11
3.759999999999999787e+00 4.250730000000000246e-11
3.779999999999999805e+00 4.101900000000000202e-11
3.799999999999999822e+00 3.953909999999999739e-11
3.819999999999999840e+00 3.807409999999999909e-11
3.839999999999999858e+00 3.663039999999999869e-11
3.859999999999999876e+00 3.521379999999999683e-11
3.879999999999999893e+00 3.383029999999999975e-11
3.899999999999999911e+00 3.248560000000000205e-11
3.919999999999999929e+00 3.118569999999999706e-11
3.939999999999999947e+00 2.993700000000000219e-11
3.959999999999999964e+00 2.874620000000000125e-11
3.979999999999999982e+00 2.762070000000000084e-11
4.000000000000000000e+00 2.656909999999999914e-11
4.019999999999999574e+00 2.560039999999999904e-11
4.040000000000000036e+00 2.472449999999999951e-11
4.059999999999999609e+00 2.395209999999999929e-11
4.080000000000000071e+00 2.329429999999999860e-11
4.099999999999999645e+00 2.276249999999999959e-11
4.120000000000000107e+00 2.236830000000000032e-11
4.139999999999999680e+00 2.212249999999999909e-11
4.160000000000000142e+00 2.203510000000000089e-11
4.179999999999999716e+00 2.211470000000000067e-11
4.200000000000000178e+00 2.236810000000000119e-11
4.219999999999999751e+00 2.279979999999999904e-11
4.240000000000000213e+00 2.341130000000000062e-11
4.259999999999999787e+00 2.420160000000000060e-11
4.280000000000000249e+00 2.516619999999999913e-11
4.299999999999999822e+00 2.629730000000000105e-11
4.320000000000000284e+00 2.758430000000000071e-11
4.339999999999999858e+00 2.901289999999999889e-11
4.360000000000000320e+00 3.056630000000000073e-11
4.379999999999999893e+00 3.222520000000000288e-11
4.400000000000000355e+00 3.396830000000000098e-11
4.419999999999999929e+00 3.577259999999999804e-11
4.440000000000000391e+00 3.761410000000000146e-11
4.459999999999999964e+00 3.946840000000000094e-11
4.480000000000000426e+00 4.131109999999999913e-11
4.500000000000000000e+00 4.311830000000000298e-11
4.519999999999999574e+00 4.486710000000000216e-11
4.540000000000000036e+00 4.653619999999999875e-11
4.559999999999999609e+00 4.810609999999999997e-11
4.580000000000000071e+00 4.955909999999999872e-11
4.599999999999999645e+00 5.088010000000000248e-11
4.620000000000000107e+00 5.205640000000000182e-11
4.639999999999999680e+00 5.307780000000000230e-11
4.660000000000000142e+00 5.393669999999999816e-11
4.679999999999999716e+00 5.462779999999999953e-11
4.700000000000000178e+00 5.514839999999999875e-11
4.719999999999999751e+00 5.549809999999999755e-11
4.740000000000000213e+00 5.567830000000000278e-11
4.769999999999999574e+00 5.569259999999999879e-11
4.790000000000000036e+00 5.554620000000000176e-11
4.809999999999999609e+00 5.524560000000000282e-11
4.830000000000000071e+00 5.479879999999999951e-11
4.849999999999999645e+00 5.421449999999999926e-11
4.870000000000000107e+00 5.350249999999999826e-11
4.889999999999999680e+00 5.267289999999999783e-11
4.910000000000000142e+00 5.173640000000000319e-11
4.929999999999999716e+00 5.070389999999999926e-11
4.950000000000000178e+00 4.958609999999999770e-11
4.969999999999999751e+00 4.839379999999999681e-11
4.990000000000000213e+00 4.713760000000000222e-11
5.009999999999999787e+00 4.582780000000000148e-11
5.030000000000000249e+00 4.447409999999999767e-11
5.049999999999999822e+00 4.308610000000000076e-11
5.070000000000000284e+00 4.167239999999999922e-11
5.089999999999999858e+00 4.024140000000000178e-11
5.110000000000000320e+00 3.880070000000000127e-11
5.129999999999999893e+00 3.735739999999999913e-11
5.150000000000000355e+00 3.591799999999999942e-11
5.169999999999999929e+00 3.448840000000000236e-11
5.190000000000000391e+00 3.307369999999999871e-11
5.209999999999999964e+00 3.167860000000000034e-11
5.230000000000000426e+00 3.030710000000000280e-11
5.250000000000000000e+00 2.896299999999999927e-11
5.269999999999999574e+00 2.764910000000000019e-11
5.290000000000000036e+00 2.636810000000000030e-11
5.309999999999999609e+00 2.512219999999999972e-11
5.330000000000000071e+00 2.391300000000000120e-11
5.349999999999999645e+00 2.274200000000000144e-11
5.370000000000000107e+00 2.161000000000000021e-11
5.389999999999999680e+00 2.051780000000000048e-11
5.410000000000000142e+00 1.946580000000000052e-11
5.429999999999999716e+00 1.845419999999999946e-11
5.450000000000000178e+00 1.748280000000000140e-11
5.469999999999999751e+00 1.655150000000000031e-11
5.490000000000000213e+00 1.565969999999999880e-11
5.509999999999999787e+00 1.480699999999999860e-11
5.530000000000000249e+00 1.399239999999999923e-11
