# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.736710000000000018e-11
3.520000000000000018e+00 1.684200000000000114e-11
3.540000000000000036e+00 1.633179999999999873e-11
3.560000000000000053e+00 1.583630000000000028e-11
3.580000000000000071e+00 1.535500000000000152e-11
3.600000000000000089e+00 1.488750000000000093e-11
3.620000000000000107e+00 1.443340000000000027e-11
3.640000000000000124e+00 1.399239999999999923e-11
3.660000000000000142e+00 1.356399999999999996e-11
3.680000000000000160e+00 1.314809999999999968e-11
3.700000000000000178e+00 1.274409999999999938e-11
3.720000000000000195e+00 1.235179999999999994e-11
3.740000000000000213e+00 1.197089999999999941e-11
3.759999999999999787e+00 1.160099999999999954e-11
3.779999999999999805e+00 1.124180000000000002e-11
3.799999999999999822e+00 1.089310000000000010e-11
3.819999999999999840e+00 1.055449999999999991e-11
3.839999999999999858e+00 1.022580000000000031e-11
3.859999999999999876e+00 9.906699999999999379e-12
3.879999999999999893e+00 9.596909999999999342e-12
3.899999999999999911e+00 9.296179999999999674e-12
3.919999999999999929e+00 9.004259999999999843e-12
3.939999999999999947e+00 8.720910000000000248e-12
3.959999999999999964e+00 8.445880000000000359e-12
3.979999999999999982e+00 8.178949999999999193e-12
4.000000000000000000e+00 7.919889999999999689e-12
4.019999999999999574e+00 7.668469999999999938e-12
4.040000000000000036e+00 7.424489999999999194e-12
4.059999999999999609e+00 7.187729999999999707e-12
4.080000000000000071e+00 6.958000000000000038e-12
4.099999999999999645e+00 6.735100000000000251e-12
4.120000000000000107e+00 6.518820000000000288e-12
4.139999999999999680e+00 6.308989999999999757e-12
4.160000000000000142e+00 6.105429999999999764e-12
4.179999999999999716e+00 5.907959999999999799e-12
4.200000000000000178e+00 5.716410000000000277e-12
4.219999999999999751e+00 5.530300000000000376e-12
4.240000000000000213e+00 5.349770000000000135e-12
4.259999999999999787e+00 5.174689999999999633e-12
4.280000000000000249e+00 5.004879999999999976e-12
4.299999999999999822e+00 4.840219999999999746e-12
4.320000000000000284e+00 4.680540000000000168e-12
4.339999999999999858e+00 4.525700000000000396e-12
4.360000000000000320e+00 4.375569999999999702e-12
4.379999999999999893e+00 4.230019999999999782e-12
4.400000000000000355e+00 4.088899999999999672e-12
4.419999999999999929e+00 3.952099999999999689e-12
4.440000000000000391e+00 3.819479999999999796e-12
4.459999999999999964e+00 3.690930000000000309e-12
4.480000000000000426e+00 3.566329999999999810e-12
4.500000000000000000e+00 3.445639999999999846e-12
4.519999999999999574e+00 3.328469999999999852e-12
4.540000000000000036e+00 3.215099999999999902e-12
4.559999999999999609e+00 3.105219999999999970e-12
4.580000000000000071e+00 2.998749999999999920e-12
4.599999999999999645e+00 2.895569999999999949e-12
4.620000000000000107e+00 2.795610000000000040e-12
4.639999999999999680e+00 2.698779999999999937e-12
4.660000000000000142e+00 2.604980000000000074e-12
4.679999999999999716e+00 2.514120000000000197e-12
4.700000000000000178e+00 2.426129999999999882e-12
4.719999999999999751e+00 2.340929999999999801e-12
4.740000000000000213e+00 2.258409999999999865e-12
4.769999999999999574e+00 2.178519999999999890e-12
4.790000000000000036e+00 2.101180000000000141e-12
4.809999999999999609e+00 2.026299999999999959e-12
4.830000000000000071e+00 1.953819999999999848e-12
4.849999999999999645e+00 1.883670000000000192e-12
4.870000000000000107e+00 1.815779999999999963e-12
4.889999999999999680e+00 1.750079999999999950e-12
4.910000000000000142e+00 1.686499999999999932e-12
4.929999999999999716e+00 1.624989999999999925e-12
4.950000000000000178e+00 1.565490000000000027e-12
4.969999999999999751e+00 1.507930000000000018e-12
4.990000000000000213e+00 1.452249999999999997e-12
5.009999999999999787e+00 1.398410000000000097e-12
5.030000000000000249e+00 1.346350000000000014e-12
5.049999999999999822e+00 1.296019999999999965e-12
5.070000000000000284e+00 1.247349999999999931e-12
5.089999999999999858e+00 1.200320000000000080e-12
5.110000000000000320e+00 1.154959999999999958e-12
5.129999999999999893e+00 1.110880000000000008e-12
5.150000000000000355e+00 1.068420000000000005e-12
5.169999999999999929e+00 1.027450000000000030e-12
5.190000000000000391e+00 9.878749999999999684e-13
5.209999999999999964e+00 9.496489999999999251e-13
5.230000000000000426e+00 9.127190000000000007e-13
5.250000000000000000e+00 8.770490000000000123e-13
5.269999999999999574e+00 8.426050000000000230e-13
5.290000000000000036e+00 8.093569999999999813e-13
5.309999999999999609e+00 7.772750000000000378e-13
5.330000000000000071e+00 7.463330000000000269e-13
5.349999999999999645e+00 7.165040000000000133e-13
5.370000000000000107e+00 6.877639999999999763e-13
5.389999999999999680e+00 6.600959999999999976e-13
5.410000000000000142e+00 6.334910000000000317e-13
5.429999999999999716e+00 6.079470000000000347e-13
5.450000000000000178e+00 5.834770000000000391e-13
5.469999999999999751e+00 5.601109999999999950e-13
5.490000000000000213e+00 5.379029999999999750e-13
5.509999999999999787e+00 5.168239999999999998e-13
5.530000000000000249e+00 4.972400000000000098e-13
5.549999999999999822e+00 4.790520000000000069e-13
5.570000000000000284e+00 4.625070000000000002e-13
5.589999999999999858e+00 4.478040000000000072e-13
5.610000000000000320e+00 4.351710000000000246e-13
5.629999999999999893e+00 4.248640000000000060e-13
5.650000000000000355e+00 4.171560000000000251e-13
5.669999999999999929e+00 4.123329999999999860e-13
5.690000000000000391e+00 4.106820000000000165e-13
5.709999999999999964e+00 4.124770000000000104e-13
5.730000000000000426e+00 4.179690000000000136e-13
5.750000000000000000e+00 4.273749999999999839e-13
5.769999999999999574e+00 4.408580000000000083e-13
5.790000000000000036e+00 4.585259999999999791e-13
5.809999999999999609e+00 4.804129999999999846e-13
5.830000000000000071e+00 5.064790000000000071e-13
5.849999999999999645e+00 5.366029999999999704e-13
5.870000000000000107e+00 5.705780000000000351e-13
5.889999999999999680e+00 6.081210000000000096e-13
5.910000000000000142e+00 6.488689999999999688e-13
5.929999999999999716e+00 6.923929999999999558e-13
5.950000000000000178e+00 7.382000000000000251e-13
5.969999999999999751e+00 7.857540000000000464e-13
5.990000000000000213e+00 8.344809999999999659e-13
6.009999999999999787e+00 8.837869999999999984e-13
6.030000000000000249e+00 9.330639999999999509e-13
6.049999999999999822e+00 9.817149999999999220e-13
6.070000000000000284e+00 1.029160000000000029e-12
6.089999999999999858e+00 1.074850000000000009e-12
6.110000000000000320e+00 1.118080000000000018e-12
6.129999999999999893e+00 1.158719999999999934e-12
6.150000000000000355e+00 1.196189999999999975e-12
6.169999999999999929e+00 1.230140000000000047e-12
6.190000000000000391e+00 1.260290000000000075e-12
6.209999999999999964e+00 1.286430000000000002e-12
6.230000000000000426e+00 1.308379999999999924e-12
6.250000000000000000e+00 1.326040000000000073e-12
6.269999999999999574e+00 1.339360000000000061e-12
6.290000000000000036e+00 1.348359999999999921e-12
6.309999999999999609e+00 1.353090000000000043e-12
6.330000000000000071e+00 1.353659999999999909e-12
6.349999999999999645e+00 1.350209999999999959e-12
6.370000000000000107e+00 1.342920000000000098e-12
6.389999999999999680e+00 1.331999999999999979e-12
6.410000000000000142e+00 1.317669999999999978e-12
6.429999999999999716e+00 1.300189999999999936e-12
6.450000000000000178e+00 1.279820000000000094e-12
6.469999999999999751e+00 1.256820000000000091e-12
6.490000000000000213e+00 1.231470000000000002e-12
6.509999999999999787e+00 1.204049999999999903e-12
6.530000000000000249e+00 1.174800000000000002e-12
6.549999999999999822e+00 1.144020000000000006e-12
6.570000000000000284e+00 1.111940000000000006e-12
6.589999999999999858e+00 1.078809999999999924e-12
6.610000000000000320e+00 1.044849999999999935e-12
6.629999999999999893e+00 1.010300000000000047e-12
6.650000000000000355e+00 9.753430000000000780e-13
6.669999999999999929e+00 9.401739999999999074e-13
6.690000000000000391e+00 9.049619999999999561e-13
6.709999999999999964e+00 8.698650000000000502e-13
6.730000000000000426e+00 8.350249999999999685e-13
6.750000000000000000e+00 8.005669999999999753e-13
6.769999999999999574e+00 7.666039999999999715e-13
6.790000000000000036e+00 7.332339999999999835e-13
6.809999999999999609e+00 7.005440000000000490e-13
6.830000000000000071e+00 6.686049999999999566e-13
6.849999999999999645e+00 6.374779999999999823e-13
6.870000000000000107e+00 6.072149999999999526e-13
6.889999999999999680e+00 5.778570000000000085e-13
6.910000000000000142e+00 5.494339999999999992e-13
6.929999999999999716e+00 5.219700000000000468e-13
6.950000000000000178e+00 4.954800000000000254e-13
6.969999999999999751e+00 4.699739999999999521e-13
6.990000000000000213e+00 4.454540000000000222e-13
7.009999999999999787e+00 4.219170000000000186e-13
7.030000000000000249e+00 3.993570000000000118e-13
7.049999999999999822e+00 3.777619999999999912e-13
7.070000000000000284e+00 3.571160000000000103e-13
7.089999999999999858e+00 3.374009999999999777e-13
7.110000000000000320e+00 3.186189999999999876e-13
7.129999999999999893e+00 3.007049999999999793e-13
7.150000000000000355e+00 2.836559999999999881e-13
7.169999999999999929e+00 2.674479999999999929e-13
7.190000000000000391e+00 2.520529999999999863e-13
7.209999999999999964e+00 2.374430000000000112e-13
7.230000000000000426e+00 2.235889999999999877e-13
7.259999999999999787e+00 2.104620000000000124e-13
7.280000000000000249e+00 1.980349999999999988e-13
7.299999999999999822e+00 1.862769999999999998e-13
7.320000000000000284e+00 1.751610000000000046e-13
7.339999999999999858e+00 1.646580000000000088e-13
7.360000000000000320e+00 1.547410000000000017e-13
7.379999999999999893e+00 1.453829999999999976e-13
7.400000000000000355e+00 1.365570000000000107e-13
7.419999999999999929e+00 1.282389999999999951e-13
7.440000000000000391e+00 1.204030000000000121e-13
7.459999999999999964e+00 1.130250000000000031e-13
7.480000000000000426e+00 1.060830000000000035e-13
7.500000000000000000e+00 9.955280000000000319e-14
7.519999999999999574e+00 9.341440000000000584e-14
7.540000000000000036e+00 8.764680000000000575e-14
7.559999999999999609e+00 8.222989999999999932e-14
7.580000000000000071e+00 7.714499999999999591e-14
7.599999999999999645e+00 7.237390000000000325e-14
7.620000000000000107e+00 6.789930000000000584e-14
7.639999999999999680e+00 6.370460000000000100e-14
7.660000000000000142e+00 5.977430000000000259e-14
7.679999999999999716e+00 5.609320000000000200e-14
7.700000000000000178e+00 5.264720000000000083e-14
7.719999999999999751e+00 4.942259999999999809e-14
7.740000000000000213e+00 4.640680000000000301e-14
7.759999999999999787e+00 4.358740000000000141e-14
7.780000000000000249e+00 4.095300000000000104e-14
7.799999999999999822e+00 3.849260000000000074e-14
7.820000000000000284e+00 3.619589999999999953e-14
7.839999999999999858e+00 3.405310000000000108e-14
7.860000000000000320e+00 3.205490000000000107e-14
7.879999999999999893e+00 3.019270000000000170e-14
7.900000000000000355e+00 2.845820000000000161e-14
7.919999999999999929e+00 2.684360000000000098e-14
7.940000000000000391e+00 2.534150000000000049e-14
7.959999999999999964e+00 2.394510000000000012e-14
7.980000000000000426e+00 2.264789999999999948e-14
8.000000000000000000e+00 2.144370000000000093e-14
8.019999999999999574e+00 2.032660000000000020e-14
8.039999999999999147e+00 1.929129999999999854e-14
8.060000000000000497e+00 1.833260000000000132e-14
8.080000000000000071e+00 1.744579999999999961e-14
8.099999999999999645e+00 1.662620000000000026e-14
8.119999999999999218e+00 1.586740000000000063e-14
8.140000000000000568e+00 1.516949999999999850e-14
8.160000000000000142e+00 1.452689999999999866e-14
8.179999999999999716e+00 1.393599999999999926e-14
8.199999999999999289e+00 1.339349999999999961e-14
8.220000000000000639e+00 1.289619999999999999e-14
8.240000000000000213e+00 1.244129999999999964e-14
8.259999999999999787e+00 1.202590000000000003e-14
8.279999999999999361e+00 1.164740000000000069e-14
8.300000000000000711e+00 1.130350000000000076e-14
8.320000000000000284e+00 1.099170000000000070e-14
8.339999999999999858e+00 1.071010000000000023e-14
8.359999999999999432e+00 1.045649999999999942e-14
8.380000000000000782e+00 1.022899999999999957e-14
8.400000000000000355e+00 1.002600000000000002e-14
8.419999999999999929e+00 9.845660000000000719e-15
8.439999999999999503e+00 9.686480000000000368e-15
8.460000000000000853e+00 9.546970000000000592e-15
8.480000000000000426e+00 9.425770000000000122e-15
8.500000000000000000e+00 9.321579999999999507e-15
