# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.001570000000000265e-11
3.520000000000000018e+00 2.912810000000000227e-11
3.540000000000000036e+00 2.826549999999999987e-11
3.560000000000000053e+00 2.742719999999999848e-11
3.580000000000000071e+00 2.661260000000000072e-11
3.600000000000000089e+00 2.582090000000000037e-11
3.620000000000000107e+00 2.505169999999999917e-11
3.640000000000000124e+00 2.430420000000000058e-11
3.660000000000000142e+00 2.357790000000000034e-11
3.680000000000000160e+00 2.287220000000000103e-11
3.700000000000000178e+00 2.218660000000000161e-11
3.720000000000000195e+00 2.152039999999999865e-11
3.740000000000000213e+00 2.087320000000000036e-11
3.759999999999999787e+00 2.024439999999999965e-11
3.779999999999999805e+00 1.963360000000000148e-11
3.799999999999999822e+00 1.904019999999999878e-11
3.819999999999999840e+00 1.846370000000000018e-11
3.839999999999999858e+00 1.790380000000000051e-11
3.859999999999999876e+00 1.735989999999999916e-11
3.879999999999999893e+00 1.683160000000000110e-11
3.899999999999999911e+00 1.631850000000000160e-11
3.919999999999999929e+00 1.582009999999999961e-11
3.939999999999999947e+00 1.533609999999999965e-11
3.959999999999999964e+00 1.486600000000000067e-11
3.979999999999999982e+00 1.440950000000000075e-11
4.000000000000000000e+00 1.396620000000000000e-11
4.019999999999999574e+00 1.353570000000000017e-11
4.040000000000000036e+00 1.311769999999999933e-11
4.059999999999999609e+00 1.271179999999999921e-11
4.080000000000000071e+00 1.231769999999999951e-11
4.099999999999999645e+00 1.193500000000000034e-11
4.120000000000000107e+00 1.156349999999999935e-11
4.139999999999999680e+00 1.120289999999999945e-11
4.160000000000000142e+00 1.085280000000000077e-11
4.179999999999999716e+00 1.051289999999999976e-11
4.200000000000000178e+00 1.018289999999999935e-11
4.219999999999999751e+00 9.862690000000000660e-12
4.240000000000000213e+00 9.551850000000000340e-12
4.259999999999999787e+00 9.250149999999999717e-12
4.280000000000000249e+00 8.957330000000000567e-12
4.299999999999999822e+00 8.673159999999999366e-12
4.320000000000000284e+00 8.397379999999999505e-12
4.339999999999999858e+00 8.129760000000000692e-12
4.360000000000000320e+00 7.870080000000000328e-12
4.379999999999999893e+00 7.618109999999999737e-12
4.400000000000000355e+00 7.373629999999999551e-12
4.419999999999999929e+00 7.136429999999999713e-12
4.440000000000000391e+00 6.906310000000000286e-12
4.459999999999999964e+00 6.683069999999999714e-12
4.480000000000000426e+00 6.466500000000000365e-12
4.500000000000000000e+00 6.256440000000000350e-12
4.519999999999999574e+00 6.052679999999999610e-12
4.540000000000000036e+00 5.855060000000000297e-12
4.559999999999999609e+00 5.663390000000000166e-12
4.580000000000000071e+00 5.477519999999999868e-12
4.599999999999999645e+00 5.297269999999999702e-12
4.620000000000000107e+00 5.122480000000000201e-12
4.639999999999999680e+00 4.953000000000000403e-12
4.660000000000000142e+00 4.788680000000000150e-12
4.679999999999999716e+00 4.629370000000000094e-12
4.700000000000000178e+00 4.474930000000000199e-12
4.719999999999999751e+00 4.325219999999999618e-12
4.740000000000000213e+00 4.180099999999999930e-12
4.769999999999999574e+00 4.039439999999999598e-12
4.790000000000000036e+00 3.903110000000000319e-12
4.809999999999999609e+00 3.770999999999999987e-12
4.830000000000000071e+00 3.642970000000000178e-12
