# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.584200000000000217e-11
3.520000000000000018e+00 5.427419999999999829e-11
3.540000000000000036e+00 5.274910000000000270e-11
3.560000000000000053e+00 5.126540000000000166e-11
3.580000000000000071e+00 4.982209999999999952e-11
3.600000000000000089e+00 4.841810000000000106e-11
3.620000000000000107e+00 4.705239999999999770e-11
3.640000000000000124e+00 4.572400000000000025e-11
3.660000000000000142e+00 4.443170000000000100e-11
3.680000000000000160e+00 4.317480000000000299e-11
3.700000000000000178e+00 4.195229999999999765e-11
3.720000000000000195e+00 4.076310000000000268e-11
3.740000000000000213e+00 3.960660000000000130e-11
3.759999999999999787e+00 3.848169999999999828e-11
3.779999999999999805e+00 3.738759999999999712e-11
3.799999999999999822e+00 3.632360000000000085e-11
3.819999999999999840e+00 3.528870000000000088e-11
3.839999999999999858e+00 3.428239999999999941e-11
3.859999999999999876e+00 3.330360000000000119e-11
3.879999999999999893e+00 3.235180000000000196e-11
3.899999999999999911e+00 3.142629999999999828e-11
3.919999999999999929e+00 3.052620000000000053e-11
3.939999999999999947e+00 2.965089999999999839e-11
3.959999999999999964e+00 2.879990000000000050e-11
3.979999999999999982e+00 2.797230000000000108e-11
4.000000000000000000e+00 2.716759999999999907e-11
4.019999999999999574e+00 2.638520000000000030e-11
4.040000000000000036e+00 2.562440000000000136e-11
4.059999999999999609e+00 2.488480000000000076e-11
4.080000000000000071e+00 2.416559999999999873e-11
4.099999999999999645e+00 2.346649999999999982e-11
4.120000000000000107e+00 2.278670000000000104e-11
4.139999999999999680e+00 2.212590000000000046e-11
4.160000000000000142e+00 2.148350000000000070e-11
4.179999999999999716e+00 2.085890000000000112e-11
4.200000000000000178e+00 2.025179999999999980e-11
4.219999999999999751e+00 1.966159999999999934e-11
4.240000000000000213e+00 1.908790000000000150e-11
4.259999999999999787e+00 1.853030000000000153e-11
4.280000000000000249e+00 1.798819999999999882e-11
4.299999999999999822e+00 1.746140000000000070e-11
4.320000000000000284e+00 1.694930000000000009e-11
4.339999999999999858e+00 1.645160000000000151e-11
4.360000000000000320e+00 1.596790000000000025e-11
4.379999999999999893e+00 1.549769999999999848e-11
4.400000000000000355e+00 1.504089999999999986e-11
4.419999999999999929e+00 1.459680000000000097e-11
4.440000000000000391e+00 1.416530000000000064e-11
4.459999999999999964e+00 1.374600000000000060e-11
4.480000000000000426e+00 1.333860000000000054e-11
4.500000000000000000e+00 1.294259999999999940e-11
4.519999999999999574e+00 1.255789999999999923e-11
4.540000000000000036e+00 1.218410000000000016e-11
4.559999999999999609e+00 1.182080000000000068e-11
4.580000000000000071e+00 1.146789999999999963e-11
4.599999999999999645e+00 1.112509999999999992e-11
4.620000000000000107e+00 1.079200000000000006e-11
4.639999999999999680e+00 1.046839999999999930e-11
4.660000000000000142e+00 1.015400000000000056e-11
4.679999999999999716e+00 9.848570000000000312e-12
4.700000000000000178e+00 9.551900000000000123e-12
4.719999999999999751e+00 9.263719999999999224e-12
4.740000000000000213e+00 8.983789999999999629e-12
4.769999999999999574e+00 8.711890000000000353e-12
4.790000000000000036e+00 8.447809999999999725e-12
4.809999999999999609e+00 8.191320000000000684e-12
4.830000000000000071e+00 7.942209999999999941e-12
4.849999999999999645e+00 7.700270000000000671e-12
4.870000000000000107e+00 7.465320000000000748e-12
4.889999999999999680e+00 7.237160000000000234e-12
4.910000000000000142e+00 7.015600000000000116e-12
4.929999999999999716e+00 6.800449999999999765e-12
4.950000000000000178e+00 6.591539999999999598e-12
4.969999999999999751e+00 6.388700000000000030e-12
4.990000000000000213e+00 6.191749999999999744e-12
5.009999999999999787e+00 6.000530000000000080e-12
5.030000000000000249e+00 5.814890000000000075e-12
5.049999999999999822e+00 5.634660000000000146e-12
5.070000000000000284e+00 5.459700000000000253e-12
5.089999999999999858e+00 5.289860000000000242e-12
5.110000000000000320e+00 5.125000000000000074e-12
5.129999999999999893e+00 4.964970000000000401e-12
5.150000000000000355e+00 4.809639999999999689e-12
5.169999999999999929e+00 4.658889999999999750e-12
5.190000000000000391e+00 4.512569999999999623e-12
5.209999999999999964e+00 4.370569999999999622e-12
5.230000000000000426e+00 4.232759999999999828e-12
5.250000000000000000e+00 4.099039999999999869e-12
5.269999999999999574e+00 3.969269999999999706e-12
5.290000000000000036e+00 3.843359999999999892e-12
5.309999999999999609e+00 3.721179999999999700e-12
5.330000000000000071e+00 3.602649999999999800e-12
5.349999999999999645e+00 3.487649999999999987e-12
5.370000000000000107e+00 3.376079999999999888e-12
5.389999999999999680e+00 3.267839999999999937e-12
5.410000000000000142e+00 3.162849999999999998e-12
5.429999999999999716e+00 3.061010000000000101e-12
5.450000000000000178e+00 2.962219999999999872e-12
5.469999999999999751e+00 2.866410000000000102e-12
5.490000000000000213e+00 2.773490000000000130e-12
5.509999999999999787e+00 2.683370000000000106e-12
5.530000000000000249e+00 2.595980000000000011e-12
5.549999999999999822e+00 2.511229999999999994e-12
5.570000000000000284e+00 2.429060000000000153e-12
5.589999999999999858e+00 2.349379999999999830e-12
5.610000000000000320e+00 2.272129999999999932e-12
5.629999999999999893e+00 2.197240000000000036e-12
