# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 8.264079999999999659e-13
3.520000000000000018e+00 8.539240000000000478e-13
3.540000000000000036e+00 9.064529999999999545e-13
3.560000000000000053e+00 9.927169999999999189e-13
3.580000000000000071e+00 1.123599999999999978e-12
3.600000000000000089e+00 1.312089999999999915e-12
3.620000000000000107e+00 1.573539999999999978e-12
3.640000000000000124e+00 1.925499999999999823e-12
3.660000000000000142e+00 2.387449999999999889e-12
3.680000000000000160e+00 2.980440000000000172e-12
3.700000000000000178e+00 3.726529999999999874e-12
3.720000000000000195e+00 4.648120000000000191e-12
3.740000000000000213e+00 5.767100000000000337e-12
3.759999999999999787e+00 7.104029999999999972e-12
3.779999999999999805e+00 8.677139999999999517e-12
3.799999999999999822e+00 1.050149999999999923e-11
3.819999999999999840e+00 1.258799999999999927e-11
3.839999999999999858e+00 1.494299999999999883e-11
3.859999999999999876e+00 1.756719999999999970e-11
3.879999999999999893e+00 2.045569999999999896e-11
3.899999999999999911e+00 2.359780000000000109e-11
3.919999999999999929e+00 2.697649999999999920e-11
3.939999999999999947e+00 3.056949999999999975e-11
3.959999999999999964e+00 3.434900000000000076e-11
3.979999999999999982e+00 3.828300000000000237e-11
4.000000000000000000e+00 4.233530000000000036e-11
4.019999999999999574e+00 4.646710000000000180e-11
4.040000000000000036e+00 5.063709999999999877e-11
4.059999999999999609e+00 5.480369999999999760e-11
4.080000000000000071e+00 5.892470000000000074e-11
4.099999999999999645e+00 6.295899999999999941e-11
4.120000000000000107e+00 6.686730000000000286e-11
4.139999999999999680e+00 7.061249999999999785e-11
4.160000000000000142e+00 7.416089999999999513e-11
4.179999999999999716e+00 7.748209999999999758e-11
4.200000000000000178e+00 8.055010000000000187e-11
4.219999999999999751e+00 8.334290000000000023e-11
4.240000000000000213e+00 8.584259999999999937e-11
4.259999999999999787e+00 8.803620000000000407e-11
4.280000000000000249e+00 8.991479999999999488e-11
4.299999999999999822e+00 9.147349999999999953e-11
4.320000000000000284e+00 9.271140000000000257e-11
4.339999999999999858e+00 9.363119999999999871e-11
4.360000000000000320e+00 9.423870000000000153e-11
4.379999999999999893e+00 9.454280000000000464e-11
4.400000000000000355e+00 9.455460000000000506e-11
4.419999999999999929e+00 9.428760000000000226e-11
4.440000000000000391e+00 9.375690000000000170e-11
4.459999999999999964e+00 9.297880000000000363e-11
4.480000000000000426e+00 9.197089999999999618e-11
4.500000000000000000e+00 9.075129999999999762e-11
4.519999999999999574e+00 8.933860000000000466e-11
4.540000000000000036e+00 8.775160000000000022e-11
4.559999999999999609e+00 8.600880000000000082e-11
4.580000000000000071e+00 8.412869999999999715e-11
4.599999999999999645e+00 8.212910000000000231e-11
4.620000000000000107e+00 8.002740000000000532e-11
4.639999999999999680e+00 7.784010000000000554e-11
4.660000000000000142e+00 7.558310000000000496e-11
4.679999999999999716e+00 7.327129999999999698e-11
4.700000000000000178e+00 7.091880000000000433e-11
4.719999999999999751e+00 6.853859999999999636e-11
4.740000000000000213e+00 6.614269999999999846e-11
4.769999999999999574e+00 6.374230000000000073e-11
4.790000000000000036e+00 6.134759999999999762e-11
4.809999999999999609e+00 5.896769999999999480e-11
4.830000000000000071e+00 5.661090000000000145e-11
4.849999999999999645e+00 5.428459999999999833e-11
4.870000000000000107e+00 5.199540000000000198e-11
4.889999999999999680e+00 4.974900000000000057e-11
4.910000000000000142e+00 4.755019999999999907e-11
4.929999999999999716e+00 4.540339999999999776e-11
4.950000000000000178e+00 4.331200000000000124e-11
4.969999999999999751e+00 4.127910000000000250e-11
4.990000000000000213e+00 3.930689999999999844e-11
5.009999999999999787e+00 3.739720000000000063e-11
5.030000000000000249e+00 3.555129999999999696e-11
5.049999999999999822e+00 3.377020000000000246e-11
5.070000000000000284e+00 3.205430000000000247e-11
5.089999999999999858e+00 3.040370000000000302e-11
5.110000000000000320e+00 2.881809999999999895e-11
5.129999999999999893e+00 2.729709999999999846e-11
5.150000000000000355e+00 2.583979999999999901e-11
