# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.012820000000000081e-12
3.520000000000000018e+00 2.913330000000000068e-12
3.540000000000000036e+00 2.816880000000000009e-12
3.560000000000000053e+00 2.723369999999999936e-12
3.580000000000000071e+00 2.632709999999999997e-12
3.600000000000000089e+00 2.544860000000000124e-12
3.620000000000000107e+00 2.456979999999999897e-12
3.640000000000000124e+00 2.374540000000000099e-12
3.660000000000000142e+00 2.294629999999999887e-12
3.680000000000000160e+00 2.217169999999999932e-12
3.700000000000000178e+00 2.142089999999999812e-12
3.720000000000000195e+00 2.069319999999999911e-12
3.740000000000000213e+00 1.998799999999999924e-12
3.759999999999999787e+00 1.930459999999999834e-12
3.779999999999999805e+00 1.864230000000000024e-12
3.799999999999999822e+00 1.800059999999999905e-12
3.819999999999999840e+00 1.737889999999999979e-12
3.839999999999999858e+00 1.677620000000000075e-12
3.859999999999999876e+00 1.619320000000000011e-12
3.879999999999999893e+00 1.562799999999999965e-12
3.899999999999999911e+00 1.508070000000000056e-12
3.919999999999999929e+00 1.454970000000000009e-12
3.939999999999999947e+00 1.403579999999999963e-12
3.959999999999999964e+00 1.353830000000000099e-12
3.979999999999999982e+00 1.305670000000000029e-12
4.000000000000000000e+00 1.259020000000000021e-12
4.019999999999999574e+00 1.213860000000000040e-12
4.040000000000000036e+00 1.170120000000000067e-12
4.059999999999999609e+00 1.127780000000000068e-12
4.080000000000000071e+00 1.086779999999999939e-12
4.099999999999999645e+00 1.047089999999999934e-12
4.120000000000000107e+00 1.008680000000000100e-12
4.139999999999999680e+00 9.715019999999999937e-13
4.160000000000000142e+00 9.355260000000000670e-13
4.179999999999999716e+00 9.007170000000000080e-13
4.200000000000000178e+00 8.670400000000000093e-13
4.219999999999999751e+00 8.344629999999999755e-13
4.240000000000000213e+00 8.029580000000000002e-13
4.259999999999999787e+00 7.724950000000000319e-13
4.280000000000000249e+00 7.430500000000000499e-13
4.299999999999999822e+00 7.146130000000000368e-13
4.320000000000000284e+00 6.871849999999999643e-13
4.339999999999999858e+00 6.608029999999999864e-13
4.360000000000000320e+00 6.355599999999999697e-13
4.379999999999999893e+00 6.116460000000000375e-13
4.400000000000000355e+00 5.894049999999999508e-13
4.419999999999999929e+00 5.694340000000000150e-13
4.440000000000000391e+00 5.527029999999999725e-13
4.459999999999999964e+00 5.407380000000000330e-13
4.480000000000000426e+00 5.358429999999999817e-13
4.500000000000000000e+00 5.414370000000000485e-13
4.519999999999999574e+00 5.621020000000000418e-13
4.540000000000000036e+00 6.045700000000000179e-13
4.559999999999999609e+00 6.774749999999999986e-13
4.580000000000000071e+00 7.921399999999999952e-13
4.599999999999999645e+00 9.627320000000000220e-13
4.620000000000000107e+00 1.206649999999999912e-12
4.639999999999999680e+00 1.544630000000000053e-12
4.660000000000000142e+00 2.000790000000000000e-12
4.679999999999999716e+00 2.602289999999999810e-12
4.700000000000000178e+00 3.378970000000000091e-12
4.719999999999999751e+00 4.362670000000000029e-12
4.740000000000000213e+00 5.586339999999999802e-12
4.769999999999999574e+00 7.082840000000000140e-12
4.790000000000000036e+00 8.883730000000000558e-12
4.809999999999999609e+00 1.101800000000000011e-11
4.830000000000000071e+00 1.351080000000000015e-11
4.849999999999999645e+00 1.638159999999999878e-11
4.870000000000000107e+00 1.964350000000000046e-11
4.889999999999999680e+00 2.330229999999999937e-11
4.910000000000000142e+00 2.735520000000000121e-11
4.929999999999999716e+00 3.179100000000000297e-11
4.950000000000000178e+00 3.658930000000000283e-11
4.969999999999999751e+00 4.172110000000000082e-11
4.990000000000000213e+00 4.714950000000000220e-11
5.009999999999999787e+00 5.282970000000000137e-11
5.030000000000000249e+00 5.871100000000000540e-11
5.049999999999999822e+00 6.473689999999999490e-11
5.070000000000000284e+00 7.084800000000000184e-11
5.089999999999999858e+00 7.698139999999999589e-11
5.110000000000000320e+00 8.307450000000000352e-11
5.129999999999999893e+00 8.906410000000000215e-11
5.150000000000000355e+00 9.488959999999999666e-11
5.169999999999999929e+00 1.004929999999999936e-10
5.190000000000000391e+00 1.058209999999999983e-10
5.209999999999999964e+00 1.108250000000000025e-10
5.230000000000000426e+00 1.154619999999999989e-10
5.250000000000000000e+00 1.196960000000000021e-10
5.269999999999999574e+00 1.234960000000000045e-10
5.290000000000000036e+00 1.268399999999999983e-10
5.309999999999999609e+00 1.297100000000000101e-10
5.330000000000000071e+00 1.320969999999999886e-10
5.349999999999999645e+00 1.339970000000000027e-10
5.370000000000000107e+00 1.354119999999999921e-10
5.389999999999999680e+00 1.363489999999999910e-10
5.410000000000000142e+00 1.368210000000000076e-10
5.429999999999999716e+00 1.368439999999999981e-10
5.450000000000000178e+00 1.364369999999999963e-10
5.469999999999999751e+00 1.356250000000000099e-10
5.490000000000000213e+00 1.344320000000000120e-10
5.509999999999999787e+00 1.328850000000000018e-10
5.530000000000000249e+00 1.310140000000000038e-10
5.549999999999999822e+00 1.288480000000000084e-10
5.570000000000000284e+00 1.264169999999999885e-10
