# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.000669999999999936e-11
3.520000000000000018e+00 9.707049999999999517e-12
3.540000000000000036e+00 9.415920000000000131e-12
3.560000000000000053e+00 9.133110000000000450e-12
3.580000000000000071e+00 8.858390000000000183e-12
3.600000000000000089e+00 8.591539999999999962e-12
3.620000000000000107e+00 8.332329999999999494e-12
3.640000000000000124e+00 8.080570000000000575e-12
3.660000000000000142e+00 7.836040000000000606e-12
3.680000000000000160e+00 7.598549999999999767e-12
3.700000000000000178e+00 7.367909999999999854e-12
3.720000000000000195e+00 7.143920000000000118e-12
3.740000000000000213e+00 6.926400000000000052e-12
3.759999999999999787e+00 6.715169999999999951e-12
3.779999999999999805e+00 6.510060000000000232e-12
3.799999999999999822e+00 6.310909999999999814e-12
3.819999999999999840e+00 6.117529999999999682e-12
3.839999999999999858e+00 5.929789999999999919e-12
3.859999999999999876e+00 5.747510000000000013e-12
3.879999999999999893e+00 5.570549999999999927e-12
3.899999999999999911e+00 5.398799999999999977e-12
3.919999999999999929e+00 5.231969999999999970e-12
3.939999999999999947e+00 5.070070000000000024e-12
3.959999999999999964e+00 4.902179999999999615e-12
3.979999999999999982e+00 4.750040000000000225e-12
4.000000000000000000e+00 4.602300000000000291e-12
4.019999999999999574e+00 4.458829999999999894e-12
4.040000000000000036e+00 4.319530000000000276e-12
4.059999999999999609e+00 4.184269999999999901e-12
4.080000000000000071e+00 4.052960000000000130e-12
4.099999999999999645e+00 3.925530000000000137e-12
4.120000000000000107e+00 3.801909999999999902e-12
4.139999999999999680e+00 3.682090000000000116e-12
4.160000000000000142e+00 3.566139999999999989e-12
4.179999999999999716e+00 3.454199999999999963e-12
4.200000000000000178e+00 3.346550000000000114e-12
4.219999999999999751e+00 3.243670000000000051e-12
4.240000000000000213e+00 3.146310000000000151e-12
4.259999999999999787e+00 3.055530000000000007e-12
4.280000000000000249e+00 2.972800000000000015e-12
4.299999999999999822e+00 2.900279999999999835e-12
4.320000000000000284e+00 2.840639999999999900e-12
4.339999999999999858e+00 2.797369999999999823e-12
4.360000000000000320e+00 2.774869999999999868e-12
4.379999999999999893e+00 2.778569999999999943e-12
4.400000000000000355e+00 2.815029999999999972e-12
4.419999999999999929e+00 2.892069999999999813e-12
4.440000000000000391e+00 3.018810000000000139e-12
4.459999999999999964e+00 3.205729999999999912e-12
4.480000000000000426e+00 3.464680000000000137e-12
4.500000000000000000e+00 3.809019999999999859e-12
4.519999999999999574e+00 4.252980000000000322e-12
4.540000000000000036e+00 4.812169999999999679e-12
4.559999999999999609e+00 5.503120000000000082e-12
4.580000000000000071e+00 6.342799999999999994e-12
4.599999999999999645e+00 7.348489999999999922e-12
4.620000000000000107e+00 8.537050000000000262e-12
4.639999999999999680e+00 9.924650000000000529e-12
4.660000000000000142e+00 1.152610000000000033e-11
4.679999999999999716e+00 1.335399999999999985e-11
4.700000000000000178e+00 1.541850000000000019e-11
4.719999999999999751e+00 1.772659999999999840e-11
4.740000000000000213e+00 2.028140000000000040e-11
4.769999999999999574e+00 2.308180000000000127e-11
4.790000000000000036e+00 2.612219999999999950e-11
4.809999999999999609e+00 2.939229999999999786e-11
4.830000000000000071e+00 3.287680000000000144e-11
4.849999999999999645e+00 3.655579999999999980e-11
4.870000000000000107e+00 4.040470000000000291e-11
4.889999999999999680e+00 4.439509999999999851e-11
4.910000000000000142e+00 4.849500000000000288e-11
4.929999999999999716e+00 5.266949999999999969e-11
4.950000000000000178e+00 5.688120000000000283e-11
4.969999999999999751e+00 6.109150000000000560e-11
4.990000000000000213e+00 6.526139999999999655e-11
5.009999999999999787e+00 6.935160000000000430e-11
5.030000000000000249e+00 7.332429999999999928e-11
5.049999999999999822e+00 7.714289999999999838e-11
5.070000000000000284e+00 8.077339999999999427e-11
5.089999999999999858e+00 8.418460000000000623e-11
5.110000000000000320e+00 8.734880000000000601e-11
5.129999999999999893e+00 9.024150000000000317e-11
5.150000000000000355e+00 9.284280000000000017e-11
5.169999999999999929e+00 9.513650000000000281e-11
5.190000000000000391e+00 9.711059999999999861e-11
5.209999999999999964e+00 9.875720000000000252e-11
5.230000000000000426e+00 1.000720000000000009e-10
5.250000000000000000e+00 1.010560000000000024e-10
5.269999999999999574e+00 1.017119999999999947e-10
