# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.532509999999999899e-11
3.520000000000000018e+00 1.484720000000000160e-11
3.540000000000000036e+00 1.438339999999999948e-11
3.560000000000000053e+00 1.393310000000000007e-11
3.580000000000000071e+00 1.349590000000000028e-11
3.600000000000000089e+00 1.307159999999999935e-11
3.620000000000000107e+00 1.265980000000000064e-11
3.640000000000000124e+00 1.225999999999999986e-11
3.660000000000000142e+00 1.187210000000000068e-11
3.680000000000000160e+00 1.149549999999999923e-11
3.700000000000000178e+00 1.113009999999999919e-11
3.720000000000000195e+00 1.077550000000000068e-11
3.740000000000000213e+00 1.043149999999999973e-11
3.759999999999999787e+00 1.009760000000000011e-11
3.779999999999999805e+00 9.773649999999999254e-12
3.799999999999999822e+00 9.459359999999999388e-12
3.819999999999999840e+00 9.154439999999999512e-12
3.839999999999999858e+00 8.858650000000000022e-12
3.859999999999999876e+00 8.571699999999999917e-12
3.879999999999999893e+00 8.293369999999999830e-12
3.899999999999999911e+00 8.023399999999999921e-12
3.919999999999999929e+00 7.761559999999999898e-12
3.939999999999999947e+00 7.507619999999999467e-12
3.959999999999999964e+00 7.261349999999999952e-12
3.979999999999999982e+00 7.022539999999999680e-12
4.000000000000000000e+00 6.790980000000000211e-12
4.019999999999999574e+00 6.566459999999999871e-12
4.040000000000000036e+00 6.348799999999999766e-12
4.059999999999999609e+00 6.137820000000000195e-12
4.080000000000000071e+00 5.933349999999999956e-12
4.099999999999999645e+00 5.735290000000000293e-12
4.120000000000000107e+00 5.543540000000000025e-12
4.139999999999999680e+00 5.358120000000000195e-12
4.160000000000000142e+00 5.179159999999999916e-12
4.179999999999999716e+00 5.006929999999999952e-12
4.200000000000000178e+00 4.842090000000000020e-12
4.219999999999999751e+00 4.681479999999999960e-12
4.240000000000000213e+00 4.534780000000000191e-12
4.259999999999999787e+00 4.399830000000000246e-12
4.280000000000000249e+00 4.279510000000000210e-12
4.299999999999999822e+00 4.177670000000000313e-12
4.320000000000000284e+00 4.099299999999999708e-12
4.339999999999999858e+00 4.050689999999999979e-12
4.360000000000000320e+00 4.039529999999999853e-12
4.379999999999999893e+00 4.075029999999999853e-12
4.400000000000000355e+00 4.167649999999999917e-12
4.419999999999999929e+00 4.329349999999999925e-12
4.440000000000000391e+00 4.573230000000000295e-12
4.459999999999999964e+00 4.913250000000000294e-12
4.480000000000000426e+00 5.363950000000000383e-12
4.500000000000000000e+00 5.940049999999999918e-12
4.519999999999999574e+00 6.655729999999999954e-12
4.540000000000000036e+00 7.524870000000000429e-12
4.559999999999999609e+00 8.560009999999999994e-12
4.580000000000000071e+00 9.772130000000000690e-12
4.599999999999999645e+00 1.117059999999999927e-11
4.620000000000000107e+00 1.276259999999999976e-11
4.639999999999999680e+00 1.455339999999999896e-11
4.660000000000000142e+00 1.654630000000000029e-11
4.679999999999999716e+00 1.874230000000000103e-11
4.700000000000000178e+00 2.114049999999999863e-11
4.719999999999999751e+00 2.373859999999999984e-11
4.740000000000000213e+00 2.653230000000000075e-11
4.769999999999999574e+00 2.951589999999999705e-11
4.790000000000000036e+00 3.268220000000000063e-11
4.809999999999999609e+00 3.602300000000000190e-11
4.830000000000000071e+00 3.952859999999999779e-11
4.849999999999999645e+00 4.318759999999999906e-11
4.870000000000000107e+00 4.698720000000000319e-11
4.889999999999999680e+00 5.091320000000000080e-11
4.910000000000000142e+00 5.494939999999999768e-11
4.929999999999999716e+00 5.907769999999999494e-11
4.950000000000000178e+00 6.327799999999999593e-11
4.969999999999999751e+00 6.752829999999999934e-11
4.990000000000000213e+00 7.180469999999999917e-11
5.009999999999999787e+00 7.608129999999999814e-11
5.030000000000000249e+00 8.033100000000000415e-11
5.049999999999999822e+00 8.452510000000000624e-11
5.070000000000000284e+00 8.863440000000000207e-11
5.089999999999999858e+00 9.262890000000000570e-11
5.110000000000000320e+00 9.647920000000000273e-11
5.129999999999999893e+00 1.001559999999999977e-10
5.150000000000000355e+00 1.036310000000000038e-10
5.169999999999999929e+00 1.068780000000000056e-10
5.190000000000000391e+00 1.098730000000000041e-10
5.209999999999999964e+00 1.125940000000000043e-10
5.230000000000000426e+00 1.150219999999999984e-10
5.250000000000000000e+00 1.171420000000000128e-10
5.269999999999999574e+00 1.189400000000000049e-10
5.290000000000000036e+00 1.204080000000000096e-10
5.309999999999999609e+00 1.215400000000000011e-10
