# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.042239999999999986e-10
3.520000000000000018e+00 1.011830000000000062e-10
3.540000000000000036e+00 9.822619999999999680e-11
3.560000000000000053e+00 9.535209999999999636e-11
3.580000000000000071e+00 9.255830000000000234e-11
3.600000000000000089e+00 8.984270000000000450e-11
3.620000000000000107e+00 8.720300000000000637e-11
3.640000000000000124e+00 8.463729999999999682e-11
3.660000000000000142e+00 8.214350000000000435e-11
3.680000000000000160e+00 7.971979999999999803e-11
3.700000000000000178e+00 7.736419999999999946e-11
3.720000000000000195e+00 7.507479999999999753e-11
3.740000000000000213e+00 7.284990000000000607e-11
3.759999999999999787e+00 7.068769999999999414e-11
3.779999999999999805e+00 6.858639999999999541e-11
3.799999999999999822e+00 6.654460000000000304e-11
3.819999999999999840e+00 6.456040000000000590e-11
3.839999999999999858e+00 6.263250000000000318e-11
3.859999999999999876e+00 6.075910000000000270e-11
3.879999999999999893e+00 5.893890000000000365e-11
3.899999999999999911e+00 5.717039999999999962e-11
3.919999999999999929e+00 5.545209999999999714e-11
3.939999999999999947e+00 5.378270000000000185e-11
3.959999999999999964e+00 5.216090000000000002e-11
3.979999999999999982e+00 5.058539999999999729e-11
4.000000000000000000e+00 4.905479999999999975e-11
4.019999999999999574e+00 4.756799999999999926e-11
4.040000000000000036e+00 4.612380000000000103e-11
4.059999999999999609e+00 4.472099999999999736e-11
4.080000000000000071e+00 4.335859999999999904e-11
4.099999999999999645e+00 4.203539999999999838e-11
4.120000000000000107e+00 4.075059999999999884e-11
4.139999999999999680e+00 3.950349999999999702e-11
4.160000000000000142e+00 3.829340000000000241e-11
4.179999999999999716e+00 3.712040000000000165e-11
4.200000000000000178e+00 3.598479999999999991e-11
4.219999999999999751e+00 3.488779999999999842e-11
4.240000000000000213e+00 3.383189999999999925e-11
4.259999999999999787e+00 3.282119999999999751e-11
4.280000000000000249e+00 3.186179999999999900e-11
4.299999999999999822e+00 3.096259999999999733e-11
4.320000000000000284e+00 3.013589999999999723e-11
4.339999999999999858e+00 2.939819999999999806e-11
4.360000000000000320e+00 2.877039999999999947e-11
4.379999999999999893e+00 2.827899999999999936e-11
4.400000000000000355e+00 2.795559999999999934e-11
4.419999999999999929e+00 2.783770000000000123e-11
4.440000000000000391e+00 2.796809999999999995e-11
4.459999999999999964e+00 2.839460000000000101e-11
4.480000000000000426e+00 2.916850000000000117e-11
4.500000000000000000e+00 3.034359999999999927e-11
4.519999999999999574e+00 3.197489999999999858e-11
4.540000000000000036e+00 3.411560000000000056e-11
4.559999999999999609e+00 3.681609999999999940e-11
4.580000000000000071e+00 4.012090000000000204e-11
4.599999999999999645e+00 4.406700000000000277e-11
4.620000000000000107e+00 4.868189999999999838e-11
4.639999999999999680e+00 5.398170000000000292e-11
4.660000000000000142e+00 5.997070000000000416e-11
4.679999999999999716e+00 6.663940000000000461e-11
4.700000000000000178e+00 7.396550000000000426e-11
4.719999999999999751e+00 8.191380000000000100e-11
4.740000000000000213e+00 9.043739999999999833e-11
4.769999999999999574e+00 9.947839999999999585e-11
4.790000000000000036e+00 1.089699999999999996e-10
4.809999999999999609e+00 1.188380000000000088e-10
4.830000000000000071e+00 1.290040000000000024e-10
4.849999999999999645e+00 1.393850000000000052e-10
4.870000000000000107e+00 1.498990000000000114e-10
4.889999999999999680e+00 1.604619999999999987e-10
4.910000000000000142e+00 1.709950000000000128e-10
4.929999999999999716e+00 1.814189999999999967e-10
4.950000000000000178e+00 1.916620000000000046e-10
4.969999999999999751e+00 2.016570000000000048e-10
4.990000000000000213e+00 2.113409999999999995e-10
5.009999999999999787e+00 2.206579999999999994e-10
5.030000000000000249e+00 2.295559999999999981e-10
5.049999999999999822e+00 2.379900000000000229e-10
5.070000000000000284e+00 2.459190000000000066e-10
5.089999999999999858e+00 2.533080000000000108e-10
5.110000000000000320e+00 2.601259999999999763e-10
5.129999999999999893e+00 2.663469999999999902e-10
