# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.504400000000000032e-11
3.520000000000000018e+00 2.427080000000000034e-11
3.540000000000000036e+00 2.352009999999999951e-11
3.560000000000000053e+00 2.279110000000000131e-11
3.580000000000000071e+00 2.208330000000000143e-11
3.600000000000000089e+00 2.139609999999999927e-11
3.620000000000000107e+00 2.072890000000000066e-11
3.640000000000000124e+00 2.008120000000000131e-11
3.660000000000000142e+00 1.945240000000000060e-11
3.680000000000000160e+00 1.884200000000000069e-11
3.700000000000000178e+00 1.824940000000000098e-11
3.720000000000000195e+00 1.767429999999999952e-11
3.740000000000000213e+00 1.711599999999999937e-11
3.759999999999999787e+00 1.657419999999999858e-11
3.779999999999999805e+00 1.604829999999999979e-11
3.799999999999999822e+00 1.553800000000000104e-11
3.819999999999999840e+00 1.504269999999999850e-11
3.839999999999999858e+00 1.456219999999999948e-11
3.859999999999999876e+00 1.409580000000000058e-11
3.879999999999999893e+00 1.364340000000000061e-11
3.899999999999999911e+00 1.320429999999999938e-11
3.919999999999999929e+00 1.277840000000000056e-11
3.939999999999999947e+00 1.236519999999999986e-11
3.959999999999999964e+00 1.196440000000000019e-11
3.979999999999999982e+00 1.157550000000000051e-11
4.000000000000000000e+00 1.119839999999999962e-11
4.019999999999999574e+00 1.083259999999999970e-11
4.040000000000000036e+00 1.047790000000000001e-11
4.059999999999999609e+00 1.013400000000000024e-11
4.080000000000000071e+00 9.800660000000000771e-12
4.099999999999999645e+00 9.477780000000000435e-12
4.120000000000000107e+00 9.165349999999999917e-12
4.139999999999999680e+00 8.863599999999999512e-12
4.160000000000000142e+00 8.573080000000000059e-12
4.179999999999999716e+00 8.294860000000000463e-12
4.200000000000000178e+00 8.030700000000000506e-12
4.219999999999999751e+00 7.783399999999999328e-12
4.240000000000000213e+00 7.557139999999999442e-12
4.259999999999999787e+00 7.357850000000000601e-12
4.280000000000000249e+00 7.193739999999999597e-12
4.299999999999999822e+00 7.075749999999999612e-12
4.320000000000000284e+00 7.018039999999999851e-12
4.339999999999999858e+00 7.038479999999999711e-12
4.360000000000000320e+00 7.158539999999999909e-12
4.379999999999999893e+00 7.404420000000000473e-12
4.400000000000000355e+00 7.802590000000000582e-12
4.419999999999999929e+00 8.393889999999999487e-12
4.440000000000000391e+00 9.211910000000000478e-12
4.459999999999999964e+00 1.029640000000000043e-11
4.480000000000000426e+00 1.168890000000000041e-11
4.500000000000000000e+00 1.343120000000000036e-11
4.519999999999999574e+00 1.556459999999999852e-11
4.540000000000000036e+00 1.812799999999999869e-11
4.559999999999999609e+00 2.115749999999999906e-11
4.580000000000000071e+00 2.468390000000000148e-11
4.599999999999999645e+00 2.873329999999999915e-11
4.620000000000000107e+00 3.332460000000000040e-11
4.639999999999999680e+00 3.847030000000000259e-11
4.660000000000000142e+00 4.417550000000000296e-11
4.679999999999999716e+00 5.043769999999999944e-11
4.700000000000000178e+00 5.724669999999999759e-11
4.719999999999999751e+00 6.458559999999999977e-11
4.740000000000000213e+00 7.243079999999999870e-11
4.769999999999999574e+00 8.075130000000000631e-11
4.790000000000000036e+00 8.951039999999999470e-11
4.809999999999999609e+00 9.866579999999999909e-11
4.830000000000000071e+00 1.081699999999999997e-10
4.849999999999999645e+00 1.179700000000000072e-10
4.870000000000000107e+00 1.280089999999999971e-10
4.889999999999999680e+00 1.382250000000000061e-10
4.910000000000000142e+00 1.485550000000000107e-10
4.929999999999999716e+00 1.589309999999999964e-10
4.950000000000000178e+00 1.692820000000000002e-10
4.969999999999999751e+00 1.795379999999999905e-10
4.990000000000000213e+00 1.896250000000000043e-10
5.009999999999999787e+00 1.994709999999999929e-10
5.030000000000000249e+00 2.090060000000000018e-10
5.049999999999999822e+00 2.181580000000000081e-10
5.070000000000000284e+00 2.268619999999999968e-10
5.089999999999999858e+00 2.350550000000000222e-10
5.110000000000000320e+00 2.426799999999999829e-10
5.129999999999999893e+00 2.496819999999999759e-10
5.150000000000000355e+00 2.560169999999999856e-10
5.169999999999999929e+00 2.616449999999999790e-10
5.190000000000000391e+00 2.665350000000000003e-10
5.209999999999999964e+00 2.706629999999999989e-10
5.230000000000000426e+00 2.740119999999999839e-10
5.250000000000000000e+00 2.765739999999999902e-10
5.269999999999999574e+00 2.783480000000000091e-10
5.290000000000000036e+00 2.793420000000000059e-10
