# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.871920000000000005e-11
3.520000000000000018e+00 3.754369999999999723e-11
3.540000000000000036e+00 3.640190000000000305e-11
3.560000000000000053e+00 3.529290000000000202e-11
3.580000000000000071e+00 3.421569999999999849e-11
3.600000000000000089e+00 3.316940000000000284e-11
3.620000000000000107e+00 3.215329999999999871e-11
3.640000000000000124e+00 3.116639999999999693e-11
3.660000000000000142e+00 3.020810000000000010e-11
3.680000000000000160e+00 2.927739999999999963e-11
3.700000000000000178e+00 2.837359999999999857e-11
3.720000000000000195e+00 2.749609999999999953e-11
3.740000000000000213e+00 2.664399999999999996e-11
3.759999999999999787e+00 2.581659999999999967e-11
3.779999999999999805e+00 2.501330000000000127e-11
3.799999999999999822e+00 2.423340000000000133e-11
3.819999999999999840e+00 2.347619999999999967e-11
3.839999999999999858e+00 2.274119999999999846e-11
3.859999999999999876e+00 2.202770000000000074e-11
3.879999999999999893e+00 2.133509999999999943e-11
3.899999999999999911e+00 2.066280000000000037e-11
3.919999999999999929e+00 2.001019999999999970e-11
3.939999999999999947e+00 1.937689999999999915e-11
3.959999999999999964e+00 1.876219999999999855e-11
3.979999999999999982e+00 1.816569999999999963e-11
4.000000000000000000e+00 1.758679999999999853e-11
4.019999999999999574e+00 1.702510000000000023e-11
4.040000000000000036e+00 1.648000000000000086e-11
4.059999999999999609e+00 1.595119999999999851e-11
4.080000000000000071e+00 1.543819999999999858e-11
4.099999999999999645e+00 1.494059999999999957e-11
4.120000000000000107e+00 1.445809999999999955e-11
4.139999999999999680e+00 1.399039999999999984e-11
4.160000000000000142e+00 1.353750000000000043e-11
4.179999999999999716e+00 1.309949999999999926e-11
4.200000000000000178e+00 1.267650000000000076e-11
4.219999999999999751e+00 1.226950000000000058e-11
4.240000000000000213e+00 1.187939999999999965e-11
4.259999999999999787e+00 1.150809999999999940e-11
4.280000000000000249e+00 1.115819999999999985e-11
4.299999999999999822e+00 1.083310000000000076e-11
4.320000000000000284e+00 1.053739999999999991e-11
4.339999999999999858e+00 1.027700000000000074e-11
4.360000000000000320e+00 1.005890000000000029e-11
4.379999999999999893e+00 9.891749999999999730e-12
4.400000000000000355e+00 9.785370000000000339e-12
4.419999999999999929e+00 9.750969999999999597e-12
4.440000000000000391e+00 9.800929999999999921e-12
4.459999999999999964e+00 9.948550000000000053e-12
4.480000000000000426e+00 1.020790000000000056e-11
4.500000000000000000e+00 1.059340000000000048e-11
4.519999999999999574e+00 1.111940000000000046e-11
