# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.497899999999999828e-11
3.520000000000000018e+00 5.332559999999999807e-11
3.540000000000000036e+00 5.171929999999999996e-11
3.560000000000000053e+00 5.015869999999999710e-11
3.580000000000000071e+00 4.864270000000000073e-11
3.600000000000000089e+00 4.716989999999999755e-11
3.620000000000000107e+00 4.573919999999999881e-11
3.640000000000000124e+00 4.434950000000000283e-11
3.660000000000000142e+00 4.299960000000000188e-11
3.680000000000000160e+00 4.168850000000000033e-11
3.700000000000000178e+00 4.041489999999999736e-11
3.720000000000000195e+00 3.917810000000000247e-11
3.740000000000000213e+00 3.797680000000000192e-11
3.759999999999999787e+00 3.681019999999999920e-11
3.779999999999999805e+00 3.567719999999999908e-11
3.799999999999999822e+00 3.457699999999999857e-11
3.819999999999999840e+00 3.350870000000000160e-11
3.839999999999999858e+00 3.247129999999999958e-11
3.859999999999999876e+00 3.146400000000000245e-11
3.879999999999999893e+00 3.048600000000000076e-11
3.899999999999999911e+00 2.953649999999999799e-11
3.919999999999999929e+00 2.861460000000000128e-11
3.939999999999999947e+00 2.771960000000000075e-11
3.959999999999999964e+00 2.685079999999999945e-11
3.979999999999999982e+00 2.600750000000000040e-11
4.000000000000000000e+00 2.518880000000000108e-11
4.019999999999999574e+00 2.439420000000000040e-11
4.040000000000000036e+00 2.362289999999999863e-11
4.059999999999999609e+00 2.287430000000000160e-11
4.080000000000000071e+00 2.214789999999999855e-11
4.099999999999999645e+00 2.144289999999999944e-11
4.120000000000000107e+00 2.075870000000000039e-11
4.139999999999999680e+00 2.009480000000000037e-11
4.160000000000000142e+00 1.945070000000000152e-11
4.179999999999999716e+00 1.882560000000000089e-11
4.200000000000000178e+00 1.821929999999999932e-11
4.219999999999999751e+00 1.763100000000000030e-11
4.240000000000000213e+00 1.706029999999999911e-11
4.259999999999999787e+00 1.650690000000000027e-11
4.280000000000000249e+00 1.597029999999999951e-11
4.299999999999999822e+00 1.545009999999999856e-11
4.320000000000000284e+00 1.494630000000000064e-11
4.339999999999999858e+00 1.445879999999999974e-11
4.360000000000000320e+00 1.398779999999999983e-11
4.379999999999999893e+00 1.353410000000000066e-11
4.400000000000000355e+00 1.309880000000000069e-11
4.419999999999999929e+00 1.268370000000000017e-11
4.440000000000000391e+00 1.229159999999999985e-11
4.459999999999999964e+00 1.192650000000000012e-11
4.480000000000000426e+00 1.159349999999999982e-11
4.500000000000000000e+00 1.129970000000000041e-11
4.519999999999999574e+00 1.105390000000000079e-11
4.540000000000000036e+00 1.086689999999999927e-11
4.559999999999999609e+00 1.075180000000000029e-11
4.580000000000000071e+00 1.072379999999999920e-11
4.599999999999999645e+00 1.080050000000000028e-11
4.620000000000000107e+00 1.100099999999999967e-11
