# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.460170000000000513e-11
3.520000000000000018e+00 7.237710000000000590e-11
3.540000000000000036e+00 7.021530000000000516e-11
3.560000000000000053e+00 6.811480000000000295e-11
3.580000000000000071e+00 6.607390000000000021e-11
3.600000000000000089e+00 6.409080000000000475e-11
3.620000000000000107e+00 6.216420000000000284e-11
3.640000000000000124e+00 6.029230000000000230e-11
3.660000000000000142e+00 5.847369999999999630e-11
3.680000000000000160e+00 5.670699999999999738e-11
3.700000000000000178e+00 5.499069999999999913e-11
3.720000000000000195e+00 5.332350000000000074e-11
3.740000000000000213e+00 5.170400000000000183e-11
3.759999999999999787e+00 5.013080000000000203e-11
3.779999999999999805e+00 4.860279999999999966e-11
3.799999999999999822e+00 4.711860000000000079e-11
3.819999999999999840e+00 4.567719999999999686e-11
3.839999999999999858e+00 4.427720000000000040e-11
3.859999999999999876e+00 4.291749999999999681e-11
3.879999999999999893e+00 4.159720000000000293e-11
3.899999999999999911e+00 4.031489999999999899e-11
3.919999999999999929e+00 3.906980000000000140e-11
3.939999999999999947e+00 3.786070000000000244e-11
3.959999999999999964e+00 3.668669999999999957e-11
3.979999999999999982e+00 3.554690000000000316e-11
4.000000000000000000e+00 3.444019999999999859e-11
4.019999999999999574e+00 3.336570000000000272e-11
4.040000000000000036e+00 3.232259999999999962e-11
4.059999999999999609e+00 3.130990000000000011e-11
4.080000000000000071e+00 3.032690000000000076e-11
4.099999999999999645e+00 2.937269999999999903e-11
4.120000000000000107e+00 2.844649999999999839e-11
4.139999999999999680e+00 2.754759999999999866e-11
4.160000000000000142e+00 2.667520000000000007e-11
4.179999999999999716e+00 2.582869999999999878e-11
4.200000000000000178e+00 2.500750000000000063e-11
4.219999999999999751e+00 2.421140000000000001e-11
4.240000000000000213e+00 2.344010000000000147e-11
4.259999999999999787e+00 2.269390000000000047e-11
4.280000000000000249e+00 2.197400000000000149e-11
4.299999999999999822e+00 2.128210000000000036e-11
4.320000000000000284e+00 2.062170000000000128e-11
4.339999999999999858e+00 1.999820000000000015e-11
4.360000000000000320e+00 1.941950000000000141e-11
4.379999999999999893e+00 1.889719999999999989e-11
4.400000000000000355e+00 1.844699999999999844e-11
4.419999999999999929e+00 1.809030000000000098e-11
4.440000000000000391e+00 1.785419999999999959e-11
4.459999999999999964e+00 1.777329999999999900e-11
4.480000000000000426e+00 1.788939999999999847e-11
4.500000000000000000e+00 1.825230000000000130e-11
4.519999999999999574e+00 1.891959999999999948e-11
4.540000000000000036e+00 1.995589999999999982e-11
4.559999999999999609e+00 2.143160000000000008e-11
4.580000000000000071e+00 2.342129999999999917e-11
4.599999999999999645e+00 2.600169999999999976e-11
4.620000000000000107e+00 2.924870000000000158e-11
4.639999999999999680e+00 3.323439999999999822e-11
4.660000000000000142e+00 3.802450000000000140e-11
4.679999999999999716e+00 4.367409999999999785e-11
4.700000000000000178e+00 5.022519999999999888e-11
4.719999999999999751e+00 5.770429999999999919e-11
4.740000000000000213e+00 6.612019999999999931e-11
4.769999999999999574e+00 7.546150000000000354e-11
4.790000000000000036e+00 8.569609999999999630e-11
4.809999999999999609e+00 9.677219999999999593e-11
4.830000000000000071e+00 1.086120000000000045e-10
4.849999999999999645e+00 1.211359999999999992e-10
4.870000000000000107e+00 1.342290000000000025e-10
4.889999999999999680e+00 1.477689999999999888e-10
4.910000000000000142e+00 1.616239999999999891e-10
4.929999999999999716e+00 1.756520000000000000e-10
4.950000000000000178e+00 1.897049999999999927e-10
4.969999999999999751e+00 2.036370000000000072e-10
4.990000000000000213e+00 2.173029999999999888e-10
5.009999999999999787e+00 2.305600000000000031e-10
5.030000000000000249e+00 2.432779999999999947e-10
5.049999999999999822e+00 2.553320000000000029e-10
5.070000000000000284e+00 2.666140000000000060e-10
5.089999999999999858e+00 2.770259999999999903e-10
5.110000000000000320e+00 2.864869999999999848e-10
5.129999999999999893e+00 2.949299999999999835e-10
5.150000000000000355e+00 3.023059999999999795e-10
5.169999999999999929e+00 3.085799999999999829e-10
5.190000000000000391e+00 3.137310000000000202e-10
5.209999999999999964e+00 3.177550000000000055e-10
5.230000000000000426e+00 3.206589999999999987e-10
5.250000000000000000e+00 3.224640000000000251e-10
5.269999999999999574e+00 3.232009999999999885e-10
5.290000000000000036e+00 3.229090000000000168e-10
5.309999999999999609e+00 3.216380000000000219e-10
5.330000000000000071e+00 3.194420000000000018e-10
5.349999999999999645e+00 3.163820000000000144e-10
5.370000000000000107e+00 3.125219999999999885e-10
5.389999999999999680e+00 3.079289999999999817e-10
5.410000000000000142e+00 3.026720000000000173e-10
5.429999999999999716e+00 2.968190000000000066e-10
5.450000000000000178e+00 2.904390000000000245e-10
5.469999999999999751e+00 2.835990000000000254e-10
5.490000000000000213e+00 2.763660000000000153e-10
5.509999999999999787e+00 2.688020000000000092e-10
5.530000000000000249e+00 2.609670000000000047e-10
5.549999999999999822e+00 2.529180000000000256e-10
5.570000000000000284e+00 2.447090000000000180e-10
5.589999999999999858e+00 2.363910000000000060e-10
5.610000000000000320e+00 2.280080000000000051e-10
5.629999999999999893e+00 2.196029999999999964e-10
5.650000000000000355e+00 2.112150000000000042e-10
5.669999999999999929e+00 2.028789999999999929e-10
5.690000000000000391e+00 1.946250000000000129e-10
5.709999999999999964e+00 1.864809999999999943e-10
5.730000000000000426e+00 1.784719999999999964e-10
5.750000000000000000e+00 1.706180000000000099e-10
5.769999999999999574e+00 1.629379999999999909e-10
5.790000000000000036e+00 1.554469999999999906e-10
5.809999999999999609e+00 1.481570000000000086e-10
5.830000000000000071e+00 1.410790000000000099e-10
5.849999999999999645e+00 1.342200000000000028e-10
5.870000000000000107e+00 1.275880000000000044e-10
5.889999999999999680e+00 1.211850000000000060e-10
5.910000000000000142e+00 1.150150000000000030e-10
5.929999999999999716e+00 1.090779999999999955e-10
5.950000000000000178e+00 1.033750000000000049e-10
5.969999999999999751e+00 9.790439999999999953e-11
5.990000000000000213e+00 9.266309999999999923e-11
6.009999999999999787e+00 8.764819999999999725e-11
6.030000000000000249e+00 8.285580000000000405e-11
6.049999999999999822e+00 7.828119999999999485e-11
6.070000000000000284e+00 7.391920000000000516e-11
6.089999999999999858e+00 6.976399999999999556e-11
6.110000000000000320e+00 6.580969999999999816e-11
6.129999999999999893e+00 6.205030000000000027e-11
6.150000000000000355e+00 5.847909999999999868e-11
6.169999999999999929e+00 5.508940000000000314e-11
6.190000000000000391e+00 5.187480000000000268e-11
6.209999999999999964e+00 4.882830000000000188e-11
6.230000000000000426e+00 4.594329999999999711e-11
6.250000000000000000e+00 4.321299999999999853e-11
6.269999999999999574e+00 4.063090000000000209e-11
6.290000000000000036e+00 3.819039999999999770e-11
6.309999999999999609e+00 3.588510000000000024e-11
6.330000000000000071e+00 3.370859999999999876e-11
6.349999999999999645e+00 3.165499999999999951e-11
6.370000000000000107e+00 2.971820000000000316e-11
6.389999999999999680e+00 2.789249999999999894e-11
6.410000000000000142e+00 2.617230000000000148e-11
6.429999999999999716e+00 2.455230000000000152e-11
6.450000000000000178e+00 2.302719999999999946e-11
6.469999999999999751e+00 2.159200000000000089e-11
6.490000000000000213e+00 2.024200000000000038e-11
6.509999999999999787e+00 1.897259999999999854e-11
6.530000000000000249e+00 1.777929999999999877e-11
6.549999999999999822e+00 1.665799999999999950e-11
6.570000000000000284e+00 1.560469999999999873e-11
6.589999999999999858e+00 1.461560000000000004e-11
6.610000000000000320e+00 1.368700000000000014e-11
6.629999999999999893e+00 1.281539999999999970e-11
6.650000000000000355e+00 1.199759999999999969e-11
6.669999999999999929e+00 1.123039999999999948e-11
6.690000000000000391e+00 1.051090000000000038e-11
6.709999999999999964e+00 9.835900000000000124e-12
6.730000000000000426e+00 9.203419999999999572e-12
6.750000000000000000e+00 8.610600000000000489e-12
6.769999999999999574e+00 8.055029999999999454e-12
6.790000000000000036e+00 7.534509999999999568e-12
6.809999999999999609e+00 7.046950000000000381e-12
6.830000000000000071e+00 6.590309999999999613e-12
6.849999999999999645e+00 6.162710000000000102e-12
6.870000000000000107e+00 5.762370000000000214e-12
6.889999999999999680e+00 5.387619999999999615e-12
6.910000000000000142e+00 5.036840000000000175e-12
6.929999999999999716e+00 4.708559999999999881e-12
6.950000000000000178e+00 4.401359999999999736e-12
6.969999999999999751e+00 4.113929999999999617e-12
6.990000000000000213e+00 3.845030000000000227e-12
7.009999999999999787e+00 3.593480000000000153e-12
7.030000000000000249e+00 3.358189999999999850e-12
7.049999999999999822e+00 3.138140000000000197e-12
7.070000000000000284e+00 2.932340000000000004e-12
7.089999999999999858e+00 2.739900000000000069e-12
7.110000000000000320e+00 2.560010000000000115e-12
7.129999999999999893e+00 2.391789999999999848e-12
7.150000000000000355e+00 2.234530000000000173e-12
7.169999999999999929e+00 2.087530000000000093e-12
7.190000000000000391e+00 1.950120000000000176e-12
7.209999999999999964e+00 1.821699999999999801e-12
