# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.312740000000000111e-10
3.520000000000000018e+00 1.274590000000000093e-10
3.540000000000000036e+00 1.237490000000000035e-10
3.560000000000000053e+00 1.201430000000000110e-10
3.580000000000000071e+00 1.166369999999999975e-10
3.600000000000000089e+00 1.132289999999999975e-10
3.620000000000000107e+00 1.099159999999999981e-10
3.640000000000000124e+00 1.066959999999999953e-10
3.660000000000000142e+00 1.035660000000000020e-10
3.680000000000000160e+00 1.005230000000000054e-10
3.700000000000000178e+00 9.756539999999999946e-11
3.720000000000000195e+00 9.469090000000000075e-11
3.740000000000000213e+00 9.189709999999999381e-11
3.759999999999999787e+00 8.918169999999999510e-11
3.779999999999999805e+00 8.654270000000000039e-11
3.799999999999999822e+00 8.397799999999999941e-11
3.819999999999999840e+00 8.148560000000000087e-11
3.839999999999999858e+00 7.906350000000000051e-11
3.859999999999999876e+00 7.670980000000000015e-11
3.879999999999999893e+00 7.442260000000000158e-11
3.899999999999999911e+00 7.220009999999999969e-11
3.919999999999999929e+00 7.004059999999999541e-11
3.939999999999999947e+00 6.794240000000000259e-11
3.959999999999999964e+00 6.590370000000000321e-11
3.979999999999999982e+00 6.392299999999999732e-11
4.000000000000000000e+00 6.199859999999999878e-11
4.019999999999999574e+00 6.012899999999999471e-11
4.040000000000000036e+00 5.831280000000000412e-11
4.059999999999999609e+00 5.654840000000000167e-11
4.080000000000000071e+00 5.483449999999999945e-11
4.099999999999999645e+00 5.316959999999999752e-11
4.120000000000000107e+00 5.155240000000000155e-11
4.139999999999999680e+00 4.998159999999999778e-11
4.160000000000000142e+00 4.845589999999999833e-11
4.179999999999999716e+00 4.697410000000000196e-11
4.200000000000000178e+00 4.553490000000000139e-11
4.219999999999999751e+00 4.413730000000000096e-11
4.240000000000000213e+00 4.277999999999999987e-11
4.259999999999999787e+00 4.146190000000000289e-11
4.280000000000000249e+00 4.018200000000000145e-11
4.299999999999999822e+00 3.893910000000000076e-11
4.320000000000000284e+00 3.773239999999999783e-11
4.339999999999999858e+00 3.656069999999999789e-11
4.360000000000000320e+00 3.542299999999999881e-11
4.379999999999999893e+00 3.431859999999999717e-11
4.400000000000000355e+00 3.324639999999999776e-11
4.419999999999999929e+00 3.220549999999999803e-11
4.440000000000000391e+00 3.119500000000000188e-11
4.459999999999999964e+00 3.021419999999999943e-11
4.480000000000000426e+00 2.926210000000000150e-11
4.500000000000000000e+00 2.833810000000000100e-11
4.519999999999999574e+00 2.744119999999999903e-11
4.540000000000000036e+00 2.657080000000000145e-11
4.559999999999999609e+00 2.572609999999999880e-11
4.580000000000000071e+00 2.490640000000000058e-11
4.599999999999999645e+00 2.411090000000000059e-11
4.620000000000000107e+00 2.333910000000000099e-11
4.639999999999999680e+00 2.259019999999999880e-11
4.660000000000000142e+00 2.186359999999999986e-11
4.679999999999999716e+00 2.115860000000000074e-11
4.700000000000000178e+00 2.047479999999999996e-11
4.719999999999999751e+00 1.981140000000000099e-11
4.740000000000000213e+00 1.916779999999999997e-11
4.769999999999999574e+00 1.854359999999999865e-11
4.790000000000000036e+00 1.793819999999999964e-11
4.809999999999999609e+00 1.735109999999999864e-11
4.830000000000000071e+00 1.678159999999999869e-11
4.849999999999999645e+00 1.622940000000000110e-11
4.870000000000000107e+00 1.569389999999999879e-11
4.889999999999999680e+00 1.517469999999999995e-11
4.910000000000000142e+00 1.467130000000000030e-11
4.929999999999999716e+00 1.418329999999999996e-11
4.950000000000000178e+00 1.371030000000000066e-11
4.969999999999999751e+00 1.325139999999999986e-11
4.990000000000000213e+00 1.280679999999999992e-11
5.009999999999999787e+00 1.237550000000000033e-11
5.030000000000000249e+00 1.195679999999999930e-11
5.049999999999999822e+00 1.155090000000000079e-11
5.070000000000000284e+00 1.115779999999999997e-11
5.089999999999999858e+00 1.077679999999999988e-11
5.110000000000000320e+00 1.040760000000000020e-11
5.129999999999999893e+00 1.004979999999999945e-11
5.150000000000000355e+00 9.703229999999999641e-12
5.169999999999999929e+00 9.367559999999999315e-12
5.190000000000000391e+00 9.042449999999999300e-12
5.209999999999999964e+00 8.727619999999999520e-12
5.230000000000000426e+00 8.422769999999999662e-12
5.250000000000000000e+00 8.127619999999999653e-12
5.269999999999999574e+00 7.841900000000000341e-12
5.290000000000000036e+00 7.565370000000000509e-12
5.309999999999999609e+00 7.297849999999999645e-12
5.330000000000000071e+00 7.038969999999999844e-12
5.349999999999999645e+00 6.788959999999999781e-12
5.370000000000000107e+00 6.547639999999999755e-12
5.389999999999999680e+00 6.314999999999999648e-12
5.410000000000000142e+00 6.091129999999999714e-12
5.429999999999999716e+00 5.876229999999999893e-12
5.450000000000000178e+00 5.670679999999999824e-12
5.469999999999999751e+00 5.474999999999999996e-12
5.490000000000000213e+00 5.289879999999999670e-12
5.509999999999999787e+00 5.116209999999999664e-12
5.530000000000000249e+00 4.955079999999999925e-12
5.549999999999999822e+00 4.807830000000000124e-12
5.570000000000000284e+00 4.676020000000000103e-12
5.589999999999999858e+00 4.561470000000000353e-12
5.610000000000000320e+00 4.466269999999999709e-12
5.629999999999999893e+00 4.392729999999999600e-12
5.650000000000000355e+00 4.343419999999999682e-12
5.669999999999999929e+00 4.321100000000000238e-12
5.690000000000000391e+00 4.328709999999999637e-12
5.709999999999999964e+00 4.369279999999999735e-12
5.730000000000000426e+00 4.445860000000000203e-12
5.750000000000000000e+00 4.561479999999999664e-12
5.769999999999999574e+00 4.718970000000000036e-12
5.790000000000000036e+00 4.920920000000000402e-12
5.809999999999999609e+00 5.169489999999999614e-12
5.830000000000000071e+00 5.466369999999999860e-12
5.849999999999999645e+00 5.812609999999999806e-12
5.870000000000000107e+00 6.208499999999999647e-12
5.889999999999999680e+00 6.653560000000000176e-12
5.910000000000000142e+00 7.146499999999999891e-12
5.929999999999999716e+00 7.684659999999999690e-12
5.950000000000000178e+00 8.265180000000000533e-12
5.969999999999999751e+00 8.884119999999999509e-12
5.990000000000000213e+00 9.536300000000000068e-12
6.009999999999999787e+00 1.021599999999999928e-11
6.030000000000000249e+00 1.091680000000000050e-11
6.049999999999999822e+00 1.163200000000000052e-11
6.070000000000000284e+00 1.235409999999999963e-11
6.089999999999999858e+00 1.307580000000000049e-11
6.110000000000000320e+00 1.378939999999999938e-11
6.129999999999999893e+00 1.448749999999999941e-11
6.150000000000000355e+00 1.516279999999999997e-11
6.169999999999999929e+00 1.580850000000000155e-11
6.190000000000000391e+00 1.641809999999999847e-11
6.209999999999999964e+00 1.698599999999999891e-11
6.230000000000000426e+00 1.750690000000000005e-11
6.250000000000000000e+00 1.797650000000000120e-11
6.269999999999999574e+00 1.839119999999999862e-11
6.290000000000000036e+00 1.874820000000000124e-11
6.309999999999999609e+00 1.904539999999999880e-11
6.330000000000000071e+00 1.928189999999999845e-11
6.349999999999999645e+00 1.945719999999999912e-11
6.370000000000000107e+00 1.957140000000000039e-11
6.389999999999999680e+00 1.962570000000000027e-11
6.410000000000000142e+00 1.962159999999999871e-11
6.429999999999999716e+00 1.956100000000000036e-11
6.450000000000000178e+00 1.944659999999999996e-11
6.469999999999999751e+00 1.928130000000000105e-11
6.490000000000000213e+00 1.906819999999999987e-11
6.509999999999999787e+00 1.881080000000000059e-11
6.530000000000000249e+00 1.851289999999999960e-11
6.549999999999999822e+00 1.817800000000000110e-11
6.570000000000000284e+00 1.781010000000000062e-11
6.589999999999999858e+00 1.741290000000000146e-11
6.610000000000000320e+00 1.699020000000000004e-11
6.629999999999999893e+00 1.654560000000000010e-11
6.650000000000000355e+00 1.608279999999999848e-11
6.669999999999999929e+00 1.560500000000000065e-11
6.690000000000000391e+00 1.511570000000000111e-11
6.709999999999999964e+00 1.461780000000000018e-11
6.730000000000000426e+00 1.411419999999999978e-11
6.750000000000000000e+00 1.360749999999999993e-11
6.769999999999999574e+00 1.310019999999999945e-11
6.790000000000000036e+00 1.259450000000000010e-11
