# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.602460000000000068e-10
3.520000000000000018e+00 1.555949999999999936e-10
3.540000000000000036e+00 1.510740000000000100e-10
3.560000000000000053e+00 1.466789999999999957e-10
3.580000000000000071e+00 1.424059999999999940e-10
3.600000000000000089e+00 1.382520000000000050e-10
3.620000000000000107e+00 1.342129999999999945e-10
3.640000000000000124e+00 1.302880000000000054e-10
3.660000000000000142e+00 1.264719999999999951e-10
3.680000000000000160e+00 1.227619999999999893e-10
3.700000000000000178e+00 1.191570000000000053e-10
3.720000000000000195e+00 1.156520000000000004e-10
3.740000000000000213e+00 1.122449999999999960e-10
3.759999999999999787e+00 1.089349999999999966e-10
3.779999999999999805e+00 1.057169999999999980e-10
3.799999999999999822e+00 1.025889999999999959e-10
3.819999999999999840e+00 9.954979999999999573e-11
3.839999999999999858e+00 9.659610000000000519e-11
3.859999999999999876e+00 9.372549999999999600e-11
3.879999999999999893e+00 9.093609999999999579e-11
3.899999999999999911e+00 8.822550000000000207e-11
3.919999999999999929e+00 8.559149999999999855e-11
3.939999999999999947e+00 8.303209999999999392e-11
3.959999999999999964e+00 8.054529999999999689e-11
3.979999999999999982e+00 7.812899999999999717e-11
4.000000000000000000e+00 7.578140000000000261e-11
4.019999999999999574e+00 7.350049999999999605e-11
4.040000000000000036e+00 7.128460000000000425e-11
4.059999999999999609e+00 6.913180000000000316e-11
4.080000000000000071e+00 6.704049999999999974e-11
4.099999999999999645e+00 6.500899999999999492e-11
4.120000000000000107e+00 6.303549999999999651e-11
4.139999999999999680e+00 6.111850000000000458e-11
4.160000000000000142e+00 5.925659999999999936e-11
4.179999999999999716e+00 5.744800000000000159e-11
4.200000000000000178e+00 5.569149999999999711e-11
4.219999999999999751e+00 5.398549999999999933e-11
4.240000000000000213e+00 5.232860000000000141e-11
4.259999999999999787e+00 5.071960000000000211e-11
4.280000000000000249e+00 4.915700000000000148e-11
4.299999999999999822e+00 4.763969999999999783e-11
4.320000000000000284e+00 4.616619999999999770e-11
4.339999999999999858e+00 4.473559999999999853e-11
4.360000000000000320e+00 4.334640000000000037e-11
4.379999999999999893e+00 4.199770000000000067e-11
4.400000000000000355e+00 4.068819999999999863e-11
4.419999999999999929e+00 3.941689999999999858e-11
4.440000000000000391e+00 3.818269999999999885e-11
4.459999999999999964e+00 3.698469999999999689e-11
4.480000000000000426e+00 3.582169999999999791e-11
4.500000000000000000e+00 3.469279999999999935e-11
4.519999999999999574e+00 3.359709999999999868e-11
4.540000000000000036e+00 3.253360000000000023e-11
4.559999999999999609e+00 3.150140000000000146e-11
4.580000000000000071e+00 3.049979999999999894e-11
4.599999999999999645e+00 2.952769999999999746e-11
4.620000000000000107e+00 2.858440000000000006e-11
4.639999999999999680e+00 2.766900000000000095e-11
4.660000000000000142e+00 2.678079999999999995e-11
4.679999999999999716e+00 2.591910000000000009e-11
4.700000000000000178e+00 2.508299999999999884e-11
4.719999999999999751e+00 2.427200000000000159e-11
4.740000000000000213e+00 2.348519999999999933e-11
4.769999999999999574e+00 2.272210000000000069e-11
4.790000000000000036e+00 2.198199999999999903e-11
4.809999999999999609e+00 2.126439999999999974e-11
4.830000000000000071e+00 2.056869999999999898e-11
4.849999999999999645e+00 1.989460000000000128e-11
4.870000000000000107e+00 1.924190000000000104e-11
4.889999999999999680e+00 1.861020000000000001e-11
4.910000000000000142e+00 1.799970000000000054e-11
4.929999999999999716e+00 1.741049999999999897e-11
4.950000000000000178e+00 1.684300000000000002e-11
4.969999999999999751e+00 1.629800000000000023e-11
4.990000000000000213e+00 1.577639999999999889e-11
5.009999999999999787e+00 1.527950000000000007e-11
5.030000000000000249e+00 1.480870000000000091e-11
5.049999999999999822e+00 1.436589999999999960e-11
5.070000000000000284e+00 1.395310000000000039e-11
5.089999999999999858e+00 1.357240000000000061e-11
5.110000000000000320e+00 1.322609999999999996e-11
5.129999999999999893e+00 1.291640000000000018e-11
5.150000000000000355e+00 1.264540000000000022e-11
5.169999999999999929e+00 1.241499999999999991e-11
5.190000000000000391e+00 1.222680000000000037e-11
5.209999999999999964e+00 1.208180000000000048e-11
5.230000000000000426e+00 1.198049999999999969e-11
5.250000000000000000e+00 1.192310000000000036e-11
5.269999999999999574e+00 1.190869999999999994e-11
5.290000000000000036e+00 1.193599999999999922e-11
5.309999999999999609e+00 1.200279999999999971e-11
5.330000000000000071e+00 1.210619999999999945e-11
5.349999999999999645e+00 1.224299999999999943e-11
5.370000000000000107e+00 1.240900000000000014e-11
5.389999999999999680e+00 1.259989999999999925e-11
5.410000000000000142e+00 1.281029999999999924e-11
5.429999999999999716e+00 1.303579999999999985e-11
5.450000000000000178e+00 1.327079999999999955e-11
5.469999999999999751e+00 1.351000000000000039e-11
5.490000000000000213e+00 1.374839999999999986e-11
5.509999999999999787e+00 1.398090000000000074e-11
5.530000000000000249e+00 1.420320000000000071e-11
5.549999999999999822e+00 1.441119999999999982e-11
5.570000000000000284e+00 1.460159999999999950e-11
5.589999999999999858e+00 1.477170000000000016e-11
5.610000000000000320e+00 1.491969999999999993e-11
5.629999999999999893e+00 1.504459999999999993e-11
5.650000000000000355e+00 1.514640000000000017e-11
5.669999999999999929e+00 1.522590000000000038e-11
5.690000000000000391e+00 1.528499999999999879e-11
5.709999999999999964e+00 1.532649999999999937e-11
5.730000000000000426e+00 1.535399999999999940e-11
5.750000000000000000e+00 1.537189999999999915e-11
5.769999999999999574e+00 1.538519999999999951e-11
5.790000000000000036e+00 1.539939999999999919e-11
5.809999999999999609e+00 1.542029999999999883e-11
5.830000000000000071e+00 1.545359999999999950e-11
5.849999999999999645e+00 1.550520000000000142e-11
5.870000000000000107e+00 1.558030000000000138e-11
5.889999999999999680e+00 1.568370000000000112e-11
5.910000000000000142e+00 1.581929999999999985e-11
5.929999999999999716e+00 1.599029999999999983e-11
5.950000000000000178e+00 1.619849999999999969e-11
5.969999999999999751e+00 1.644490000000000155e-11
5.990000000000000213e+00 1.672900000000000112e-11
6.009999999999999787e+00 1.704890000000000019e-11
