# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.766869999999999773e-10
3.520000000000000018e+00 2.687579999999999936e-10
3.540000000000000036e+00 2.610479999999999758e-10
3.560000000000000053e+00 2.535500000000000188e-10
3.580000000000000071e+00 2.462599999999999851e-10
3.600000000000000089e+00 2.391700000000000126e-10
3.620000000000000107e+00 2.322759999999999897e-10
3.640000000000000124e+00 2.255730000000000026e-10
3.660000000000000142e+00 2.190549999999999999e-10
3.680000000000000160e+00 2.127169999999999904e-10
3.700000000000000178e+00 2.065559999999999999e-10
3.720000000000000195e+00 2.005649999999999945e-10
3.740000000000000213e+00 1.947399999999999913e-10
3.759999999999999787e+00 1.890779999999999906e-10
3.779999999999999805e+00 1.835720000000000098e-10
3.799999999999999822e+00 1.782209999999999887e-10
3.819999999999999840e+00 1.730179999999999964e-10
3.839999999999999858e+00 1.679600000000000073e-10
3.859999999999999876e+00 1.630430000000000128e-10
3.879999999999999893e+00 1.582639999999999872e-10
3.899999999999999911e+00 1.536189999999999996e-10
3.919999999999999929e+00 1.491030000000000072e-10
3.939999999999999947e+00 1.447139999999999926e-10
3.959999999999999964e+00 1.404479999999999993e-10
3.979999999999999982e+00 1.363020000000000014e-10
4.000000000000000000e+00 1.322719999999999905e-10
4.019999999999999574e+00 1.283560000000000012e-10
4.040000000000000036e+00 1.245499999999999990e-10
4.059999999999999609e+00 1.208510000000000100e-10
4.080000000000000071e+00 1.172569999999999912e-10
4.099999999999999645e+00 1.137639999999999987e-10
4.120000000000000107e+00 1.103700000000000025e-10
4.139999999999999680e+00 1.070720000000000026e-10
4.160000000000000142e+00 1.038669999999999992e-10
4.179999999999999716e+00 1.007530000000000009e-10
4.200000000000000178e+00 9.772809999999999673e-11
4.219999999999999751e+00 9.478879999999999531e-11
4.240000000000000213e+00 9.193319999999999847e-11
4.259999999999999787e+00 8.915890000000000372e-11
4.280000000000000249e+00 8.646369999999999477e-11
4.299999999999999822e+00 8.384550000000000013e-11
4.320000000000000284e+00 8.130219999999999662e-11
4.339999999999999858e+00 7.883159999999999380e-11
4.360000000000000320e+00 7.643189999999999949e-11
4.379999999999999893e+00 7.410100000000000343e-11
4.400000000000000355e+00 7.183699999999999450e-11
4.419999999999999929e+00 6.963819999999999947e-11
4.440000000000000391e+00 6.750269999999999428e-11
4.459999999999999964e+00 6.542889999999999881e-11
4.480000000000000426e+00 6.341479999999999592e-11
4.500000000000000000e+00 6.145909999999999770e-11
4.519999999999999574e+00 5.956010000000000508e-11
4.540000000000000036e+00 5.771629999999999874e-11
4.559999999999999609e+00 5.592629999999999768e-11
4.580000000000000071e+00 5.418880000000000110e-11
