# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.073680000000000268e-10
3.520000000000000018e+00 5.905219999999999590e-10
3.540000000000000036e+00 5.741289999999999517e-10
3.560000000000000053e+00 5.581780000000000137e-10
3.580000000000000071e+00 5.426560000000000336e-10
3.600000000000000089e+00 5.275540000000000375e-10
3.620000000000000107e+00 5.128580000000000089e-10
3.640000000000000124e+00 4.985589999999999738e-10
3.660000000000000142e+00 4.846460000000000447e-10
3.680000000000000160e+00 4.711100000000000409e-10
3.700000000000000178e+00 4.579390000000000148e-10
3.720000000000000195e+00 4.451250000000000009e-10
3.740000000000000213e+00 4.326580000000000170e-10
3.759999999999999787e+00 4.205289999999999858e-10
3.779999999999999805e+00 4.087289999999999852e-10
3.799999999999999822e+00 3.972489999999999896e-10
3.819999999999999840e+00 3.860809999999999823e-10
3.839999999999999858e+00 3.752159999999999893e-10
3.859999999999999876e+00 3.646470000000000023e-10
3.879999999999999893e+00 3.543649999999999959e-10
3.899999999999999911e+00 3.443640000000000218e-10
3.919999999999999929e+00 3.346339999999999944e-10
3.939999999999999947e+00 3.251709999999999827e-10
3.959999999999999964e+00 3.159650000000000044e-10
3.979999999999999982e+00 3.070110000000000165e-10
4.000000000000000000e+00 2.983010000000000021e-10
4.019999999999999574e+00 2.898300000000000218e-10
4.040000000000000036e+00 2.815910000000000154e-10
4.059999999999999609e+00 2.735769999999999746e-10
4.080000000000000071e+00 2.657830000000000116e-10
4.099999999999999645e+00 2.582030000000000233e-10
4.120000000000000107e+00 2.508310000000000099e-10
4.139999999999999680e+00 2.436610000000000233e-10
4.160000000000000142e+00 2.366889999999999775e-10
4.179999999999999716e+00 2.299079999999999933e-10
4.200000000000000178e+00 2.233140000000000107e-10
4.219999999999999751e+00 2.169020000000000126e-10
4.240000000000000213e+00 2.106670000000000078e-10
4.259999999999999787e+00 2.046040000000000050e-10
4.280000000000000249e+00 1.987079999999999873e-10
4.299999999999999822e+00 1.929760000000000065e-10
4.320000000000000284e+00 1.874020000000000111e-10
4.339999999999999858e+00 1.819830000000000012e-10
4.360000000000000320e+00 1.767140000000000114e-10
4.379999999999999893e+00 1.715910000000000075e-10
4.400000000000000355e+00 1.666100000000000068e-10
4.419999999999999929e+00 1.617680000000000094e-10
4.440000000000000391e+00 1.570599999999999984e-10
4.459999999999999964e+00 1.524840000000000082e-10
4.480000000000000426e+00 1.480349999999999960e-10
4.500000000000000000e+00 1.437099999999999876e-10
4.519999999999999574e+00 1.395060000000000092e-10
4.540000000000000036e+00 1.354190000000000004e-10
4.559999999999999609e+00 1.314469999999999960e-10
4.580000000000000071e+00 1.275859999999999873e-10
4.599999999999999645e+00 1.238330000000000003e-10
4.620000000000000107e+00 1.201859999999999921e-10
4.639999999999999680e+00 1.166410000000000059e-10
4.660000000000000142e+00 1.131950000000000031e-10
4.679999999999999716e+00 1.098470000000000008e-10
4.700000000000000178e+00 1.065919999999999949e-10
4.719999999999999751e+00 1.034299999999999985e-10
4.740000000000000213e+00 1.003570000000000030e-10
4.769999999999999574e+00 9.737039999999999393e-11
4.790000000000000036e+00 9.446849999999999798e-11
4.809999999999999609e+00 9.164879999999999375e-11
4.830000000000000071e+00 8.890890000000000459e-11
4.849999999999999645e+00 8.624680000000000041e-11
4.870000000000000107e+00 8.366030000000000371e-11
4.889999999999999680e+00 8.114730000000000422e-11
4.910000000000000142e+00 7.870579999999999771e-11
4.929999999999999716e+00 7.633389999999999890e-11
4.950000000000000178e+00 7.402969999999999666e-11
4.969999999999999751e+00 7.179130000000000571e-11
4.990000000000000213e+00 6.961689999999999511e-11
5.009999999999999787e+00 6.750469999999999851e-11
5.030000000000000249e+00 6.545309999999999703e-11
5.049999999999999822e+00 6.346029999999999850e-11
5.070000000000000284e+00 6.152480000000000296e-11
5.089999999999999858e+00 5.964500000000000445e-11
5.110000000000000320e+00 5.781919999999999742e-11
5.129999999999999893e+00 5.604620000000000003e-11
5.150000000000000355e+00 5.432430000000000027e-11
5.169999999999999929e+00 5.265219999999999733e-11
5.190000000000000391e+00 5.102839999999999772e-11
5.209999999999999964e+00 4.945179999999999978e-11
5.230000000000000426e+00 4.792089999999999708e-11
5.250000000000000000e+00 4.643440000000000175e-11
5.269999999999999574e+00 4.499129999999999874e-11
5.290000000000000036e+00 4.359010000000000103e-11
5.309999999999999609e+00 4.222989999999999962e-11
5.330000000000000071e+00 4.090940000000000015e-11
5.349999999999999645e+00 3.962750000000000093e-11
5.370000000000000107e+00 3.838319999999999986e-11
5.389999999999999680e+00 3.717540000000000172e-11
5.410000000000000142e+00 3.600309999999999792e-11
5.429999999999999716e+00 3.486529999999999927e-11
5.450000000000000178e+00 3.376099999999999720e-11
5.469999999999999751e+00 3.268930000000000208e-11
5.490000000000000213e+00 3.164929999999999844e-11
5.509999999999999787e+00 3.064010000000000310e-11
5.530000000000000249e+00 2.966080000000000060e-11
5.549999999999999822e+00 2.871060000000000087e-11
5.570000000000000284e+00 2.778870000000000093e-11
5.589999999999999858e+00 2.689420000000000146e-11
5.610000000000000320e+00 2.602639999999999904e-11
5.629999999999999893e+00 2.518459999999999994e-11
5.650000000000000355e+00 2.436800000000000118e-11
5.669999999999999929e+00 2.357589999999999934e-11
5.690000000000000391e+00 2.280760000000000068e-11
5.709999999999999964e+00 2.206239999999999856e-11
