# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.232549999999999865e-10
3.520000000000000018e+00 3.140240000000000004e-10
3.540000000000000036e+00 3.050460000000000135e-10
3.560000000000000053e+00 2.963150000000000257e-10
3.580000000000000071e+00 2.878239999999999772e-10
3.600000000000000089e+00 2.795670000000000232e-10
3.620000000000000107e+00 2.715370000000000002e-10
3.640000000000000124e+00 2.637290000000000206e-10
3.660000000000000142e+00 2.561360000000000242e-10
3.680000000000000160e+00 2.487530000000000198e-10
3.700000000000000178e+00 2.415740000000000077e-10
3.720000000000000195e+00 2.345939999999999966e-10
3.740000000000000213e+00 2.278070000000000127e-10
3.759999999999999787e+00 2.212079999999999872e-10
3.779999999999999805e+00 2.147920000000000065e-10
3.799999999999999822e+00 2.085540000000000017e-10
3.819999999999999840e+00 2.024890000000000077e-10
3.839999999999999858e+00 1.965939999999999986e-10
3.859999999999999876e+00 1.908619999999999919e-10
3.879999999999999893e+00 1.852899999999999878e-10
3.899999999999999911e+00 1.798729999999999950e-10
3.919999999999999929e+00 1.746079999999999879e-10
3.939999999999999947e+00 1.694900000000000010e-10
3.959999999999999964e+00 1.645139999999999915e-10
3.979999999999999982e+00 1.596790000000000025e-10
4.000000000000000000e+00 1.549779999999999998e-10
4.019999999999999574e+00 1.504100000000000007e-10
4.040000000000000036e+00 1.459690000000000054e-10
4.059999999999999609e+00 1.416540000000000053e-10
4.080000000000000071e+00 1.374600000000000092e-10
4.099999999999999645e+00 1.333830000000000087e-10
4.120000000000000107e+00 1.294219999999999952e-10
4.139999999999999680e+00 1.255730000000000119e-10
4.160000000000000142e+00 1.218319999999999987e-10
4.179999999999999716e+00 1.181969999999999900e-10
4.200000000000000178e+00 1.146649999999999990e-10
4.219999999999999751e+00 1.112329999999999999e-10
4.240000000000000213e+00 1.078990000000000014e-10
4.259999999999999787e+00 1.046589999999999950e-10
4.280000000000000249e+00 1.015110000000000024e-10
4.299999999999999822e+00 9.845259999999999511e-11
4.320000000000000284e+00 9.548150000000000265e-11
4.339999999999999858e+00 9.259509999999999750e-11
4.360000000000000320e+00 8.979120000000000215e-11
