# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.737890000000000003e-10
3.520000000000000018e+00 3.631480000000000161e-10
3.540000000000000036e+00 3.527979999999999950e-10
3.560000000000000053e+00 3.427319999999999803e-10
3.580000000000000071e+00 3.329420000000000069e-10
3.600000000000000089e+00 3.234210000000000146e-10
3.620000000000000107e+00 3.141609999999999866e-10
3.640000000000000124e+00 3.051569999999999834e-10
3.660000000000000142e+00 2.963999999999999794e-10
3.680000000000000160e+00 2.878849999999999835e-10
3.700000000000000178e+00 2.796049999999999873e-10
3.720000000000000195e+00 2.715529999999999824e-10
3.740000000000000213e+00 2.637230000000000208e-10
3.759999999999999787e+00 2.561100000000000079e-10
3.779999999999999805e+00 2.487079999999999956e-10
3.799999999999999822e+00 2.415109999999999842e-10
3.819999999999999840e+00 2.345130000000000255e-10
3.839999999999999858e+00 2.277100000000000078e-10
3.859999999999999876e+00 2.210950000000000001e-10
3.879999999999999893e+00 2.146639999999999941e-10
3.899999999999999911e+00 2.084119999999999985e-10
3.919999999999999929e+00 2.023339999999999963e-10
3.939999999999999947e+00 1.964249999999999964e-10
3.959999999999999964e+00 1.906819999999999987e-10
3.979999999999999982e+00 1.850979999999999951e-10
4.000000000000000000e+00 1.796709999999999940e-10
4.019999999999999574e+00 1.743949999999999959e-10
4.040000000000000036e+00 1.692670000000000008e-10
4.059999999999999609e+00 1.642830000000000002e-10
4.080000000000000071e+00 1.594390000000000116e-10
4.099999999999999645e+00 1.547310000000000006e-10
4.120000000000000107e+00 1.501550000000000104e-10
4.139999999999999680e+00 1.457070000000000067e-10
4.160000000000000142e+00 1.413849999999999982e-10
4.179999999999999716e+00 1.371850000000000024e-10
4.200000000000000178e+00 1.331039999999999934e-10
4.219999999999999751e+00 1.291370000000000060e-10
4.240000000000000213e+00 1.252830000000000057e-10
4.259999999999999787e+00 1.215380000000000098e-10
4.280000000000000249e+00 1.178989999999999927e-10
4.299999999999999822e+00 1.143640000000000018e-10
4.320000000000000284e+00 1.109279999999999942e-10
4.339999999999999858e+00 1.075909999999999958e-10
4.360000000000000320e+00 1.043480000000000025e-10
4.379999999999999893e+00 1.011980000000000056e-10
4.400000000000000355e+00 9.813780000000000619e-11
4.419999999999999929e+00 9.516500000000000173e-11
4.440000000000000391e+00 9.227709999999999664e-11
4.459999999999999964e+00 8.947199999999999357e-11
4.480000000000000426e+00 8.674719999999999694e-11
4.500000000000000000e+00 8.410070000000000252e-11
4.519999999999999574e+00 8.153020000000000090e-11
4.540000000000000036e+00 7.903359999999999475e-11
4.559999999999999609e+00 7.660899999999999880e-11
4.580000000000000071e+00 7.425430000000000279e-11
4.599999999999999645e+00 7.196759999999999558e-11
4.620000000000000107e+00 6.974700000000000482e-11
4.639999999999999680e+00 6.759080000000000559e-11
4.660000000000000142e+00 6.549699999999999365e-11
4.679999999999999716e+00 6.346400000000000180e-11
4.700000000000000178e+00 6.149010000000000514e-11
4.719999999999999751e+00 5.957369999999999767e-11
4.740000000000000213e+00 5.771309999999999972e-11
4.769999999999999574e+00 5.590689999999999799e-11
