# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.642819999999999897e-10
3.520000000000000018e+00 4.512990000000000253e-10
3.540000000000000036e+00 4.386689999999999872e-10
3.560000000000000053e+00 4.263799999999999793e-10
3.580000000000000071e+00 4.144249999999999932e-10
3.600000000000000089e+00 4.027939999999999948e-10
3.620000000000000107e+00 3.914790000000000189e-10
3.640000000000000124e+00 3.804709999999999882e-10
3.660000000000000142e+00 3.697640000000000065e-10
3.680000000000000160e+00 3.593489999999999964e-10
3.700000000000000178e+00 3.492210000000000186e-10
3.720000000000000195e+00 3.393709999999999957e-10
3.740000000000000213e+00 3.297960000000000055e-10
3.759999999999999787e+00 3.204910000000000051e-10
3.779999999999999805e+00 3.114530000000000204e-10
3.799999999999999822e+00 3.026799999999999825e-10
3.819999999999999840e+00 2.941719999999999950e-10
3.839999999999999858e+00 2.859300000000000145e-10
3.859999999999999876e+00 2.779589999999999807e-10
3.879999999999999893e+00 2.702639999999999882e-10
3.899999999999999911e+00 2.628530000000000021e-10
3.919999999999999929e+00 2.557360000000000049e-10
3.939999999999999947e+00 2.489249999999999960e-10
3.959999999999999964e+00 2.424319999999999751e-10
3.979999999999999982e+00 2.362720000000000191e-10
4.000000000000000000e+00 2.304569999999999984e-10
4.019999999999999574e+00 2.250029999999999984e-10
4.040000000000000036e+00 2.199200000000000016e-10
4.059999999999999609e+00 2.152200000000000075e-10
4.080000000000000071e+00 2.109110000000000071e-10
4.099999999999999645e+00 2.069979999999999918e-10
4.120000000000000107e+00 2.034809999999999873e-10
4.139999999999999680e+00 2.003590000000000109e-10
4.160000000000000142e+00 1.976239999999999940e-10
4.179999999999999716e+00 1.952639999999999887e-10
4.200000000000000178e+00 1.932639999999999956e-10
4.219999999999999751e+00 1.916050000000000068e-10
4.240000000000000213e+00 1.902629999999999974e-10
4.259999999999999787e+00 1.892130000000000113e-10
4.280000000000000249e+00 1.884239999999999896e-10
4.299999999999999822e+00 1.878669999999999935e-10
4.320000000000000284e+00 1.875079999999999898e-10
4.339999999999999858e+00 1.873159999999999971e-10
4.360000000000000320e+00 1.872570000000000080e-10
4.379999999999999893e+00 1.872990000000000064e-10
4.400000000000000355e+00 1.874110000000000107e-10
4.419999999999999929e+00 1.875619999999999878e-10
4.440000000000000391e+00 1.877249999999999902e-10
4.459999999999999964e+00 1.878740000000000018e-10
