# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.258839999999999802e-10
3.520000000000000018e+00 5.112060000000000026e-10
3.540000000000000036e+00 4.969240000000000099e-10
3.560000000000000053e+00 4.830290000000000284e-10
3.580000000000000071e+00 4.695099999999999638e-10
3.600000000000000089e+00 4.563569999999999886e-10
3.620000000000000107e+00 4.435600000000000172e-10
3.640000000000000124e+00 4.311100000000000240e-10
3.660000000000000142e+00 4.189989999999999921e-10
3.680000000000000160e+00 4.072159999999999822e-10
3.700000000000000178e+00 3.957529999999999774e-10
3.720000000000000195e+00 3.846020000000000125e-10
3.740000000000000213e+00 3.737550000000000189e-10
3.759999999999999787e+00 3.632030000000000226e-10
3.779999999999999805e+00 3.529380000000000069e-10
3.799999999999999822e+00 3.429540000000000236e-10
3.819999999999999840e+00 3.332419999999999955e-10
3.839999999999999858e+00 3.237950000000000177e-10
3.859999999999999876e+00 3.146069999999999870e-10
3.879999999999999893e+00 3.056699999999999898e-10
3.899999999999999911e+00 2.969770000000000179e-10
3.919999999999999929e+00 2.885229999999999765e-10
3.939999999999999947e+00 2.803000000000000040e-10
3.959999999999999964e+00 2.723030000000000057e-10
3.979999999999999982e+00 2.645259999999999817e-10
4.000000000000000000e+00 2.569619999999999756e-10
4.019999999999999574e+00 2.496059999999999960e-10
4.040000000000000036e+00 2.424530000000000002e-10
4.059999999999999609e+00 2.354959999999999796e-10
4.080000000000000071e+00 2.287320000000000121e-10
4.099999999999999645e+00 2.221540000000000116e-10
4.120000000000000107e+00 2.157579999999999957e-10
4.139999999999999680e+00 2.095379999999999903e-10
4.160000000000000142e+00 2.034909999999999955e-10
4.179999999999999716e+00 1.976110000000000117e-10
4.200000000000000178e+00 1.918940000000000045e-10
4.219999999999999751e+00 1.863350000000000085e-10
4.240000000000000213e+00 1.809309999999999980e-10
4.259999999999999787e+00 1.756759999999999991e-10
4.280000000000000249e+00 1.705679999999999946e-10
4.299999999999999822e+00 1.656019999999999933e-10
4.320000000000000284e+00 1.607740000000000127e-10
4.339999999999999858e+00 1.560810000000000011e-10
4.360000000000000320e+00 1.515190000000000017e-10
