# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.946059999999999752e-10
3.520000000000000018e+00 7.731590000000000388e-10
3.540000000000000036e+00 7.522779999999999948e-10
3.560000000000000053e+00 7.319490000000000333e-10
3.580000000000000071e+00 7.121560000000000169e-10
3.600000000000000089e+00 6.928860000000000411e-10
3.620000000000000107e+00 6.741249999999999856e-10
3.640000000000000124e+00 6.558609999999999544e-10
3.660000000000000142e+00 6.380800000000000341e-10
3.680000000000000160e+00 6.207690000000000098e-10
3.700000000000000178e+00 6.039180000000000025e-10
3.720000000000000195e+00 5.875119999999999870e-10
3.740000000000000213e+00 5.715419999999999894e-10
3.759999999999999787e+00 5.559950000000000017e-10
3.779999999999999805e+00 5.408610000000000413e-10
3.799999999999999822e+00 5.261290000000000140e-10
3.819999999999999840e+00 5.117880000000000322e-10
3.839999999999999858e+00 4.978290000000000187e-10
3.859999999999999876e+00 4.842399999999999739e-10
3.879999999999999893e+00 4.710140000000000446e-10
3.899999999999999911e+00 4.581390000000000244e-10
3.919999999999999929e+00 4.456080000000000085e-10
3.939999999999999947e+00 4.334100000000000057e-10
3.959999999999999964e+00 4.215380000000000078e-10
3.979999999999999982e+00 4.099819999999999807e-10
4.000000000000000000e+00 3.987350000000000195e-10
4.019999999999999574e+00 3.877879999999999951e-10
4.040000000000000036e+00 3.771340000000000028e-10
4.059999999999999609e+00 3.667650000000000254e-10
4.080000000000000071e+00 3.566740000000000031e-10
4.099999999999999645e+00 3.468520000000000136e-10
4.120000000000000107e+00 3.372940000000000142e-10
4.139999999999999680e+00 3.279909999999999792e-10
4.160000000000000142e+00 3.189389999999999778e-10
4.179999999999999716e+00 3.101289999999999844e-10
4.200000000000000178e+00 3.015560000000000079e-10
4.219999999999999751e+00 2.932129999999999883e-10
4.240000000000000213e+00 2.850939999999999773e-10
4.259999999999999787e+00 2.771939999999999839e-10
4.280000000000000249e+00 2.695059999999999997e-10
4.299999999999999822e+00 2.620259999999999904e-10
4.320000000000000284e+00 2.547469999999999993e-10
4.339999999999999858e+00 2.476639999999999835e-10
4.360000000000000320e+00 2.407720000000000036e-10
4.379999999999999893e+00 2.340670000000000252e-10
4.400000000000000355e+00 2.275419999999999883e-10
4.419999999999999929e+00 2.211939999999999963e-10
4.440000000000000391e+00 2.150180000000000065e-10
4.459999999999999964e+00 2.090090000000000017e-10
4.480000000000000426e+00 2.031619999999999908e-10
4.500000000000000000e+00 1.974750000000000083e-10
4.519999999999999574e+00 1.919409999999999941e-10
4.540000000000000036e+00 1.865580000000000086e-10
4.559999999999999609e+00 1.813200000000000004e-10
4.580000000000000071e+00 1.762250000000000041e-10
4.599999999999999645e+00 1.712690000000000111e-10
4.620000000000000107e+00 1.664479999999999871e-10
4.639999999999999680e+00 1.617580000000000012e-10
4.660000000000000142e+00 1.571949999999999933e-10
4.679999999999999716e+00 1.527569999999999979e-10
4.700000000000000178e+00 1.484409999999999892e-10
4.719999999999999751e+00 1.442420000000000019e-10
4.740000000000000213e+00 1.401579999999999931e-10
4.769999999999999574e+00 1.361850000000000059e-10
4.790000000000000036e+00 1.323220000000000059e-10
4.809999999999999609e+00 1.285640000000000019e-10
4.830000000000000071e+00 1.249090000000000026e-10
4.849999999999999645e+00 1.213540000000000082e-10
4.870000000000000107e+00 1.178970000000000014e-10
4.889999999999999680e+00 1.145349999999999953e-10
4.910000000000000142e+00 1.112659999999999987e-10
4.929999999999999716e+00 1.080860000000000029e-10
4.950000000000000178e+00 1.049939999999999995e-10
4.969999999999999751e+00 1.019870000000000015e-10
4.990000000000000213e+00 9.906320000000000384e-11
5.009999999999999787e+00 9.622000000000000481e-11
5.030000000000000249e+00 9.345529999999999418e-11
5.049999999999999822e+00 9.076719999999999961e-11
5.070000000000000284e+00 8.815330000000000566e-11
5.089999999999999858e+00 8.561190000000000036e-11
5.110000000000000320e+00 8.314089999999999928e-11
5.129999999999999893e+00 8.073840000000000421e-11
5.150000000000000355e+00 7.840270000000000317e-11
5.169999999999999929e+00 7.613180000000000484e-11
5.190000000000000391e+00 7.392410000000000325e-11
5.209999999999999964e+00 7.177789999999999933e-11
5.230000000000000426e+00 6.969149999999999400e-11
5.250000000000000000e+00 6.766320000000000112e-11
5.269999999999999574e+00 6.569160000000000092e-11
5.290000000000000036e+00 6.377499999999999432e-11
5.309999999999999609e+00 6.191200000000000034e-11
5.330000000000000071e+00 6.010119999999999921e-11
5.349999999999999645e+00 5.834110000000000391e-11
5.370000000000000107e+00 5.663030000000000115e-11
5.389999999999999680e+00 5.496750000000000302e-11
5.410000000000000142e+00 5.335150000000000183e-11
5.429999999999999716e+00 5.178089999999999719e-11
5.450000000000000178e+00 5.025450000000000079e-11
5.469999999999999751e+00 4.877109999999999844e-11
5.490000000000000213e+00 4.732950000000000184e-11
5.509999999999999787e+00 4.592870000000000240e-11
5.530000000000000249e+00 4.456739999999999930e-11
5.549999999999999822e+00 4.324459999999999690e-11
5.570000000000000284e+00 4.195919999999999998e-11
5.589999999999999858e+00 4.071039999999999908e-11
5.610000000000000320e+00 3.949689999999999985e-11
5.629999999999999893e+00 3.831779999999999976e-11
5.650000000000000355e+00 3.717240000000000183e-11
5.669999999999999929e+00 3.605949999999999837e-11
5.690000000000000391e+00 3.497829999999999930e-11
5.709999999999999964e+00 3.392800000000000164e-11
5.730000000000000426e+00 3.290759999999999682e-11
5.750000000000000000e+00 3.191650000000000037e-11
5.769999999999999574e+00 3.095369999999999724e-11
5.790000000000000036e+00 3.001849999999999694e-11
5.809999999999999609e+00 2.911010000000000296e-11
5.830000000000000071e+00 2.822769999999999937e-11
5.849999999999999645e+00 2.737080000000000127e-11
5.870000000000000107e+00 2.653849999999999966e-11
5.889999999999999680e+00 2.573020000000000036e-11
5.910000000000000142e+00 2.494519999999999997e-11
5.929999999999999716e+00 2.418290000000000109e-11
5.950000000000000178e+00 2.344269999999999986e-11
5.969999999999999751e+00 2.272389999999999933e-11
5.990000000000000213e+00 2.202589999999999887e-11
6.009999999999999787e+00 2.134810000000000109e-11
6.030000000000000249e+00 2.069010000000000127e-11
6.049999999999999822e+00 2.005129999999999878e-11
6.070000000000000284e+00 1.943099999999999990e-11
6.089999999999999858e+00 1.882889999999999947e-11
6.110000000000000320e+00 1.824430000000000053e-11
6.129999999999999893e+00 1.767680000000000158e-11
6.150000000000000355e+00 1.712600000000000114e-11
6.169999999999999929e+00 1.659129999999999858e-11
6.190000000000000391e+00 1.607229999999999888e-11
6.209999999999999964e+00 1.556860000000000053e-11
6.230000000000000426e+00 1.507979999999999881e-11
6.250000000000000000e+00 1.460529999999999957e-11
6.269999999999999574e+00 1.414490000000000044e-11
6.290000000000000036e+00 1.369810000000000037e-11
6.309999999999999609e+00 1.326449999999999947e-11
6.330000000000000071e+00 1.284380000000000067e-11
6.349999999999999645e+00 1.243559999999999924e-11
6.370000000000000107e+00 1.203950000000000015e-11
6.389999999999999680e+00 1.165519999999999985e-11
6.410000000000000142e+00 1.128249999999999923e-11
6.429999999999999716e+00 1.092079999999999927e-11
6.450000000000000178e+00 1.057000000000000040e-11
6.469999999999999751e+00 1.022969999999999952e-11
