# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.578460000000000042e-13
3.520000000000000018e+00 5.380490000000000432e-13
3.540000000000000036e+00 5.189589999999999700e-13
3.560000000000000053e+00 5.006170000000000266e-13
3.580000000000000071e+00 4.831040000000000183e-13
3.600000000000000089e+00 4.665569999999999678e-13
3.620000000000000107e+00 4.511990000000000144e-13
3.640000000000000124e+00 4.373710000000000051e-13
3.660000000000000142e+00 4.255479999999999958e-13
3.680000000000000160e+00 4.165159999999999894e-13
3.700000000000000178e+00 4.111700000000000039e-13
3.720000000000000195e+00 4.108130000000000086e-13
3.740000000000000213e+00 4.171210000000000156e-13
3.759999999999999787e+00 4.321899999999999992e-13
3.779999999999999805e+00 4.585789999999999789e-13
3.799999999999999822e+00 4.993289999999999820e-13
3.819999999999999840e+00 5.579599999999999772e-13
3.839999999999999858e+00 6.384359999999999667e-13
3.859999999999999876e+00 7.451040000000000126e-13
3.879999999999999893e+00 8.825840000000000488e-13
3.899999999999999911e+00 1.055680000000000001e-12
3.919999999999999929e+00 1.269069999999999963e-12
3.939999999999999947e+00 1.527410000000000052e-12
3.959999999999999964e+00 1.834850000000000002e-12
3.979999999999999982e+00 2.195020000000000072e-12
4.000000000000000000e+00 2.610709999999999889e-12
4.019999999999999574e+00 3.083820000000000081e-12
4.040000000000000036e+00 3.615120000000000049e-12
4.059999999999999609e+00 4.204210000000000319e-12
4.080000000000000071e+00 4.849399999999999915e-12
4.099999999999999645e+00 5.547730000000000232e-12
4.120000000000000107e+00 6.295000000000000137e-12
4.139999999999999680e+00 7.085759999999999890e-12
4.160000000000000142e+00 7.913510000000000275e-12
4.179999999999999716e+00 8.770830000000000100e-12
4.200000000000000178e+00 9.649550000000000621e-12
4.219999999999999751e+00 1.054089999999999924e-11
4.240000000000000213e+00 1.143580000000000020e-11
4.259999999999999787e+00 1.232509999999999966e-11
4.280000000000000249e+00 1.319949999999999924e-11
4.299999999999999822e+00 1.405010000000000048e-11
4.320000000000000284e+00 1.486859999999999907e-11
4.339999999999999858e+00 1.564709999999999863e-11
4.360000000000000320e+00 1.637839999999999976e-11
4.379999999999999893e+00 1.705620000000000077e-11
4.400000000000000355e+00 1.767519999999999884e-11
4.419999999999999929e+00 1.823090000000000060e-11
4.440000000000000391e+00 1.871990000000000145e-11
4.459999999999999964e+00 1.913979999999999888e-11
4.480000000000000426e+00 1.948899999999999986e-11
4.500000000000000000e+00 1.976690000000000052e-11
4.519999999999999574e+00 1.997389999999999913e-11
4.540000000000000036e+00 2.011079999999999868e-11
4.559999999999999609e+00 2.017950000000000060e-11
4.580000000000000071e+00 2.018240000000000092e-11
4.599999999999999645e+00 2.012230000000000040e-11
4.620000000000000107e+00 2.000260000000000041e-11
4.639999999999999680e+00 1.982710000000000061e-11
4.660000000000000142e+00 1.959960000000000062e-11
4.679999999999999716e+00 1.932440000000000114e-11
4.700000000000000178e+00 1.900570000000000009e-11
4.719999999999999751e+00 1.864800000000000051e-11
4.740000000000000213e+00 1.825559999999999988e-11
4.769999999999999574e+00 1.783279999999999890e-11
4.790000000000000036e+00 1.738379999999999869e-11
4.809999999999999609e+00 1.691260000000000126e-11
4.830000000000000071e+00 1.642319999999999893e-11
4.849999999999999645e+00 1.591919999999999865e-11
4.870000000000000107e+00 1.540420000000000094e-11
4.889999999999999680e+00 1.488140000000000160e-11
4.910000000000000142e+00 1.435369999999999931e-11
4.929999999999999716e+00 1.382410000000000044e-11
4.950000000000000178e+00 1.329489999999999982e-11
4.969999999999999751e+00 1.276849999999999997e-11
4.990000000000000213e+00 1.224699999999999982e-11
5.009999999999999787e+00 1.173210000000000006e-11
5.030000000000000249e+00 1.122549999999999978e-11
5.049999999999999822e+00 1.072859999999999934e-11
5.070000000000000284e+00 1.024250000000000043e-11
5.089999999999999858e+00 9.768399999999999453e-12
5.110000000000000320e+00 9.306970000000000277e-12
5.129999999999999893e+00 8.858970000000000570e-12
5.150000000000000355e+00 8.424920000000000012e-12
5.169999999999999929e+00 8.005249999999999640e-12
5.190000000000000391e+00 7.600209999999999985e-12
5.209999999999999964e+00 7.210010000000000294e-12
5.230000000000000426e+00 6.834700000000000352e-12
5.250000000000000000e+00 6.474290000000000275e-12
5.269999999999999574e+00 6.128699999999999927e-12
5.290000000000000036e+00 5.797759999999999723e-12
5.309999999999999609e+00 5.481269999999999726e-12
5.330000000000000071e+00 5.178980000000000213e-12
5.349999999999999645e+00 4.890569999999999830e-12
5.370000000000000107e+00 4.615719999999999643e-12
5.389999999999999680e+00 4.354050000000000011e-12
5.410000000000000142e+00 4.105189999999999797e-12
5.429999999999999716e+00 3.868719999999999695e-12
5.450000000000000178e+00 3.644229999999999710e-12
5.469999999999999751e+00 3.431279999999999895e-12
5.490000000000000213e+00 3.229450000000000138e-12
5.509999999999999787e+00 3.038300000000000089e-12
5.530000000000000249e+00 2.857389999999999803e-12
5.549999999999999822e+00 2.686289999999999856e-12
5.570000000000000284e+00 2.524570000000000016e-12
5.589999999999999858e+00 2.371819999999999884e-12
5.610000000000000320e+00 2.227610000000000037e-12
5.629999999999999893e+00 2.091540000000000194e-12
5.650000000000000355e+00 1.963229999999999905e-12
5.669999999999999929e+00 1.842289999999999817e-12
5.690000000000000391e+00 1.728359999999999918e-12
5.709999999999999964e+00 1.621059999999999961e-12
5.730000000000000426e+00 1.520070000000000004e-12
5.750000000000000000e+00 1.425050000000000072e-12
5.769999999999999574e+00 1.335680000000000020e-12
5.790000000000000036e+00 1.251659999999999940e-12
5.809999999999999609e+00 1.172689999999999924e-12
5.830000000000000071e+00 1.098500000000000015e-12
5.849999999999999645e+00 1.028809999999999935e-12
5.870000000000000107e+00 9.633859999999999099e-13
5.889999999999999680e+00 9.019719999999999860e-13
5.910000000000000142e+00 8.443460000000000456e-13
5.929999999999999716e+00 7.902789999999999691e-13
5.950000000000000178e+00 7.395710000000000200e-13
5.969999999999999751e+00 6.920230000000000291e-13
5.990000000000000213e+00 6.474479999999999893e-13
6.009999999999999787e+00 6.056699999999999830e-13
6.030000000000000249e+00 5.665220000000000371e-13
6.049999999999999822e+00 5.298460000000000225e-13
6.070000000000000284e+00 4.954919999999999853e-13
6.089999999999999858e+00 4.633180000000000459e-13
6.110000000000000320e+00 4.331919999999999883e-13
6.129999999999999893e+00 4.049890000000000023e-13
6.150000000000000355e+00 3.785880000000000121e-13
6.169999999999999929e+00 3.538800000000000027e-13
6.190000000000000391e+00 3.307599999999999962e-13
6.209999999999999964e+00 3.091280000000000233e-13
6.230000000000000426e+00 2.888899999999999938e-13
6.250000000000000000e+00 2.699599999999999927e-13
6.269999999999999574e+00 2.522559999999999906e-13
6.290000000000000036e+00 2.356999999999999953e-13
6.309999999999999609e+00 2.202199999999999946e-13
6.330000000000000071e+00 2.057459999999999949e-13
