# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.804279999999999841e-12
3.520000000000000018e+00 2.709800000000000025e-12
3.540000000000000036e+00 2.618250000000000077e-12
3.560000000000000053e+00 2.529540000000000145e-12
3.580000000000000071e+00 2.443569999999999856e-12
3.600000000000000089e+00 2.360310000000000067e-12
3.620000000000000107e+00 2.277930000000000170e-12
3.640000000000000124e+00 2.199850000000000163e-12
3.660000000000000142e+00 2.124220000000000010e-12
3.680000000000000160e+00 2.050940000000000145e-12
3.700000000000000178e+00 1.979970000000000095e-12
3.720000000000000195e+00 1.911220000000000009e-12
3.740000000000000213e+00 1.844649999999999819e-12
3.759999999999999787e+00 1.780170000000000078e-12
3.779999999999999805e+00 1.717750000000000026e-12
3.799999999999999822e+00 1.657300000000000016e-12
3.819999999999999840e+00 1.598779999999999979e-12
3.839999999999999858e+00 1.542130000000000013e-12
3.859999999999999876e+00 1.487299999999999933e-12
3.879999999999999893e+00 1.434230000000000039e-12
3.899999999999999911e+00 1.382919999999999927e-12
3.919999999999999929e+00 1.333220000000000048e-12
3.939999999999999947e+00 1.285250000000000001e-12
3.959999999999999964e+00 1.239009999999999988e-12
3.979999999999999982e+00 1.194590000000000063e-12
4.000000000000000000e+00 1.152259999999999979e-12
4.019999999999999574e+00 1.112409999999999902e-12
4.040000000000000036e+00 1.075810000000000038e-12
4.059999999999999609e+00 1.043739999999999953e-12
4.080000000000000071e+00 1.018229999999999994e-12
4.099999999999999645e+00 1.002330000000000032e-12
4.120000000000000107e+00 1.000540000000000097e-12
4.139999999999999680e+00 1.019269999999999957e-12
4.160000000000000142e+00 1.067360000000000008e-12
4.179999999999999716e+00 1.156619999999999973e-12
4.200000000000000178e+00 1.302470000000000003e-12
4.219999999999999751e+00 1.524370000000000097e-12
4.240000000000000213e+00 1.846280000000000086e-12
4.259999999999999787e+00 2.296929999999999988e-12
4.280000000000000249e+00 2.909770000000000030e-12
4.299999999999999822e+00 3.722759999999999780e-12
4.320000000000000284e+00 4.777789999999999981e-12
4.339999999999999858e+00 6.119710000000000386e-12
4.360000000000000320e+00 7.795210000000000668e-12
4.379999999999999893e+00 9.851109999999999612e-12
4.400000000000000355e+00 1.233289999999999968e-11
4.419999999999999929e+00 1.528240000000000039e-11
4.440000000000000391e+00 1.873640000000000082e-11
4.459999999999999964e+00 2.272399999999999890e-11
4.480000000000000426e+00 2.726579999999999879e-11
4.500000000000000000e+00 3.237150000000000035e-11
4.519999999999999574e+00 3.803930000000000170e-11
4.540000000000000036e+00 4.425499999999999995e-11
4.559999999999999609e+00 5.099239999999999909e-11
4.580000000000000071e+00 5.821169999999999762e-11
4.599999999999999645e+00 6.586250000000000133e-11
4.620000000000000107e+00 7.388259999999999620e-11
4.639999999999999680e+00 8.220109999999999958e-11
4.660000000000000142e+00 9.073960000000000324e-11
