# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.539869999999999860e-12
3.520000000000000018e+00 7.296909999999999853e-12
3.540000000000000036e+00 7.061209999999999959e-12
3.560000000000000053e+00 6.832570000000000238e-12
3.580000000000000071e+00 6.610789999999999945e-12
3.600000000000000089e+00 6.395669999999999949e-12
3.620000000000000107e+00 6.187029999999999740e-12
3.640000000000000124e+00 5.984680000000000304e-12
3.660000000000000142e+00 5.788449999999999635e-12
3.680000000000000160e+00 5.598169999999999763e-12
3.700000000000000178e+00 5.413660000000000179e-12
3.720000000000000195e+00 5.234749999999999682e-12
3.740000000000000213e+00 5.061299999999999850e-12
3.759999999999999787e+00 4.893140000000000292e-12
3.779999999999999805e+00 4.730130000000000162e-12
3.799999999999999822e+00 4.572120000000000111e-12
3.819999999999999840e+00 4.418959999999999984e-12
3.839999999999999858e+00 4.270529999999999980e-12
3.859999999999999876e+00 4.126669999999999823e-12
3.879999999999999893e+00 3.987259999999999713e-12
3.899999999999999911e+00 3.852210000000000203e-12
3.919999999999999929e+00 3.721259999999999837e-12
3.939999999999999947e+00 3.594440000000000182e-12
3.959999999999999964e+00 3.469039999999999928e-12
3.979999999999999982e+00 3.350140000000000102e-12
4.000000000000000000e+00 3.234950000000000064e-12
4.019999999999999574e+00 3.123360000000000133e-12
4.040000000000000036e+00 3.015269999999999934e-12
4.059999999999999609e+00 2.910570000000000188e-12
4.080000000000000071e+00 2.809169999999999833e-12
4.099999999999999645e+00 2.710989999999999942e-12
4.120000000000000107e+00 2.615939999999999858e-12
4.139999999999999680e+00 2.523960000000000082e-12
4.160000000000000142e+00 2.435019999999999857e-12
4.179999999999999716e+00 2.349139999999999823e-12
4.200000000000000178e+00 2.266419999999999949e-12
4.219999999999999751e+00 2.187130000000000193e-12
4.240000000000000213e+00 2.111769999999999997e-12
4.259999999999999787e+00 2.041209999999999943e-12
4.280000000000000249e+00 1.976850000000000003e-12
4.299999999999999822e+00 1.920959999999999925e-12
4.320000000000000284e+00 1.876830000000000193e-12
4.339999999999999858e+00 1.849260000000000140e-12
4.360000000000000320e+00 1.844940000000000013e-12
4.379999999999999893e+00 1.872950000000000011e-12
4.400000000000000355e+00 1.945220000000000066e-12
4.419999999999999929e+00 2.077009999999999851e-12
4.440000000000000391e+00 2.287290000000000041e-12
4.459999999999999964e+00 2.598949999999999947e-12
4.480000000000000426e+00 3.039009999999999993e-12
4.500000000000000000e+00 3.638320000000000192e-12
4.519999999999999574e+00 4.431309999999999624e-12
4.540000000000000036e+00 5.455190000000000305e-12
4.559999999999999609e+00 6.749130000000000344e-12
4.580000000000000071e+00 8.352860000000000418e-12
4.599999999999999645e+00 1.030549999999999966e-11
4.620000000000000107e+00 1.264369999999999953e-11
4.639999999999999680e+00 1.540009999999999938e-11
4.660000000000000142e+00 1.860190000000000054e-11
4.679999999999999716e+00 2.226909999999999848e-11
4.700000000000000178e+00 2.641299999999999903e-11
4.719999999999999751e+00 3.103549999999999716e-11
4.740000000000000213e+00 3.612840000000000265e-11
4.769999999999999574e+00 4.167259999999999835e-11
4.790000000000000036e+00 4.763829999999999746e-11
4.809999999999999609e+00 5.398569999999999846e-11
4.830000000000000071e+00 6.066549999999999591e-11
4.849999999999999645e+00 6.762010000000000103e-11
4.870000000000000107e+00 7.478440000000000595e-11
4.889999999999999680e+00 8.208849999999999782e-11
4.910000000000000142e+00 8.945870000000000614e-11
4.929999999999999716e+00 9.681899999999999933e-11
4.950000000000000178e+00 1.040929999999999992e-10
4.969999999999999751e+00 1.112069999999999966e-10
4.990000000000000213e+00 1.180880000000000114e-10
5.009999999999999787e+00 1.246699999999999944e-10
5.030000000000000249e+00 1.308899999999999999e-10
5.049999999999999822e+00 1.366940000000000038e-10
5.070000000000000284e+00 1.420329999999999995e-10
5.089999999999999858e+00 1.468670000000000058e-10
5.110000000000000320e+00 1.511649999999999893e-10
5.129999999999999893e+00 1.549019999999999941e-10
5.150000000000000355e+00 1.580620000000000121e-10
5.169999999999999929e+00 1.606370000000000006e-10
5.190000000000000391e+00 1.626260000000000028e-10
5.209999999999999964e+00 1.640340000000000097e-10
5.230000000000000426e+00 1.648740000000000037e-10
5.250000000000000000e+00 1.651619999999999928e-10
5.269999999999999574e+00 1.649209999999999933e-10
5.290000000000000036e+00 1.641769999999999956e-10
5.309999999999999609e+00 1.629580000000000074e-10
5.330000000000000071e+00 1.612970000000000015e-10
5.349999999999999645e+00 1.592280000000000110e-10
5.370000000000000107e+00 1.567849999999999916e-10
5.389999999999999680e+00 1.540039999999999937e-10
5.410000000000000142e+00 1.509219999999999985e-10
5.429999999999999716e+00 1.475739999999999962e-10
5.450000000000000178e+00 1.439939999999999941e-10
5.469999999999999751e+00 1.402179999999999908e-10
5.490000000000000213e+00 1.362769999999999938e-10
5.509999999999999787e+00 1.322029999999999931e-10
5.530000000000000249e+00 1.280250000000000051e-10
5.549999999999999822e+00 1.237700000000000027e-10
5.570000000000000284e+00 1.194650000000000109e-10
5.589999999999999858e+00 1.151340000000000028e-10
5.610000000000000320e+00 1.107959999999999992e-10
5.629999999999999893e+00 1.064740000000000037e-10
5.650000000000000355e+00 1.021830000000000027e-10
5.669999999999999929e+00 9.794059999999999729e-11
5.690000000000000391e+00 9.375990000000000159e-11
5.709999999999999964e+00 8.965349999999999962e-11
5.730000000000000426e+00 8.563199999999999701e-11
5.750000000000000000e+00 8.170419999999999430e-11
5.769999999999999574e+00 7.787780000000000325e-11
5.790000000000000036e+00 7.415890000000000382e-11
5.809999999999999609e+00 7.055260000000000615e-11
5.830000000000000071e+00 6.706249999999999460e-11
5.849999999999999645e+00 6.369150000000000179e-11
5.870000000000000107e+00 6.044130000000000096e-11
5.889999999999999680e+00 5.731319999999999938e-11
5.910000000000000142e+00 5.430709999999999747e-11
5.929999999999999716e+00 5.142270000000000302e-11
5.950000000000000178e+00 4.865910000000000054e-11
5.969999999999999751e+00 4.601469999999999698e-11
5.990000000000000213e+00 4.348750000000000105e-11
6.009999999999999787e+00 4.107530000000000290e-11
6.030000000000000249e+00 3.877540000000000136e-11
6.049999999999999822e+00 3.658490000000000257e-11
6.070000000000000284e+00 3.450070000000000061e-11
6.089999999999999858e+00 3.251949999999999689e-11
6.110000000000000320e+00 3.063799999999999930e-11
6.129999999999999893e+00 2.885270000000000044e-11
6.150000000000000355e+00 2.715990000000000022e-11
6.169999999999999929e+00 2.555620000000000050e-11
6.190000000000000391e+00 2.403810000000000033e-11
