# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.530320000000000047e-11
3.520000000000000018e+00 1.482600000000000004e-11
3.540000000000000036e+00 1.436280000000000015e-11
3.560000000000000053e+00 1.391309999999999976e-11
3.580000000000000071e+00 1.347660000000000015e-11
3.600000000000000089e+00 1.305280000000000028e-11
3.620000000000000107e+00 1.264160000000000058e-11
3.640000000000000124e+00 1.224240000000000042e-11
3.660000000000000142e+00 1.185500000000000068e-11
3.680000000000000160e+00 1.147899999999999986e-11
3.700000000000000178e+00 1.111420000000000044e-11
3.720000000000000195e+00 1.076009999999999976e-11
3.740000000000000213e+00 1.041659999999999986e-11
3.759999999999999787e+00 1.008319999999999969e-11
3.779999999999999805e+00 9.759779999999999435e-12
3.799999999999999822e+00 9.445999999999999938e-12
3.819999999999999840e+00 9.141570000000000194e-12
3.839999999999999858e+00 8.846269999999999221e-12
3.859999999999999876e+00 8.559799999999999938e-12
3.879999999999999893e+00 8.281950000000000672e-12
3.899999999999999911e+00 8.012439999999999734e-12
3.919999999999999929e+00 7.751060000000000296e-12
3.939999999999999947e+00 7.497569999999999525e-12
3.959999999999999964e+00 7.251749999999999670e-12
3.979999999999999982e+00 7.013369999999999630e-12
4.000000000000000000e+00 6.782249999999999702e-12
4.019999999999999574e+00 6.558140000000000165e-12
4.040000000000000036e+00 6.340879999999999937e-12
4.059999999999999609e+00 6.130259999999999771e-12
4.080000000000000071e+00 5.926079999999999726e-12
4.099999999999999645e+00 5.728180000000000337e-12
4.120000000000000107e+00 5.536349999999999931e-12
4.139999999999999680e+00 5.350450000000000087e-12
4.160000000000000142e+00 5.170280000000000058e-12
4.179999999999999716e+00 4.995660000000000142e-12
4.200000000000000178e+00 4.826500000000000083e-12
4.219999999999999751e+00 4.658590000000000247e-12
4.240000000000000213e+00 4.499989999999999690e-12
4.259999999999999787e+00 4.346379999999999904e-12
4.280000000000000249e+00 4.197679999999999942e-12
4.299999999999999822e+00 4.053879999999999686e-12
4.320000000000000284e+00 3.915089999999999628e-12
4.339999999999999858e+00 3.781569999999999607e-12
4.360000000000000320e+00 3.653889999999999893e-12
4.379999999999999893e+00 3.533029999999999941e-12
4.400000000000000355e+00 3.420590000000000069e-12
4.419999999999999929e+00 3.319080000000000030e-12
4.440000000000000391e+00 3.232229999999999850e-12
4.459999999999999964e+00 3.165379999999999988e-12
4.480000000000000426e+00 3.125960000000000142e-12
4.500000000000000000e+00 3.123959999999999949e-12
4.519999999999999574e+00 3.172389999999999976e-12
4.540000000000000036e+00 3.287860000000000088e-12
4.559999999999999609e+00 3.490749999999999843e-12
4.580000000000000071e+00 3.805560000000000195e-12
4.599999999999999645e+00 4.260920000000000387e-12
4.620000000000000107e+00 4.889319999999999608e-12
4.639999999999999680e+00 5.726699999999999822e-12
4.660000000000000142e+00 6.811690000000000028e-12
4.679999999999999716e+00 8.184460000000000449e-12
4.700000000000000178e+00 9.885420000000000099e-12
4.719999999999999751e+00 1.195390000000000059e-11
4.740000000000000213e+00 1.442619999999999926e-11
4.769999999999999574e+00 1.733440000000000013e-11
4.790000000000000036e+00 2.070389999999999946e-11
4.809999999999999609e+00 2.455279999999999934e-11
4.830000000000000071e+00 2.889019999999999902e-11
4.849999999999999645e+00 3.371499999999999679e-11
4.870000000000000107e+00 3.901539999999999873e-11
4.889999999999999680e+00 4.476910000000000156e-11
4.910000000000000142e+00 5.094290000000000096e-11
4.929999999999999716e+00 5.749319999999999901e-11
4.950000000000000178e+00 6.436690000000000031e-11
4.969999999999999751e+00 7.150319999999999768e-11
4.990000000000000213e+00 7.883459999999999368e-11
5.009999999999999787e+00 8.628789999999999627e-11
5.030000000000000249e+00 9.378740000000000485e-11
5.049999999999999822e+00 1.012550000000000034e-10
5.070000000000000284e+00 1.086139999999999958e-10
5.089999999999999858e+00 1.157889999999999995e-10
5.110000000000000320e+00 1.227070000000000086e-10
5.129999999999999893e+00 1.293019999999999998e-10
5.150000000000000355e+00 1.355130000000000055e-10
5.169999999999999929e+00 1.412840000000000107e-10
5.190000000000000391e+00 1.465709999999999998e-10
5.209999999999999964e+00 1.513330000000000088e-10
5.230000000000000426e+00 1.555409999999999957e-10
5.250000000000000000e+00 1.591719999999999959e-10
5.269999999999999574e+00 1.622119999999999926e-10
5.290000000000000036e+00 1.646559999999999947e-10
5.309999999999999609e+00 1.665029999999999936e-10
