# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.035630000000000021e-10
3.520000000000000018e+00 1.005369999999999962e-10
3.540000000000000036e+00 9.759500000000000006e-11
3.560000000000000053e+00 9.473569999999999991e-11
3.580000000000000071e+00 9.195629999999999501e-11
3.600000000000000089e+00 8.925459999999999492e-11
3.620000000000000107e+00 8.662870000000000144e-11
3.640000000000000124e+00 8.407650000000000430e-11
3.660000000000000142e+00 8.159590000000000616e-11
3.680000000000000160e+00 7.918499999999999591e-11
3.700000000000000178e+00 7.684190000000000117e-11
3.720000000000000195e+00 7.456480000000000394e-11
3.740000000000000213e+00 7.235189999999999910e-11
3.759999999999999787e+00 7.020139999999999448e-11
3.779999999999999805e+00 6.811169999999999704e-11
3.799999999999999822e+00 6.608109999999999476e-11
3.819999999999999840e+00 6.410790000000000151e-11
3.839999999999999858e+00 6.219069999999999753e-11
3.859999999999999876e+00 6.032779999999999665e-11
3.879999999999999893e+00 5.851789999999999807e-11
3.899999999999999911e+00 5.675940000000000228e-11
3.919999999999999929e+00 5.505090000000000244e-11
3.939999999999999947e+00 5.339119999999999731e-11
3.959999999999999964e+00 5.177879999999999986e-11
3.979999999999999982e+00 5.021240000000000281e-11
4.000000000000000000e+00 4.869089999999999804e-11
4.019999999999999574e+00 4.721279999999999851e-11
4.040000000000000036e+00 4.577720000000000168e-11
4.059999999999999609e+00 4.438280000000000027e-11
4.080000000000000071e+00 4.302839999999999950e-11
4.099999999999999645e+00 4.171309999999999681e-11
4.120000000000000107e+00 4.043549999999999830e-11
4.139999999999999680e+00 3.919490000000000054e-11
4.160000000000000142e+00 3.799000000000000271e-11
4.179999999999999716e+00 3.682010000000000141e-11
4.200000000000000178e+00 3.568400000000000183e-11
4.219999999999999751e+00 3.458080000000000145e-11
4.240000000000000213e+00 3.350969999999999726e-11
4.259999999999999787e+00 3.246970000000000007e-11
4.280000000000000249e+00 3.146000000000000045e-11
4.299999999999999822e+00 3.047970000000000229e-11
4.320000000000000284e+00 2.952810000000000218e-11
4.339999999999999858e+00 2.860430000000000081e-11
4.360000000000000320e+00 2.770760000000000121e-11
4.379999999999999893e+00 2.683720000000000039e-11
4.400000000000000355e+00 2.599250000000000097e-11
4.419999999999999929e+00 2.517279999999999953e-11
4.440000000000000391e+00 2.437739999999999910e-11
4.459999999999999964e+00 2.360590000000000143e-11
