# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.579059999999999958e-11
3.520000000000000018e+00 2.500049999999999874e-11
3.540000000000000036e+00 2.423309999999999940e-11
3.560000000000000053e+00 2.348790000000000052e-11
3.580000000000000071e+00 2.276430000000000146e-11
3.600000000000000089e+00 2.206149999999999924e-11
3.620000000000000107e+00 2.137919999999999841e-11
3.640000000000000124e+00 2.071669999999999876e-11
3.660000000000000142e+00 2.007339999999999967e-11
3.680000000000000160e+00 1.944889999999999965e-11
3.700000000000000178e+00 1.884260000000000132e-11
3.720000000000000195e+00 1.825390000000000081e-11
3.740000000000000213e+00 1.768249999999999943e-11
3.759999999999999787e+00 1.712779999999999978e-11
3.779999999999999805e+00 1.658940000000000038e-11
3.799999999999999822e+00 1.606670000000000060e-11
3.819999999999999840e+00 1.555950000000000130e-11
3.839999999999999858e+00 1.506719999999999864e-11
3.859999999999999876e+00 1.458940000000000082e-11
3.879999999999999893e+00 1.412569999999999988e-11
3.899999999999999911e+00 1.367580000000000035e-11
3.919999999999999929e+00 1.323919999999999957e-11
3.939999999999999947e+00 1.281549999999999926e-11
3.959999999999999964e+00 1.240450000000000031e-11
3.979999999999999982e+00 1.200570000000000003e-11
4.000000000000000000e+00 1.161879999999999973e-11
4.019999999999999574e+00 1.124350000000000071e-11
4.040000000000000036e+00 1.087939999999999987e-11
4.059999999999999609e+00 1.052620000000000012e-11
4.080000000000000071e+00 1.018370000000000072e-11
4.099999999999999645e+00 9.851459999999999707e-12
4.120000000000000107e+00 9.529259999999999323e-12
4.139999999999999680e+00 9.216799999999999259e-12
4.160000000000000142e+00 8.913810000000000365e-12
4.179999999999999716e+00 8.620009999999999335e-12
4.200000000000000178e+00 8.335150000000000486e-12
4.219999999999999751e+00 8.058959999999999822e-12
4.240000000000000213e+00 7.791219999999999592e-12
4.259999999999999787e+00 7.531669999999999956e-12
4.280000000000000249e+00 7.280069999999999695e-12
4.299999999999999822e+00 7.036219999999999679e-12
4.320000000000000284e+00 6.799870000000000186e-12
4.339999999999999858e+00 6.570899999999999799e-12
4.360000000000000320e+00 6.348830000000000121e-12
4.379999999999999893e+00 6.133739999999999671e-12
4.400000000000000355e+00 5.920430000000000048e-12
4.419999999999999929e+00 5.718790000000000111e-12
4.440000000000000391e+00 5.523489999999999924e-12
4.459999999999999964e+00 5.334400000000000373e-12
4.480000000000000426e+00 5.151449999999999825e-12
4.500000000000000000e+00 4.974639999999999894e-12
4.519999999999999574e+00 4.804080000000000266e-12
4.540000000000000036e+00 4.640019999999999852e-12
4.559999999999999609e+00 4.482940000000000283e-12
4.580000000000000071e+00 4.333569999999999679e-12
4.599999999999999645e+00 4.193029999999999956e-12
4.620000000000000107e+00 4.062859999999999916e-12
4.639999999999999680e+00 3.945129999999999771e-12
4.660000000000000142e+00 3.842729999999999722e-12
4.679999999999999716e+00 3.758959999999999969e-12
4.700000000000000178e+00 3.698120000000000402e-12
4.719999999999999751e+00 3.665200000000000175e-12
4.740000000000000213e+00 3.666350000000000024e-12
4.769999999999999574e+00 3.708269999999999910e-12
4.790000000000000036e+00 3.798440000000000120e-12
4.809999999999999609e+00 3.945009999999999969e-12
4.830000000000000071e+00 4.156660000000000183e-12
4.849999999999999645e+00 4.442440000000000203e-12
4.870000000000000107e+00 4.811569999999999863e-12
4.889999999999999680e+00 5.273259999999999686e-12
4.910000000000000142e+00 5.836559999999999921e-12
4.929999999999999716e+00 6.510089999999999779e-12
4.950000000000000178e+00 7.301890000000000504e-12
4.969999999999999751e+00 8.219320000000000161e-12
4.990000000000000213e+00 9.268810000000000367e-12
5.009999999999999787e+00 1.045569999999999956e-11
5.030000000000000249e+00 1.178410000000000024e-11
5.049999999999999822e+00 1.325680000000000062e-11
5.070000000000000284e+00 1.487509999999999990e-11
5.089999999999999858e+00 1.663850000000000024e-11
5.110000000000000320e+00 1.854460000000000077e-11
5.129999999999999893e+00 2.058920000000000036e-11
5.150000000000000355e+00 2.276600000000000053e-11
5.169999999999999929e+00 2.506649999999999947e-11
5.190000000000000391e+00 2.747989999999999886e-11
5.209999999999999964e+00 2.999330000000000307e-11
5.230000000000000426e+00 3.259169999999999975e-11
5.250000000000000000e+00 3.525809999999999817e-11
5.269999999999999574e+00 3.797360000000000290e-11
5.290000000000000036e+00 4.071809999999999792e-11
5.309999999999999609e+00 4.346989999999999999e-11
5.330000000000000071e+00 4.620629999999999790e-11
5.349999999999999645e+00 4.890469999999999941e-11
5.370000000000000107e+00 5.154230000000000021e-11
5.389999999999999680e+00 5.409630000000000245e-11
5.410000000000000142e+00 5.654469999999999836e-11
5.429999999999999716e+00 5.886710000000000551e-11
5.450000000000000178e+00 6.104410000000000482e-11
5.469999999999999751e+00 6.305849999999999995e-11
5.490000000000000213e+00 6.489490000000000614e-11
5.509999999999999787e+00 6.654030000000000234e-11
5.530000000000000249e+00 6.798420000000000187e-11
5.549999999999999822e+00 6.921849999999999470e-11
5.570000000000000284e+00 7.023760000000000517e-11
5.589999999999999858e+00 7.103840000000000152e-11
5.610000000000000320e+00 7.162029999999999927e-11
5.629999999999999893e+00 7.198490000000000440e-11
5.650000000000000355e+00 7.213610000000000642e-11
5.669999999999999929e+00 7.207949999999999392e-11
5.690000000000000391e+00 7.182260000000000539e-11
