# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.950520000000000256e-11
3.520000000000000018e+00 3.831179999999999999e-11
3.540000000000000036e+00 3.715249999999999785e-11
3.560000000000000053e+00 3.602630000000000049e-11
3.580000000000000071e+00 3.493239999999999845e-11
3.600000000000000089e+00 3.386980000000000256e-11
3.620000000000000107e+00 3.283769999999999689e-11
3.640000000000000124e+00 3.183529999999999785e-11
3.660000000000000142e+00 3.086159999999999686e-11
3.680000000000000160e+00 2.991610000000000255e-11
3.700000000000000178e+00 2.899779999999999989e-11
3.720000000000000195e+00 2.810600000000000161e-11
3.740000000000000213e+00 2.724000000000000106e-11
3.759999999999999787e+00 2.639910000000000128e-11
3.779999999999999805e+00 2.558249999999999929e-11
3.799999999999999822e+00 2.478960000000000092e-11
3.819999999999999840e+00 2.401979999999999909e-11
3.839999999999999858e+00 2.327240000000000007e-11
3.859999999999999876e+00 2.254680000000000001e-11
3.879999999999999893e+00 2.184240000000000152e-11
3.899999999999999911e+00 2.115860000000000074e-11
3.919999999999999929e+00 2.049470000000000071e-11
3.939999999999999947e+00 1.985039999999999951e-11
3.959999999999999964e+00 1.922500000000000017e-11
3.979999999999999982e+00 1.861789999999999885e-11
4.000000000000000000e+00 1.802880000000000008e-11
4.019999999999999574e+00 1.745700000000000044e-11
4.040000000000000036e+00 1.690209999999999843e-11
4.059999999999999609e+00 1.636359999999999946e-11
4.080000000000000071e+00 1.584109999999999881e-11
4.099999999999999645e+00 1.533409999999999865e-11
4.120000000000000107e+00 1.484220000000000071e-11
4.139999999999999680e+00 1.436500000000000028e-11
4.160000000000000142e+00 1.390199999999999953e-11
4.179999999999999716e+00 1.345280000000000019e-11
4.200000000000000178e+00 1.301710000000000034e-11
4.219999999999999751e+00 1.259440000000000054e-11
4.240000000000000213e+00 1.218450000000000003e-11
4.259999999999999787e+00 1.178689999999999938e-11
4.280000000000000249e+00 1.140129999999999990e-11
4.299999999999999822e+00 1.102739999999999964e-11
4.320000000000000284e+00 1.066470000000000079e-11
4.339999999999999858e+00 1.031310000000000055e-11
4.360000000000000320e+00 9.972209999999999975e-12
4.379999999999999893e+00 9.641689999999999885e-12
4.400000000000000355e+00 9.321249999999999283e-12
