# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.651909999999999976e-11
3.520000000000000018e+00 5.483049999999999745e-11
3.540000000000000036e+00 5.318980000000000021e-11
3.560000000000000053e+00 5.159570000000000077e-11
3.580000000000000071e+00 5.004679999999999875e-11
3.600000000000000089e+00 4.854189999999999938e-11
3.620000000000000107e+00 4.707990000000000097e-11
3.640000000000000124e+00 4.565950000000000270e-11
3.660000000000000142e+00 4.427970000000000246e-11
3.680000000000000160e+00 4.293919999999999943e-11
3.700000000000000178e+00 4.163709999999999754e-11
3.720000000000000195e+00 4.037230000000000156e-11
3.740000000000000213e+00 3.914369999999999688e-11
3.759999999999999787e+00 3.795040000000000034e-11
3.779999999999999805e+00 3.679139999999999689e-11
3.799999999999999822e+00 3.566579999999999692e-11
3.819999999999999840e+00 3.457249999999999874e-11
3.839999999999999858e+00 3.351079999999999894e-11
3.859999999999999876e+00 3.247970000000000185e-11
3.879999999999999893e+00 3.147849999999999759e-11
3.899999999999999911e+00 3.050630000000000300e-11
3.919999999999999929e+00 2.956220000000000262e-11
3.939999999999999947e+00 2.864559999999999903e-11
3.959999999999999964e+00 2.775559999999999939e-11
3.979999999999999982e+00 2.689150000000000027e-11
4.000000000000000000e+00 2.605270000000000106e-11
4.019999999999999574e+00 2.523829999999999920e-11
4.040000000000000036e+00 2.444770000000000053e-11
4.059999999999999609e+00 2.368030000000000119e-11
4.080000000000000071e+00 2.293540000000000100e-11
4.099999999999999645e+00 2.221239999999999934e-11
4.120000000000000107e+00 2.151059999999999924e-11
4.139999999999999680e+00 2.082949999999999965e-11
4.160000000000000142e+00 2.016849999999999994e-11
4.179999999999999716e+00 1.952709999999999906e-11
4.200000000000000178e+00 1.890460000000000004e-11
4.219999999999999751e+00 1.830060000000000141e-11
4.240000000000000213e+00 1.771449999999999929e-11
4.259999999999999787e+00 1.714589999999999866e-11
4.280000000000000249e+00 1.659419999999999890e-11
4.299999999999999822e+00 1.605899999999999852e-11
4.320000000000000284e+00 1.553970000000000011e-11
4.339999999999999858e+00 1.503610000000000133e-11
4.360000000000000320e+00 1.454750000000000036e-11
4.379999999999999893e+00 1.407369999999999970e-11
4.400000000000000355e+00 1.361410000000000032e-11
4.419999999999999929e+00 1.316840000000000031e-11
4.440000000000000391e+00 1.273619999999999979e-11
4.459999999999999964e+00 1.231699999999999932e-11
4.480000000000000426e+00 1.191059999999999976e-11
4.500000000000000000e+00 1.151659999999999962e-11
4.519999999999999574e+00 1.113460000000000064e-11
4.540000000000000036e+00 1.076419999999999971e-11
4.559999999999999609e+00 1.040519999999999932e-11
4.580000000000000071e+00 1.005719999999999960e-11
4.599999999999999645e+00 9.720040000000000253e-12
4.620000000000000107e+00 9.393380000000000512e-12
4.639999999999999680e+00 9.077069999999999409e-12
4.660000000000000142e+00 8.770879999999999882e-12
4.679999999999999716e+00 8.475099999999999703e-12
4.700000000000000178e+00 8.182990000000000052e-12
4.719999999999999751e+00 7.909200000000000266e-12
4.740000000000000213e+00 7.647520000000000517e-12
4.769999999999999574e+00 7.399620000000000331e-12
4.790000000000000036e+00 7.167950000000000370e-12
4.809999999999999609e+00 6.956030000000000199e-12
4.830000000000000071e+00 6.768670000000000076e-12
4.849999999999999645e+00 6.612240000000000106e-12
4.870000000000000107e+00 6.494860000000000055e-12
4.889999999999999680e+00 6.426999999999999978e-12
4.910000000000000142e+00 6.420740000000000367e-12
4.929999999999999716e+00 6.490760000000000103e-12
4.950000000000000178e+00 6.653859999999999680e-12
4.969999999999999751e+00 6.928839999999999787e-12
4.990000000000000213e+00 7.336350000000000339e-12
5.009999999999999787e+00 7.897399999999999852e-12
5.030000000000000249e+00 8.634809999999999635e-12
5.049999999999999822e+00 9.570490000000000754e-12
5.070000000000000284e+00 1.072549999999999989e-11
5.089999999999999858e+00 1.211909999999999993e-11
5.110000000000000320e+00 1.376769999999999999e-11
5.129999999999999893e+00 1.568440000000000131e-11
5.150000000000000355e+00 1.787799999999999955e-11
5.169999999999999929e+00 2.035210000000000009e-11
5.190000000000000391e+00 2.310529999999999930e-11
5.209999999999999964e+00 2.613029999999999984e-11
5.230000000000000426e+00 2.941410000000000005e-11
5.250000000000000000e+00 3.293790000000000084e-11
5.269999999999999574e+00 3.667760000000000035e-11
5.290000000000000036e+00 4.060410000000000225e-11
5.309999999999999609e+00 4.468410000000000263e-11
5.330000000000000071e+00 4.888050000000000119e-11
5.349999999999999645e+00 5.315360000000000244e-11
5.370000000000000107e+00 5.746179999999999977e-11
5.389999999999999680e+00 6.176249999999999739e-11
5.410000000000000142e+00 6.601299999999999993e-11
5.429999999999999716e+00 7.017139999999999562e-11
5.450000000000000178e+00 7.419779999999999632e-11
5.469999999999999751e+00 7.805410000000000605e-11
5.490000000000000213e+00 8.170520000000000288e-11
5.509999999999999787e+00 8.511990000000000609e-11
5.530000000000000249e+00 8.827050000000000036e-11
5.549999999999999822e+00 9.113359999999999691e-11
5.570000000000000284e+00 9.368989999999999562e-11
5.589999999999999858e+00 9.592519999999999358e-11
5.610000000000000320e+00 9.782819999999999466e-11
5.629999999999999893e+00 9.939360000000000251e-11
5.650000000000000355e+00 1.006190000000000017e-10
5.669999999999999929e+00 1.015069999999999939e-10
5.690000000000000391e+00 1.020610000000000030e-10
5.709999999999999964e+00 1.022909999999999986e-10
