# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.683729999999999532e-11
3.520000000000000018e+00 7.456149999999999890e-11
3.540000000000000036e+00 7.234980000000000177e-11
3.560000000000000053e+00 7.020039999999999883e-11
3.580000000000000071e+00 6.811180000000000306e-11
3.600000000000000089e+00 6.608210000000000334e-11
3.620000000000000107e+00 6.410990000000000575e-11
3.640000000000000124e+00 6.219349999999999828e-11
3.660000000000000142e+00 6.033139999999999393e-11
3.680000000000000160e+00 5.852219999999999877e-11
3.700000000000000178e+00 5.676439999999999994e-11
3.720000000000000195e+00 5.505649999999999749e-11
3.740000000000000213e+00 5.339730000000000311e-11
3.759999999999999787e+00 5.178539999999999702e-11
3.779999999999999805e+00 5.021949999999999781e-11
3.799999999999999822e+00 4.869839999999999776e-11
3.819999999999999840e+00 4.722070000000000295e-11
3.839999999999999858e+00 4.578539999999999835e-11
3.859999999999999876e+00 4.439120000000000254e-11
3.879999999999999893e+00 4.303710000000000046e-11
3.899999999999999911e+00 4.172189999999999734e-11
3.919999999999999929e+00 4.044449999999999796e-11
3.939999999999999947e+00 3.920399999999999976e-11
3.959999999999999964e+00 3.799920000000000150e-11
3.979999999999999982e+00 3.682930000000000020e-11
4.000000000000000000e+00 3.569320000000000062e-11
4.019999999999999574e+00 3.459000000000000024e-11
4.040000000000000036e+00 3.351880000000000294e-11
4.059999999999999609e+00 3.247869999999999973e-11
4.080000000000000071e+00 3.146890000000000054e-11
4.099999999999999645e+00 3.048850000000000282e-11
4.120000000000000107e+00 2.953659999999999755e-11
4.139999999999999680e+00 2.861260000000000028e-11
4.160000000000000142e+00 2.771570000000000155e-11
4.179999999999999716e+00 2.684499999999999880e-11
4.200000000000000178e+00 2.599980000000000156e-11
4.219999999999999751e+00 2.517949999999999949e-11
4.240000000000000213e+00 2.438329999999999931e-11
4.259999999999999787e+00 2.361060000000000039e-11
4.280000000000000249e+00 2.286069999999999931e-11
4.299999999999999822e+00 2.213299999999999869e-11
4.320000000000000284e+00 2.142680000000000156e-11
4.339999999999999858e+00 2.074160000000000040e-11
4.360000000000000320e+00 2.007670000000000148e-11
4.379999999999999893e+00 1.943160000000000053e-11
4.400000000000000355e+00 1.880579999999999970e-11
4.419999999999999929e+00 1.819859999999999881e-11
4.440000000000000391e+00 1.760959999999999961e-11
4.459999999999999964e+00 1.703830000000000102e-11
4.480000000000000426e+00 1.648409999999999920e-11
4.500000000000000000e+00 1.594659999999999912e-11
4.519999999999999574e+00 1.542529999999999971e-11
4.540000000000000036e+00 1.491969999999999993e-11
4.559999999999999609e+00 1.442949999999999945e-11
4.580000000000000071e+00 1.395420000000000046e-11
4.599999999999999645e+00 1.349349999999999940e-11
4.620000000000000107e+00 1.304699999999999964e-11
4.639999999999999680e+00 1.261469999999999955e-11
4.660000000000000142e+00 1.219670000000000032e-11
4.679999999999999716e+00 1.179330000000000065e-11
4.700000000000000178e+00 1.140570000000000016e-11
4.719999999999999751e+00 1.103570000000000073e-11
4.740000000000000213e+00 1.068670000000000050e-11
4.769999999999999574e+00 1.036379999999999992e-11
4.790000000000000036e+00 1.007480000000000065e-11
4.809999999999999609e+00 9.831149999999999766e-12
4.830000000000000071e+00 9.640849999999999658e-12
4.849999999999999645e+00 9.541170000000000228e-12
4.870000000000000107e+00 9.552270000000000454e-12
4.889999999999999680e+00 9.710200000000000367e-12
4.910000000000000142e+00 1.005970000000000004e-11
4.929999999999999716e+00 1.065499999999999933e-11
