# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.254000000000000012e-10
3.520000000000000018e+00 1.217190000000000116e-10
3.540000000000000036e+00 1.181410000000000008e-10
3.560000000000000053e+00 1.146640000000000034e-10
3.580000000000000071e+00 1.112830000000000023e-10
3.600000000000000089e+00 1.079979999999999976e-10
3.620000000000000107e+00 1.048049999999999938e-10
3.640000000000000124e+00 1.017019999999999994e-10
3.660000000000000142e+00 9.868620000000000090e-11
3.680000000000000160e+00 9.575539999999999485e-11
3.700000000000000178e+00 9.290729999999999773e-11
3.720000000000000195e+00 9.013960000000000014e-11
3.740000000000000213e+00 8.745020000000000475e-11
3.759999999999999787e+00 8.483689999999999528e-11
3.779999999999999805e+00 8.229760000000000023e-11
3.799999999999999822e+00 7.983039999999999556e-11
3.819999999999999840e+00 7.743319999999999685e-11
3.839999999999999858e+00 7.510419999999999900e-11
3.859999999999999876e+00 7.284139999999999777e-11
3.879999999999999893e+00 7.064320000000000013e-11
3.899999999999999911e+00 6.850760000000000184e-11
3.919999999999999929e+00 6.643299999999999693e-11
3.939999999999999947e+00 6.441769999999999925e-11
3.959999999999999964e+00 6.246010000000000282e-11
3.979999999999999982e+00 6.055869999999999479e-11
4.000000000000000000e+00 5.871180000000000192e-11
4.019999999999999574e+00 5.691789999999999843e-11
4.040000000000000036e+00 5.517559999999999685e-11
4.059999999999999609e+00 5.348349999999999682e-11
4.080000000000000071e+00 5.184029999999999752e-11
4.099999999999999645e+00 5.024439999999999945e-11
4.120000000000000107e+00 4.869470000000000091e-11
4.139999999999999680e+00 4.718990000000000110e-11
4.160000000000000142e+00 4.572869999999999921e-11
4.179999999999999716e+00 4.430990000000000045e-11
4.200000000000000178e+00 4.293229999999999711e-11
4.219999999999999751e+00 4.159490000000000000e-11
4.240000000000000213e+00 4.029640000000000185e-11
4.259999999999999787e+00 3.903590000000000010e-11
4.280000000000000249e+00 3.781219999999999998e-11
4.299999999999999822e+00 3.662429999999999935e-11
4.320000000000000284e+00 3.547130000000000214e-11
4.339999999999999858e+00 3.435229999999999934e-11
4.360000000000000320e+00 3.326630000000000175e-11
4.379999999999999893e+00 3.221249999999999992e-11
4.400000000000000355e+00 3.119019999999999689e-11
4.419999999999999929e+00 3.019870000000000217e-11
4.440000000000000391e+00 2.923759999999999812e-11
4.459999999999999964e+00 2.830669999999999852e-11
4.480000000000000426e+00 2.740580000000000102e-11
4.500000000000000000e+00 2.653540000000000020e-11
4.519999999999999574e+00 2.569609999999999993e-11
4.540000000000000036e+00 2.488899999999999866e-11
4.559999999999999609e+00 2.411590000000000148e-11
4.580000000000000071e+00 2.337909999999999840e-11
4.599999999999999645e+00 2.268149999999999943e-11
4.620000000000000107e+00 2.202680000000000142e-11
4.639999999999999680e+00 2.141929999999999861e-11
4.660000000000000142e+00 2.086410000000000114e-11
4.679999999999999716e+00 2.036690000000000039e-11
4.700000000000000178e+00 1.993420000000000042e-11
4.719999999999999751e+00 1.957319999999999903e-11
4.740000000000000213e+00 1.929190000000000022e-11
4.769999999999999574e+00 1.909899999999999849e-11
4.790000000000000036e+00 1.900429999999999971e-11
4.809999999999999609e+00 1.901880000000000131e-11
4.830000000000000071e+00 1.915459999999999918e-11
4.849999999999999645e+00 1.942570000000000032e-11
4.870000000000000107e+00 1.984759999999999875e-11
4.889999999999999680e+00 2.043779999999999921e-11
4.910000000000000142e+00 2.121600000000000007e-11
4.929999999999999716e+00 2.220349999999999925e-11
4.950000000000000178e+00 2.342380000000000123e-11
4.969999999999999751e+00 2.490079999999999907e-11
4.990000000000000213e+00 2.666010000000000108e-11
5.009999999999999787e+00 2.871950000000000097e-11
5.030000000000000249e+00 3.111740000000000310e-11
5.049999999999999822e+00 3.386759999999999919e-11
5.070000000000000284e+00 3.698879999999999846e-11
5.089999999999999858e+00 4.049379999999999695e-11
5.110000000000000320e+00 4.439079999999999781e-11
5.129999999999999893e+00 4.868049999999999800e-11
5.150000000000000355e+00 5.335659999999999905e-11
5.169999999999999929e+00 5.840449999999999979e-11
5.190000000000000391e+00 6.380150000000000193e-11
5.209999999999999964e+00 6.951630000000000581e-11
5.230000000000000426e+00 7.551040000000000427e-11
5.250000000000000000e+00 8.173740000000000510e-11
5.269999999999999574e+00 8.814499999999999650e-11
5.290000000000000036e+00 9.467590000000000132e-11
5.309999999999999609e+00 1.012689999999999943e-10
5.330000000000000071e+00 1.078589999999999943e-10
