# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.553580000000000026e-10
3.520000000000000018e+00 1.508200000000000024e-10
3.540000000000000036e+00 1.464079999999999973e-10
3.560000000000000053e+00 1.421199999999999962e-10
3.580000000000000071e+00 1.379510000000000078e-10
3.600000000000000089e+00 1.338989999999999892e-10
3.620000000000000107e+00 1.299609999999999920e-10
3.640000000000000124e+00 1.261330000000000079e-10
3.660000000000000142e+00 1.224120000000000111e-10
3.680000000000000160e+00 1.187960000000000104e-10
3.700000000000000178e+00 1.152809999999999972e-10
3.720000000000000195e+00 1.118660000000000018e-10
3.740000000000000213e+00 1.085459999999999941e-10
3.759999999999999787e+00 1.053200000000000044e-10
3.779999999999999805e+00 1.021860000000000026e-10
3.799999999999999822e+00 9.913939999999999578e-11
3.819999999999999840e+00 9.617929999999999429e-11
3.839999999999999858e+00 9.330309999999999650e-11
3.859999999999999876e+00 9.050839999999999994e-11
3.879999999999999893e+00 8.779309999999999434e-11
3.899999999999999911e+00 8.515480000000000304e-11
3.919999999999999929e+00 8.259160000000000201e-11
3.939999999999999947e+00 8.010139999999999390e-11
3.959999999999999964e+00 7.768209999999999430e-11
3.979999999999999982e+00 7.533189999999999812e-11
4.000000000000000000e+00 7.304889999999999421e-11
4.019999999999999574e+00 7.083110000000000421e-11
4.040000000000000036e+00 6.867689999999999628e-11
4.059999999999999609e+00 6.658439999999999808e-11
4.080000000000000071e+00 6.455200000000000363e-11
4.099999999999999645e+00 6.257809999999999404e-11
4.120000000000000107e+00 6.066090000000000297e-11
4.139999999999999680e+00 5.879890000000000465e-11
4.160000000000000142e+00 5.699069999999999868e-11
4.179999999999999716e+00 5.523479999999999805e-11
4.200000000000000178e+00 5.352959999999999680e-11
4.219999999999999751e+00 5.187380000000000056e-11
4.240000000000000213e+00 5.026610000000000207e-11
4.259999999999999787e+00 4.870510000000000095e-11
4.280000000000000249e+00 4.718950000000000284e-11
4.299999999999999822e+00 4.571810000000000004e-11
4.320000000000000284e+00 4.428979999999999733e-11
4.339999999999999858e+00 4.290339999999999993e-11
4.360000000000000320e+00 4.155779999999999969e-11
4.379999999999999893e+00 4.025239999999999921e-11
4.400000000000000355e+00 3.898630000000000241e-11
4.419999999999999929e+00 3.775899999999999855e-11
4.440000000000000391e+00 3.657040000000000097e-11
4.459999999999999964e+00 3.542080000000000191e-11
4.480000000000000426e+00 3.431079999999999876e-11
4.500000000000000000e+00 3.324169999999999880e-11
4.519999999999999574e+00 3.221579999999999850e-11
4.540000000000000036e+00 3.123579999999999904e-11
4.559999999999999609e+00 3.030549999999999683e-11
4.580000000000000071e+00 2.943000000000000203e-11
4.599999999999999645e+00 2.861519999999999867e-11
4.620000000000000107e+00 2.786830000000000071e-11
4.639999999999999680e+00 2.719760000000000116e-11
4.660000000000000142e+00 2.661279999999999985e-11
4.679999999999999716e+00 2.612490000000000069e-11
4.700000000000000178e+00 2.574650000000000061e-11
4.719999999999999751e+00 2.549189999999999885e-11
4.740000000000000213e+00 2.537739999999999888e-11
4.769999999999999574e+00 2.542170000000000021e-11
4.790000000000000036e+00 2.564690000000000051e-11
4.809999999999999609e+00 2.607820000000000009e-11
4.830000000000000071e+00 2.674539999999999870e-11
4.849999999999999645e+00 2.768300000000000149e-11
4.870000000000000107e+00 2.893039999999999878e-11
4.889999999999999680e+00 3.053259999999999856e-11
4.910000000000000142e+00 3.253979999999999914e-11
4.929999999999999716e+00 3.500699999999999735e-11
4.950000000000000178e+00 3.799229999999999918e-11
4.969999999999999751e+00 4.155669999999999800e-11
4.990000000000000213e+00 4.576120000000000013e-11
5.009999999999999787e+00 5.066460000000000204e-11
5.030000000000000249e+00 5.632159999999999863e-11
5.049999999999999822e+00 6.277819999999999679e-11
5.070000000000000284e+00 7.007209999999999422e-11
5.089999999999999858e+00 7.821949999999999805e-11
5.110000000000000320e+00 8.724480000000000565e-11
5.129999999999999893e+00 9.713179999999999694e-11
5.150000000000000355e+00 1.078549999999999987e-10
5.169999999999999929e+00 1.193680000000000059e-10
5.190000000000000391e+00 1.316080000000000071e-10
5.209999999999999964e+00 1.444920000000000011e-10
5.230000000000000426e+00 1.579230000000000088e-10
5.250000000000000000e+00 1.717860000000000001e-10
5.269999999999999574e+00 1.859569999999999969e-10
5.290000000000000036e+00 2.003010000000000045e-10
5.309999999999999609e+00 2.146770000000000022e-10
5.330000000000000071e+00 2.289420000000000041e-10
5.349999999999999645e+00 2.429519999999999899e-10
5.370000000000000107e+00 2.565669999999999992e-10
5.389999999999999680e+00 2.696549999999999854e-10
5.410000000000000142e+00 2.820900000000000051e-10
5.429999999999999716e+00 2.937570000000000021e-10
5.450000000000000178e+00 3.045580000000000147e-10
5.469999999999999751e+00 3.144040000000000033e-10
5.490000000000000213e+00 3.232230000000000221e-10
5.509999999999999787e+00 3.309590000000000045e-10
5.530000000000000249e+00 3.375700000000000037e-10
5.549999999999999822e+00 3.430320000000000206e-10
5.570000000000000284e+00 3.473309999999999869e-10
5.589999999999999858e+00 3.504719999999999970e-10
5.610000000000000320e+00 3.524680000000000075e-10
5.629999999999999893e+00 3.533470000000000000e-10
5.650000000000000355e+00 3.531450000000000249e-10
5.669999999999999929e+00 3.519070000000000029e-10
5.690000000000000391e+00 3.496869999999999837e-10
5.709999999999999964e+00 3.465440000000000081e-10
5.730000000000000426e+00 3.425409999999999962e-10
5.750000000000000000e+00 3.377450000000000057e-10
5.769999999999999574e+00 3.322260000000000168e-10
5.790000000000000036e+00 3.260540000000000096e-10
5.809999999999999609e+00 3.193000000000000244e-10
5.830000000000000071e+00 3.120339999999999897e-10
5.849999999999999645e+00 3.043240000000000236e-10
5.870000000000000107e+00 2.962379999999999856e-10
5.889999999999999680e+00 2.878390000000000025e-10
5.910000000000000142e+00 2.791870000000000203e-10
5.929999999999999716e+00 2.703419999999999852e-10
5.950000000000000178e+00 2.613569999999999899e-10
5.969999999999999751e+00 2.522830000000000065e-10
5.990000000000000213e+00 2.431650000000000076e-10
6.009999999999999787e+00 2.340470000000000087e-10
6.030000000000000249e+00 2.249669999999999998e-10
6.049999999999999822e+00 2.159610000000000052e-10
6.070000000000000284e+00 2.070589999999999981e-10
