# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 1.894819999999999925e-10
3.520000000000000018e+00 1.839750000000000032e-10
3.540000000000000036e+00 1.786210000000000080e-10
3.560000000000000053e+00 1.734159999999999986e-10
3.580000000000000071e+00 1.683559999999999923e-10
3.600000000000000089e+00 1.634370000000000065e-10
3.620000000000000107e+00 1.586550000000000069e-10
3.640000000000000124e+00 1.540069999999999935e-10
3.660000000000000142e+00 1.494880000000000012e-10
3.680000000000000160e+00 1.450960000000000126e-10
3.700000000000000178e+00 1.408280000000000021e-10
3.720000000000000195e+00 1.366779999999999958e-10
3.740000000000000213e+00 1.326450000000000109e-10
3.759999999999999787e+00 1.287259999999999957e-10
3.779999999999999805e+00 1.249169999999999937e-10
3.799999999999999822e+00 1.212150000000000048e-10
3.819999999999999840e+00 1.176170000000000034e-10
3.839999999999999858e+00 1.141200000000000024e-10
3.859999999999999876e+00 1.107230000000000063e-10
3.879999999999999893e+00 1.074209999999999980e-10
3.899999999999999911e+00 1.042129999999999947e-10
3.919999999999999929e+00 1.010950000000000009e-10
3.939999999999999947e+00 9.806649999999999941e-11
3.959999999999999964e+00 9.512349999999999469e-11
3.979999999999999982e+00 9.226410000000000144e-11
4.000000000000000000e+00 8.948610000000000338e-11
4.019999999999999574e+00 8.678709999999999802e-11
4.040000000000000036e+00 8.416520000000000007e-11
4.059999999999999609e+00 8.161799999999999412e-11
4.080000000000000071e+00 7.914370000000000092e-11
4.099999999999999645e+00 7.674010000000000417e-11
4.120000000000000107e+00 7.440539999999999878e-11
4.139999999999999680e+00 7.213769999999999947e-11
4.160000000000000142e+00 6.993500000000000200e-11
4.179999999999999716e+00 6.779580000000000643e-11
4.200000000000000178e+00 6.571800000000000250e-11
4.219999999999999751e+00 6.370019999999999629e-11
4.240000000000000213e+00 6.174070000000000167e-11
4.259999999999999787e+00 5.983770000000000059e-11
4.280000000000000249e+00 5.798989999999999870e-11
4.299999999999999822e+00 5.619580000000000254e-11
4.320000000000000284e+00 5.445379999999999967e-11
4.339999999999999858e+00 5.276280000000000132e-11
4.360000000000000320e+00 5.112150000000000022e-11
4.379999999999999893e+00 4.952900000000000029e-11
4.400000000000000355e+00 4.798439999999999898e-11
4.419999999999999929e+00 4.648739999999999758e-11
4.440000000000000391e+00 4.503790000000000300e-11
4.459999999999999964e+00 4.363630000000000057e-11
4.480000000000000426e+00 4.228389999999999757e-11
4.500000000000000000e+00 4.098249999999999910e-11
4.519999999999999574e+00 3.973499999999999901e-11
4.540000000000000036e+00 3.854549999999999888e-11
4.559999999999999609e+00 3.741900000000000282e-11
4.580000000000000071e+00 3.636210000000000154e-11
4.599999999999999645e+00 3.538259999999999991e-11
4.620000000000000107e+00 3.448970000000000318e-11
4.639999999999999680e+00 3.369409999999999716e-11
4.660000000000000142e+00 3.300790000000000034e-11
4.679999999999999716e+00 3.244469999999999887e-11
4.700000000000000178e+00 3.201939999999999905e-11
4.719999999999999751e+00 3.174830000000000115e-11
4.740000000000000213e+00 3.164909999999999931e-11
4.769999999999999574e+00 3.174110000000000013e-11
4.790000000000000036e+00 3.204479999999999852e-11
4.809999999999999609e+00 3.258230000000000183e-11
4.830000000000000071e+00 3.337709999999999841e-11
4.849999999999999645e+00 3.445389999999999721e-11
4.870000000000000107e+00 3.583829999999999684e-11
4.889999999999999680e+00 3.755669999999999889e-11
4.910000000000000142e+00 3.963510000000000022e-11
4.929999999999999716e+00 4.209899999999999984e-11
4.950000000000000178e+00 4.497179999999999948e-11
4.969999999999999751e+00 4.827459999999999788e-11
4.990000000000000213e+00 5.202429999999999916e-11
5.009999999999999787e+00 5.623259999999999770e-11
5.030000000000000249e+00 6.090499999999999544e-11
5.049999999999999822e+00 6.603979999999999978e-11
5.070000000000000284e+00 7.162709999999999557e-11
5.089999999999999858e+00 7.764809999999999990e-11
5.110000000000000320e+00 8.407540000000000261e-11
5.129999999999999893e+00 9.087119999999999997e-11
5.150000000000000355e+00 9.799059999999999970e-11
5.169999999999999929e+00 1.053710000000000025e-10
5.190000000000000391e+00 1.129679999999999944e-10
5.209999999999999964e+00 1.207069999999999896e-10
5.230000000000000426e+00 1.285140000000000124e-10
5.250000000000000000e+00 1.363140000000000010e-10
5.269999999999999574e+00 1.440320000000000099e-10
5.290000000000000036e+00 1.515899999999999904e-10
5.309999999999999609e+00 1.589140000000000057e-10
5.330000000000000071e+00 1.659309999999999981e-10
5.349999999999999645e+00 1.725749999999999960e-10
5.370000000000000107e+00 1.787849999999999932e-10
5.389999999999999680e+00 1.845060000000000089e-10
5.410000000000000142e+00 1.896899999999999933e-10
5.429999999999999716e+00 1.942990000000000081e-10
5.450000000000000178e+00 1.983019999999999941e-10
5.469999999999999751e+00 2.016750000000000041e-10
5.490000000000000213e+00 2.044060000000000125e-10
5.509999999999999787e+00 2.064870000000000026e-10
5.530000000000000249e+00 2.079209999999999999e-10
5.549999999999999822e+00 2.087150000000000129e-10
5.570000000000000284e+00 2.088849999999999978e-10
5.589999999999999858e+00 2.084520000000000056e-10
5.610000000000000320e+00 2.074400000000000095e-10
5.629999999999999893e+00 2.058799999999999911e-10
5.650000000000000355e+00 2.038039999999999923e-10
5.669999999999999929e+00 2.012500000000000030e-10
5.690000000000000391e+00 1.982529999999999874e-10
5.709999999999999964e+00 1.948549999999999956e-10
5.730000000000000426e+00 1.910939999999999917e-10
5.750000000000000000e+00 1.870100000000000087e-10
5.769999999999999574e+00 1.826440000000000106e-10
5.790000000000000036e+00 1.780339999999999872e-10
5.809999999999999609e+00 1.732169999999999975e-10
5.830000000000000071e+00 1.682299999999999971e-10
5.849999999999999645e+00 1.631080000000000017e-10
5.870000000000000107e+00 1.578830000000000017e-10
5.889999999999999680e+00 1.525860000000000043e-10
5.910000000000000142e+00 1.472460000000000000e-10
5.929999999999999716e+00 1.418879999999999964e-10
5.950000000000000178e+00 1.365359999999999926e-10
5.969999999999999751e+00 1.312139999999999876e-10
5.990000000000000213e+00 1.259389999999999980e-10
6.009999999999999787e+00 1.207309999999999887e-10
6.030000000000000249e+00 1.156040000000000022e-10
6.049999999999999822e+00 1.105720000000000034e-10
6.070000000000000284e+00 1.056470000000000049e-10
6.089999999999999858e+00 1.008390000000000020e-10
6.110000000000000320e+00 9.615570000000000638e-11
6.129999999999999893e+00 9.160540000000000143e-11
6.150000000000000355e+00 8.719249999999999385e-11
6.169999999999999929e+00 8.292149999999999639e-11
6.190000000000000391e+00 7.879559999999999516e-11
6.209999999999999964e+00 7.481650000000000215e-11
6.230000000000000426e+00 7.098520000000000009e-11
6.250000000000000000e+00 6.730199999999999413e-11
6.269999999999999574e+00 6.376640000000000585e-11
6.290000000000000036e+00 6.037709999999999564e-11
6.309999999999999609e+00 5.713209999999999806e-11
6.330000000000000071e+00 5.402919999999999681e-11
6.349999999999999645e+00 5.106559999999999760e-11
