# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.267000000000000030e-10
3.520000000000000018e+00 2.201359999999999934e-10
3.540000000000000036e+00 2.137550000000000027e-10
3.560000000000000053e+00 2.075510000000000053e-10
3.580000000000000071e+00 2.015190000000000100e-10
3.600000000000000089e+00 1.956539999999999998e-10
3.620000000000000107e+00 1.899530000000000005e-10
3.640000000000000124e+00 1.844109999999999953e-10
3.660000000000000142e+00 1.790229999999999928e-10
3.680000000000000160e+00 1.737850000000000104e-10
3.700000000000000178e+00 1.686939999999999967e-10
3.720000000000000195e+00 1.637450000000000120e-10
3.740000000000000213e+00 1.589350000000000049e-10
3.759999999999999787e+00 1.542590000000000098e-10
3.779999999999999805e+00 1.497140000000000012e-10
3.799999999999999822e+00 1.452970000000000050e-10
3.819999999999999840e+00 1.410040000000000127e-10
3.839999999999999858e+00 1.368309999999999900e-10
3.859999999999999876e+00 1.327759999999999973e-10
3.879999999999999893e+00 1.288350000000000002e-10
3.899999999999999911e+00 1.250060000000000076e-10
3.919999999999999929e+00 1.212840000000000022e-10
3.939999999999999947e+00 1.176680000000000015e-10
3.959999999999999964e+00 1.141530000000000012e-10
3.979999999999999982e+00 1.107390000000000014e-10
4.000000000000000000e+00 1.074209999999999980e-10
4.019999999999999574e+00 1.041979999999999952e-10
4.040000000000000036e+00 1.010659999999999977e-10
4.059999999999999609e+00 9.802260000000000280e-11
4.080000000000000071e+00 9.506629999999999772e-11
4.099999999999999645e+00 9.219440000000000063e-11
4.120000000000000107e+00 8.940429999999999700e-11
4.139999999999999680e+00 8.669399999999999552e-11
4.160000000000000142e+00 8.406130000000000573e-11
4.179999999999999716e+00 8.150390000000000534e-11
4.200000000000000178e+00 7.901989999999999614e-11
4.219999999999999751e+00 7.660719999999999370e-11
4.240000000000000213e+00 7.426389999999999984e-11
4.259999999999999787e+00 7.198810000000000342e-11
4.280000000000000249e+00 6.977780000000000021e-11
4.299999999999999822e+00 6.763130000000000405e-11
4.320000000000000284e+00 6.554679999999999693e-11
4.339999999999999858e+00 6.352269999999999872e-11
4.360000000000000320e+00 6.155720000000000432e-11
4.379999999999999893e+00 5.964880000000000086e-11
4.400000000000000355e+00 5.779590000000000175e-11
4.419999999999999929e+00 5.599710000000000017e-11
4.440000000000000391e+00 5.425110000000000175e-11
4.459999999999999964e+00 5.255679999999999836e-11
4.480000000000000426e+00 5.091310000000000123e-11
4.500000000000000000e+00 4.931979999999999832e-11
4.519999999999999574e+00 4.777669999999999695e-11
4.540000000000000036e+00 4.628479999999999923e-11
4.559999999999999609e+00 4.484589999999999736e-11
4.580000000000000071e+00 4.346350000000000196e-11
4.599999999999999645e+00 4.214290000000000292e-11
4.620000000000000107e+00 4.089169999999999953e-11
4.639999999999999680e+00 3.972080000000000257e-11
4.660000000000000142e+00 3.864409999999999686e-11
4.679999999999999716e+00 3.767999999999999939e-11
4.700000000000000178e+00 3.685089999999999679e-11
4.719999999999999751e+00 3.618400000000000011e-11
4.740000000000000213e+00 3.571139999999999907e-11
4.769999999999999574e+00 3.546949999999999704e-11
4.790000000000000036e+00 3.549879999999999895e-11
4.809999999999999609e+00 3.584310000000000183e-11
4.830000000000000071e+00 3.654839999999999965e-11
4.849999999999999645e+00 3.766140000000000268e-11
4.870000000000000107e+00 3.922809999999999842e-11
4.889999999999999680e+00 4.129159999999999987e-11
4.910000000000000142e+00 4.389089999999999911e-11
4.929999999999999716e+00 4.705829999999999791e-11
4.950000000000000178e+00 5.081780000000000183e-11
4.969999999999999751e+00 5.518399999999999912e-11
4.990000000000000213e+00 6.016040000000000041e-11
5.009999999999999787e+00 6.573820000000000518e-11
5.030000000000000249e+00 7.189650000000000086e-11
5.049999999999999822e+00 7.860139999999999908e-11
5.070000000000000284e+00 8.580719999999999812e-11
5.089999999999999858e+00 9.345590000000000450e-11
5.110000000000000320e+00 1.014799999999999949e-10
5.129999999999999893e+00 1.098029999999999981e-10
5.150000000000000355e+00 1.183410000000000104e-10
5.169999999999999929e+00 1.270040000000000093e-10
5.190000000000000391e+00 1.357009999999999898e-10
5.209999999999999964e+00 1.443390000000000069e-10
5.230000000000000426e+00 1.528250000000000125e-10
5.250000000000000000e+00 1.610620000000000017e-10
5.269999999999999574e+00 1.689820000000000116e-10
5.290000000000000036e+00 1.764979999999999937e-10
5.309999999999999609e+00 1.835390000000000111e-10
5.330000000000000071e+00 1.900419999999999885e-10
5.349999999999999645e+00 1.959549999999999970e-10
5.370000000000000107e+00 2.012330000000000122e-10
5.389999999999999680e+00 2.058430000000000098e-10
5.410000000000000142e+00 2.097619999999999990e-10
5.429999999999999716e+00 2.129739999999999978e-10
5.450000000000000178e+00 2.154769999999999891e-10
5.469999999999999751e+00 2.172709999999999986e-10
5.490000000000000213e+00 2.183710000000000000e-10
5.509999999999999787e+00 2.187919999999999926e-10
5.530000000000000249e+00 2.185620000000000100e-10
5.549999999999999822e+00 2.177079999999999993e-10
5.570000000000000284e+00 2.162660000000000109e-10
5.589999999999999858e+00 2.142730000000000003e-10
5.610000000000000320e+00 2.117679999999999919e-10
5.629999999999999893e+00 2.087950000000000012e-10
5.650000000000000355e+00 2.053960000000000009e-10
5.669999999999999929e+00 2.016129999999999892e-10
5.690000000000000391e+00 1.974909999999999904e-10
5.709999999999999964e+00 1.930709999999999943e-10
5.730000000000000426e+00 1.883939999999999907e-10
5.750000000000000000e+00 1.835000000000000126e-10
5.769999999999999574e+00 1.784269999999999981e-10
5.790000000000000036e+00 1.732099999999999892e-10
5.809999999999999609e+00 1.678829999999999930e-10
5.830000000000000071e+00 1.624760000000000084e-10
5.849999999999999645e+00 1.570199999999999913e-10
5.870000000000000107e+00 1.515400000000000009e-10
5.889999999999999680e+00 1.460600000000000105e-10
5.910000000000000142e+00 1.406030000000000107e-10
5.929999999999999716e+00 1.351880000000000092e-10
5.950000000000000178e+00 1.298330000000000055e-10
5.969999999999999751e+00 1.245529999999999989e-10
5.990000000000000213e+00 1.193620000000000062e-10
6.009999999999999787e+00 1.142720000000000010e-10
6.030000000000000249e+00 1.092930000000000045e-10
6.049999999999999822e+00 1.044329999999999950e-10
6.070000000000000284e+00 9.970040000000000036e-11
6.089999999999999858e+00 9.509999999999999988e-11
6.110000000000000320e+00 9.063679999999999766e-11
6.129999999999999893e+00 8.631449999999999698e-11
6.150000000000000355e+00 8.213439999999999867e-11
6.169999999999999929e+00 7.809910000000000434e-11
6.190000000000000391e+00 7.420970000000000276e-11
6.209999999999999964e+00 7.046570000000000256e-11
6.230000000000000426e+00 6.686609999999999515e-11
6.250000000000000000e+00 6.341020000000000298e-11
6.269999999999999574e+00 6.009590000000000286e-11
6.290000000000000036e+00 5.692130000000000304e-11
6.309999999999999609e+00 5.388350000000000320e-11
6.330000000000000071e+00 5.097990000000000172e-11
6.349999999999999645e+00 4.820739999999999914e-11
6.370000000000000107e+00 4.556239999999999819e-11
6.389999999999999680e+00 4.304150000000000073e-11
6.410000000000000142e+00 4.064089999999999740e-11
6.429999999999999716e+00 3.835669999999999872e-11
6.450000000000000178e+00 3.618510000000000179e-11
6.469999999999999751e+00 3.412209999999999816e-11
6.490000000000000213e+00 3.216379999999999832e-11
6.509999999999999787e+00 3.030600000000000112e-11
6.530000000000000249e+00 2.854439999999999942e-11
6.549999999999999822e+00 2.687580000000000065e-11
6.570000000000000284e+00 2.529600000000000046e-11
6.589999999999999858e+00 2.380109999999999963e-11
6.610000000000000320e+00 2.238729999999999852e-11
6.629999999999999893e+00 2.105090000000000030e-11
6.650000000000000355e+00 1.978859999999999991e-11
6.669999999999999929e+00 1.859660000000000095e-11
6.690000000000000391e+00 1.747170000000000117e-11
6.709999999999999964e+00 1.641049999999999919e-11
6.730000000000000426e+00 1.540989999999999879e-11
6.750000000000000000e+00 1.446690000000000008e-11
6.769999999999999574e+00 1.357840000000000038e-11
6.790000000000000036e+00 1.274160000000000056e-11
6.809999999999999609e+00 1.195390000000000059e-11
6.830000000000000071e+00 1.121270000000000048e-11
6.849999999999999645e+00 1.051530000000000064e-11
6.870000000000000107e+00 9.859539999999999810e-12
6.889999999999999680e+00 9.243020000000000332e-12
6.910000000000000142e+00 8.663610000000000482e-12
6.929999999999999716e+00 8.119200000000000381e-12
6.950000000000000178e+00 7.607849999999999738e-12
6.969999999999999751e+00 7.127689999999999894e-12
6.990000000000000213e+00 6.676909999999999668e-12
7.009999999999999787e+00 6.253830000000000222e-12
7.030000000000000249e+00 5.856849999999999626e-12
7.049999999999999822e+00 5.484440000000000004e-12
7.070000000000000284e+00 5.135140000000000271e-12
7.089999999999999858e+00 4.807599999999999831e-12
7.110000000000000320e+00 4.500529999999999605e-12
7.129999999999999893e+00 4.212089999999999675e-12
7.150000000000000355e+00 3.942230000000000258e-12
7.169999999999999929e+00 3.689309999999999756e-12
7.190000000000000391e+00 3.452270000000000193e-12
7.209999999999999964e+00 3.230219999999999942e-12
7.230000000000000426e+00 3.022230000000000139e-12
7.259999999999999787e+00 2.827450000000000034e-12
7.280000000000000249e+00 2.645079999999999873e-12
7.299999999999999822e+00 2.474349999999999852e-12
7.320000000000000284e+00 2.314510000000000000e-12
7.339999999999999858e+00 2.164900000000000196e-12
7.360000000000000320e+00 2.024859999999999916e-12
7.379999999999999893e+00 1.893799999999999867e-12
7.400000000000000355e+00 1.771149999999999981e-12
7.419999999999999929e+00 1.656369999999999939e-12
7.440000000000000391e+00 1.548970000000000013e-12
7.459999999999999964e+00 1.448479999999999903e-12
7.480000000000000426e+00 1.354460000000000067e-12
7.500000000000000000e+00 1.266499999999999905e-12
7.519999999999999574e+00 1.184219999999999976e-12
7.540000000000000036e+00 1.107299999999999937e-12
7.559999999999999609e+00 1.035309999999999958e-12
7.580000000000000071e+00 9.679839999999999677e-13
7.599999999999999645e+00 9.050169999999999998e-13
7.620000000000000107e+00 8.461340000000000375e-13
7.639999999999999680e+00 7.910690000000000091e-13
7.660000000000000142e+00 7.395810000000000371e-13
7.679999999999999716e+00 6.914340000000000000e-13
7.700000000000000178e+00 6.464169999999999708e-13
7.719999999999999751e+00 6.043230000000000090e-13
7.740000000000000213e+00 5.649670000000000503e-13
7.759999999999999787e+00 5.281680000000000169e-13
7.780000000000000249e+00 4.937630000000000237e-13
7.799999999999999822e+00 4.615940000000000423e-13
7.820000000000000284e+00 4.315180000000000198e-13
7.839999999999999858e+00 4.033970000000000127e-13
7.860000000000000320e+00 3.771060000000000089e-13
7.879999999999999893e+00 3.525239999999999830e-13
7.900000000000000355e+00 3.295409999999999991e-13
7.919999999999999929e+00 3.080519999999999782e-13
7.940000000000000391e+00 2.879609999999999884e-13
7.959999999999999964e+00 2.691759999999999831e-13
7.980000000000000426e+00 2.516129999999999902e-13
8.000000000000000000e+00 2.351929999999999956e-13
8.019999999999999574e+00 2.198390000000000036e-13
8.039999999999999147e+00 2.054850000000000074e-13
8.060000000000000497e+00 1.920650000000000000e-13
8.080000000000000071e+00 1.795180000000000081e-13
8.099999999999999645e+00 1.677889999999999881e-13
8.119999999999999218e+00 1.568239999999999940e-13
8.140000000000000568e+00 1.466419999999999875e-13
8.160000000000000142e+00 1.370629999999999886e-13
8.179999999999999716e+00 1.281179999999999949e-13
8.199999999999999289e+00 1.197649999999999951e-13
8.220000000000000639e+00 1.119679999999999956e-13
8.240000000000000213e+00 1.046900000000000063e-13
8.259999999999999787e+00 9.789750000000000013e-14
8.279999999999999361e+00 9.155869999999999739e-14
8.300000000000000711e+00 8.564390000000000628e-14
8.320000000000000284e+00 8.012610000000000328e-14
8.339999999999999858e+00 7.497959999999999587e-14
8.359999999999999432e+00 7.018099999999999398e-14
8.380000000000000782e+00 6.570790000000000419e-14
8.400000000000000355e+00 6.154019999999999762e-14
8.419999999999999929e+00 5.765840000000000148e-14
8.439999999999999503e+00 5.404489999999999749e-14
8.460000000000000853e+00 5.068279999999999912e-14
8.480000000000000426e+00 4.755680000000000315e-14
8.500000000000000000e+00 4.465219999999999930e-14
