# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 2.674270000000000010e-10
3.520000000000000018e+00 2.597109999999999834e-10
3.540000000000000036e+00 2.522079999999999835e-10
3.560000000000000053e+00 2.449130000000000103e-10
3.580000000000000071e+00 2.378200000000000121e-10
3.600000000000000089e+00 2.309229999999999893e-10
3.620000000000000107e+00 2.242180000000000109e-10
3.640000000000000124e+00 2.177000000000000082e-10
3.660000000000000142e+00 2.113619999999999987e-10
3.680000000000000160e+00 2.052010000000000082e-10
3.700000000000000178e+00 1.992119999999999941e-10
3.720000000000000195e+00 1.933890000000000081e-10
3.740000000000000213e+00 1.877289999999999987e-10
3.759999999999999787e+00 1.822270000000000005e-10
3.779999999999999805e+00 1.768790000000000051e-10
3.799999999999999822e+00 1.716810000000000041e-10
3.819999999999999840e+00 1.666280000000000061e-10
3.839999999999999858e+00 1.617170000000000114e-10
3.859999999999999876e+00 1.569430000000000028e-10
3.879999999999999893e+00 1.523039999999999892e-10
3.899999999999999911e+00 1.477950000000000051e-10
3.919999999999999929e+00 1.434140000000000075e-10
3.939999999999999947e+00 1.391549999999999966e-10
3.959999999999999964e+00 1.350169999999999898e-10
3.979999999999999982e+00 1.309960000000000045e-10
4.000000000000000000e+00 1.270880000000000062e-10
4.019999999999999574e+00 1.232910000000000037e-10
4.040000000000000036e+00 1.196009999999999885e-10
4.059999999999999609e+00 1.160159999999999952e-10
4.080000000000000071e+00 1.125329999999999980e-10
4.099999999999999645e+00 1.091489999999999971e-10
4.120000000000000107e+00 1.058610000000000054e-10
4.139999999999999680e+00 1.026670000000000059e-10
4.160000000000000142e+00 9.956349999999999435e-11
4.179999999999999716e+00 9.654899999999999664e-11
4.200000000000000178e+00 9.362060000000000601e-11
4.219999999999999751e+00 9.077600000000000013e-11
4.240000000000000213e+00 8.801300000000000151e-11
4.259999999999999787e+00 8.532919999999999471e-11
4.280000000000000249e+00 8.272249999999999532e-11
4.299999999999999822e+00 8.019069999999999999e-11
4.320000000000000284e+00 7.773189999999999758e-11
4.339999999999999858e+00 7.534420000000000282e-11
4.360000000000000320e+00 7.302539999999999941e-11
4.379999999999999893e+00 7.077419999999999947e-11
4.400000000000000355e+00 6.858879999999999790e-11
4.419999999999999929e+00 6.646830000000000507e-11
4.440000000000000391e+00 6.441180000000000550e-11
4.459999999999999964e+00 6.241949999999999833e-11
4.480000000000000426e+00 6.049260000000000419e-11
4.500000000000000000e+00 5.863409999999999711e-11
4.519999999999999574e+00 5.684880000000000148e-11
4.540000000000000036e+00 5.514500000000000060e-11
4.559999999999999609e+00 5.353460000000000092e-11
4.580000000000000071e+00 5.203450000000000007e-11
4.599999999999999645e+00 5.066770000000000149e-11
4.620000000000000107e+00 4.946389999999999889e-11
4.639999999999999680e+00 4.846110000000000158e-11
4.660000000000000142e+00 4.770529999999999707e-11
4.679999999999999716e+00 4.725179999999999703e-11
4.700000000000000178e+00 4.716450000000000164e-11
4.719999999999999751e+00 4.751499999999999696e-11
4.740000000000000213e+00 4.838189999999999683e-11
4.769999999999999574e+00 4.984830000000000197e-11
4.790000000000000036e+00 5.199970000000000268e-11
4.809999999999999609e+00 5.492089999999999876e-11
4.830000000000000071e+00 5.869259999999999489e-11
4.849999999999999645e+00 6.338779999999999694e-11
4.870000000000000107e+00 6.906790000000000300e-11
4.889999999999999680e+00 7.578039999999999404e-11
4.910000000000000142e+00 8.355469999999999737e-11
4.929999999999999716e+00 9.239990000000000577e-11
4.950000000000000178e+00 1.023029999999999982e-10
4.969999999999999751e+00 1.132280000000000018e-10
4.990000000000000213e+00 1.251170000000000033e-10
5.009999999999999787e+00 1.378880000000000102e-10
5.030000000000000249e+00 1.514380000000000048e-10
5.049999999999999822e+00 1.656450000000000003e-10
5.070000000000000284e+00 1.803729999999999933e-10
5.089999999999999858e+00 1.954699999999999981e-10
5.110000000000000320e+00 2.107769999999999950e-10
5.129999999999999893e+00 2.261299999999999987e-10
5.150000000000000355e+00 2.413619999999999985e-10
5.169999999999999929e+00 2.563080000000000004e-10
5.190000000000000391e+00 2.708109999999999761e-10
5.209999999999999964e+00 2.847190000000000174e-10
5.230000000000000426e+00 2.978970000000000002e-10
5.250000000000000000e+00 3.102170000000000156e-10
5.269999999999999574e+00 3.215720000000000244e-10
5.290000000000000036e+00 3.318690000000000045e-10
5.309999999999999609e+00 3.410259999999999761e-10
5.330000000000000071e+00 3.490009999999999925e-10
5.349999999999999645e+00 3.557480000000000210e-10
5.370000000000000107e+00 3.612430000000000108e-10
5.389999999999999680e+00 3.654819999999999793e-10
5.410000000000000142e+00 3.684729999999999951e-10
5.429999999999999716e+00 3.702410000000000143e-10
5.450000000000000178e+00 3.708200000000000181e-10
5.469999999999999751e+00 3.702580000000000050e-10
5.490000000000000213e+00 3.686109999999999899e-10
5.509999999999999787e+00 3.659430000000000049e-10
5.530000000000000249e+00 3.623239999999999784e-10
5.549999999999999822e+00 3.578270000000000197e-10
5.570000000000000284e+00 3.525309999999999792e-10
5.589999999999999858e+00 3.465140000000000092e-10
5.610000000000000320e+00 3.398550000000000119e-10
5.629999999999999893e+00 3.326329999999999927e-10
5.650000000000000355e+00 3.249249999999999921e-10
5.669999999999999929e+00 3.168040000000000157e-10
5.690000000000000391e+00 3.083430000000000177e-10
5.709999999999999964e+00 2.996069999999999871e-10
5.730000000000000426e+00 2.906600000000000075e-10
5.750000000000000000e+00 2.815600000000000079e-10
5.769999999999999574e+00 2.723599999999999776e-10
5.790000000000000036e+00 2.631109999999999923e-10
5.809999999999999609e+00 2.538570000000000158e-10
5.830000000000000071e+00 2.446360000000000122e-10
5.849999999999999645e+00 2.354839999999999801e-10
5.870000000000000107e+00 2.264329999999999872e-10
5.889999999999999680e+00 2.175089999999999982e-10
5.910000000000000142e+00 2.087350000000000035e-10
5.929999999999999716e+00 2.001320000000000023e-10
5.950000000000000178e+00 1.917149999999999940e-10
5.969999999999999751e+00 1.835000000000000126e-10
5.990000000000000213e+00 1.754960000000000059e-10
6.009999999999999787e+00 1.677119999999999995e-10
6.030000000000000249e+00 1.601560000000000103e-10
6.049999999999999822e+00 1.528319999999999950e-10
6.070000000000000284e+00 1.457419999999999967e-10
6.089999999999999858e+00 1.388899999999999981e-10
6.110000000000000320e+00 1.322749999999999904e-10
6.129999999999999893e+00 1.258969999999999996e-10
6.150000000000000355e+00 1.197540000000000085e-10
6.169999999999999929e+00 1.138440000000000000e-10
6.190000000000000391e+00 1.081649999999999956e-10
6.209999999999999964e+00 1.027109999999999956e-10
6.230000000000000426e+00 9.747860000000000189e-11
6.250000000000000000e+00 9.246420000000000419e-11
6.269999999999999574e+00 8.766279999999999841e-11
6.290000000000000036e+00 8.306890000000000201e-11
6.309999999999999609e+00 7.867679999999999450e-11
6.330000000000000071e+00 7.448109999999999936e-11
6.349999999999999645e+00 7.047620000000000216e-11
6.370000000000000107e+00 6.665610000000000312e-11
6.389999999999999680e+00 6.301489999999999557e-11
6.410000000000000142e+00 5.954680000000000472e-11
6.429999999999999716e+00 5.624569999999999893e-11
6.450000000000000178e+00 5.310569999999999736e-11
6.469999999999999751e+00 5.012080000000000026e-11
6.490000000000000213e+00 4.728530000000000007e-11
6.509999999999999787e+00 4.459330000000000306e-11
6.530000000000000249e+00 4.203890000000000255e-11
6.549999999999999822e+00 3.961660000000000307e-11
6.570000000000000284e+00 3.732100000000000223e-11
6.589999999999999858e+00 3.514619999999999982e-11
6.610000000000000320e+00 3.308749999999999689e-11
6.629999999999999893e+00 3.113939999999999795e-11
6.650000000000000355e+00 2.929699999999999845e-11
6.669999999999999929e+00 2.755540000000000030e-11
6.690000000000000391e+00 2.590979999999999851e-11
6.709999999999999964e+00 2.435560000000000014e-11
6.730000000000000426e+00 2.288860000000000084e-11
6.750000000000000000e+00 2.150430000000000077e-11
6.769999999999999574e+00 2.019870000000000116e-11
6.790000000000000036e+00 1.896770000000000045e-11
6.809999999999999609e+00 1.780759999999999856e-11
6.830000000000000071e+00 1.671469999999999864e-11
6.849999999999999645e+00 1.568540000000000019e-11
6.870000000000000107e+00 1.471650000000000096e-11
6.889999999999999680e+00 1.380470000000000074e-11
6.910000000000000142e+00 1.294690000000000010e-11
6.929999999999999716e+00 1.214010000000000075e-11
6.950000000000000178e+00 1.138159999999999989e-11
6.969999999999999751e+00 1.066869999999999956e-11
6.990000000000000213e+00 9.998799999999999764e-12
7.009999999999999787e+00 9.369540000000000080e-12
7.030000000000000249e+00 8.778600000000000581e-12
7.049999999999999822e+00 8.223770000000000207e-12
7.070000000000000284e+00 7.702979999999999556e-12
7.089999999999999858e+00 7.214250000000000284e-12
7.110000000000000320e+00 6.755729999999999932e-12
7.129999999999999893e+00 6.325640000000000095e-12
7.150000000000000355e+00 5.922290000000000203e-12
7.169999999999999929e+00 5.544090000000000058e-12
7.190000000000000391e+00 5.188919999999999664e-12
7.209999999999999964e+00 4.856550000000000344e-12
7.230000000000000426e+00 4.544999999999999718e-12
7.259999999999999787e+00 4.252989999999999632e-12
7.280000000000000249e+00 3.979420000000000021e-12
7.299999999999999822e+00 3.723150000000000347e-12
7.320000000000000284e+00 3.483150000000000158e-12
7.339999999999999858e+00 3.258420000000000165e-12
7.360000000000000320e+00 3.048010000000000055e-12
7.379999999999999893e+00 2.851020000000000104e-12
7.400000000000000355e+00 2.666619999999999799e-12
7.419999999999999929e+00 2.494019999999999909e-12
7.440000000000000391e+00 2.332480000000000175e-12
7.459999999999999964e+00 2.181300000000000005e-12
7.480000000000000426e+00 2.039820000000000087e-12
7.500000000000000000e+00 1.907430000000000083e-12
7.519999999999999574e+00 1.783559999999999925e-12
7.540000000000000036e+00 1.667669999999999901e-12
7.559999999999999609e+00 1.559250000000000046e-12
7.580000000000000071e+00 1.457830000000000060e-12
7.599999999999999645e+00 1.363019999999999982e-12
7.620000000000000107e+00 1.274290000000000016e-12
7.639999999999999680e+00 1.191299999999999983e-12
7.660000000000000142e+00 1.113699999999999990e-12
7.679999999999999716e+00 1.041130000000000028e-12
7.700000000000000178e+00 9.732660000000000657e-13
7.719999999999999751e+00 9.098130000000000533e-13
7.740000000000000213e+00 8.504840000000000140e-13
7.759999999999999787e+00 7.950120000000000056e-13
7.780000000000000249e+00 7.431500000000000192e-13
7.799999999999999822e+00 6.946599999999999905e-13
7.820000000000000284e+00 6.493279999999999773e-13
7.839999999999999858e+00 6.069459999999999666e-13
7.860000000000000320e+00 5.673250000000000085e-13
7.879999999999999893e+00 5.302829999999999529e-13
7.900000000000000355e+00 4.956540000000000002e-13
7.919999999999999929e+00 4.632809999999999926e-13
7.940000000000000391e+00 4.330169999999999915e-13
7.959999999999999964e+00 4.047250000000000248e-13
7.980000000000000426e+00 3.782759999999999928e-13
8.000000000000000000e+00 3.535510000000000149e-13
8.019999999999999574e+00 3.304360000000000170e-13
8.039999999999999147e+00 3.088280000000000145e-13
8.060000000000000497e+00 2.886269999999999878e-13
8.080000000000000071e+00 2.697449999999999780e-13
8.099999999999999645e+00 2.520930000000000043e-13
8.119999999999999218e+00 2.355920000000000022e-13
8.140000000000000568e+00 2.201669999999999948e-13
8.160000000000000142e+00 2.057490000000000102e-13
8.179999999999999716e+00 1.922729999999999876e-13
8.199999999999999289e+00 1.797509999999999880e-13
8.220000000000000639e+00 1.679800000000000072e-13
8.240000000000000213e+00 1.569889999999999988e-13
8.259999999999999787e+00 1.467249999999999882e-13
8.279999999999999361e+00 1.371429999999999994e-13
8.300000000000000711e+00 1.281990000000000023e-13
8.320000000000000284e+00 1.198520000000000077e-13
8.339999999999999858e+00 1.120610000000000008e-13
8.359999999999999432e+00 1.047919999999999941e-13
8.380000000000000782e+00 9.800959999999999972e-14
8.400000000000000355e+00 9.168360000000000224e-14
8.419999999999999929e+00 8.578379999999999895e-14
8.439999999999999503e+00 8.028359999999999528e-14
8.460000000000000853e+00 7.515709999999999688e-14
8.480000000000000426e+00 7.038090000000000104e-14
8.500000000000000000e+00 6.593310000000000004e-14
