# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 5.496440000000000098e-10
3.520000000000000018e+00 5.341169999999999868e-10
3.540000000000000036e+00 5.190139999999999822e-10
3.560000000000000053e+00 5.043229999999999965e-10
3.580000000000000071e+00 4.900330000000000386e-10
3.600000000000000089e+00 4.761330000000000142e-10
3.620000000000000107e+00 4.626129999999999926e-10
3.640000000000000124e+00 4.494629999999999915e-10
3.660000000000000142e+00 4.366729999999999768e-10
3.680000000000000160e+00 4.242330000000000176e-10
3.700000000000000178e+00 4.121349999999999939e-10
3.720000000000000195e+00 4.003680000000000179e-10
3.740000000000000213e+00 3.889249999999999779e-10
3.759999999999999787e+00 3.777959999999999949e-10
3.779999999999999805e+00 3.669730000000000003e-10
3.799999999999999822e+00 3.564479999999999772e-10
3.819999999999999840e+00 3.462120000000000034e-10
3.839999999999999858e+00 3.362589999999999759e-10
3.859999999999999876e+00 3.265809999999999810e-10
3.879999999999999893e+00 3.171700000000000018e-10
3.899999999999999911e+00 3.080189999999999783e-10
3.919999999999999929e+00 2.991210000000000055e-10
3.939999999999999947e+00 2.904699999999999802e-10
3.959999999999999964e+00 2.820579999999999890e-10
3.979999999999999982e+00 2.738799999999999889e-10
4.000000000000000000e+00 2.659280000000000147e-10
4.019999999999999574e+00 2.581970000000000236e-10
4.040000000000000036e+00 2.506820000000000242e-10
4.059999999999999609e+00 2.433749999999999997e-10
4.080000000000000071e+00 2.362729999999999760e-10
4.099999999999999645e+00 2.293679999999999880e-10
4.120000000000000107e+00 2.226549999999999926e-10
4.139999999999999680e+00 2.161309999999999901e-10
4.160000000000000142e+00 2.097879999999999894e-10
4.179999999999999716e+00 2.036239999999999991e-10
4.200000000000000178e+00 1.976320000000000109e-10
4.219999999999999751e+00 1.918070000000000078e-10
4.240000000000000213e+00 1.861469999999999984e-10
4.259999999999999787e+00 1.806450000000000002e-10
4.280000000000000249e+00 1.752979999999999875e-10
4.299999999999999822e+00 1.701020000000000036e-10
4.320000000000000284e+00 1.650520000000000055e-10
4.339999999999999858e+00 1.601449999999999934e-10
4.360000000000000320e+00 1.553760000000000019e-10
4.379999999999999893e+00 1.507420000000000053e-10
4.400000000000000355e+00 1.462389999999999951e-10
4.419999999999999929e+00 1.418629999999999887e-10
4.440000000000000391e+00 1.376119999999999948e-10
4.459999999999999964e+00 1.334809999999999964e-10
4.480000000000000426e+00 1.294680000000000021e-10
4.500000000000000000e+00 1.255690000000000034e-10
