# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.271800000000000013e-10
3.520000000000000018e+00 3.178590000000000187e-10
3.540000000000000036e+00 3.087930000000000006e-10
3.560000000000000053e+00 2.999770000000000075e-10
3.580000000000000071e+00 2.914020000000000138e-10
3.600000000000000089e+00 2.830629999999999768e-10
3.620000000000000107e+00 2.749539999999999999e-10
3.640000000000000124e+00 2.670670000000000146e-10
3.660000000000000142e+00 2.593979999999999866e-10
3.680000000000000160e+00 2.519410000000000195e-10
3.700000000000000178e+00 2.446890000000000015e-10
3.720000000000000195e+00 2.376369999999999932e-10
3.740000000000000213e+00 2.307810000000000119e-10
3.759999999999999787e+00 2.241139999999999976e-10
3.779999999999999805e+00 2.176319999999999935e-10
3.799999999999999822e+00 2.113289999999999999e-10
3.819999999999999840e+00 2.052010000000000082e-10
3.839999999999999858e+00 1.992440000000000101e-10
3.859999999999999876e+00 1.934509999999999971e-10
3.879999999999999893e+00 1.878200000000000039e-10
3.899999999999999911e+00 1.823459999999999874e-10
3.919999999999999929e+00 1.770240000000000083e-10
3.939999999999999947e+00 1.718509999999999890e-10
3.959999999999999964e+00 1.668219999999999901e-10
3.979999999999999982e+00 1.619330000000000032e-10
4.000000000000000000e+00 1.571810000000000024e-10
4.019999999999999574e+00 1.525620000000000053e-10
4.040000000000000036e+00 1.480730000000000118e-10
4.059999999999999609e+00 1.437090000000000049e-10
4.080000000000000071e+00 1.394679999999999934e-10
4.099999999999999645e+00 1.353459999999999946e-10
4.120000000000000107e+00 1.313400000000000086e-10
4.139999999999999680e+00 1.274470000000000098e-10
4.160000000000000142e+00 1.236639999999999981e-10
4.179999999999999716e+00 1.199869999999999911e-10
4.200000000000000178e+00 1.164139999999999973e-10
4.219999999999999751e+00 1.129429999999999997e-10
4.240000000000000213e+00 1.095689999999999941e-10
4.259999999999999787e+00 1.062920000000000063e-10
4.280000000000000249e+00 1.031070000000000065e-10
4.299999999999999822e+00 1.000139999999999945e-10
4.320000000000000284e+00 9.701030000000000155e-11
4.339999999999999858e+00 9.409429999999999580e-11
4.360000000000000320e+00 9.126529999999999967e-11
4.379999999999999893e+00 8.852380000000000454e-11
4.400000000000000355e+00 8.587120000000000431e-11
4.419999999999999929e+00 8.331120000000000230e-11
4.440000000000000391e+00 8.084959999999999913e-11
4.459999999999999964e+00 7.849559999999999361e-11
4.480000000000000426e+00 7.626210000000000076e-11
4.500000000000000000e+00 7.416680000000000180e-11
4.519999999999999574e+00 7.223270000000000018e-11
4.540000000000000036e+00 7.048870000000000599e-11
4.559999999999999609e+00 6.896979999999999638e-11
4.580000000000000071e+00 6.771759999999999733e-11
4.599999999999999645e+00 6.677969999999999584e-11
4.620000000000000107e+00 6.620889999999999509e-11
4.639999999999999680e+00 6.606240000000000495e-11
4.660000000000000142e+00 6.639999999999999818e-11
4.679999999999999716e+00 6.728240000000000177e-11
4.700000000000000178e+00 6.876869999999999797e-11
4.719999999999999751e+00 7.091410000000000537e-11
4.740000000000000213e+00 7.376749999999999885e-11
4.769999999999999574e+00 7.736889999999999842e-11
4.790000000000000036e+00 8.174740000000000042e-11
4.809999999999999609e+00 8.691939999999999817e-11
4.830000000000000071e+00 9.288740000000000020e-11
4.849999999999999645e+00 9.963839999999999840e-11
4.870000000000000107e+00 1.071449999999999955e-10
4.889999999999999680e+00 1.153649999999999940e-10
4.910000000000000142e+00 1.242430000000000020e-10
4.929999999999999716e+00 1.337110000000000049e-10
4.950000000000000178e+00 1.436910000000000056e-10
4.969999999999999751e+00 1.540969999999999901e-10
4.990000000000000213e+00 1.648389999999999878e-10
5.009999999999999787e+00 1.758210000000000022e-10
5.030000000000000249e+00 1.869500000000000110e-10
5.049999999999999822e+00 1.981299999999999920e-10
5.070000000000000284e+00 2.092699999999999918e-10
5.089999999999999858e+00 2.202839999999999964e-10
5.110000000000000320e+00 2.310900000000000002e-10
5.129999999999999893e+00 2.416129999999999803e-10
5.150000000000000355e+00 2.517840000000000169e-10
5.169999999999999929e+00 2.615419999999999743e-10
5.190000000000000391e+00 2.708309999999999925e-10
5.209999999999999964e+00 2.796030000000000218e-10
5.230000000000000426e+00 2.878150000000000034e-10
5.250000000000000000e+00 2.954299999999999817e-10
5.269999999999999574e+00 3.024159999999999926e-10
5.290000000000000036e+00 3.087470000000000196e-10
5.309999999999999609e+00 3.144009999999999775e-10
5.330000000000000071e+00 3.193580000000000050e-10
5.349999999999999645e+00 3.236070000000000076e-10
5.370000000000000107e+00 3.271369999999999944e-10
5.389999999999999680e+00 3.299430000000000258e-10
5.410000000000000142e+00 3.320260000000000071e-10
5.429999999999999716e+00 3.333869999999999986e-10
5.450000000000000178e+00 3.340340000000000172e-10
5.469999999999999751e+00 3.339800000000000192e-10
5.490000000000000213e+00 3.332390000000000215e-10
5.509999999999999787e+00 3.318319999999999973e-10
5.530000000000000249e+00 3.297819999999999888e-10
5.549999999999999822e+00 3.271150000000000124e-10
5.570000000000000284e+00 3.238620000000000238e-10
5.589999999999999858e+00 3.200559999999999957e-10
5.610000000000000320e+00 3.157310000000000133e-10
5.629999999999999893e+00 3.109259999999999973e-10
5.650000000000000355e+00 3.056790000000000153e-10
5.669999999999999929e+00 3.000289999999999883e-10
5.690000000000000391e+00 2.940170000000000095e-10
5.709999999999999964e+00 2.876830000000000084e-10
5.730000000000000426e+00 2.810679999999999749e-10
5.750000000000000000e+00 2.742090000000000195e-10
5.769999999999999574e+00 2.671460000000000203e-10
5.790000000000000036e+00 2.599149999999999756e-10
5.809999999999999609e+00 2.525519999999999877e-10
5.830000000000000071e+00 2.450890000000000208e-10
5.849999999999999645e+00 2.375579999999999876e-10
5.870000000000000107e+00 2.299889999999999903e-10
5.889999999999999680e+00 2.224090000000000020e-10
5.910000000000000142e+00 2.148430000000000045e-10
5.929999999999999716e+00 2.073139999999999884e-10
5.950000000000000178e+00 1.998439999999999874e-10
5.969999999999999751e+00 1.924520000000000092e-10
5.990000000000000213e+00 1.851540000000000102e-10
6.009999999999999787e+00 1.779670000000000070e-10
6.030000000000000249e+00 1.709029999999999991e-10
6.049999999999999822e+00 1.639749999999999947e-10
6.070000000000000284e+00 1.571930000000000020e-10
6.089999999999999858e+00 1.505659999999999948e-10
6.110000000000000320e+00 1.441010000000000073e-10
6.129999999999999893e+00 1.378039999999999876e-10
6.150000000000000355e+00 1.316819999999999957e-10
6.169999999999999929e+00 1.257359999999999885e-10
6.190000000000000391e+00 1.199719999999999916e-10
6.209999999999999964e+00 1.143900000000000051e-10
6.230000000000000426e+00 1.089919999999999944e-10
6.250000000000000000e+00 1.037789999999999939e-10
6.269999999999999574e+00 9.874970000000000280e-11
6.290000000000000036e+00 9.390380000000000302e-11
6.309999999999999609e+00 8.923979999999999462e-11
6.330000000000000071e+00 8.475589999999999835e-11
6.349999999999999645e+00 8.044960000000000568e-11
6.370000000000000107e+00 7.631810000000000294e-11
6.389999999999999680e+00 7.235820000000000403e-11
6.410000000000000142e+00 6.856620000000000565e-11
6.429999999999999716e+00 6.493849999999999759e-11
6.450000000000000178e+00 6.147100000000000414e-11
6.469999999999999751e+00 5.815969999999999744e-11
6.490000000000000213e+00 5.500020000000000307e-11
6.509999999999999787e+00 5.198780000000000270e-11
6.530000000000000249e+00 4.911810000000000252e-11
6.549999999999999822e+00 4.638639999999999711e-11
6.570000000000000284e+00 4.378800000000000042e-11
6.589999999999999858e+00 4.131810000000000102e-11
6.610000000000000320e+00 3.897190000000000038e-11
6.629999999999999893e+00 3.674479999999999909e-11
6.650000000000000355e+00 3.463179999999999951e-11
6.669999999999999929e+00 3.262880000000000007e-11
6.690000000000000391e+00 3.073090000000000267e-11
6.709999999999999964e+00 2.893370000000000060e-11
6.730000000000000426e+00 2.723280000000000004e-11
6.750000000000000000e+00 2.562399999999999987e-11
6.769999999999999574e+00 2.410289999999999982e-11
6.790000000000000036e+00 2.266560000000000068e-11
6.809999999999999609e+00 2.130810000000000046e-11
6.830000000000000071e+00 2.002659999999999950e-11
