# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 3.767740000000000164e-10
3.520000000000000018e+00 3.660650000000000175e-10
3.540000000000000036e+00 3.556479999999999903e-10
3.560000000000000053e+00 3.455169999999999867e-10
3.580000000000000071e+00 3.356629999999999812e-10
3.600000000000000089e+00 3.260800000000000258e-10
3.620000000000000107e+00 3.167600000000000001e-10
3.640000000000000124e+00 3.076959999999999991e-10
3.660000000000000142e+00 2.988820000000000232e-10
3.680000000000000160e+00 2.903100000000000035e-10
3.700000000000000178e+00 2.819739999999999922e-10
3.720000000000000195e+00 2.738679999999999894e-10
3.740000000000000213e+00 2.659859999999999953e-10
3.759999999999999787e+00 2.583210000000000016e-10
3.779999999999999805e+00 2.508690000000000257e-10
3.799999999999999822e+00 2.436219999999999989e-10
3.819999999999999840e+00 2.365759999999999904e-10
3.839999999999999858e+00 2.297250000000000003e-10
3.859999999999999876e+00 2.230649999999999943e-10
3.879999999999999893e+00 2.165889999999999900e-10
3.899999999999999911e+00 2.102930000000000047e-10
3.919999999999999929e+00 2.041719999999999956e-10
3.939999999999999947e+00 1.982220000000000058e-10
3.959999999999999964e+00 1.924370000000000097e-10
3.979999999999999982e+00 1.868140000000000075e-10
4.000000000000000000e+00 1.813469999999999994e-10
4.019999999999999574e+00 1.760330000000000114e-10
4.040000000000000036e+00 1.708680000000000090e-10
4.059999999999999609e+00 1.658470000000000013e-10
4.080000000000000071e+00 1.609669999999999881e-10
4.099999999999999645e+00 1.562240000000000129e-10
4.120000000000000107e+00 1.516139999999999895e-10
4.139999999999999680e+00 1.471339999999999957e-10
4.160000000000000142e+00 1.427789999999999885e-10
4.179999999999999716e+00 1.385470000000000025e-10
4.200000000000000178e+00 1.344350000000000119e-10
4.219999999999999751e+00 1.304379999999999998e-10
4.240000000000000213e+00 1.265540000000000006e-10
4.259999999999999787e+00 1.227809999999999971e-10
4.280000000000000249e+00 1.191129999999999898e-10
4.299999999999999822e+00 1.155500000000000042e-10
4.320000000000000284e+00 1.120880000000000063e-10
4.339999999999999858e+00 1.087239999999999960e-10
4.360000000000000320e+00 1.054559999999999949e-10
4.379999999999999893e+00 1.022799999999999947e-10
4.400000000000000355e+00 9.919550000000000399e-11
4.419999999999999929e+00 9.619870000000000044e-11
4.440000000000000391e+00 9.328730000000000055e-11
4.459999999999999964e+00 9.045930000000000008e-11
4.480000000000000426e+00 8.771209999999999741e-11
4.500000000000000000e+00 8.504370000000000122e-11
4.519999999999999574e+00 8.245169999999999611e-11
4.540000000000000036e+00 7.993430000000000282e-11
4.559999999999999609e+00 7.748919999999999903e-11
4.580000000000000071e+00 7.511460000000000550e-11
4.599999999999999645e+00 7.280839999999999903e-11
4.620000000000000107e+00 7.056880000000000037e-11
4.639999999999999680e+00 6.839400000000000443e-11
4.660000000000000142e+00 6.628199999999999404e-11
4.679999999999999716e+00 6.423129999999999511e-11
4.700000000000000178e+00 6.224010000000000255e-11
4.719999999999999751e+00 6.030679999999999745e-11
4.740000000000000213e+00 5.842960000000000056e-11
4.769999999999999574e+00 5.660719999999999814e-11
4.790000000000000036e+00 5.483799999999999716e-11
4.809999999999999609e+00 5.312049999999999766e-11
4.830000000000000071e+00 5.145329999999999927e-11
4.849999999999999645e+00 4.983480000000000249e-11
4.870000000000000107e+00 4.826389999999999915e-11
4.889999999999999680e+00 4.673920000000000182e-11
4.910000000000000142e+00 4.525940000000000322e-11
4.929999999999999716e+00 4.382320000000000253e-11
4.950000000000000178e+00 4.242939999999999852e-11
4.969999999999999751e+00 4.107680000000000285e-11
4.990000000000000213e+00 3.976430000000000092e-11
5.009999999999999787e+00 3.849079999999999751e-11
5.030000000000000249e+00 3.725509999999999784e-11
5.049999999999999822e+00 3.605619999999999978e-11
5.070000000000000284e+00 3.489300000000000167e-11
5.089999999999999858e+00 3.376460000000000095e-11
5.110000000000000320e+00 3.266990000000000239e-11
5.129999999999999893e+00 3.160810000000000302e-11
5.150000000000000355e+00 3.057820000000000071e-11
5.169999999999999929e+00 2.957919999999999982e-11
5.190000000000000391e+00 2.861040000000000015e-11
5.209999999999999964e+00 2.767079999999999959e-11
5.230000000000000426e+00 2.675960000000000161e-11
5.250000000000000000e+00 2.587609999999999957e-11
5.269999999999999574e+00 2.501940000000000061e-11
5.290000000000000036e+00 2.418880000000000130e-11
5.309999999999999609e+00 2.338349999999999866e-11
5.330000000000000071e+00 2.260279999999999897e-11
5.349999999999999645e+00 2.184610000000000160e-11
5.370000000000000107e+00 2.111250000000000076e-11
5.389999999999999680e+00 2.040139999999999908e-11
5.410000000000000142e+00 1.971229999999999871e-11
5.429999999999999716e+00 1.904280000000000040e-11
5.450000000000000178e+00 1.839450000000000043e-11
5.469999999999999751e+00 1.776599999999999841e-11
5.490000000000000213e+00 1.715709999999999845e-11
5.509999999999999787e+00 1.656719999999999993e-11
5.530000000000000249e+00 1.599610000000000047e-11
5.549999999999999822e+00 1.544309999999999990e-11
5.570000000000000284e+00 1.490820000000000144e-11
5.589999999999999858e+00 1.439089999999999919e-11
5.610000000000000320e+00 1.389119999999999962e-11
5.629999999999999893e+00 1.340899999999999991e-11
5.650000000000000355e+00 1.294449999999999922e-11
5.669999999999999929e+00 1.249799999999999945e-11
5.690000000000000391e+00 1.207009999999999963e-11
5.709999999999999964e+00 1.166170000000000069e-11
5.730000000000000426e+00 1.127319999999999926e-11
5.750000000000000000e+00 1.090659999999999959e-11
5.769999999999999574e+00 1.056349999999999957e-11
5.790000000000000036e+00 1.024550000000000032e-11
5.809999999999999609e+00 9.954680000000000553e-12
5.830000000000000071e+00 9.693369999999999519e-12
5.849999999999999645e+00 9.464190000000000692e-12
5.870000000000000107e+00 9.269980000000000452e-12
5.889999999999999680e+00 9.113769999999999848e-12
5.910000000000000142e+00 8.998779999999999749e-12
5.929999999999999716e+00 8.928389999999999683e-12
5.950000000000000178e+00 8.906049999999999194e-12
5.969999999999999751e+00 8.935270000000000154e-12
5.990000000000000213e+00 9.019570000000000512e-12
6.009999999999999787e+00 9.162370000000000267e-12
6.030000000000000249e+00 9.366940000000000071e-12
6.049999999999999822e+00 9.636259999999999574e-12
6.070000000000000284e+00 9.972919999999999474e-12
6.089999999999999858e+00 1.037900000000000010e-11
6.110000000000000320e+00 1.085580000000000066e-11
6.129999999999999893e+00 1.140410000000000065e-11
6.150000000000000355e+00 1.202340000000000065e-11
6.169999999999999929e+00 1.271249999999999940e-11
6.190000000000000391e+00 1.346889999999999969e-11
6.209999999999999964e+00 1.428889999999999983e-11
6.230000000000000426e+00 1.516770000000000130e-11
6.250000000000000000e+00 1.609920000000000152e-11
6.269999999999999574e+00 1.707640000000000022e-11
6.290000000000000036e+00 1.809090000000000160e-11
6.309999999999999609e+00 1.913410000000000104e-11
6.330000000000000071e+00 2.019479999999999873e-11
6.349999999999999645e+00 2.126359999999999999e-11
6.370000000000000107e+00 2.233010000000000155e-11
6.389999999999999680e+00 2.338290000000000127e-11
6.410000000000000142e+00 2.441089999999999891e-11
6.429999999999999716e+00 2.540409999999999916e-11
6.450000000000000178e+00 2.635170000000000049e-11
6.469999999999999751e+00 2.724470000000000002e-11
6.490000000000000213e+00 2.807440000000000001e-11
6.509999999999999787e+00 2.883330000000000074e-11
6.530000000000000249e+00 2.951470000000000226e-11
6.549999999999999822e+00 3.011319999999999895e-11
6.570000000000000284e+00 3.062449999999999982e-11
6.589999999999999858e+00 3.104559999999999850e-11
6.610000000000000320e+00 3.137439999999999766e-11
6.629999999999999893e+00 3.161020000000000035e-11
6.650000000000000355e+00 3.175309999999999967e-11
6.669999999999999929e+00 3.180460000000000203e-11
6.690000000000000391e+00 3.176679999999999829e-11
6.709999999999999964e+00 3.164219999999999698e-11
6.730000000000000426e+00 3.143539999999999750e-11
6.750000000000000000e+00 3.115010000000000315e-11
6.769999999999999574e+00 3.079139999999999823e-11
6.790000000000000036e+00 3.036429999999999977e-11
6.809999999999999609e+00 2.987440000000000284e-11
6.830000000000000071e+00 2.932750000000000161e-11
6.849999999999999645e+00 2.872920000000000081e-11
6.870000000000000107e+00 2.808550000000000023e-11
6.889999999999999680e+00 2.740210000000000094e-11
6.910000000000000142e+00 2.668470000000000079e-11
6.929999999999999716e+00 2.593869999999999892e-11
6.950000000000000178e+00 2.516950000000000095e-11
6.969999999999999751e+00 2.438210000000000129e-11
6.990000000000000213e+00 2.358140000000000128e-11
7.009999999999999787e+00 2.277170000000000161e-11
7.030000000000000249e+00 2.195729999999999975e-11
7.049999999999999822e+00 2.114189999999999900e-11
7.070000000000000284e+00 2.032909999999999988e-11
7.089999999999999858e+00 1.952210000000000140e-11
7.110000000000000320e+00 1.872370000000000109e-11
7.129999999999999893e+00 1.793660000000000013e-11
7.150000000000000355e+00 1.716289999999999910e-11
7.169999999999999929e+00 1.640449999999999942e-11
7.190000000000000391e+00 1.566329999999999931e-11
7.209999999999999964e+00 1.494059999999999957e-11
7.230000000000000426e+00 1.423759999999999984e-11
7.259999999999999787e+00 1.355519999999999943e-11
7.280000000000000249e+00 1.289419999999999972e-11
7.299999999999999822e+00 1.225519999999999972e-11
7.320000000000000284e+00 1.163779999999999955e-11
7.339999999999999858e+00 1.104360000000000032e-11
7.360000000000000320e+00 1.047199999999999981e-11
7.379999999999999893e+00 9.922929999999999603e-12
7.400000000000000355e+00 9.396339999999999925e-12
7.419999999999999929e+00 8.892020000000000717e-12
7.440000000000000391e+00 8.409600000000000032e-12
7.459999999999999964e+00 7.948760000000000554e-12
7.480000000000000426e+00 7.508979999999999373e-12
7.500000000000000000e+00 7.089760000000000276e-12
7.519999999999999574e+00 6.690550000000000001e-12
7.540000000000000036e+00 6.310750000000000347e-12
7.559999999999999609e+00 5.949730000000000337e-12
7.580000000000000071e+00 5.606880000000000036e-12
7.599999999999999645e+00 5.281529999999999610e-12
7.620000000000000107e+00 4.973040000000000386e-12
7.639999999999999680e+00 4.680750000000000225e-12
7.660000000000000142e+00 4.404010000000000336e-12
7.679999999999999716e+00 4.142160000000000194e-12
7.700000000000000178e+00 3.894569999999999631e-12
7.719999999999999751e+00 3.660649999999999755e-12
7.740000000000000213e+00 3.439670000000000024e-12
7.759999999999999787e+00 3.231090000000000119e-12
7.780000000000000249e+00 3.034300000000000107e-12
7.799999999999999822e+00 2.848739999999999835e-12
7.820000000000000284e+00 2.673860000000000079e-12
7.839999999999999858e+00 2.509090000000000166e-12
7.860000000000000320e+00 2.353939999999999964e-12
7.879999999999999893e+00 2.207890000000000198e-12
7.900000000000000355e+00 2.070470000000000163e-12
7.919999999999999929e+00 1.941209999999999965e-12
7.940000000000000391e+00 1.819670000000000061e-12
7.959999999999999964e+00 1.705420000000000017e-12
7.980000000000000426e+00 1.598070000000000076e-12
8.000000000000000000e+00 1.497219999999999955e-12
8.019999999999999574e+00 1.402510000000000049e-12
8.039999999999999147e+00 1.313579999999999942e-12
8.060000000000000497e+00 1.230120000000000013e-12
8.080000000000000071e+00 1.151799999999999999e-12
8.099999999999999645e+00 1.078310000000000077e-12
8.119999999999999218e+00 1.009390000000000003e-12
8.140000000000000568e+00 9.447480000000000453e-13
8.160000000000000142e+00 8.841430000000000223e-13
8.179999999999999716e+00 8.273299999999999694e-13
8.199999999999999289e+00 7.740829999999999844e-13
8.220000000000000639e+00 7.241880000000000238e-13
8.240000000000000213e+00 6.774420000000000330e-13
8.259999999999999787e+00 6.336510000000000028e-13
8.279999999999999361e+00 5.926380000000000441e-13
8.300000000000000711e+00 5.542299999999999517e-13
8.320000000000000284e+00 5.183539999999999943e-13
8.339999999999999858e+00 4.846909999999999993e-13
8.359999999999999432e+00 4.531929999999999754e-13
8.380000000000000782e+00 4.237240000000000229e-13
8.400000000000000355e+00 3.961600000000000002e-13
8.419999999999999929e+00 3.703790000000000114e-13
8.439999999999999503e+00 3.462710000000000197e-13
8.460000000000000853e+00 3.237300000000000251e-13
8.480000000000000426e+00 3.026569999999999795e-13
8.500000000000000000e+00 2.829590000000000164e-13
