# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.283360000000000085e-10
3.520000000000000018e+00 4.161760000000000216e-10
3.540000000000000036e+00 4.043479999999999876e-10
3.560000000000000053e+00 3.928439999999999930e-10
3.580000000000000071e+00 3.816560000000000208e-10
3.600000000000000089e+00 3.707739999999999854e-10
3.620000000000000107e+00 3.601900000000000249e-10
3.640000000000000124e+00 3.498969999999999757e-10
3.660000000000000142e+00 3.398869999999999762e-10
3.680000000000000160e+00 3.301520000000000093e-10
3.700000000000000178e+00 3.206850000000000150e-10
3.720000000000000195e+00 3.114789999999999849e-10
3.740000000000000213e+00 3.025270000000000142e-10
3.759999999999999787e+00 2.938209999999999824e-10
3.779999999999999805e+00 2.853560000000000018e-10
3.799999999999999822e+00 2.771250000000000124e-10
3.819999999999999840e+00 2.691210000000000057e-10
3.839999999999999858e+00 2.613389999999999906e-10
3.859999999999999876e+00 2.537730000000000190e-10
3.879999999999999893e+00 2.464159999999999791e-10
3.899999999999999911e+00 2.392639999999999918e-10
3.919999999999999929e+00 2.323099999999999970e-10
3.939999999999999947e+00 2.255500000000000121e-10
3.959999999999999964e+00 2.189780000000000114e-10
3.979999999999999982e+00 2.125879999999999952e-10
4.000000000000000000e+00 2.063769999999999895e-10
4.019999999999999574e+00 2.003389999999999944e-10
4.040000000000000036e+00 1.944700000000000016e-10
4.059999999999999609e+00 1.887649999999999939e-10
4.080000000000000071e+00 1.832190000000000060e-10
4.099999999999999645e+00 1.778290000000000122e-10
4.120000000000000107e+00 1.725899999999999954e-10
4.139999999999999680e+00 1.674979999999999990e-10
4.160000000000000142e+00 1.625489999999999884e-10
4.179999999999999716e+00 1.577390000000000071e-10
4.200000000000000178e+00 1.530639999999999948e-10
4.219999999999999751e+00 1.485220000000000120e-10
4.240000000000000213e+00 1.441070000000000070e-10
4.259999999999999787e+00 1.398169999999999888e-10
4.280000000000000249e+00 1.356480000000000004e-10
4.299999999999999822e+00 1.315969999999999903e-10
4.320000000000000284e+00 1.276610000000000103e-10
4.339999999999999858e+00 1.238370000000000088e-10
4.360000000000000320e+00 1.201210000000000032e-10
4.379999999999999893e+00 1.165099999999999937e-10
4.400000000000000355e+00 1.130020000000000018e-10
4.419999999999999929e+00 1.095949999999999974e-10
4.440000000000000391e+00 1.062840000000000023e-10
4.459999999999999964e+00 1.030679999999999950e-10
4.480000000000000426e+00 9.994360000000000320e-11
4.500000000000000000e+00 9.690870000000000368e-11
4.519999999999999574e+00 9.396080000000000086e-11
4.540000000000000036e+00 9.109739999999999915e-11
4.559999999999999609e+00 8.831620000000000207e-11
4.580000000000000071e+00 8.561500000000000627e-11
4.599999999999999645e+00 8.299150000000000236e-11
4.620000000000000107e+00 8.044360000000000591e-11
4.639999999999999680e+00 7.796929999999999978e-11
4.660000000000000142e+00 7.556640000000000646e-11
4.679999999999999716e+00 7.323309999999999498e-11
4.700000000000000178e+00 7.096729999999999387e-11
4.719999999999999751e+00 6.876730000000000406e-11
4.740000000000000213e+00 6.663120000000000148e-11
4.769999999999999574e+00 6.455719999999999396e-11
4.790000000000000036e+00 6.254370000000000137e-11
4.809999999999999609e+00 6.058879999999999968e-11
4.830000000000000071e+00 5.869109999999999495e-11
4.849999999999999645e+00 5.684900000000000061e-11
4.870000000000000107e+00 5.506089999999999776e-11
4.889999999999999680e+00 5.332539999999999894e-11
4.910000000000000142e+00 5.164119999999999689e-11
4.929999999999999716e+00 5.000689999999999768e-11
4.950000000000000178e+00 4.842149999999999921e-11
4.969999999999999751e+00 4.688389999999999978e-11
4.990000000000000213e+00 4.539319999999999685e-11
5.009999999999999787e+00 4.394889999999999906e-11
5.030000000000000249e+00 4.255060000000000168e-11
5.049999999999999822e+00 4.119809999999999911e-11
5.070000000000000284e+00 3.989170000000000298e-11
5.089999999999999858e+00 3.863199999999999775e-11
5.110000000000000320e+00 3.741979999999999935e-11
5.129999999999999893e+00 3.625630000000000254e-11
5.150000000000000355e+00 3.514319999999999994e-11
5.169999999999999929e+00 3.408240000000000268e-11
5.190000000000000391e+00 3.307570000000000294e-11
5.209999999999999964e+00 3.212550000000000321e-11
5.230000000000000426e+00 3.123380000000000127e-11
5.250000000000000000e+00 3.040280000000000047e-11
5.269999999999999574e+00 2.963439999999999902e-11
5.290000000000000036e+00 2.892980000000000139e-11
5.309999999999999609e+00 2.829009999999999958e-11
5.330000000000000071e+00 2.771570000000000155e-11
5.349999999999999645e+00 2.720619999999999933e-11
5.370000000000000107e+00 2.676040000000000137e-11
5.389999999999999680e+00 2.637649999999999934e-11
5.410000000000000142e+00 2.605159999999999938e-11
5.429999999999999716e+00 2.578220000000000055e-11
5.450000000000000178e+00 2.556399999999999891e-11
5.469999999999999751e+00 2.539209999999999961e-11
5.490000000000000213e+00 2.526069999999999878e-11
5.509999999999999787e+00 2.516389999999999943e-11
5.530000000000000249e+00 2.509539999999999988e-11
5.549999999999999822e+00 2.504859999999999971e-11
5.570000000000000284e+00 2.501700000000000134e-11
5.589999999999999858e+00 2.499390000000000157e-11
5.610000000000000320e+00 2.497310000000000150e-11
5.629999999999999893e+00 2.494860000000000135e-11
5.650000000000000355e+00 2.491489999999999918e-11
5.669999999999999929e+00 2.486690000000000100e-11
5.690000000000000391e+00 2.480020000000000009e-11
5.709999999999999964e+00 2.471090000000000046e-11
5.730000000000000426e+00 2.459599999999999900e-11
5.750000000000000000e+00 2.445300000000000011e-11
5.769999999999999574e+00 2.428030000000000106e-11
5.790000000000000036e+00 2.407680000000000016e-11
5.809999999999999609e+00 2.384299999999999847e-11
5.830000000000000071e+00 2.357940000000000028e-11
5.849999999999999645e+00 2.328759999999999864e-11
5.870000000000000107e+00 2.297009999999999883e-11
5.889999999999999680e+00 2.263029999999999900e-11
5.910000000000000142e+00 2.227249999999999986e-11
5.929999999999999716e+00 2.190200000000000098e-11
5.950000000000000178e+00 2.152510000000000084e-11
5.969999999999999751e+00 2.114869999999999853e-11
5.990000000000000213e+00 2.078069999999999848e-11
6.009999999999999787e+00 2.042949999999999974e-11
6.030000000000000249e+00 2.010399999999999915e-11
6.049999999999999822e+00 1.981329999999999919e-11
6.070000000000000284e+00 1.956670000000000143e-11
6.089999999999999858e+00 1.937290000000000038e-11
6.110000000000000320e+00 1.924030000000000153e-11
6.129999999999999893e+00 1.917650000000000094e-11
6.150000000000000355e+00 1.918760000000000116e-11
6.169999999999999929e+00 1.927859999999999986e-11
6.190000000000000391e+00 1.945300000000000122e-11
6.209999999999999964e+00 1.971200000000000002e-11
6.230000000000000426e+00 2.005549999999999992e-11
6.250000000000000000e+00 2.048099999999999886e-11
6.269999999999999574e+00 2.098429999999999895e-11
6.290000000000000036e+00 2.155940000000000040e-11
6.309999999999999609e+00 2.219850000000000159e-11
6.330000000000000071e+00 2.289240000000000048e-11
6.349999999999999645e+00 2.363050000000000114e-11
6.370000000000000107e+00 2.440170000000000012e-11
6.389999999999999680e+00 2.519320000000000134e-11
6.410000000000000142e+00 2.599349999999999986e-11
6.429999999999999716e+00 2.678979999999999961e-11
6.450000000000000178e+00 2.756969999999999954e-11
6.469999999999999751e+00 2.832139999999999926e-11
6.490000000000000213e+00 2.903369999999999896e-11
6.509999999999999787e+00 2.969660000000000010e-11
6.530000000000000249e+00 3.030099999999999700e-11
6.549999999999999822e+00 3.083899999999999814e-11
6.570000000000000284e+00 3.130399999999999990e-11
6.589999999999999858e+00 3.169079999999999902e-11
6.610000000000000320e+00 3.199539999999999996e-11
6.629999999999999893e+00 3.221520000000000111e-11
6.650000000000000355e+00 3.234880000000000207e-11
6.669999999999999929e+00 3.239589999999999770e-11
6.690000000000000391e+00 3.235750000000000303e-11
6.709999999999999964e+00 3.223539999999999732e-11
6.730000000000000426e+00 3.203230000000000115e-11
6.750000000000000000e+00 3.175179999999999886e-11
6.769999999999999574e+00 3.139760000000000023e-11
6.790000000000000036e+00 3.097500000000000160e-11
6.809999999999999609e+00 3.048890000000000108e-11
6.830000000000000071e+00 2.994460000000000147e-11
6.849999999999999645e+00 2.934769999999999782e-11
6.870000000000000107e+00 2.870380000000000135e-11
6.889999999999999680e+00 2.801869999999999975e-11
6.910000000000000142e+00 2.729810000000000058e-11
6.929999999999999716e+00 2.654730000000000018e-11
6.950000000000000178e+00 2.577180000000000051e-11
6.969999999999999751e+00 2.497669999999999878e-11
6.990000000000000213e+00 2.416689999999999954e-11
7.009999999999999787e+00 2.334689999999999940e-11
7.030000000000000249e+00 2.252099999999999905e-11
7.049999999999999822e+00 2.169320000000000050e-11
7.070000000000000284e+00 2.086710000000000102e-11
7.089999999999999858e+00 2.004609999999999877e-11
7.110000000000000320e+00 1.923310000000000051e-11
7.129999999999999893e+00 1.843070000000000143e-11
7.150000000000000355e+00 1.764149999999999990e-11
7.169999999999999929e+00 1.686730000000000104e-11
7.190000000000000391e+00 1.611009999999999938e-11
7.209999999999999964e+00 1.537129999999999853e-11
7.230000000000000426e+00 1.465219999999999930e-11
7.259999999999999787e+00 1.395380000000000058e-11
7.280000000000000249e+00 1.327690000000000051e-11
7.299999999999999822e+00 1.262230000000000045e-11
7.320000000000000284e+00 1.199019999999999954e-11
7.339999999999999858e+00 1.138099999999999927e-11
7.360000000000000320e+00 1.079479999999999920e-11
7.379999999999999893e+00 1.023070000000000002e-11
7.400000000000000355e+00 9.690229999999999595e-12
7.419999999999999929e+00 9.172269999999999245e-12
7.440000000000000391e+00 8.676649999999999384e-12
7.459999999999999964e+00 8.202979999999999445e-12
7.480000000000000426e+00 7.750830000000000003e-12
7.500000000000000000e+00 7.319700000000000001e-12
7.519999999999999574e+00 6.909040000000000214e-12
7.540000000000000036e+00 6.518260000000000137e-12
7.559999999999999609e+00 6.146720000000000288e-12
7.580000000000000071e+00 5.793789999999999691e-12
