# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 4.869399999999999749e-10
3.520000000000000018e+00 4.731519999999999808e-10
3.540000000000000036e+00 4.597410000000000154e-10
3.560000000000000053e+00 4.466949999999999759e-10
3.580000000000000071e+00 4.340070000000000089e-10
3.600000000000000089e+00 4.216650000000000116e-10
3.620000000000000107e+00 4.096619999999999756e-10
3.640000000000000124e+00 3.979870000000000134e-10
3.660000000000000142e+00 3.866330000000000131e-10
3.680000000000000160e+00 3.755899999999999924e-10
3.700000000000000178e+00 3.648509999999999946e-10
3.720000000000000195e+00 3.544069999999999943e-10
3.740000000000000213e+00 3.442499999999999744e-10
3.759999999999999787e+00 3.343720000000000216e-10
3.779999999999999805e+00 3.247669999999999808e-10
3.799999999999999822e+00 3.154269999999999903e-10
3.819999999999999840e+00 3.063449999999999901e-10
3.839999999999999858e+00 2.975130000000000148e-10
3.859999999999999876e+00 2.889260000000000216e-10
3.879999999999999893e+00 2.805759999999999935e-10
3.899999999999999911e+00 2.724579999999999912e-10
3.919999999999999929e+00 2.645639999999999975e-10
3.939999999999999947e+00 2.568899999999999783e-10
3.959999999999999964e+00 2.494280000000000200e-10
3.979999999999999982e+00 2.421739999999999849e-10
4.000000000000000000e+00 2.351219999999999766e-10
4.019999999999999574e+00 2.282659999999999953e-10
4.040000000000000036e+00 2.216009999999999981e-10
4.059999999999999609e+00 2.151210000000000112e-10
4.080000000000000071e+00 2.088230000000000088e-10
4.099999999999999645e+00 2.027009999999999910e-10
4.120000000000000107e+00 1.967499999999999927e-10
4.139999999999999680e+00 1.909660000000000052e-10
4.160000000000000142e+00 1.853430000000000030e-10
4.179999999999999716e+00 1.798789999999999948e-10
4.200000000000000178e+00 1.745680000000000066e-10
4.219999999999999751e+00 1.694060000000000042e-10
4.240000000000000213e+00 1.643890000000000048e-10
4.259999999999999787e+00 1.595140000000000087e-10
4.280000000000000249e+00 1.547749999999999903e-10
4.299999999999999822e+00 1.501709999999999925e-10
4.320000000000000284e+00 1.456969999999999985e-10
4.339999999999999858e+00 1.413489999999999996e-10
4.360000000000000320e+00 1.371250000000000047e-10
4.379999999999999893e+00 1.330199999999999966e-10
4.400000000000000355e+00 1.290310000000000014e-10
4.419999999999999929e+00 1.251560000000000019e-10
4.440000000000000391e+00 1.213909999999999895e-10
4.459999999999999964e+00 1.177329999999999904e-10
4.480000000000000426e+00 1.141790000000000045e-10
4.500000000000000000e+00 1.107270000000000019e-10
4.519999999999999574e+00 1.073729999999999998e-10
4.540000000000000036e+00 1.041160000000000027e-10
4.559999999999999609e+00 1.009510000000000064e-10
4.580000000000000071e+00 9.787740000000000055e-11
4.599999999999999645e+00 9.489180000000000002e-11
4.620000000000000107e+00 9.199200000000000141e-11
4.639999999999999680e+00 8.917560000000000223e-11
4.660000000000000142e+00 8.644030000000000600e-11
4.679999999999999716e+00 8.378380000000000333e-11
4.700000000000000178e+00 8.120419999999999603e-11
4.719999999999999751e+00 7.869909999999999451e-11
4.740000000000000213e+00 7.626649999999999456e-11
4.769999999999999574e+00 7.390440000000000486e-11
4.790000000000000036e+00 7.161099999999999445e-11
4.809999999999999609e+00 6.938429999999999789e-11
4.830000000000000071e+00 6.722249999999999715e-11
4.849999999999999645e+00 6.512380000000000004e-11
4.870000000000000107e+00 6.308690000000000576e-11
4.889999999999999680e+00 6.110999999999999628e-11
4.910000000000000142e+00 5.919179999999999664e-11
4.929999999999999716e+00 5.733129999999999826e-11
4.950000000000000178e+00 5.552759999999999858e-11
4.969999999999999751e+00 5.378010000000000022e-11
4.990000000000000213e+00 5.208869999999999715e-11
5.009999999999999787e+00 5.045380000000000055e-11
5.030000000000000249e+00 4.887600000000000136e-11
5.049999999999999822e+00 4.735709999999999821e-11
5.070000000000000284e+00 4.589900000000000223e-11
5.089999999999999858e+00 4.450460000000000082e-11
5.110000000000000320e+00 4.317719999999999903e-11
5.129999999999999893e+00 4.192089999999999841e-11
5.150000000000000355e+00 4.074019999999999881e-11
5.169999999999999929e+00 3.963999999999999831e-11
5.190000000000000391e+00 3.862530000000000102e-11
5.209999999999999964e+00 3.770109999999999816e-11
5.230000000000000426e+00 3.687210000000000159e-11
5.250000000000000000e+00 3.614249999999999953e-11
5.269999999999999574e+00 3.551570000000000305e-11
5.290000000000000036e+00 3.499400000000000215e-11
5.309999999999999609e+00 3.457859999999999808e-11
5.330000000000000071e+00 3.426899999999999948e-11
5.349999999999999645e+00 3.406350000000000081e-11
5.370000000000000107e+00 3.395839999999999877e-11
5.389999999999999680e+00 3.394870000000000215e-11
5.410000000000000142e+00 3.402770000000000131e-11
5.429999999999999716e+00 3.418710000000000000e-11
5.450000000000000178e+00 3.441750000000000031e-11
5.469999999999999751e+00 3.470819999999999705e-11
5.490000000000000213e+00 3.504790000000000054e-11
5.509999999999999787e+00 3.542439999999999918e-11
5.530000000000000249e+00 3.582520000000000208e-11
5.549999999999999822e+00 3.623799999999999806e-11
5.570000000000000284e+00 3.665040000000000224e-11
5.589999999999999858e+00 3.705060000000000128e-11
5.610000000000000320e+00 3.742729999999999906e-11
5.629999999999999893e+00 3.777020000000000157e-11
5.650000000000000355e+00 3.806999999999999752e-11
5.669999999999999929e+00 3.831839999999999715e-11
5.690000000000000391e+00 3.850839999999999856e-11
5.709999999999999964e+00 3.863440000000000025e-11
5.730000000000000426e+00 3.869180000000000281e-11
5.750000000000000000e+00 3.867750000000000034e-11
5.769999999999999574e+00 3.858970000000000065e-11
5.790000000000000036e+00 3.842770000000000033e-11
5.809999999999999609e+00 3.819250000000000150e-11
5.830000000000000071e+00 3.788429999999999681e-11
5.849999999999999645e+00 3.750739999999999990e-11
5.870000000000000107e+00 3.706520000000000245e-11
5.889999999999999680e+00 3.656219999999999783e-11
5.910000000000000142e+00 3.600390000000000091e-11
5.929999999999999716e+00 3.539680000000000282e-11
5.950000000000000178e+00 3.474809999999999812e-11
5.969999999999999751e+00 3.406569999999999771e-11
5.990000000000000213e+00 3.335799999999999741e-11
6.009999999999999787e+00 3.263399999999999686e-11
6.030000000000000249e+00 3.190310000000000045e-11
6.049999999999999822e+00 3.117489999999999876e-11
6.070000000000000284e+00 3.045900000000000178e-11
6.089999999999999858e+00 2.976470000000000140e-11
6.110000000000000320e+00 2.910129999999999920e-11
6.129999999999999893e+00 2.847720000000000068e-11
6.150000000000000355e+00 2.790020000000000101e-11
6.169999999999999929e+00 2.737690000000000061e-11
6.190000000000000391e+00 2.691310000000000010e-11
6.209999999999999964e+00 2.651280000000000149e-11
6.230000000000000426e+00 2.617900000000000144e-11
6.250000000000000000e+00 2.591290000000000119e-11
6.269999999999999574e+00 2.571430000000000161e-11
6.290000000000000036e+00 2.558140000000000084e-11
6.309999999999999609e+00 2.551109999999999941e-11
6.330000000000000071e+00 2.549859999999999881e-11
6.349999999999999645e+00 2.553840000000000031e-11
6.370000000000000107e+00 2.562360000000000161e-11
6.389999999999999680e+00 2.574660000000000017e-11
6.410000000000000142e+00 2.589979999999999996e-11
6.429999999999999716e+00 2.607300000000000007e-11
6.450000000000000178e+00 2.625909999999999905e-11
6.469999999999999751e+00 2.644910000000000046e-11
6.490000000000000213e+00 2.663459999999999881e-11
6.509999999999999787e+00 2.680720000000000153e-11
6.530000000000000249e+00 2.695970000000000113e-11
6.549999999999999822e+00 2.708530000000000133e-11
6.570000000000000284e+00 2.717809999999999867e-11
6.589999999999999858e+00 2.723289999999999961e-11
6.610000000000000320e+00 2.724559999999999934e-11
6.629999999999999893e+00 2.721309999999999842e-11
6.650000000000000355e+00 2.713279999999999845e-11
6.669999999999999929e+00 2.700329999999999905e-11
6.690000000000000391e+00 2.682399999999999960e-11
6.709999999999999964e+00 2.659490000000000010e-11
6.730000000000000426e+00 2.631689999999999987e-11
6.750000000000000000e+00 2.599139999999999929e-11
6.769999999999999574e+00 2.562039999999999936e-11
6.790000000000000036e+00 2.520639999999999890e-11
6.809999999999999609e+00 2.475180000000000041e-11
6.830000000000000071e+00 2.426049999999999987e-11
6.849999999999999645e+00 2.373550000000000039e-11
6.870000000000000107e+00 2.318039999999999925e-11
6.889999999999999680e+00 2.259889999999999976e-11
6.910000000000000142e+00 2.199459999999999920e-11
6.929999999999999716e+00 2.137130000000000043e-11
6.950000000000000178e+00 2.073250000000000117e-11
6.969999999999999751e+00 2.008169999999999914e-11
6.990000000000000213e+00 1.942229999999999894e-11
7.009999999999999787e+00 1.875749999999999959e-11
7.030000000000000249e+00 1.809030000000000098e-11
7.049999999999999822e+00 1.742350000000000063e-11
7.070000000000000284e+00 1.675960000000000060e-11
7.089999999999999858e+00 1.610100000000000016e-11
7.110000000000000320e+00 1.544999999999999899e-11
7.129999999999999893e+00 1.480839999999999898e-11
7.150000000000000355e+00 1.417779999999999963e-11
7.169999999999999929e+00 1.355990000000000001e-11
7.190000000000000391e+00 1.295589999999999975e-11
7.209999999999999964e+00 1.236690000000000055e-11
7.230000000000000426e+00 1.179389999999999966e-11
7.259999999999999787e+00 1.123749999999999932e-11
7.280000000000000249e+00 1.069830000000000017e-11
7.299999999999999822e+00 1.017689999999999958e-11
7.320000000000000284e+00 9.673380000000000126e-12
7.339999999999999858e+00 9.188070000000000047e-12
7.360000000000000320e+00 8.721000000000000503e-12
7.379999999999999893e+00 8.272140000000000333e-12
7.400000000000000355e+00 7.841369999999999737e-12
7.419999999999999929e+00 7.427649999999999355e-12
7.440000000000000391e+00 7.032310000000000355e-12
7.459999999999999964e+00 6.654149999999999874e-12
7.480000000000000426e+00 6.292890000000000260e-12
7.500000000000000000e+00 5.948169999999999685e-12
7.519999999999999574e+00 5.619589999999999888e-12
7.540000000000000036e+00 5.306690000000000282e-12
7.559999999999999609e+00 5.008969999999999810e-12
7.580000000000000071e+00 4.725939999999999954e-12
7.599999999999999645e+00 4.457080000000000230e-12
7.620000000000000107e+00 4.201870000000000149e-12
7.639999999999999680e+00 3.959779999999999915e-12
7.660000000000000142e+00 3.730289999999999850e-12
7.679999999999999716e+00 3.512879999999999871e-12
7.700000000000000178e+00 3.307050000000000131e-12
7.719999999999999751e+00 3.112270000000000026e-12
7.740000000000000213e+00 2.928070000000000063e-12
7.759999999999999787e+00 2.753960000000000112e-12
7.780000000000000249e+00 2.589479999999999988e-12
7.799999999999999822e+00 2.434150000000000084e-12
7.820000000000000284e+00 2.287630000000000018e-12
7.839999999999999858e+00 2.149330000000000092e-12
7.860000000000000320e+00 2.018920000000000045e-12
7.879999999999999893e+00 1.895989999999999881e-12
7.900000000000000355e+00 1.780159999999999959e-12
7.919999999999999929e+00 1.671070000000000068e-12
7.940000000000000391e+00 1.568350000000000077e-12
7.959999999999999964e+00 1.471669999999999928e-12
7.980000000000000426e+00 1.380699999999999963e-12
8.000000000000000000e+00 1.295120000000000039e-12
8.019999999999999574e+00 1.214650000000000080e-12
8.039999999999999147e+00 1.138989999999999976e-12
8.060000000000000497e+00 1.067890000000000007e-12
8.080000000000000071e+00 1.001070000000000095e-12
8.099999999999999645e+00 9.383030000000000662e-13
8.119999999999999218e+00 8.793520000000000279e-13
8.140000000000000568e+00 8.239939999999999925e-13
8.160000000000000142e+00 7.720220000000000197e-13
8.179999999999999716e+00 7.232399999999999556e-13
8.199999999999999289e+00 6.774609999999999948e-13
8.220000000000000639e+00 6.345069999999999741e-13
8.240000000000000213e+00 5.942129999999999642e-13
8.259999999999999787e+00 5.564159999999999790e-13
8.279999999999999361e+00 5.209729999999999653e-13
8.300000000000000711e+00 4.877369999999999845e-13
8.320000000000000284e+00 4.565780000000000160e-13
8.339999999999999858e+00 4.273699999999999753e-13
8.359999999999999432e+00 3.999959999999999750e-13
8.380000000000000782e+00 3.743439999999999850e-13
8.400000000000000355e+00 3.503110000000000206e-13
8.419999999999999929e+00 3.278910000000000010e-13
8.439999999999999503e+00 3.068040000000000021e-13
8.460000000000000853e+00 2.870660000000000210e-13
8.480000000000000426e+00 2.685949999999999778e-13
8.500000000000000000e+00 2.513120000000000100e-13
