# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.164859999999999740e-10
3.520000000000000018e+00 5.991100000000000125e-10
3.540000000000000036e+00 5.822079999999999813e-10
3.560000000000000053e+00 5.657649999999999586e-10
3.580000000000000071e+00 5.497709999999999619e-10
3.600000000000000089e+00 5.342129999999999832e-10
3.620000000000000107e+00 5.190790000000000228e-10
3.640000000000000124e+00 5.043589999999999951e-10
3.660000000000000142e+00 4.900410000000000038e-10
3.680000000000000160e+00 4.761139999999999546e-10
3.700000000000000178e+00 4.625689999999999771e-10
3.720000000000000195e+00 4.493949999999999769e-10
3.740000000000000213e+00 4.365810000000000147e-10
3.759999999999999787e+00 4.241199999999999788e-10
3.779999999999999805e+00 4.120000000000000248e-10
3.799999999999999822e+00 4.002139999999999892e-10
3.819999999999999840e+00 3.887519999999999930e-10
3.839999999999999858e+00 3.776050000000000107e-10
3.859999999999999876e+00 3.667650000000000254e-10
3.879999999999999893e+00 3.562240000000000202e-10
3.899999999999999911e+00 3.459739999999999780e-10
3.919999999999999929e+00 3.360069999999999854e-10
3.939999999999999947e+00 3.263150000000000255e-10
3.959999999999999964e+00 3.168909999999999865e-10
3.979999999999999982e+00 3.077280000000000152e-10
4.000000000000000000e+00 2.988189999999999997e-10
4.019999999999999574e+00 2.901569999999999835e-10
4.040000000000000036e+00 2.817350000000000099e-10
4.059999999999999609e+00 2.735469999999999757e-10
4.080000000000000071e+00 2.655869999999999846e-10
4.099999999999999645e+00 2.578479999999999765e-10
4.120000000000000107e+00 2.503250000000000119e-10
4.139999999999999680e+00 2.430119999999999876e-10
4.160000000000000142e+00 2.359019999999999987e-10
4.179999999999999716e+00 2.289919999999999936e-10
4.200000000000000178e+00 2.222740000000000071e-10
4.219999999999999751e+00 2.157440000000000048e-10
4.240000000000000213e+00 2.093980000000000042e-10
4.259999999999999787e+00 2.032289999999999969e-10
4.280000000000000249e+00 1.972330000000000002e-10
4.299999999999999822e+00 1.914060000000000057e-10
4.320000000000000284e+00 1.857419999999999879e-10
4.339999999999999858e+00 1.802379999999999984e-10
4.360000000000000320e+00 1.748889999999999944e-10
4.379999999999999893e+00 1.696909999999999934e-10
4.400000000000000355e+00 1.646390000000000040e-10
4.419999999999999929e+00 1.597310000000000091e-10
4.440000000000000391e+00 1.549610000000000091e-10
4.459999999999999964e+00 1.503260000000000039e-10
4.480000000000000426e+00 1.458229999999999937e-10
4.500000000000000000e+00 1.414469999999999873e-10
4.519999999999999574e+00 1.371959999999999934e-10
4.540000000000000036e+00 1.330660000000000035e-10
4.559999999999999609e+00 1.290530000000000092e-10
4.580000000000000071e+00 1.251549999999999933e-10
4.599999999999999645e+00 1.213679999999999990e-10
4.620000000000000107e+00 1.176890000000000007e-10
4.639999999999999680e+00 1.141159999999999940e-10
4.660000000000000142e+00 1.106440000000000007e-10
4.679999999999999716e+00 1.072729999999999950e-10
4.700000000000000178e+00 1.039979999999999985e-10
4.719999999999999751e+00 1.008180000000000028e-10
4.740000000000000213e+00 9.772970000000000270e-11
4.769999999999999574e+00 9.473089999999999492e-11
4.790000000000000036e+00 9.181960000000000106e-11
4.809999999999999609e+00 8.899389999999999705e-11
4.830000000000000071e+00 8.625220000000000279e-11
4.849999999999999645e+00 8.359329999999999763e-11
4.870000000000000107e+00 8.101639999999999798e-11
4.889999999999999680e+00 7.852119999999999867e-11
4.910000000000000142e+00 7.610809999999999798e-11
4.929999999999999716e+00 7.377819999999999758e-11
4.950000000000000178e+00 7.153359999999999480e-11
4.969999999999999751e+00 6.937699999999999731e-11
4.990000000000000213e+00 6.731209999999999547e-11
5.009999999999999787e+00 6.534369999999999429e-11
5.030000000000000249e+00 6.347750000000000129e-11
5.049999999999999822e+00 6.172010000000000072e-11
5.070000000000000284e+00 6.007870000000000006e-11
5.089999999999999858e+00 5.856119999999999729e-11
5.110000000000000320e+00 5.717570000000000244e-11
5.129999999999999893e+00 5.593039999999999925e-11
5.150000000000000355e+00 5.483319999999999864e-11
5.169999999999999929e+00 5.389130000000000161e-11
5.190000000000000391e+00 5.311080000000000105e-11
5.209999999999999964e+00 5.249670000000000107e-11
5.230000000000000426e+00 5.205200000000000156e-11
5.250000000000000000e+00 5.177779999999999774e-11
5.269999999999999574e+00 5.167270000000000216e-11
5.290000000000000036e+00 5.173319999999999771e-11
5.309999999999999609e+00 5.195289999999999929e-11
5.330000000000000071e+00 5.232319999999999903e-11
5.349999999999999645e+00 5.283270000000000125e-11
5.370000000000000107e+00 5.346780000000000043e-11
5.389999999999999680e+00 5.421270000000000062e-11
5.410000000000000142e+00 5.505009999999999946e-11
5.429999999999999716e+00 5.596080000000000284e-11
5.450000000000000178e+00 5.692499999999999988e-11
5.469999999999999751e+00 5.792189999999999698e-11
5.490000000000000213e+00 5.893079999999999362e-11
5.509999999999999787e+00 5.993109999999999532e-11
5.530000000000000249e+00 6.090269999999999898e-11
5.549999999999999822e+00 6.182670000000000271e-11
5.570000000000000284e+00 6.268530000000000634e-11
5.589999999999999858e+00 6.346239999999999583e-11
5.610000000000000320e+00 6.414359999999999499e-11
5.629999999999999893e+00 6.471659999999999911e-11
5.650000000000000355e+00 6.517100000000000170e-11
5.669999999999999929e+00 6.549870000000000565e-11
5.690000000000000391e+00 6.569360000000000515e-11
5.709999999999999964e+00 6.575170000000000467e-11
5.730000000000000426e+00 6.567099999999999997e-11
5.750000000000000000e+00 6.545150000000000399e-11
5.769999999999999574e+00 6.509470000000000373e-11
5.790000000000000036e+00 6.460410000000000338e-11
5.809999999999999609e+00 6.398420000000000276e-11
5.830000000000000071e+00 6.324100000000000164e-11
5.849999999999999645e+00 6.238160000000000149e-11
5.870000000000000107e+00 6.141379999999999424e-11
5.889999999999999680e+00 6.034649999999999939e-11
5.910000000000000142e+00 5.918890000000000278e-11
5.929999999999999716e+00 5.795050000000000192e-11
5.950000000000000178e+00 5.664200000000000199e-11
5.969999999999999751e+00 5.527380000000000304e-11
5.990000000000000213e+00 5.385619999999999906e-11
6.009999999999999787e+00 5.239970000000000259e-11
6.030000000000000249e+00 5.091519999999999857e-11
6.049999999999999822e+00 4.941290000000000082e-11
6.070000000000000284e+00 4.790299999999999733e-11
6.089999999999999858e+00 4.639570000000000192e-11
6.110000000000000320e+00 4.490049999999999917e-11
6.129999999999999893e+00 4.342630000000000207e-11
6.150000000000000355e+00 4.198159999999999956e-11
6.169999999999999929e+00 4.057399999999999736e-11
6.190000000000000391e+00 3.921029999999999823e-11
6.209999999999999964e+00 3.789660000000000151e-11
6.230000000000000426e+00 3.663750000000000014e-11
6.250000000000000000e+00 3.543710000000000215e-11
6.269999999999999574e+00 3.429810000000000226e-11
6.290000000000000036e+00 3.322229999999999911e-11
6.309999999999999609e+00 3.220999999999999786e-11
6.330000000000000071e+00 3.126109999999999894e-11
6.349999999999999645e+00 3.037400000000000285e-11
6.370000000000000107e+00 2.954659999999999933e-11
6.389999999999999680e+00 2.877559999999999948e-11
6.410000000000000142e+00 2.805739999999999958e-11
6.429999999999999716e+00 2.738769999999999891e-11
6.450000000000000178e+00 2.676190000000000131e-11
6.469999999999999751e+00 2.617499999999999944e-11
6.490000000000000213e+00 2.562189999999999930e-11
6.509999999999999787e+00 2.509779999999999914e-11
6.530000000000000249e+00 2.459679999999999875e-11
6.549999999999999822e+00 2.411540000000000042e-11
6.570000000000000284e+00 2.364850000000000046e-11
6.589999999999999858e+00 2.319200000000000054e-11
6.610000000000000320e+00 2.274189999999999865e-11
6.629999999999999893e+00 2.229489999999999944e-11
6.650000000000000355e+00 2.184829999999999850e-11
6.669999999999999929e+00 2.139960000000000022e-11
6.690000000000000391e+00 2.094699999999999950e-11
6.709999999999999964e+00 2.048890000000000007e-11
6.730000000000000426e+00 2.002459999999999850e-11
6.750000000000000000e+00 1.955319999999999871e-11
6.769999999999999574e+00 1.907460000000000114e-11
6.790000000000000036e+00 1.858879999999999931e-11
6.809999999999999609e+00 1.809630000000000075e-11
6.830000000000000071e+00 1.759769999999999963e-11
6.849999999999999645e+00 1.709369999999999935e-11
6.870000000000000107e+00 1.658550000000000117e-11
6.889999999999999680e+00 1.607410000000000075e-11
6.910000000000000142e+00 1.556020000000000149e-11
6.929999999999999716e+00 1.504609999999999988e-11
6.950000000000000178e+00 1.453260000000000050e-11
6.969999999999999751e+00 1.402110000000000051e-11
6.990000000000000213e+00 1.351290000000000071e-11
7.009999999999999787e+00 1.300930000000000031e-11
7.030000000000000249e+00 1.251160000000000012e-11
7.049999999999999822e+00 1.202069999999999946e-11
7.070000000000000284e+00 1.153779999999999957e-11
7.089999999999999858e+00 1.106389999999999933e-11
7.110000000000000320e+00 1.059980000000000013e-11
7.129999999999999893e+00 1.014620000000000053e-11
7.150000000000000355e+00 9.703800000000000718e-12
7.169999999999999929e+00 9.273170000000000159e-12
7.190000000000000391e+00 8.854769999999999437e-12
7.209999999999999964e+00 8.448959999999999574e-12
7.230000000000000426e+00 8.056000000000000408e-12
7.259999999999999787e+00 7.676080000000000145e-12
7.280000000000000249e+00 7.309329999999999512e-12
7.299999999999999822e+00 6.955779999999999670e-12
7.320000000000000284e+00 6.615400000000000266e-12
7.339999999999999858e+00 6.288100000000000237e-12
7.360000000000000320e+00 5.973769999999999899e-12
7.379999999999999893e+00 5.672210000000000122e-12
7.400000000000000355e+00 5.383199999999999923e-12
7.419999999999999929e+00 5.106499999999999698e-12
7.440000000000000391e+00 4.841820000000000063e-12
7.459999999999999964e+00 4.588859999999999896e-12
7.480000000000000426e+00 4.347300000000000267e-12
7.500000000000000000e+00 4.116800000000000391e-12
7.519999999999999574e+00 3.896050000000000145e-12
7.540000000000000036e+00 3.686410000000000243e-12
7.559999999999999609e+00 3.486660000000000009e-12
7.580000000000000071e+00 3.296529999999999889e-12
7.599999999999999645e+00 3.115670000000000193e-12
7.620000000000000107e+00 2.943759999999999969e-12
7.639999999999999680e+00 2.780449999999999931e-12
7.660000000000000142e+00 2.625389999999999984e-12
7.679999999999999716e+00 2.478219999999999915e-12
7.700000000000000178e+00 2.338619999999999985e-12
7.719999999999999751e+00 2.206240000000000099e-12
7.740000000000000213e+00 2.080769999999999827e-12
7.759999999999999787e+00 1.961889999999999832e-12
7.780000000000000249e+00 1.849299999999999804e-12
7.799999999999999822e+00 1.742709999999999952e-12
7.820000000000000284e+00 1.641849999999999916e-12
7.839999999999999858e+00 1.546419999999999988e-12
