# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 6.875049999999999952e-10
3.520000000000000018e+00 6.681679999999999616e-10
3.540000000000000036e+00 6.493559999999999856e-10
3.560000000000000053e+00 6.310559999999999558e-10
3.580000000000000071e+00 6.132539999999999587e-10
3.600000000000000089e+00 5.959369999999999864e-10
3.620000000000000107e+00 5.790910000000000220e-10
3.640000000000000124e+00 5.627049999999999713e-10
3.660000000000000142e+00 5.467660000000000328e-10
3.680000000000000160e+00 5.312630000000000089e-10
3.700000000000000178e+00 5.161829999999999948e-10
3.720000000000000195e+00 5.015149999999999995e-10
3.740000000000000213e+00 4.872490000000000407e-10
3.759999999999999787e+00 4.733730000000000155e-10
3.779999999999999805e+00 4.598780000000000016e-10
3.799999999999999822e+00 4.467540000000000167e-10
3.819999999999999840e+00 4.339890000000000096e-10
3.839999999999999858e+00 4.215750000000000150e-10
3.859999999999999876e+00 4.095019999999999989e-10
3.879999999999999893e+00 3.977619999999999960e-10
3.899999999999999911e+00 3.863450000000000240e-10
3.919999999999999929e+00 3.752430000000000141e-10
3.939999999999999947e+00 3.644469999999999927e-10
3.959999999999999964e+00 3.539479999999999858e-10
3.979999999999999982e+00 3.437399999999999938e-10
4.000000000000000000e+00 3.338149999999999996e-10
4.019999999999999574e+00 3.241639999999999778e-10
4.040000000000000036e+00 3.147800000000000235e-10
4.059999999999999609e+00 3.056569999999999817e-10
4.080000000000000071e+00 2.967859999999999820e-10
4.099999999999999645e+00 2.881619999999999816e-10
4.120000000000000107e+00 2.797780000000000238e-10
4.139999999999999680e+00 2.716269999999999968e-10
4.160000000000000142e+00 2.637030000000000043e-10
4.179999999999999716e+00 2.559999999999999949e-10
4.200000000000000178e+00 2.485120000000000203e-10
4.219999999999999751e+00 2.412329999999999775e-10
4.240000000000000213e+00 2.341570000000000218e-10
4.259999999999999787e+00 2.272790000000000069e-10
4.280000000000000249e+00 2.205939999999999932e-10
4.299999999999999822e+00 2.140969999999999897e-10
4.320000000000000284e+00 2.077809999999999880e-10
4.339999999999999858e+00 2.016429999999999881e-10
4.360000000000000320e+00 1.956779999999999988e-10
4.379999999999999893e+00 1.898799999999999947e-10
4.400000000000000355e+00 1.842460000000000015e-10
4.419999999999999929e+00 1.787699999999999937e-10
4.440000000000000391e+00 1.734500000000000059e-10
4.459999999999999964e+00 1.682790000000000038e-10
4.480000000000000426e+00 1.632549999999999961e-10
4.500000000000000000e+00 1.583729999999999917e-10
4.519999999999999574e+00 1.536290000000000079e-10
4.540000000000000036e+00 1.490199999999999931e-10
4.559999999999999609e+00 1.445419999999999906e-10
4.580000000000000071e+00 1.401920000000000004e-10
4.599999999999999645e+00 1.359650000000000056e-10
4.620000000000000107e+00 1.318589999999999890e-10
4.639999999999999680e+00 1.278699999999999937e-10
4.660000000000000142e+00 1.239949999999999942e-10
4.679999999999999716e+00 1.202300000000000077e-10
4.700000000000000178e+00 1.165739999999999999e-10
4.719999999999999751e+00 1.130230000000000010e-10
4.740000000000000213e+00 1.095739999999999982e-10
4.769999999999999574e+00 1.062240000000000046e-10
4.790000000000000036e+00 1.029710000000000030e-10
4.809999999999999609e+00 9.981350000000000641e-11
4.830000000000000071e+00 9.674859999999999510e-11
4.849999999999999645e+00 9.377499999999999412e-11
4.870000000000000107e+00 9.089169999999999489e-11
4.889999999999999680e+00 8.809840000000000516e-11
4.910000000000000142e+00 8.539540000000000426e-11
4.929999999999999716e+00 8.278420000000000505e-11
4.950000000000000178e+00 8.026750000000000225e-11
4.969999999999999751e+00 7.784910000000000520e-11
4.990000000000000213e+00 7.553460000000000249e-11
5.009999999999999787e+00 7.333140000000000073e-11
5.030000000000000249e+00 7.124810000000000132e-11
5.049999999999999822e+00 6.929560000000000212e-11
5.070000000000000284e+00 6.748590000000000267e-11
5.089999999999999858e+00 6.583259999999999557e-11
5.110000000000000320e+00 6.435020000000000180e-11
5.129999999999999893e+00 6.305360000000000186e-11
5.150000000000000355e+00 6.195790000000000118e-11
5.169999999999999929e+00 6.107739999999999580e-11
5.190000000000000391e+00 6.042519999999999985e-11
5.209999999999999964e+00 6.001210000000000517e-11
5.230000000000000426e+00 5.984670000000000024e-11
5.250000000000000000e+00 5.993389999999999608e-11
5.269999999999999574e+00 6.027500000000000641e-11
5.290000000000000036e+00 6.086700000000000550e-11
5.309999999999999609e+00 6.170280000000000483e-11
5.330000000000000071e+00 6.277049999999999794e-11
5.349999999999999645e+00 6.405399999999999667e-11
5.370000000000000107e+00 6.553289999999999918e-11
5.389999999999999680e+00 6.718310000000000037e-11
5.410000000000000142e+00 6.897720000000000299e-11
