# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 7.627359999999999601e-10
3.520000000000000018e+00 7.413250000000000224e-10
3.540000000000000036e+00 7.204950000000000023e-10
3.560000000000000053e+00 7.002299999999999694e-10
3.580000000000000071e+00 6.805160000000000104e-10
3.600000000000000089e+00 6.613379999999999966e-10
3.620000000000000107e+00 6.426820000000000147e-10
3.640000000000000124e+00 6.245340000000000480e-10
3.660000000000000142e+00 6.068809999999999850e-10
3.680000000000000160e+00 5.897090000000000157e-10
3.700000000000000178e+00 5.730050000000000287e-10
3.720000000000000195e+00 5.567570000000000245e-10
3.740000000000000213e+00 5.409540000000000119e-10
3.759999999999999787e+00 5.255819999999999744e-10
3.779999999999999805e+00 5.106320000000000416e-10
3.799999999999999822e+00 4.960909999999999984e-10
3.819999999999999840e+00 4.819479999999999574e-10
3.839999999999999858e+00 4.681940000000000481e-10
3.859999999999999876e+00 4.548170000000000125e-10
3.879999999999999893e+00 4.418070000000000233e-10
3.899999999999999911e+00 4.291550000000000033e-10
3.919999999999999929e+00 4.168519999999999787e-10
3.939999999999999947e+00 4.048870000000000102e-10
3.959999999999999964e+00 3.932519999999999775e-10
3.979999999999999982e+00 3.819380000000000102e-10
4.000000000000000000e+00 3.709359999999999793e-10
4.019999999999999574e+00 3.602380000000000230e-10
4.040000000000000036e+00 3.498360000000000211e-10
4.059999999999999609e+00 3.397220000000000083e-10
4.080000000000000071e+00 3.298889999999999762e-10
4.099999999999999645e+00 3.203269999999999941e-10
4.120000000000000107e+00 3.110310000000000192e-10
4.139999999999999680e+00 3.019939999999999913e-10
4.160000000000000142e+00 2.932069999999999885e-10
4.179999999999999716e+00 2.846650000000000194e-10
4.200000000000000178e+00 2.763610000000000241e-10
4.219999999999999751e+00 2.682879999999999942e-10
4.240000000000000213e+00 2.604409999999999902e-10
4.259999999999999787e+00 2.528119999999999951e-10
4.280000000000000249e+00 2.453969999999999747e-10
4.299999999999999822e+00 2.381890000000000240e-10
4.320000000000000284e+00 2.311829999999999967e-10
4.339999999999999858e+00 2.243740000000000050e-10
4.360000000000000320e+00 2.177549999999999889e-10
4.379999999999999893e+00 2.113230000000000001e-10
4.400000000000000355e+00 2.050710000000000046e-10
4.419999999999999929e+00 1.989949999999999937e-10
4.440000000000000391e+00 1.930910000000000108e-10
4.459999999999999964e+00 1.873530000000000043e-10
4.480000000000000426e+00 1.817760000000000090e-10
4.500000000000000000e+00 4.302989999999999944e-10
4.519999999999999574e+00 4.202670000000000129e-10
4.540000000000000036e+00 4.109289999999999879e-10
4.559999999999999609e+00 4.022629999999999891e-10
4.580000000000000071e+00 3.942399999999999745e-10
4.599999999999999645e+00 3.868210000000000232e-10
4.620000000000000107e+00 3.799649999999999902e-10
4.639999999999999680e+00 3.736199999999999981e-10
4.660000000000000142e+00 3.677369999999999886e-10
4.679999999999999716e+00 3.622589999999999895e-10
4.700000000000000178e+00 3.571330000000000115e-10
4.719999999999999751e+00 3.523029999999999879e-10
4.740000000000000213e+00 3.477169999999999895e-10
4.769999999999999574e+00 3.433239999999999923e-10
4.790000000000000036e+00 3.390770000000000069e-10
4.809999999999999609e+00 3.349339999999999830e-10
4.830000000000000071e+00 3.308549999999999912e-10
4.849999999999999645e+00 3.268070000000000069e-10
4.870000000000000107e+00 3.227619999999999965e-10
4.889999999999999680e+00 3.186950000000000043e-10
4.910000000000000142e+00 3.145879999999999791e-10
4.929999999999999716e+00 3.104259999999999990e-10
4.950000000000000178e+00 3.061999999999999869e-10
4.969999999999999751e+00 3.019039999999999947e-10
4.990000000000000213e+00 2.975380000000000224e-10
5.009999999999999787e+00 2.931020000000000183e-10
5.030000000000000249e+00 2.886039999999999993e-10
5.049999999999999822e+00 2.840519999999999824e-10
5.070000000000000284e+00 2.794570000000000101e-10
5.089999999999999858e+00 2.748319999999999873e-10
5.110000000000000320e+00 2.701940000000000081e-10
5.129999999999999893e+00 2.655579999999999943e-10
5.150000000000000355e+00 2.609419999999999970e-10
5.169999999999999929e+00 2.563650000000000241e-10
5.190000000000000391e+00 2.518430000000000060e-10
5.209999999999999964e+00 2.473950000000000023e-10
5.230000000000000426e+00 2.430349999999999781e-10
5.250000000000000000e+00 2.387770000000000017e-10
5.269999999999999574e+00 2.346320000000000124e-10
5.290000000000000036e+00 2.306110000000000012e-10
5.309999999999999609e+00 2.267169999999999937e-10
5.330000000000000071e+00 2.229550000000000071e-10
5.349999999999999645e+00 2.193229999999999984e-10
