# log10(T) rate(cm^3/s)
# RecombRates
3.500000000000000000e+00 9.072230000000000217e-10
3.520000000000000018e+00 8.821379999999999992e-10
3.540000000000000036e+00 8.577259999999999599e-10
3.560000000000000053e+00 8.339699999999999646e-10
3.580000000000000071e+00 8.108529999999999709e-10
3.600000000000000089e+00 7.883580000000000398e-10
3.620000000000000107e+00 7.664680000000000254e-10
3.640000000000000124e+00 7.451669999999999973e-10
3.660000000000000142e+00 7.244410000000000422e-10
3.680000000000000160e+00 7.042730000000000143e-10
3.700000000000000178e+00 6.846490000000000001e-10
3.720000000000000195e+00 6.655549999999999831e-10
3.740000000000000213e+00 6.469770000000000500e-10
3.759999999999999787e+00 6.289009999999999772e-10
3.779999999999999805e+00 6.113149999999999719e-10
3.799999999999999822e+00 5.942040000000000090e-10
3.819999999999999840e+00 5.775559999999999854e-10
3.839999999999999858e+00 5.613600000000000136e-10
3.859999999999999876e+00 5.456029999999999821e-10
3.879999999999999893e+00 5.302740000000000033e-10
3.899999999999999911e+00 5.153609999999999743e-10
3.919999999999999929e+00 5.008540000000000160e-10
3.939999999999999947e+00 4.867400000000000170e-10
3.959999999999999964e+00 4.730110000000000119e-10
3.979999999999999982e+00 4.596560000000000100e-10
4.000000000000000000e+00 4.466649999999999770e-10
4.019999999999999574e+00 4.340279999999999823e-10
4.040000000000000036e+00 4.217370000000000089e-10
4.059999999999999609e+00 4.097800000000000056e-10
4.080000000000000071e+00 3.981510000000000244e-10
4.099999999999999645e+00 3.868399999999999794e-10
4.120000000000000107e+00 3.758390000000000088e-10
4.139999999999999680e+00 3.651379999999999751e-10
4.160000000000000142e+00 3.547319999999999906e-10
4.179999999999999716e+00 3.446100000000000125e-10
4.200000000000000178e+00 3.347669999999999980e-10
4.219999999999999751e+00 3.251940000000000249e-10
4.240000000000000213e+00 3.158849999999999902e-10
4.259999999999999787e+00 3.068310000000000233e-10
4.280000000000000249e+00 2.980269999999999780e-10
4.299999999999999822e+00 2.894660000000000011e-10
4.320000000000000284e+00 2.811409999999999807e-10
4.339999999999999858e+00 2.730460000000000206e-10
4.360000000000000320e+00 2.651740000000000089e-10
4.379999999999999893e+00 2.575210000000000147e-10
4.400000000000000355e+00 2.500790000000000212e-10
4.419999999999999929e+00 2.428429999999999854e-10
4.440000000000000391e+00 2.358080000000000195e-10
4.459999999999999964e+00 2.289679999999999945e-10
4.480000000000000426e+00 2.223190000000000054e-10
4.500000000000000000e+00 2.158539999999999920e-10
4.519999999999999574e+00 2.095689999999999977e-10
4.540000000000000036e+00 2.034590000000000054e-10
4.559999999999999609e+00 1.975189999999999980e-10
4.580000000000000071e+00 1.917449999999999929e-10
4.599999999999999645e+00 1.861330000000000075e-10
4.620000000000000107e+00 1.806769999999999904e-10
4.639999999999999680e+00 1.753739999999999933e-10
4.660000000000000142e+00 1.702200000000000078e-10
4.679999999999999716e+00 1.652090000000000082e-10
4.700000000000000178e+00 1.603400000000000119e-10
4.719999999999999751e+00 1.556069999999999932e-10
4.740000000000000213e+00 1.510080000000000125e-10
4.769999999999999574e+00 1.465380000000000010e-10
4.790000000000000036e+00 1.421940000000000107e-10
4.809999999999999609e+00 1.379720000000000070e-10
4.830000000000000071e+00 1.338689999999999903e-10
4.849999999999999645e+00 1.298829999999999950e-10
4.870000000000000107e+00 1.260090000000000040e-10
4.889999999999999680e+00 1.222450000000000002e-10
4.910000000000000142e+00 1.185880000000000097e-10
4.929999999999999716e+00 1.150339999999999979e-10
4.950000000000000178e+00 1.115819999999999953e-10
4.969999999999999751e+00 1.082269999999999976e-10
4.990000000000000213e+00 1.049679999999999962e-10
5.009999999999999787e+00 1.018020000000000042e-10
5.030000000000000249e+00 9.872680000000000539e-11
5.049999999999999822e+00 9.573909999999999461e-11
5.070000000000000284e+00 9.283680000000000040e-11
5.089999999999999858e+00 9.001769999999999356e-11
5.110000000000000320e+00 8.727930000000000434e-11
5.129999999999999893e+00 8.461969999999999576e-11
5.150000000000000355e+00 8.203639999999999807e-11
5.169999999999999929e+00 7.952750000000000015e-11
5.190000000000000391e+00 7.709079999999999863e-11
5.209999999999999964e+00 7.472450000000000133e-11
